reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Afghanistan,India,19947,17396,26914
Afghanistan,Pakistan,,,31141
Afghanistan,United States of America,769,4157,62705
Afghanistan,Germany,7287,5475,5030
Afghanistan,Bangladesh,0,3236,7899
Afghanistan,Belgium,4856,4723,7106
Afghanistan,Türkiye,420,1053,2684
Afghanistan,Finland,7145,6887,5847
Afghanistan,Russian Federation,2780,5083,6625
Afghanistan,"Iran, Islamic Republic of",733,238,895
Afghanistan,Italy,763,424,675
Afghanistan,Denmark,2273,1073,1920
Afghanistan,Honduras,64,142,269
Afghanistan,United Kingdom,4671,1014,1124
Afghanistan,France,967,1291,2050
Afghanistan,Spain,3320,478,453
Afghanistan,Czech Republic,126,35,133
Afghanistan,Israel,156,485,1724
Afghanistan,Jordan,299,628,924
Afghanistan,Japan,171,1603,2025
Afghanistan,China,162,80,612
Afghanistan,South Africa,3,5,61
Afghanistan,Tunisia,1577,1120,1522
Afghanistan,Eswatini,0,0,0
Afghanistan,Angola,,,
Afghanistan,Mexico,181,20,176
Afghanistan,Thailand,231,40,175
Afghanistan,Trinidad and Tobago,23,53,837
Afghanistan,Singapore,4,203,268
Afghanistan,Belarus,296,385,629
Afghanistan,Mozambique,1413,7,101
Afghanistan,Croatia,19,60,254
Afghanistan,Colombia,307,1039,191
Afghanistan,Brazil,1658,1093,216
Afghanistan,Canada,268,232,443
Afghanistan,Kazakhstan,34,7,4
Afghanistan,Kyrgyzstan,0,3,61
Afghanistan,Egypt,1238,1689,216
Afghanistan,Poland,1046,365,328
Afghanistan,Austria,259,148,399
Afghanistan,Ireland,16,418,83
Afghanistan,Indonesia,1428,632,1176
Afghanistan,Guatemala,120,84,536
Afghanistan,Kuwait,67,62,4382
Afghanistan,Netherlands,34,17,45
Afghanistan,Switzerland,529,205,776
Afghanistan,Australia,19,104,103
Afghanistan,Bahrain,49,76,38
Afghanistan,"Venezuela, Bolivarian Republic of",12,112,11
Afghanistan,Sri Lanka,17,86,272
Afghanistan,Malaysia,1369,15,26
Afghanistan,Norway,348,209,143
Afghanistan,Ukraine,24,78,153
Afghanistan,Senegal,137,0,6
Afghanistan,New Zealand,105,169,136
Afghanistan,Ecuador,1492,178,118
Afghanistan,Cameroon,0,0,19
Afghanistan,Costa Rica,57,393,137
Afghanistan,"Korea, Republic of",81,255,169
Afghanistan,Gabon,0,0,81
Afghanistan,Lebanon,2285,1699,427
Afghanistan,"Macao, China",0,0,0
Afghanistan,Cuba,44,30,109
Afghanistan,Sweden,152,97,77
Afghanistan,Dominica,1,6,19
Afghanistan,Dominican Republic,0,582,681
Afghanistan,Bulgaria,6,1,43
Afghanistan,Ethiopia,2,23,57
Afghanistan,Mali,11,59,33
Afghanistan,Cambodia,42,0,0
Afghanistan,Lithuania,0,0,87
Afghanistan,Peru,57,42,26
Afghanistan,"Taipei, Chinese",2,0,32
Afghanistan,Saudi Arabia,59,333,39
Afghanistan,Brunei Darussalam,47,25,54
Afghanistan,Mauritius,0,0,17
Afghanistan,Estonia,10,0,15
Afghanistan,Hungary,13,134,123
Afghanistan,Fiji,,5,0
Afghanistan,Qatar,8,24,0
Afghanistan,Romania,5,1,3
Afghanistan,Morocco,76,3,0
Afghanistan,Saint Vincent and the Grenadines,48,1,1
Afghanistan,Greece,17,30,633
Afghanistan,Algeria,52,2295,8
Afghanistan,Slovakia,4,0,0
Afghanistan,Uruguay,27,0,0
Afghanistan,Yemen,,,
Afghanistan,Portugal,15,34,56
Afghanistan,Luxembourg,5,3,3
Afghanistan,Nicaragua,0,2,1
Afghanistan,Botswana,0,0,0
Afghanistan,New Caledonia,0,0,0
Afghanistan,Bosnia and Herzegovina,,,0
Afghanistan,French Polynesia,1,1,0
Afghanistan,Niger,0,1,0
Afghanistan,Saint Kitts and Nevis,7,3,9
Afghanistan,Slovenia,102,37,164
Afghanistan,Togo,0,0,0
Afghanistan,Uganda,24,7,94
Afghanistan,"Macedonia, North",1,4,14
Afghanistan,Azerbaijan,2,0,1
Afghanistan,Argentina,1,0,137
Afghanistan,"Bolivia, Plurinational State of",0,0,0
Afghanistan,Seychelles,0,0,0
Afghanistan,Faroe Islands,0,1,1
Afghanistan,Barbados,0,1,1
Afghanistan,Mayotte,0,1,0
Afghanistan,Iceland,9,0,0
Afghanistan,Ghana,11,,3
Afghanistan,Serbia and Montenegro,0,0,
Afghanistan,Andorra,8,13,0
Afghanistan,Belize,1,0,0
Afghanistan,Burundi,1,0,0
Afghanistan,Chile,26,136,35
Afghanistan,Cyprus,49,26,59
Afghanistan,Benin,0,238,93
Afghanistan,El Salvador,153,0,0
Afghanistan,Georgia,2,0,0
Afghanistan,Gambia,0,4,0
Afghanistan,"Hong Kong, China",0,23,1
Afghanistan,Kenya,238,114,0
Afghanistan,Latvia,0,0,15
Afghanistan,Madagascar,1,0,0
Afghanistan,Malta,10,4,4
Afghanistan,"Moldova, Republic of",0,3,2
Afghanistan,Oman,0,0,433
Afghanistan,Philippines,35,0,97
Afghanistan,Saint Lucia,7,0,0
Afghanistan,Viet Nam,60,0,1
Afghanistan,Zimbabwe,0,0,79
Afghanistan,Syrian Arab Republic,0,0,1704
Afghanistan,"Tanzania, United Republic of",17,20,1
Afghanistan,Burkina Faso,3,1,0
Afghanistan,Nepal,,,28
Afghanistan,Nigeria,368,1,74
Afghanistan,Anguilla,1,0,0
