reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004
Albania,Italy,227761,270952,336861,421910
Albania,Germany,17983,20453,23259,25432
Albania,Greece,58127,9668,19182,23089
Albania,Türkiye,3615,3973,4578,15529
Albania,United States of America,7270,6222,4697,12212
Albania,France,17675,20464,17995,11510
Albania,"Macedonia, North",1306,1127,3963,6346
Albania,China,1,85,58,5957
Albania,Sweden,195,639,977,5671
Albania,Austria,2256,2981,3972,5560
Albania,Egypt,7939,3844,3654,2928
Albania,Netherlands,1845,2417,1156,2898
Albania,Honduras,5,335,585,2828
Albania,United Kingdom,1618,2706,4088,2514
Albania,Slovenia,164,299,561,2496
Albania,Spain,1438,934,7446,2425
Albania,Russian Federation,704,334,6638,2270
Albania,Canada,351,318,946,2103
Albania,Serbia and Montenegro,785,5896,,1861
Albania,Czech Republic,682,810,912,1817
Albania,Ukraine,473,1249,956,1485
Albania,Bulgaria,91,153,251,1416
Albania,Belgium,957,3295,11928,1159
Albania,Brazil,417,80,341,770
Albania,Croatia,918,265,672,726
Albania,Mexico,96,878,628,702
Albania,Poland,154,0,88,674
Albania,"Venezuela, Bolivarian Republic of",42,17,66,615
Albania,Japan,643,507,652,593
Albania,Portugal,186,381,331,576
Albania,"Taipei, Chinese",143,82,237,532
Albania,Bosnia and Herzegovina,,,253,506
Albania,Australia,19,2636,14571,462
Albania,Switzerland,5022,358,786,404
Albania,Albania,0,0,7,394
Albania,Saudi Arabia,0,0,0,310
Albania,Denmark,1276,232,48,285
Albania,Hungary,302,194,425,266
Albania,Pakistan,,,94,261
Albania,Finland,93,45,88,260
Albania,Romania,822,5,12,244
Albania,Kuwait,0,8,81,233
Albania,Viet Nam,0,0,60,177
Albania,Ethiopia,0,13,8,161
Albania,Norway,296,160,178,156
Albania,Colombia,91,23,3,146
Albania,Slovakia,81,77,102,137
Albania,Guatemala,5,6,6,135
Albania,"Korea, Republic of",1,17,91,121
Albania,Malaysia,2,25,45,118
Albania,Lebanon,127,37,42,106
Albania,Cyprus,6,37,65,94
Albania,Dominican Republic,191,530,228,89
Albania,Ireland,109,134,145,79
Albania,Indonesia,2,33,13,69
Albania,Angola,,,,67
Albania,Sri Lanka,14,19,14,50
Albania,Morocco,11,81,370,47
Albania,Ghana,0,,2,43
Albania,Dominica,1,12,31,41
Albania,Estonia,18,30,6,40
Albania,Peru,32,25,19,40
Albania,Rwanda,29,27,302,40
Albania,Malta,203,15,163,32
Albania,Mali,9,0,22,31
Albania,South Africa,31,22,23,29
Albania,Burkina Faso,0,0,0,28
Albania,Andorra,1,24,22,25
Albania,"Bolivia, Plurinational State of",0,0,27,24
Albania,Mayotte,0,0,0,22
Albania,Costa Rica,39,16,61,22
Albania,Bahrain,22,3,2,21
Albania,Algeria,0,75,17,17
Albania,Argentina,1,0,22,17
Albania,Ecuador,0,29,234,16
Albania,Timor-Leste,,,,15
Albania,Thailand,10,23,57,15
Albania,Cabo Verde,0,0,32,12
Albania,French Polynesia,11,8,18,12
Albania,Côte d'Ivoire,11,21,12,12
Albania,"Iran, Islamic Republic of",0,0,0,11
Albania,New Caledonia,8,10,38,11
Albania,New Zealand,2,11,4,11
Albania,Iceland,17,16,20,10
Albania,Tunisia,14,497,2,10
Albania,Mozambique,24,0,263,8
Albania,Mauritius,11,8,7,6
Albania,India,0,11,15,6
Albania,Burundi,3,0,2,5
Albania,Cuba,103,38,92,5
Albania,Kazakhstan,7,0,0,5
Albania,Saint Lucia,0,0,0,5
Albania,Latvia,0,1,13,4
Albania,Malawi,0,16,4,4
Albania,"Macao, China",0,1,0,3
Albania,Cameroon,2,2,26,2
Albania,Israel,0,34,48,2
Albania,Luxembourg,0,1,4,2
Albania,Saint Kitts and Nevis,2,4,2,2
Albania,Senegal,2,0,2,2
Albania,Faroe Islands,2,2,2,1
Albania,Barbados,2,2,1,1
Albania,Jamaica,0,0,0,1
Albania,Kyrgyzstan,0,0,0,1
Albania,Nicaragua,0,0,0,1
Albania,Paraguay,0,0,0,1
Albania,Seychelles,0,0,0,1
Albania,Uruguay,0,4,1,1
Albania,Azerbaijan,0,0,43,0
Albania,Bangladesh,5,3,38,0
Albania,Armenia,1,2,0,0
Albania,Botswana,0,27,0,0
Albania,Belarus,0,0,0,0
Albania,Chile,3,2,5,0
Albania,Benin,0,18,4,0
Albania,El Salvador,13,0,0,0
Albania,Gabon,3,0,1,0
Albania,Georgia,1,4,0,0
Albania,Grenada,0,0,2,0
Albania,"Hong Kong, China",3,46,2,0
Albania,Kenya,7,0,1,0
Albania,Lithuania,7,9,25,0
Albania,Madagascar,0,0,6,0
Albania,"Moldova, Republic of",0,7,0,0
Albania,Philippines,8,0,46,0
Albania,Singapore,50,15,0,0
Albania,Sudan (before 2012),0,16,0,0
Albania,Syrian Arab Republic,0,0,56,0
Albania,Trinidad and Tobago,0,5,4,0
Albania,Uganda,0,0,0,0
Albania,"Tanzania, United Republic of",104,428,374,0
Albania,Nepal,,,185,
Albania,Nigeria,0,0,2,
