reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Albania,Italy,418599,514862,624603
Albania,Greece,350798,321712,358308
Albania,Türkiye,73205,79761,114426
Albania,Germany,62024,64524,90398
Albania,China,16113,18686,32194
Albania,Ukraine,12252,16223,34958
Albania,Russian Federation,8882,20486,36300
Albania,Bulgaria,27174,40458,30219
Albania,Spain,16583,20811,30218
Albania,Austria,8213,15594,19899
Albania,Croatia,11026,17470,27543
Albania,Switzerland,6393,14026,13394
Albania,France,13375,14019,24939
Albania,"Macedonia, North",10019,13871,17419
Albania,Netherlands,15918,8184,11031
Albania,Serbia and Montenegro,3044,8722,
Albania,United Kingdom,49114,28365,16150
Albania,United States of America,15525,14810,9688
Albania,Slovenia,8718,10731,13681
Albania,Romania,12887,20663,14659
Albania,Hungary,8585,8504,11942
Albania,Czech Republic,10996,17072,13840
Albania,Brazil,1585,4816,7801
Albania,Belgium,6733,8999,12018
Albania,Finland,24220,2772,3137
Albania,Sweden,18576,8075,12821
Albania,Ireland,3131,4800,6064
Albania,"Korea, Republic of",2030,2716,5151
Albania,Egypt,1363,2579,7625
Albania,Poland,0,530,2978
Albania,India,2562,2862,6530
Albania,Slovakia,434,352,1255
Albania,Denmark,2910,2003,5037
Albania,Cyprus,3326,4428,4027
Albania,Tunisia,1881,2398,2421
Albania,Bosnia and Herzegovina,,,1207
Albania,Argentina,107,1965,4150
Albania,Paraguay,43,75,2580
Albania,Canada,1624,1645,1714
Albania,Israel,75,538,1351
Albania,Azerbaijan,2,0,0
Albania,"Iran, Islamic Republic of",555,750,967
Albania,Japan,6045,1975,2313
Albania,Malaysia,461,190,391
Albania,"Hong Kong, China",255,376,163
Albania,Portugal,661,999,1494
Albania,Luxembourg,691,390,428
Albania,Australia,578,365,7181
Albania,"Taipei, Chinese",296,119,439
Albania,Norway,4288,254,177
Albania,Indonesia,906,1765,719
Albania,"Moldova, Republic of",273,217,500
Albania,Viet Nam,348,802,414
Albania,Honduras,0,0,1717
Albania,Thailand,2346,368,412
Albania,Morocco,0,63,8
Albania,Mexico,107,101,283
Albania,Pakistan,,,273
Albania,Jordan,874,126,221
Albania,"Tanzania, United Republic of",0,0,0
Albania,South Africa,417,1326,298
Albania,Colombia,2,4,707
Albania,Malta,0,130,230
Albania,Chile,152,102,113
Albania,Angola,,,
Albania,Bahrain,0,150,0
Albania,Ethiopia,30,68,87
Albania,Georgia,178,0,6
Albania,Senegal,0,0,0
Albania,Cambodia,0,1,13
Albania,New Zealand,74,626,352
Albania,Namibia,0,0,2
Albania,Lebanon,1125,3416,6432
Albania,Oman,0,0,67
Albania,Belarus,30,20,23
Albania,Peru,0,1,0
Albania,Trinidad and Tobago,56,296,47
Albania,Cuba,0,0,35
Albania,Ecuador,469,0,30
Albania,Guatemala,0,0,0
Albania,Rwanda,0,0,0
Albania,Latvia,17,10,1
Albania,Estonia,2,3,0
Albania,Grenada,0,0,0
Albania,Lithuania,8,32,1025
Albania,Philippines,1,45,243
Albania,Zimbabwe,0,93,0
Albania,Guinea,36,0,
Albania,Algeria,62,186,0
Albania,Bangladesh,0,14,0
Albania,"Bolivia, Plurinational State of",0,0,0
Albania,Botswana,0,0,56
Albania,Sri Lanka,1,1,99
Albania,Costa Rica,3,0,0
Albania,Benin,0,48,0
Albania,Dominican Republic,0,0,4
Albania,Kenya,0,0,45
Albania,Kuwait,0,6,0
Albania,Kyrgyzstan,7,0,6
Albania,Mozambique,95,13,16
Albania,Saint Kitts and Nevis,0,5,0
Albania,Saint Lucia,0,1,1
Albania,Saudi Arabia,89,38,108
Albania,Singapore,224,139,0
Albania,Syrian Arab Republic,0,0,21
Albania,Uganda,0,108,0
Albania,Uruguay,85,115,22
