reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Albania,Italy,421910,438950,517961,629684,705580,637976,765604,913613,936753,1087433,1155246,899129,992290,1152063,1322709,1242468,1104008,1474414,1674222,1676284
Albania,Greece,23089,24445,41541,93276,133248,101243,129012,107006,105540,85761,119544,110625,126450,100819,140645,144112,146485,223232,420456,411810
Albania,Germany,25432,28310,33532,50108,47135,48773,50053,86084,99663,110248,79892,80809,90035,113141,144982,162876,166886,178086,221986,239130
Albania,Spain,2425,1806,3566,4880,24952,31615,131388,116907,204776,226975,180811,103782,89362,136101,226789,235670,163635,233941,347696,201865
Albania,China,5957,7043,12842,66341,88259,64320,147573,155368,142721,234841,189322,128655,129361,198078,107862,102721,81121,164152,186301,181239
Albania,United States of America,12212,38853,25067,10122,12435,15804,31776,27851,19935,23829,70266,163100,125862,43364,70350,58627,48842,70588,152134,80751
Albania,France,11510,12152,22557,23238,30305,37398,35851,66695,65484,114905,85897,66778,89687,114878,104306,95963,80772,72697,84639,80214
Albania,Serbia,,,4698,11416,13415,5928,7807,22881,13833,16285,18096,20008,28936,41708,52451,46389,49916,71559,85211,77118
Albania,Slovakia,137,84,287,292,353,471,988,3364,2443,3519,8815,3456,4786,6217,6505,6541,15842,45631,55303,66197
Albania,Czech Republic,1817,1264,3902,905,2051,2253,16666,6557,5819,9075,11743,9171,17844,28389,47824,55702,53662,89019,78842,65861
Albania,Türkiye,15529,16237,12571,23842,36697,4694,86859,125916,98989,83819,100340,49578,20602,24166,22163,22276,33589,60788,74716,55627
Albania,Bulgaria,1416,3733,3927,10276,10698,10227,15954,24019,24386,22669,25121,21380,17561,20528,20506,31783,44774,47814,58024,51695
Albania,United Kingdom,2514,1933,1659,16208,9996,2781,2623,2114,2974,14644,13547,4727,4395,4547,9364,8526,12761,8623,47425,48157
Albania,Austria,5560,4843,5516,5505,12499,70960,40437,42092,34289,27073,24486,19758,15506,24339,31864,37781,30941,50378,77333,43867
Albania,Switzerland,404,1724,1339,1156,2129,1472,2930,3267,9646,15290,14522,13338,14118,14692,18175,21482,19975,27883,32465,40605
Albania,Romania,244,1716,1505,3813,2322,4742,1379,2678,2952,4265,8059,11207,29172,41051,44662,39792,33010,37451,39197,37454
Albania,Croatia,726,1397,2695,3032,4776,2999,5469,4738,5436,3556,3740,3910,5439,6946,8336,9939,12699,23231,47273,36143
