reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Algeria,United States of America,2701903,2555072,5121535
Algeria,Spain,3009359,2804309,3204392
Algeria,France,2681257,2555413,3474207
Algeria,Canada,740091,1098959,1716635
Algeria,Brazil,1180125,1039337,1170362
Algeria,Italy,1039005,1117781,1614684
Algeria,Belgium,445113,1064870,1466422
Algeria,Netherlands,1533955,1039033,874027
Algeria,Germany,844828,862546,996253
Algeria,Türkiye,1063983,557862,500551
Algeria,Portugal,129076,185752,246738
Algeria,United Kingdom,334989,499236,401434
Algeria,Egypt,3741,206764,312618
Algeria,China,69988,81897,99217
Algeria,"Korea, Republic of",114832,205017,191656
Algeria,Morocco,193428,159878,174808
Algeria,Switzerland,100423,127040,98381
Algeria,Indonesia,437180,154122,176381
Algeria,Thailand,8154,9782,64356
Algeria,Japan,62447,38993,60163
Algeria,Greece,89342,81414,99000
Algeria,Austria,110381,45001,78845
Algeria,Tunisia,82869,90317,130183
Algeria,Slovenia,71933,51058,55145
Algeria,Cuba,35,14,71977
Algeria,Czech Republic,49858,31863,252
Algeria,Mexico,162992,95549,73406
Algeria,Singapore,333,425,3
Algeria,Norway,7,12256,710
Algeria,Syrian Arab Republic,28345,58727,12794
Algeria,Lebanon,5780,3109,5604
Algeria,Senegal,1672,1021,966
Algeria,India,1061,1261,3299
Algeria,Niger,1362,2627,4629
Algeria,Gabon,12,0,2103
Algeria,"Macedonia, North",0,0,0
Algeria,Sweden,6249,14493,15141
Algeria,Ukraine,4230,3463,3948
Algeria,Mauritania,12903,12539,4214
Algeria,Poland,4980,14250,5937
Algeria,Finland,2,23,2614
Algeria,Kuwait,74,166,318
Algeria,Russian Federation,5068,461,1241
Algeria,Romania,70,30805,206
Algeria,Bangladesh,120,451,1166
Algeria,Benin,0,0,0
Algeria,Croatia,12087,13709,2851
Algeria,Saudi Arabia,866,0,252
Algeria,Angola,,,
Algeria,Jordan,390,75,734
Algeria,Denmark,313,103,2977
Algeria,Mali,276,373,746
Algeria,South Africa,7,434,522
Algeria,Pakistan,,,485
Algeria,Slovakia,131,168,16
Algeria,Cabo Verde,36,58,7
Algeria,Cameroon,11,0,780
Algeria,Ireland,1197,196,209
Algeria,Argentina,2548,457,99
Algeria,"Hong Kong, China",0,68,75
Algeria,Viet Nam,0,0,180
Algeria,Luxembourg,38,24,519
Algeria,Mauritius,25,16,53
Algeria,Georgia,0,0,0
Algeria,Peru,1830,0,3
Algeria,Honduras,0,27,5
Algeria,"Taipei, Chinese",24994,7528,0
Algeria,Qatar,16,21,170
Algeria,Hungary,139,40,87
Algeria,"Venezuela, Bolivarian Republic of",1801,6,195
Algeria,Barbados,21,19,35
Algeria,Dominican Republic,15,0,22
Algeria,Madagascar,33,46,37
Algeria,"Iran, Islamic Republic of",0,0,211
Algeria,Cyprus,52,391,1095
Algeria,Serbia and Montenegro,15,15,
Algeria,Yemen,,,
Algeria,Mayotte,2,1,7
Algeria,Bosnia and Herzegovina,,,1840
Algeria,Bahrain,2,0,0
Algeria,Bulgaria,68,573,93
Algeria,Côte d'Ivoire,554,19544,136
Algeria,Kazakhstan,0,0,2
Algeria,Burkina Faso,14,46,15
Algeria,Chile,14394,0,314
Algeria,New Caledonia,8,13,14
Algeria,Sudan (before 2012),0,12,19
Algeria,Costa Rica,0,17,3
Algeria,Ethiopia,0,56,0
Algeria,Oman,6,4,1114
Algeria,Philippines,148,1911,690
Algeria,Ecuador,19409,7370,27
Algeria,Guatemala,8,0,0
Algeria,Uruguay,0,0,2
Algeria,Australia,1345,36143,5
Algeria,Estonia,0,0,0
Algeria,Iceland,10,0,10
Algeria,Malaysia,1795,2469,1650
Algeria,"Bolivia, Plurinational State of",0,7,0
Algeria,Guinea,1,10,
Algeria,Saint Kitts and Nevis,3,4,5
Algeria,Ghana,1526,,4
Algeria,French Polynesia,6,103,25
Algeria,Colombia,74,44,0
Algeria,Grenada,0,0,0
Algeria,"Tanzania, United Republic of",0,0,0
Algeria,Faroe Islands,3,5,4
Algeria,Paraguay,0,0,0
Algeria,Gambia,5,0,0
Algeria,Albania,143,242,180
Algeria,Azerbaijan,0,64,5
Algeria,New Zealand,0,0,0
Algeria,Fiji,,0,0
Algeria,Botswana,0,0,2
Algeria,Malta,1,2807,1923
Algeria,Algeria,1385,227,0
Algeria,Andorra,0,0,0
Algeria,Brunei Darussalam,0,0,15
Algeria,Belarus,0,0,45
Algeria,Sri Lanka,31,0,0
Algeria,Israel,0,8,0
Algeria,Kenya,19,1,5
Algeria,Kyrgyzstan,0,0,6
Algeria,Lithuania,4,1,1750
Algeria,Malawi,0,0,314
Algeria,"Moldova, Republic of",0,54,0
Algeria,Mozambique,0,3,0
Algeria,Namibia,0,54,0
Algeria,Zimbabwe,1,0,0
Algeria,Togo,1,1,1
Algeria,Trinidad and Tobago,0,0,134
Algeria,Uganda,5,0,149
Algeria,Nepal,,,46
Algeria,Nigeria,899,59,667
