reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Algeria,China,980519,1404420,1947514,2741975,3751910,4180239,3999999,4471882,5416657,6023897,7395178,7600452,7736763,6788723,7923382,6941783,5596322,6349680,6276098,9498749
Algeria,France,5258186,5809565,5057742,5695717,8108167,6959564,6933296,8023029,8161644,7843394,8180966,6895350,5620623,5631398,6227559,5512737,4801535,4387771,4738963,4840019
Algeria,Italy,1533776,1662343,1956424,2532477,4430887,3608485,3794070,4181947,4864907,5661871,5730037,4596283,4107150,3585184,3650129,3268811,2214725,2083320,2431307,3030632
Algeria,Türkiye,806115,807138,1020696,1231725,1613644,1777198,1504590,1470547,1813037,2122093,2231209,1825988,1736663,1712901,2031583,2016564,1449569,1698821,2069174,2714038
Algeria,Brazil,347610,384170,455733,500728,631380,712802,838752,1493714,1169359,1199751,1152272,993046,1063292,1186020,1006726,1040010,1180064,1518387,1918428,2368212
Algeria,Germany,1215215,1345784,1351078,1647056,2223534,2265452,1930790,2209680,2451301,2820541,3531107,2657996,3547576,3476235,2554958,2279592,1877340,2181418,1755462,2222679
Algeria,United States of America,971582,1106190,1101824,1652509,1243239,1108769,1194325,1596975,1363163,1848704,2616993,1875733,2191262,1062352,1261034,1000468,725193,783926,1200594,1214448
Algeria,Canada,218651,189284,223913,471265,830568,306681,290349,250687,420135,358678,413466,469514,391600,542927,392346,514138,460160,863300,946559,969299
Algeria,Belgium,721627,690836,713738,1060784,1334754,1387796,1493092,1413540,1404985,1434800,1594679,1236157,1065981,1198761,1090972,1019981,904963,880671,905203,920225
Algeria,Argentina,448574,452468,537743,765294,891612,709994,1012044,1656129,1465526,1563987,1601191,1147985,1162041,1474694,1726085,1523639,1095321,1467377,1597328,895276
Algeria,Netherlands,300601,277757,332807,508792,532709,494727,574358,672765,983115,1523877,1330076,1236249,934031,865767,781183,718084,583735,573310,538680,865823
