reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Andorra,Spain,29378,28884,44100
Andorra,France,11567,18657,20188
Andorra,Germany,4885,2958,3126
Andorra,Italy,1598,1607,2894
Andorra,Honduras,30,558,1459
Andorra,"Korea, Republic of",10743,2766,3387
Andorra,Indonesia,40,8,160
Andorra,Slovakia,43,41,101
Andorra,Colombia,17,2,0
Andorra,United States of America,221,810,290
Andorra,Malaysia,81,134,229
Andorra,Austria,2123,169,206
Andorra,Poland,0,0,0
Andorra,Algeria,8528,1297,717
Andorra,Portugal,451,343,758
Andorra,Ireland,26,20,10
Andorra,Switzerland,75,574,39
Andorra,Greece,71,131,296
Andorra,Namibia,1,0,12
Andorra,Russian Federation,154,176,205
Andorra,Belgium,81,118,1382
Andorra,Canada,55,243,185
Andorra,Zimbabwe,25,31,28
Andorra,Bangladesh,0,115,51
Andorra,Yemen,,,
Andorra,Albania,16,0,7
Andorra,United Kingdom,182,253,2191
Andorra,Serbia and Montenegro,0,11,
Andorra,Ethiopia,131,22,8
Andorra,Slovenia,6,0,0
Andorra,Norway,738,542,200
Andorra,Romania,3,38,7
Andorra,Thailand,59,273,275
Andorra,Sweden,34,56,148
Andorra,Bosnia and Herzegovina,,,1
Andorra,Egypt,14,30,17
Andorra,Latvia,52,43,161
Andorra,Mexico,0,90,85
Andorra,Botswana,0,132,2447
Andorra,Lebanon,208,88,73
Andorra,Czech Republic,61,13,13
Andorra,"Venezuela, Bolivarian Republic of",0,9,99
Andorra,Peru,1329,489,220
Andorra,Netherlands,104,266,287
Andorra,Hungary,193,17,5
Andorra,Zambia,0,109,75
Andorra,Denmark,43,16,108
Andorra,Finland,2,9,134
Andorra,Burkina Faso,0,0,0
Andorra,Cameroon,1,68,16
Andorra,Luxembourg,22,50,42
Andorra,Mali,0,4,0
Andorra,Bulgaria,1,11,11
Andorra,Israel,27,0,25
Andorra,India,0,1,0
Andorra,Georgia,0,9,16
Andorra,Japan,98,65,287
Andorra,Fiji,,2,21
Andorra,Rwanda,0,0,0
Andorra,Armenia,0,8,22
Andorra,Ecuador,34,60,4
Andorra,South Africa,49,2,0
Andorra,Gabon,12,0,1
Andorra,"Iran, Islamic Republic of",0,6,0
Andorra,Guatemala,0,0,1
Andorra,Uruguay,123,71,59
Andorra,Philippines,35,190,122
Andorra,Argentina,86,16,17
Andorra,Mauritius,0,0,5
Andorra,Tunisia,77,65,748
Andorra,"Macedonia, North",46,16,23
Andorra,Chile,28,0,0
Andorra,Samoa,3,9,0
Andorra,Senegal,0,0,0
Andorra,China,0,13,0
Andorra,Dominica,0,0,0
Andorra,Timor-Leste,,,
Andorra,Saint Kitts and Nevis,12,0,2
Andorra,Uganda,1,10,30
Andorra,Croatia,8,75,33
Andorra,"Taipei, Chinese",3,5,3
Andorra,Papua New Guinea,9,3,0
Andorra,"Tanzania, United Republic of",56,80,20
Andorra,Ukraine,26,5,0
Andorra,"Bolivia, Plurinational State of",0,1,1
Andorra,Brazil,34,1,0
Andorra,Belize,0,0,0
Andorra,Costa Rica,6,0,3
Andorra,Guyana,0,18,0
Andorra,Mauritania,13,8,0
Andorra,"Moldova, Republic of",0,0,0
Andorra,Morocco,8,7,5
Andorra,Mozambique,0,0,1
Andorra,New Zealand,0,0,0
Andorra,Türkiye,82,31,0
Andorra,Ghana,0,,39
Andorra,Faroe Islands,1,1,0
Andorra,Bahrain,0,26,2
Andorra,Belarus,39,95,66
Andorra,Cabo Verde,0,0,22
Andorra,Sri Lanka,0,0,0
Andorra,Mayotte,0,2,1
Andorra,Cuba,0,5,0
Andorra,Cyprus,0,5,7
Andorra,Dominican Republic,87,2,0
Andorra,Estonia,3,6,2
Andorra,French Polynesia,0,1,1
Andorra,Grenada,0,1,0
Andorra,Côte d'Ivoire,0,0,2
Andorra,Kenya,0,37,9
Andorra,Malawi,0,18,2
Andorra,New Caledonia,0,17,0
Andorra,Niger,0,0,58
Andorra,Saint Lucia,0,0,1
Andorra,Singapore,2869,260,0
Andorra,Sudan (before 2012),0,29,0
Andorra,Trinidad and Tobago,0,0,3
Andorra,Nepal,,,35
Andorra,Nigeria,36,0,24
