reporter,reporter,Exported value in 2001,Exported value in 2002,Exported value in 2003
Antigua and Barbuda,Poland,3185,787,1353
Antigua and Barbuda,Germany,184113,200744,345331
Antigua and Barbuda,France,4156,12452,13777
Antigua and Barbuda,Lithuania,0,207,0
Antigua and Barbuda,United States of America,3741,3748,13548
Antigua and Barbuda,United Kingdom,2387,1182,12032
Antigua and Barbuda,Algeria,9,0,212
Antigua and Barbuda,Honduras,15,116,439
Antigua and Barbuda,"Tanzania, United Republic of",1,7,7
Antigua and Barbuda,Suriname,269,,
Antigua and Barbuda,Saint Lucia,441,683,1528
Antigua and Barbuda,Saint Kitts and Nevis,883,729,588
Antigua and Barbuda,Switzerland,713,480,662
Antigua and Barbuda,Guyana,421,1242,329
Antigua and Barbuda,Dominica,416,515,337
Antigua and Barbuda,Brazil,17,36,748
Antigua and Barbuda,Mexico,29,0,80
Antigua and Barbuda,Grenada,298,200,604
Antigua and Barbuda,Ghana,2343,,3075
Antigua and Barbuda,Canada,220,608,535
Antigua and Barbuda,Italy,8,9740,3441
Antigua and Barbuda,Thailand,281,190,550
Antigua and Barbuda,Netherlands,86,18,34
Antigua and Barbuda,"Korea, Republic of",153,459,560
Antigua and Barbuda,Sweden,356,577,271
Antigua and Barbuda,Barbados,93,76,78
Antigua and Barbuda,Montserrat,138,134,125
Antigua and Barbuda,Belgium,0,5,43
Antigua and Barbuda,Romania,0,55,148
Antigua and Barbuda,Saudi Arabia,120,0,123
Antigua and Barbuda,Egypt,0,22,0
Antigua and Barbuda,Serbia and Montenegro,115,232,
Antigua and Barbuda,Greece,3087,58,157
Antigua and Barbuda,Saint Vincent and the Grenadines,176,281,175
Antigua and Barbuda,Spain,2916,5050,925
Antigua and Barbuda,Hungary,148,651,752
Antigua and Barbuda,Portugal,128,34,481
Antigua and Barbuda,Czech Republic,1,664,100
Antigua and Barbuda,Russian Federation,0,0,0
Antigua and Barbuda,Mayotte,0,0,0
Antigua and Barbuda,"Venezuela, Bolivarian Republic of",1410,0,84
Antigua and Barbuda,Bahamas,124,42,35
Antigua and Barbuda,South Africa,186,410,190
Antigua and Barbuda,Slovakia,18,4,105
Antigua and Barbuda,Zimbabwe,82,16,16
Antigua and Barbuda,Finland,2,2,8
Antigua and Barbuda,Israel,0,0,0
Antigua and Barbuda,Japan,193,78,199
Antigua and Barbuda,Croatia,0,0,0
Antigua and Barbuda,Türkiye,13,343,907
Antigua and Barbuda,Trinidad and Tobago,124,117,43
Antigua and Barbuda,Angola,,,
Antigua and Barbuda,Slovenia,0,0,0
Antigua and Barbuda,Bangladesh,38,1,185
Antigua and Barbuda,Luxembourg,2,1,1
Antigua and Barbuda,Cuba,6,11,7
Antigua and Barbuda,Dominican Republic,0,46,40
Antigua and Barbuda,Denmark,46,47,38
Antigua and Barbuda,Lebanon,0,1,8
Antigua and Barbuda,Rwanda,3,1,0
Antigua and Barbuda,Zambia,212,56,0
Antigua and Barbuda,Ireland,0,0,39
Antigua and Barbuda,Malawi,31,0,0
Antigua and Barbuda,Ethiopia,3,43,219
Antigua and Barbuda,Bosnia and Herzegovina,,,32
Antigua and Barbuda,Fiji,,0,7
Antigua and Barbuda,Sri Lanka,0,160,3
Antigua and Barbuda,Jamaica,141,0,149
Antigua and Barbuda,Tunisia,80,6,9
Antigua and Barbuda,Cyprus,0,0,0
Antigua and Barbuda,Austria,275,81,111
Antigua and Barbuda,"Macedonia, North",0,0,0
Antigua and Barbuda,Belize,0,47,22
Antigua and Barbuda,Australia,2,1,1
Antigua and Barbuda,Papua New Guinea,24,19,9
Antigua and Barbuda,Costa Rica,4,0,2
Antigua and Barbuda,Estonia,10,0,0
Antigua and Barbuda,Indonesia,116,290,68
Antigua and Barbuda,Mali,0,0,0
Antigua and Barbuda,Mozambique,0,0,0
Antigua and Barbuda,Timor-Leste,,,
Antigua and Barbuda,"Bolivia, Plurinational State of",0,0,0
Antigua and Barbuda,Guinea,5,8,
Antigua and Barbuda,Singapore,0,59,4
Antigua and Barbuda,Cameroon,0,0,0
Antigua and Barbuda,Colombia,49,329,0
Antigua and Barbuda,"Taipei, Chinese",70,26,144
Antigua and Barbuda,Ukraine,0,32,0
Antigua and Barbuda,Malta,8,0,0
Antigua and Barbuda,"Moldova, Republic of",0,0,0
Antigua and Barbuda,Morocco,0,0,8
Antigua and Barbuda,Guinea-Bissau,,,1216
Antigua and Barbuda,Faroe Islands,0,2,0
Antigua and Barbuda,Albania,0,0,63
Antigua and Barbuda,Botswana,0,0,0
Antigua and Barbuda,Brunei Darussalam,535,0,0
Antigua and Barbuda,Bulgaria,2,0,0
Antigua and Barbuda,Cabo Verde,0,8,0
Antigua and Barbuda,China,0,1,0
Antigua and Barbuda,Benin,0,0,9
Antigua and Barbuda,Ecuador,0,0,0
Antigua and Barbuda,El Salvador,0,26,0
Antigua and Barbuda,French Polynesia,0,1,0
Antigua and Barbuda,Gambia,2,0,0
Antigua and Barbuda,Guatemala,61,0,0
Antigua and Barbuda,Kazakhstan,13,0,0
Antigua and Barbuda,Kenya,0,0,152
Antigua and Barbuda,Madagascar,0,4,0
Antigua and Barbuda,Malaysia,53,22,90
Antigua and Barbuda,Mauritania,0,0,335
Antigua and Barbuda,Mauritius,0,0,14
Antigua and Barbuda,Namibia,206,0,0
Antigua and Barbuda,New Zealand,0,2,8
Antigua and Barbuda,Norway,2,78,0
Antigua and Barbuda,Peru,9,1,5
Antigua and Barbuda,Philippines,0,25,72
Antigua and Barbuda,India,0,0,455
Antigua and Barbuda,Viet Nam,0,0,248
Antigua and Barbuda,Sudan (before 2012),0,380,0
Antigua and Barbuda,Uganda,0,0,1071
Antigua and Barbuda,Uruguay,0,0,0
Antigua and Barbuda,Nigeria,280,184,1138
Antigua and Barbuda,Anguilla,217,109,296
