reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Antigua and Barbuda,Poland,112450,10857,6043,90830,74235,182144,65854,113924,97625,151738,144400,124951,146041,105432,114577,108861,103094,27873,44165,45440
Antigua and Barbuda,United States of America,4739,4605,5936,8946,5040,9416,5624,6701,9816,9859,7949,6970,17202,12001,4975,10854,5494,29863,9117,13434
Antigua and Barbuda,Australia,6,14,104,255,761,244,242,569,414,13,65,1352,648,6369,2803,429,106,81,7802,9922
Antigua and Barbuda,Cyprus,11,0,0,5,5,0,0,0,0,0,0,1,564,5712,2781,3120,1,38,2,6888
Antigua and Barbuda,China,0,0,5,0,75,96,53,51,71,339,38,7,34,6,45,70,33,2689,1049,5494
Antigua and Barbuda,France,12568,5215,1308,2973,4947,1942,8109,837,918,864,423,6594,870,1205,782,389,302,17209,8012,2750
Antigua and Barbuda,United Kingdom,4295,2684,21023,6889,24853,681,3496,769,988,5169,850,2998,481,4700,1320,2460,408,20212,15690,1788
Antigua and Barbuda,Denmark,22,239,4680,1010,1380,614,886,1474,783,1267,688,1080,258,255,1028,310,37,1089,13,766
Antigua and Barbuda,"Korea, Republic of",255,425,383,139,13907,7267,82,3841,13240,2201,311,8484,3378,2569,7762,5301,19,1208,895,698
Antigua and Barbuda,Germany,20505,160817,191602,35164,52145,1165,20835,7195,324,820,503,143,17948,1348,12570,8884,498,2457,28641,483
Antigua and Barbuda,South Africa,62,155,628,41,181,70,58,62754,794,340,216,151,43,66,289,396,1251,500,156,408
Antigua and Barbuda,Italy,422,14518,708,637,6100,3649,34,130,135,61,43,422,71,54,336,323,201,211,440,359
Antigua and Barbuda,"Taipei, Chinese",2,13,26,55,260,145,515,851,733,1254,978,440,187,154,229,2862,45,1120,828,324
Antigua and Barbuda,Switzerland,635,221,193,49,114,402,213,125,858,200,196,100,105,48,48,40,227,63,161,285
Antigua and Barbuda,Spain,93,70926,86195,2039,54,46,65,772,248,432,120,3226,100,127,114,134,274,147,2875,233
Antigua and Barbuda,Netherlands,286,48,239,2009,26247,95,265,378,175,149,288,325,265,61,361,63,597,162,76,213
Antigua and Barbuda,Canada,472,461,354,528,5150,392,408,419,1740,605,405,313,163,217,142,321,108,326,418,207
Antigua and Barbuda,Thailand,362,157,1592,257,953,120,27,350,878,805,3962,206,174,210,311,246,188,12884,773,126
Antigua and Barbuda,Greece,121,86,782,85,101,123,206,430,4,1,0,0,53,1,183,8,5,8,7,98
Antigua and Barbuda,Romania,168,270,272,414,225,97,24,3,34,3,89,3,12,8,34,1,0,26,2,57
Antigua and Barbuda,Guatemala,0,14,0,0,0,1,0,0,0,0,5,0,0,210,46,0,21,83,0,56
Antigua and Barbuda,Ukraine,1,0,0,0,59,0,0,327,51,120,21,0,1,0,7,16,10,38,64,44
Antigua and Barbuda,Brazil,533,0,0,1,3,7,11,11,361,193,14,2,345,32,90,144,50,2,0,38
Antigua and Barbuda,Portugal,80,677,69,11364,210,29,30,3363,87,292,2,52,358,1,38,84,55,302,12,17
Antigua and Barbuda,Japan,43,3,159,32,112,146,106,4,96,87,49,133,2,0,6,28,26,15,248,15
Antigua and Barbuda,New Zealand,0,0,7,18,46,13,3,256,24,20,59,14,36,47,48,117,73,1418,61,13
Antigua and Barbuda,Singapore,3,11355,52,270,37,5589,4134,358,13,57,1,915,93,29,1532,72,2,24,13,12
Antigua and Barbuda,Finland,49,9,7,2207,120,10,162,57,41,5,3,72,0,1,9,62,20,7,2,10
Antigua and Barbuda,Sweden,247,113,32,39,0,905,115,8,140,121,3,7,41,480,14,30,3,74,44,10
Antigua and Barbuda,Austria,10,13,55,279,230,29,36,23,28,0,11,65,58,35,24,16,32,77,251,9
Antigua and Barbuda,Türkiye,34,2,0,0,0,0,0,642,5290,3723,87,1752,816,581,1,6346,73,0,1,8
Antigua and Barbuda,Ireland,19,248,87,1798,49,1,1,3,4,27,55,14565,14,3,187,27,40,69,15,7
Antigua and Barbuda,Costa Rica,5,0,3,41,45,28,90,2,0,81,1,6,0,35,11,4,5,3,10,5
Antigua and Barbuda,Malaysia,0,0,77,21,83,114,0,133,2,0,120,151,218,0,0,10,0,1,0,5
Antigua and Barbuda,Serbia,,,6,59,12,10,0,17,43,13,29,34,1,3,3,9,10,0,3,4
Antigua and Barbuda,"Bolivia, Plurinational State of",4,0,0,0,5,0,1,0,0,1,1,1,0,0,0,1,0,0,2,3
Antigua and Barbuda,Cabo Verde,0,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Antigua and Barbuda,Chile,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,73,0,2,2,2
Antigua and Barbuda,Colombia,2,682,21,235,3312,60,125,8,51,218,137,8,1,76,0,3,8,581,6512,2
Antigua and Barbuda,Ecuador,0,0,179,0,33,51,11,0,0,0,11,37,0,0,1,86,2,0,0,2
Antigua and Barbuda,Belgium,171,787,811,879,0,4,3,233,52,8,33,15,737,3833,29,2,33,2043,117,1
Antigua and Barbuda,Bosnia and Herzegovina,16,0,0,3,13,2,2,1,4,0,30,0,0,2,8,0,3,1,3,1
Antigua and Barbuda,Belize,9,24,27,40,441,34,34,2,1,0,2,0,214,219,34,49,1,1,2,1
Antigua and Barbuda,Lithuania,6297,4395,3293,772,5597,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1
Antigua and Barbuda,Madagascar,0,0,0,0,0,0,25,0,0,0,0,46,0,0,0,1,0,0,0,1
Antigua and Barbuda,Norway,0,0,35,1991,5210,0,0,250,4,0,0,17,15,4,0,1,3817,2701,5,1
Antigua and Barbuda,Argentina,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,1,0,0,2,0
Antigua and Barbuda,Bulgaria,0,0,8,0,17,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0
Antigua and Barbuda,Croatia,36,6,0,0,48,6,2,20,0,13,1,0,9,0,0,0,6,1,0,0
Antigua and Barbuda,Czech Republic,79,310,381,386,191,672,489,50,474,767,2001,15,45,80,129,59,118,419,42,0
Antigua and Barbuda,El Salvador,0,5,0,0,0,22,2,2,0,9,0,0,0,0,0,0,1,1,8,0
Antigua and Barbuda,Estonia,5,141,25,21,29,2,3,0,0,123,1,0,0,0,0,22,31,101,5,0
Antigua and Barbuda,Hungary,84,1256,38,0,0,0,0,0,0,0,1,0,0,20,0,1,16,0,21,0
Antigua and Barbuda,Iceland,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Antigua and Barbuda,Latvia,0,0,1,0,0,0,0,0,0,0,0,0,0,14,10,17,17,0,0,0
Antigua and Barbuda,Luxembourg,25,0,1,0,0,0,0,0,0,9,6,0,3,4,27,5,5,6,5,0
Antigua and Barbuda,Malta,1,106,7,5,41,425,25,28,225,357,10,139,1,5,0,2,1,0,7,0
Antigua and Barbuda,Peru,0,0,0,450,22,0,0,0,0,1,3,0,0,13,0,31,5,0,32,0
Antigua and Barbuda,Slovakia,52,95,287,3,0,25,2,1,15,33,28,9,30,59,1,26,63,4,97,0
Antigua and Barbuda,Slovenia,30,8,26,101,17,29,13,2,4,11,0,9,1,0,1,2,0,56,90,0
Antigua and Barbuda,Cayman Islands,,,,,,,,,,,,,,,,,1,0,,
Antigua and Barbuda,Uzbekistan,,,,,,,,,,,,,,0,25,0,0,13,0,
Antigua and Barbuda,Curaçao,,,,,,,,,,,,,,575,1141,338,0,,,
Antigua and Barbuda,"Congo, Democratic Republic of the",,,,,,,,,,,,1,0,9,21,0,21,0,91,
Antigua and Barbuda,Tajikistan,,,,,,,,,,,0,0,0,0,0,0,0,346,0,
Antigua and Barbuda,Haiti,,,,,,,,,,377,753,32,844,25,,,,,,
Antigua and Barbuda,Bermuda,,,,,,,,,14,7,0,2,4029,10128,12533,906,1967,4882,2,
Antigua and Barbuda,Sudan,,,,,,,,,407,0,0,0,0,0,0,,,,,
Antigua and Barbuda,Myanmar,,,,,,,65,51,773,41647,429,487,1377,3,0,21,0,9,0,
Antigua and Barbuda,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,52,0,0,425,0,,
Antigua and Barbuda,Nepal,,,,,,3013,19,0,0,58,0,9,302,0,0,9,5,6,20,
Antigua and Barbuda,Tonga,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,5,
Antigua and Barbuda,Afghanistan,,,,,0,0,0,0,0,0,29,0,0,0,0,0,,,,
Antigua and Barbuda,Congo,,,,82,1,169,66,0,0,0,20091,27,7,0,109,0,0,0,0,
Antigua and Barbuda,"Palestine, State of",,,,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,
Antigua and Barbuda,Nigeria,,,64,170,119963,1343585,2479522,4537675,404256,14,110,475,82,32,366,178,192,800,9,
Antigua and Barbuda,United Arab Emirates,,1,,241,13,,,,14,186,582,0,33,271,18,1457,3689,245,134,
Antigua and Barbuda,Aruba,,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,Netherlands Antilles,,193,256,1512,600,,,,,,,,,,,,,,,
Antigua and Barbuda,Papua New Guinea,6,,,,,,,12,48,,,,,,,3280,3,12,,
Antigua and Barbuda,Andorra,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
Antigua and Barbuda,Kuwait,0,,0,0,0,1,0,3,0,0,6,0,4,0,0,58,4,0,3,
Antigua and Barbuda,Timor-Leste,4,0,,,,,,,,0,,,,0,0,0,0,0,0,
Antigua and Barbuda,Guinea-Bissau,0,0,,,,,,,,0,22,0,0,11,11,,,,,
Antigua and Barbuda,Suriname,1526,1751,,817,,370,1136,19595,18995,70397,30039,24546,17126,6439,1369,22047,62818,46168,60418,
Antigua and Barbuda,Mauritania,0,0,,0,0,0,5,24,448,1765,38,12,46,42,7,17,0,0,3,
Antigua and Barbuda,Togo,0,5,,2,109,7,0,0,0,0,0,275,0,0,40,2,0,0,0,
Antigua and Barbuda,Comoros,0,0,,0,26,20,0,0,19,1,0,0,3,0,0,2,0,8,,
Antigua and Barbuda,Cuba,24,0,8,,,,,,,,,,0,969,0,1,0,0,0,
Antigua and Barbuda,Seychelles,0,167,0,,1,162,31,15,2,38,0,5,56,70,132,0,0,2233,0,
Antigua and Barbuda,Mongolia,0,0,0,0,,,0,0,0,0,0,0,0,79,0,0,0,0,0,
Antigua and Barbuda,Angola,32,0,6,5423,,9833,1028,132,200,100,953,173,10,142,417,1094,149,48,47,
Antigua and Barbuda,Saint Lucia,1128,599,587,756,576,,,,1942,789,860,1165,1089,1064,317,230,162,,,
Antigua and Barbuda,Mali,5,2,0,2,0,,0,3,12,,,,0,29,0,283,128,14,1,
Antigua and Barbuda,Grenada,499,504,331,434,379,,187,172,237,663,202,416,175,174,209,778,376,365,349,
Antigua and Barbuda,Montserrat,190,170,242,177,123,114,,,548,628,590,702,566,599,608,591,705,,1250,
Antigua and Barbuda,Dominica,537,702,386,375,411,705,370,7558,4461,5025,,,738,1687,1266,1122,1777,2170,2744,
Antigua and Barbuda,Bangladesh,26,354,94,233,80,112,188,0,2,41,,32,,,,,,,,
Antigua and Barbuda,Qatar,0,0,0,0,0,0,0,5,196,602,14,4,,0,0,0,0,0,0,
Antigua and Barbuda,Sri Lanka,13,39,2,10,11,0,45,78,37,15,7,8,7,89,,5,15,3,0,
Antigua and Barbuda,Albania,0,0,28,115,496,59,5,14,23,10,6,0,9,80,124,419,477,34,146,
Antigua and Barbuda,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,40,0,0,0,
Antigua and Barbuda,Bahamas,69,216,2583,58,125,196,408,1232,7111,854,1967,17,6,149,4259,4,79,1216,8,
Antigua and Barbuda,Bahrain,0,0,0,0,0,0,0,5,1,10,17,114,40,4,4078,1315,13,4,13,
Antigua and Barbuda,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Antigua and Barbuda,Barbados,197,66,481,1277,801,565,349,98,89,84,153,208,259,202,273,6680,107,38097,19807,
Antigua and Barbuda,Botswana,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,16,
Antigua and Barbuda,Burundi,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,
Antigua and Barbuda,Cambodia,0,0,0,0,0,0,0,0,0,0,7,0,384,0,0,0,0,0,0,
Antigua and Barbuda,Benin,0,0,0,25,3,0,6,0,0,0,63,1963,57,6,5,0,0,9,0,
Antigua and Barbuda,Dominican Republic,24,0,2,65,12,733,3615,102,4774,28120,3425,21,1704,7171,19412,24488,19394,13595,333,
Antigua and Barbuda,Ethiopia,17,63,320,13,22,77,80,138,100,147,184,0,2,0,21,0,0,4,0,
Antigua and Barbuda,Fiji,13,35,2,16,0,0,2,36,176,23,23,22,0,50,0,0,0,0,1,
Antigua and Barbuda,French Polynesia,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,
Antigua and Barbuda,Georgia,0,0,0,0,86,81,248,45,0,0,0,0,0,0,47,0,0,0,0,
Antigua and Barbuda,Gambia,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,3431,6179,
Antigua and Barbuda,Guyana,596,477,237,267,110,28,266,327,85,264,232,1252,298,380,853,125,538,7898,626,
Antigua and Barbuda,Indonesia,5,14,6,40,40,462,9,14606,5748,4623,293,34,63,20,3,1,0,827,225,
Antigua and Barbuda,Israel,44,1,8,0,46,0,0,0,0,0,0,0,0,0,2,2,0,1,0,
Antigua and Barbuda,Côte d'Ivoire,0,0,0,0,0,0,1,0,30,17,0,1,2631,0,8,2225,15,117,3,
Antigua and Barbuda,Jamaica,12,54,143,545,548,66,27,56,28,492,34,63,2131,71,193,75,156,148,309,
Antigua and Barbuda,Kazakhstan,0,0,0,0,0,0,0,6,37,0,15,7,0,0,0,4,0,0,3,
Antigua and Barbuda,Kenya,0,133,28,0,23,83,3,7,909,80,81,36,443,0,0,2,3,3,10,
Antigua and Barbuda,Lebanon,22,0,6,1,34,0,4,0,17,9,0,1,5,51,1,0,0,140,0,
Antigua and Barbuda,Malawi,18,0,2,0,60,0,1153,1159,1298,242,0,0,0,132,4093,0,0,0,0,
Antigua and Barbuda,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,
Antigua and Barbuda,Mauritius,0,0,15,3917,1,0,1,66,197,156,466,19,180,76,10,155,0,0,66,
Antigua and Barbuda,Mexico,501,242,450,669,358,103,138,518,143,265,164,281,212,327,1862,2524,446,127,290,
Antigua and Barbuda,"Moldova, Republic of",1,0,18,0,1,16,6,32,173,130,138,1,1,40,21,39,99,105,49,
Antigua and Barbuda,Morocco,1,0,17,106,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,Mozambique,5,4,0,212,92,41,11,105,2,1017,31,1,137,8,1,0,0,0,17,
Antigua and Barbuda,Namibia,0,0,0,0,0,0,0,0,19,0,3726,0,0,0,0,0,0,25,0,
Antigua and Barbuda,Nicaragua,0,0,0,8,52,0,0,1,11,0,0,1,0,28,3,3,4,0,0,
Antigua and Barbuda,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
Antigua and Barbuda,Pakistan,0,14,0,25,85,2,0,10,11,0,0,0,21,67,61,31,11,29,0,
Antigua and Barbuda,Panama,0,0,162,49,64,284,66,131,0,0,0,0,0,3,0,0,0,0,0,
Antigua and Barbuda,Philippines,0,2,0,3,0,1,0,2,0,929,0,25,2412,2702,0,0,90,2,2,
Antigua and Barbuda,Rwanda,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,Saint Vincent and the Grenadines,105,62,313,116,148,306,3530,11411,9211,91,232,1406,1064,122,202,258,504,242,232,
Antigua and Barbuda,Sao Tome and Principe,0,0,0,0,0,0,0,0,1,3,0,0,0,7,23,2,0,1,14,
Antigua and Barbuda,Saudi Arabia,154,0,175,0,0,0,0,0,0,0,27,0,403,165,16243,0,0,0,0,
Antigua and Barbuda,Senegal,0,0,0,0,7,0,2,612,6607,6874,19832,12009,7752,3127,196,5550,2665,3513,667,
Antigua and Barbuda,India,0,99,113,68,2,84,15828,148,223,12,395,132,3,24,100,233,105,191,309,
Antigua and Barbuda,Zimbabwe,51,0,0,0,0,15,10,0,0,1,8,0,0,0,0,1,0,0,0,
Antigua and Barbuda,Trinidad and Tobago,33,166,286,706,123,184,74,506,644,394,437,348,373,150,184,219,56,135,1096,
Antigua and Barbuda,Tunisia,12,36,16,20,86,40,20,137,6,3,25,275,2679,0,4,6,1,40,0,
Antigua and Barbuda,Uganda,0,0,0,0,2,0,0,1,2,1,37,9,2,0,0,1,0,0,2,
Antigua and Barbuda,"Macedonia, North",10,13,41,10,0,0,0,5,1,17,8,1,0,0,0,1,36,0,0,
Antigua and Barbuda,Egypt,142,0,0,0,0,4,6,0,8,5,0,0,4,4,0,98,0,0,0,
Antigua and Barbuda,"Tanzania, United Republic of",1703,1,0,656,1,6,0,5,2,0,12,2,1318,9,0,1,0,6,2,
Antigua and Barbuda,Burkina Faso,0,0,34,99,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,
Antigua and Barbuda,Uruguay,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,1,0,
Antigua and Barbuda,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,
Antigua and Barbuda,Zambia,20,0,0,51,0,0,0,4,0,5,25,0,9,3,17,2,17,13,75,
Antigua and Barbuda,Belarus,0,0,0,4,0,0,0,0,0,1,0,0,0,10,3,0,0,13,,
Antigua and Barbuda,Cameroon,2,0,0,39,0,16885,30311,31993,26842,30054,29819,20692,17742,59178,1,5,0,0,,
Antigua and Barbuda,Gabon,0,0,61,0,0,35,14,0,0,469,16,82,1,4,531,6,3,81,,
