reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Argentina,Brazil,6528715,5012686,4949242
Argentina,Chile,3074058,3705816,4533425
Argentina,United States of America,3013446,3434104,3435500
Argentina,China,1281027,1239464,2729076
Argentina,Spain,1203474,1374675,1644885
Argentina,Germany,751475,878976,1082124
Argentina,Italy,904182,1013301,1109857
Argentina,Mexico,441221,687059,866907
Argentina,Netherlands,566012,764152,866141
Argentina,Uruguay,705788,540624,571684
Argentina,Paraguay,523103,341845,436555
Argentina,Syrian Arab Republic,394698,438653,524138
Argentina,Algeria,183863,161343,237832
Argentina,United Kingdom,385422,433051,506875
Argentina,Peru,455022,593685,525502
Argentina,South Africa,222578,229224,289503
Argentina,France,441608,454203,545748
Argentina,India,446571,333166,560107
Argentina,Japan,399632,443164,437228
Argentina,"Korea, Republic of",373871,376419,435670
Argentina,Denmark,256876,290124,302692
Argentina,Malaysia,301124,225095,182533
Argentina,Thailand,383810,347634,499071
Argentina,Belgium,318185,322080,336966
Argentina,Russian Federation,101025,192494,229361
Argentina,Indonesia,30081,82470,72077
Argentina,Colombia,202282,211116,257105
Argentina,Egypt,257317,303848,335501
Argentina,Philippines,97795,172259,231885
Argentina,Poland,68867,87684,190832
Argentina,"Venezuela, Bolivarian Republic of",226782,151414,141810
Argentina,"Bolivia, Plurinational State of",307947,308501,284516
Argentina,Ecuador,95435,169860,164000
Argentina,Türkiye,70049,111651,265045
Argentina,Morocco,146355,124593,211479
Argentina,Canada,226145,205721,267532
Argentina,"Hong Kong, China",174152,174865,180090
Argentina,Portugal,175667,162331,203980
Argentina,Saudi Arabia,60655,81803,175742
Argentina,Viet Nam,58678,89994,165368
Argentina,Greece,71186,81681,111771
Argentina,Tunisia,97150,132553,112558
Argentina,Bangladesh,204127,185145,282031
Argentina,Israel,58138,47419,75228
Argentina,Australia,89218,103935,135437
Argentina,"Taipei, Chinese",36329,118501,149912
Argentina,Cuba,77992,40065,44074
Argentina,Austria,22724,51144,92289
Argentina,Finland,55843,53620,81187
Argentina,Dominican Republic,34697,70193,78802
Argentina,Jordan,102921,98145,126341
Argentina,El Salvador,11689,13631,27217
Argentina,Sweden,32791,56401,94613
Argentina,Angola,,,
Argentina,Costa Rica,28948,31029,37772
Argentina,Sri Lanka,384,11193,1025
Argentina,Yemen,,,
Argentina,Lebanon,24963,38345,32699
Argentina,Ireland,30831,42873,50017
Argentina,Guatemala,49172,28155,30240
Argentina,Pakistan,,,43817
Argentina,Madagascar,5406,6780,21680
Argentina,Norway,36617,51536,33780
Argentina,Honduras,8476,10071,13713
Argentina,Kuwait,27380,19307,24675
Argentina,Switzerland,38080,37590,43853
Argentina,Zimbabwe,9761,6319,1294
Argentina,Serbia and Montenegro,13866,24412,
Argentina,Croatia,9958,14025,14776
Argentina,Panama,11701,11116,19780
Argentina,Czech Republic,34957,61282,35700
Argentina,Oman,13483,20709,111
Argentina,Mauritius,24607,30039,26255
Argentina,Cyprus,19538,30070,28665
Argentina,Trinidad and Tobago,5527,5994,19717
Argentina,"Tanzania, United Republic of",3028,4084,2763
Argentina,Senegal,10447,22920,26140
Argentina,Mozambique,10021,6200,8650
Argentina,Romania,10921,16588,15547
Argentina,Nicaragua,5102,6165,8236
Argentina,Bulgaria,9889,21759,22634
Argentina,Singapore,25038,20174,13555
Argentina,Uganda,862,230,2191
Argentina,Ukraine,6401,8135,14098
Argentina,Bosnia and Herzegovina,,,4172
Argentina,Hungary,21133,29571,27467
Argentina,New Zealand,7171,11198,11716
Argentina,Slovenia,8706,9833,12903
Argentina,Lithuania,9354,10475,19078
Argentina,Malawi,7462,3093,6879
Argentina,"Iran, Islamic Republic of",339694,206441,937
Argentina,"Macedonia, North",7500,4830,5592
Argentina,Qatar,10290,9764,13106
Argentina,Ghana,3900,,10328
Argentina,Côte d'Ivoire,6982,7440,5226
Argentina,Estonia,1717,4494,6454
Argentina,Malta,5805,4006,7653
Argentina,Slovakia,4508,8135,8445
Argentina,Gabon,3127,0,2423
Argentina,Jamaica,6146,4539,6987
Argentina,Belarus,6540,2139,3981
Argentina,Niger,1272,974,2886
Argentina,Albania,1923,1326,814
Argentina,Kazakhstan,3800,5998,819
Argentina,Bahrain,31504,2917,9692
Argentina,Cameroon,1039,1761,1869
Argentina,French Polynesia,439,647,2056
Argentina,Mali,297,3494,988
Argentina,Faroe Islands,448,1578,2678
Argentina,Mongolia,0,,825
Argentina,Latvia,979,1135,2355
Argentina,Namibia,11818,1468,433
Argentina,Suriname,223,,
Argentina,Saint Lucia,65,394,1265
Argentina,Barbados,840,979,1481
Argentina,Belize,1133,1990,2898
Argentina,Guyana,113,569,903
Argentina,New Caledonia,61,72,389
Argentina,Iceland,224,292,640
Argentina,Luxembourg,278,1665,1027
Argentina,"Moldova, Republic of",173,181,663
Argentina,Mayotte,45,611,536
Argentina,Cabo Verde,8,299,158
Argentina,Guinea,62,493,
Argentina,Grenada,165,296,390
Argentina,Mauritania,146,40,0
Argentina,"Macao, China",239,552,1038
Argentina,Armenia,41,888,159
Argentina,Cambodia,356,380,31
Argentina,Brunei Darussalam,906,521,617
Argentina,Saint Vincent and the Grenadines,106,200,291
Argentina,Bahamas,53,2576,273
Argentina,Azerbaijan,401,687,443
Argentina,Zambia,7844,2607,403
Argentina,Dominica,8,166,295
Argentina,Rwanda,99,3,0
Argentina,Eswatini,62,0,0
Argentina,Burkina Faso,15,271,9
Argentina,Georgia,10,0,132
Argentina,Ethiopia,104,7544,125
Argentina,Togo,511,12,1014
Argentina,Andorra,11,59,228
Argentina,Gambia,0,0,2
Argentina,Fiji,,1405,1826
Argentina,Sudan (before 2012),8786,10095,2355
Argentina,Seychelles,3,2,307
Argentina,Maldives,0,0,8
Argentina,Saint Kitts and Nevis,82,82,121
Argentina,Montserrat,15,34,52
Argentina,Benin,71,1823,166
Argentina,Comoros,0,97,293
Argentina,Kyrgyzstan,76,108,25
Argentina,Botswana,0,8,50
Argentina,Burundi,0,16,16
Argentina,Papua New Guinea,10,4,0
Argentina,Samoa,0,0,0
Argentina,"Micronesia, Federated States of",,0,0
Argentina,Greenland,0,0,66
Argentina,Kenya,46984,24573,5407
Argentina,Nepal,,,11873
Argentina,Sierra Leone,,69,
Argentina,Central African Republic,0,40,46
Argentina,Lesotho,69,923,0
Argentina,Nigeria,22570,31378,30467
Argentina,Anguilla,12,3,17
