reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Aruba,United States of America,1862156,3026062,2922333,3069938,3259698,1309214,20570,3325158,839106,42508,61621,55511,16584,35963,31666,20158,34612,28991,15061,15997
Aruba,Netherlands,17309,62216,12880,4565,24676,38168,2539,12794,4450,7799,5728,6145,14935,11188,110596,5341,3387,10561,6742,5573
Aruba,"Taipei, Chinese",13,374,1229,849,1301,777,1597,3167,3708,3603,2510,909,683,1305,752,627,660,2114,3864,2879
Aruba,"Hong Kong, China",620,34,44,68,53,136,1513,77,97,151,210,149,1210,1489,387,298,446,1309,611,1510
Aruba,Denmark,101,94,23975,129,27,9125,216,38,3,102,92,25,472,11,91,10,58,50,50,925
Aruba,United Kingdom,27041,54586,2162,68614,219169,38935,183,5704,43529,46,116,113,118,75,77,87,27,64,126,605
Aruba,Italy,21170,14,26075,10967,16314,5200,2120,28,18,42,11416,10,74,10,285,184,83,225,88,283
Aruba,Switzerland,19000,35200,19255,19508,26020,473,380,539,444,31023,1548,398,52,360,327,806,261,738,134,215
Aruba,Thailand,134,1,16,0,1,151,119,7,55,273,780,109,4,893,1218,1817,828,308,30,202
Aruba,Spain,40988,145128,66265,17658,52859,145,26,17072,47,42,221,364,130,65,66,50,131,148,107,196
Aruba,Belgium,14152,40281,13,6697,101660,37516,102,1116,358,707,568,43,339,29,32,294,66,232,60,131
Aruba,"Korea, Republic of",49,2,211,531,34429,175,16742,51969,440,165,111124,56200,5,14881,2926,1,83864,93314,15,121
Aruba,Canada,34479,45968,134079,115256,143301,80313,135,5588,9,4375,13548,42461,18653,22557,134,803,103,28,31,89
Aruba,Belize,0,0,42,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Aruba,Ireland,0,0,1,3,0,1,0,21,0,25,139,45,413,1,0,1,6,45,149,64
Aruba,Slovenia,18,63,104,181,175,112,176,175,141,112,132,108,96,96,159,68,20,114,100,52
Aruba,Portugal,3,5,3,0,119,0,0,0,0,0,26276,1,1,1,111,1,9,8,200,41
Aruba,New Zealand,0,1,4,2,32,1,10,0,27,16,8,13,67,69,2,1,1,20,49,40
Aruba,Germany,5536,760,81,2100,1001,11762,171,307,318,181,288,969,155,56,110,157,193,71,157,39
Aruba,France,114299,124033,145453,177198,305733,96101,19,50176,8084,19255,6948,7796,147,69,79,85,27,2212,34,35
Aruba,Costa Rica,62241,139937,280838,274779,491138,22708,18,6529,252,4841,62,44,2,1,11,1,6,74,1,30
Aruba,Türkiye,57,0,1,10633,36076,16542,1,14443,5108,5,7,0,7,0,1,0,0,0,0,24
Aruba,Austria,3,8115,0,24,191,522,1,62,0,3,7,3,70,109,9,176,8,78,1210,20
Aruba,Brazil,104245,119059,172575,277839,344348,185178,513,191931,82254,1,46,2,0,0,56,0,0,58,3,15
Aruba,Peru,676,706,59107,86261,43313,20463,0,77007,0,28378,2,2584,0,0,3,26,0,0,8,13
Aruba,Finland,0,6,14,7,33,6,1,9471,18268,0,0,0,4,8,1,0,1,30,3,10
Aruba,China,60,137,0,114,225,146,142,35,13243,157,184284,6,377,5,34,48,89,6,208,8
Aruba,Colombia,2027,17223,71598,106866,184100,14490,35303,182479,98002,87307,1619,21228,17789,3033,21,190,23,82,16,7
Aruba,South Africa,2,2,0,17,4923,4,7,38620,0,19,62,0,43,19,38,33,0,30,5,7
Aruba,Norway,0,1,0,0,0,0,0,0,0,0,4,0,11,0,20,25,10,0,0,4
Aruba,Singapore,0,0,0,0,0,0,0,99540,176080,47317,97775,2048,47,43186,95,52,69,39,34,4
Aruba,Chile,0,19,527,316,0,0,0,870,0,3,0,12550,8043,2,1,1,18,1,30,2
Aruba,Greece,0,0,8433,5573,11991,26467,189,4375,5033,0,0,1,0,2,3,3,1,1,1,2
Aruba,Hungary,0,0,0,1795,1,0,0,0,0,0,0,1,0,1,0,0,17,6,19,2
Aruba,Sweden,17,17465,1710,6938,2624,1,8,16,1,2,2,4,376,350,4,49,19,10,59,2
Aruba,Bosnia and Herzegovina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
Aruba,Bulgaria,0,0,68,53,25,7,0,796,65,0,4,1,1,2,0,0,0,98,7,1
Aruba,Czech Republic,1,0,0,20,0,67,0,8,7,12,5,5,3,4,1,6,3,6,8,1
Aruba,Ecuador,64,0,48830,42093,25560,80643,72905,24599,133533,131394,16,32537,134,0,2,51,0,0,3,1
Aruba,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
