reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Aruba,United States of America,384245,558787,511189,518347,680077,446132,540432,713210,710159,1099961,1357737,1167593,801043,975071,614232,560166,308565,542879,639682,637765
Aruba,Netherlands,137752,88512,94185,111218,89925,83070,84773,98589,104789,109001,114088,105792,107950,125949,134157,178795,124370,154883,163484,175797
Aruba,China,3747,5636,0,10431,10983,11704,11616,17689,16244,21325,53572,51743,25493,24381,32589,38994,35784,70361,64023,67310
Aruba,Brazil,178714,356102,231866,74459,45298,84252,42097,84582,15213,16741,282277,30301,64711,49825,23206,23659,28909,26609,39212,40759
Aruba,Colombia,42926,136176,228903,14705,23666,18609,97234,1724064,1027488,1716467,1170603,869209,350202,250004,181566,45874,40920,20980,121442,39126
Aruba,Costa Rica,1394,1313,1526,1973,3905,3121,3935,6157,13256,18140,21577,21175,19426,20412,19842,21606,23049,21582,16391,22093
Aruba,"Korea, Republic of",11491,14993,12932,13351,12595,7086,10974,19985,21310,21413,179230,19695,17950,16572,14807,10396,3070,11612,24954,21005
Aruba,Spain,3492,5734,6704,18165,5982,4996,4595,7459,6606,5915,15043,18162,11395,13580,16291,13873,9080,20286,15623,19196
Aruba,Italy,13279,13082,13941,16135,29120,36320,8960,34871,26795,10816,11481,8573,7526,6130,8103,28263,16271,150019,66299,14917
Aruba,Switzerland,12087,10192,6483,88844,13400,6987,11734,12360,16337,13812,37080,13909,10324,12241,11668,10987,4461,14179,17260,11422
Aruba,France,6849,13427,57544,31915,9961,16805,50514,12649,16339,42287,21491,9741,9995,9418,9026,9098,5793,8446,11686,11268
Aruba,United Kingdom,20187,41635,57294,48694,42480,58256,46610,60335,112996,64990,65572,30481,24232,36146,21527,15269,8515,7223,7592,9427
Aruba,Denmark,1101,25285,1334,1985,1445,52202,1066,1004,24524,734,970,1270,1214,1609,1267,835,928,507,885,8905
Aruba,Thailand,1763,3197,4774,3085,2269,1980,3067,2347,3602,3891,4828,4379,5697,5253,5041,2304,1393,1093,3013,8348
Aruba,Germany,4674,7332,54068,52087,11751,8377,5230,12704,9742,14314,9819,10628,11317,10705,8305,10083,7315,9460,37871,6899
Aruba,"Hong Kong, China",2494,2145,2480,2958,3939,1785,2302,4986,5205,5980,7050,6026,3663,3360,2407,3788,2162,1636,4578,5994
Aruba,Canada,6047,10350,8792,11505,6795,5575,26841,6952,11347,15231,9518,7523,11144,7796,9838,6178,3137,2885,5443,5847
Aruba,Belgium,1985,2644,1471,2006,3133,2867,2158,2273,2455,3862,3384,2424,2900,2563,2828,3256,7337,8014,4587,5443
Aruba,Peru,1645,1832,1932,1856,2296,2838,2268,4375,3502,2628,59360,21875,6425,3152,3509,3867,3059,2907,3721,4561
Aruba,Paraguay,2731,215,1692,2017,4342,3902,10952,24776,44002,27801,8458,6241,7938,8737,3402,10233,10960,9781,9399,4469
Aruba,Türkiye,55,866,104,219,3461,250,412,620,978,300,714,640,904,1031,1356,1574,1392,1346,2268,2719
Aruba,Portugal,54,65,99,86,134,135,226,203,133,242,1569,1470,1837,1207,704,1137,1650,1435,1786,2577
Aruba,Argentina,3936,0,7169,4399,3250,3788,3577,3880,3629,2900,1404,1374,1627,5619,2928,4954,1489,1414,1501,2446
Aruba,Austria,637,1219,477,1045,1416,539,494,846,881,754,533,640,543,609,834,823,371,656,750,1792
Aruba,Guatemala,1469,529,101,17658,612,316,344,329,391,422,37425,555,841,846,882,888,794,1109,1157,1536
Aruba,Chile,25,1110,1368,1286,2012,1929,2237,2215,1768,2292,2100,2519,2080,2066,1844,1778,1088,1111,1734,1193
Aruba,Ecuador,129,12562,150,150,189,219,518,404,317,300,235,181,9290,370,281,428,409,10426,44278,1186
Aruba,Poland,252,871,486,1134,302,4795,1261,691,375,231,513,384,779,1146,650,2023,514,816,1180,1062
Aruba,New Zealand,115,207,261,505,1220,572,1058,1585,879,757,1084,695,629,822,938,793,789,883,779,876
Aruba,Singapore,0,0,0,0,0,0,0,170,146,132,249,440,198,253,513,97,146,45,339,731
Aruba,South Africa,134,2926,26,48,261,196,163,108,223,391,445,184,378,434,761,635,1378,1036,870,707
Aruba,Ireland,10261,1951,177,223,521,7,38,233,71,4,82,32,163,365,329,412,116,747,1513,700
Aruba,"Taipei, Chinese",295,328,1040,666,474,673,563,666,697,828,802,357,598,694,780,495,276,12289,1105,587
Aruba,Sweden,536,256,411,600,504,2236,1768,1848,1271,1394,896,1425,959,1987,2316,33975,197,728,1573,526
Aruba,Norway,43,139,73,161,133,125,56,23,38,268,168,51,383,250,869,348,240,3661,6093,507
Aruba,Finland,162,1124,11854,1199,8586,1456,6662,20349,447,451,251,18,78,249,373,28299,6789,1103,208,440
Aruba,Greece,122,27,6,15,50,17,4,8,0,164,176,93,85,89,135,156,74,223,182,405
Aruba,Lithuania,0,13,0,8,0,0,0,0,0,0,15,0,2,3,161,143,63,285,127,388
Aruba,Estonia,244,3,5,4,5,4,3,4,7,285,103,169,155,15,49,69,84,131,327,297
Aruba,Bulgaria,0,0,26,0,0,9,0,40,12,178,23,472,188,932,228,252,1252,16,48,243
Aruba,Hungary,0,1,50,133,152,123,26,35,31,133,102,425,696,512,870,548,371,283,237,197
Aruba,Malaysia,369,154,774,415,518,312,500,460,1094,529,749,420,1152,342,414,116,40,58,150,179
Aruba,El Salvador,561,109,71,83,246,305,140,125,95,151,233,265,674,181,228,353,211,185,115,159
Aruba,Slovakia,36,31,66,41,72,61,415,233,498,399,69,8,9,28,13,129,246,62,273,156
Aruba,Cyprus,87,131,75,0,0,0,25,36,0,27,112,70,80,95,128,407,83,84,147,128
Aruba,Slovenia,1,4,0,0,0,0,0,344,115,25,10,5,75,20,219,250,21,10,28,77
Aruba,Czech Republic,32,45,287,1178,84,57,3,125,270,149,189,242,93,93,62,156,78,194,183,38
Aruba,Croatia,0,0,1,2,0,91,0,0,11,11,0,11,0,0,12,4,0,62,87,32
Aruba,Romania,25,48,33,0,7,2,0,6,12,6,18,2,2,0,0,1,1,85,9,32
Aruba,Latvia,0,0,13,38,83,3,0,0,1,0,39,0,0,1,71,5,0,0,0,21
Aruba,Luxembourg,663,50,4,8,0,55,26,39,15,1,0,49,0,0,12,2,1,9,22,3
Aruba,Serbia,,,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Aruba,Ukraine,0,0,20,11,55,209,1203,1556,2347,1855,989,377,452,257,6,3,1,4,0,0
Aruba,"Bolivia, Plurinational State of",51,11,15216,0,3,0,2,2,1,0,0,0,0,0,0,0,0,0,48,0
Aruba,Bosnia and Herzegovina,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,Belize,0,1,0,0,0,3,0,0,0,0,9,8,0,2,0,325,0,0,0,0
Aruba,Iceland,0,0,0,0,0,0,12,10,41,14,71,20,7,0,19,0,2,0,0,0
Aruba,Malta,0,3,13,0,0,0,0,0,0,0,0,18,2,1,0,0,0,0,0,0
Aruba,Curaçao,,,,,,,,,,,,,,10451,14828,10317,10069,,,
Aruba,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,0,0,0,0,0,0,
Aruba,Haiti,,,,,,,,,,8,33,2,10,6,,,,,,
Aruba,Sudan,,,,,,,,,7665,2010,433,187,8054,7650,12991,,,,,
Aruba,Myanmar,,,,,,,0,0,0,0,0,0,149,713,0,0,0,0,0,
Aruba,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,0,0,382,160,,
Aruba,Vanuatu,,,0,0,,0,14,0,,,,,,,,,,,,
Aruba,Montenegro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,
Aruba,Nigeria,,,0,0,0,27,0,0,0,0,0,44710,17593,0,0,0,0,0,0,
Aruba,Antigua and Barbuda,,1,,12,,18,21,2,0,0,44,0,0,18,0,4,0,0,9,
Aruba,United Arab Emirates,,57,,165,230,,,,740,231,234,491,528,6816,2946,10495,14086,8719,14312,
Aruba,Netherlands Antilles,,15747,13703,20315,14908,,,,,,,,,,,,,,,
Aruba,Andorra,0,,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,
Aruba,Kuwait,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aruba,Suriname,235,128,,699,,370,235,307,558,478,828,256,628,2301,756,1114,621,1184,988,
Aruba,Cuba,483,102,2,,,,,,,,,,34,77,0,58,83,32,0,
Aruba,Mongolia,0,1,0,0,,,0,0,0,0,0,0,107,0,0,0,0,0,0,
Aruba,Saint Lucia,0,1,3,0,2,,,,9,20,27,21,8,175,45,142,1,,,
Aruba,Mali,0,0,0,0,0,,0,0,0,,,,0,0,0,0,0,1,0,
Aruba,Grenada,0,0,6,2,0,,0,0,171,0,0,0,0,0,5,0,0,0,0,
Aruba,Montserrat,0,0,0,0,0,0,,,0,0,53,13,0,79,46,0,0,,0,
Aruba,Dominica,47,0,0,0,0,0,41,39,38,70,,,0,24,0,0,0,0,0,
Aruba,Bangladesh,0,0,28,0,0,0,0,0,0,0,,95,,,,,,,,
