reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Australia,Japan,14459594,14018217,15079353
Australia,China,5425925,5850572,7300072
Australia,United States of America,6470385,6816507,6713951
Australia,"Korea, Republic of",5534106,5973306,5915604
Australia,New Zealand,2914550,3418459,4189764
Australia,United Kingdom,3648437,3840349,5728460
Australia,India,1243357,1346295,2036946
Australia,"Taipei, Chinese",3082710,2843870,2731824
Australia,Singapore,2404806,2159454,2184824
Australia,Indonesia,1814128,1587248,1648417
Australia,Thailand,1355249,1502561,1584085
Australia,Malaysia,1564122,1429636,1263997
Australia,"Hong Kong, China",1826738,1668862,1615222
Australia,Germany,1043684,1119505,1174679
Australia,Saudi Arabia,1248304,1112091,1164676
Australia,Canada,1049379,1097421,1168722
Australia,Italy,1363690,1236148,1237058
Australia,France,729575,788493,990472
Australia,South Africa,707798,741374,794858
Australia,Papua New Guinea,786112,701042,729689
Australia,Belgium,501977,587998,567293
Australia,Philippines,706829,616012,526243
Australia,Spain,444766,460389,534545
Australia,Netherlands,670492,477965,474270
Australia,Brazil,312247,244008,332234
Australia,Finland,236970,226353,320057
Australia,Viet Nam,266446,286299,278061
Australia,Fiji,,312624,404856
Australia,Mexico,347767,350977,429183
Australia,Australia,236812,296182,322520
Australia,Egypt,524174,481594,208240
Australia,Kuwait,271975,340082,364470
Australia,Pakistan,,,217906
Australia,Sweden,140866,217000,202699
Australia,Türkiye,210841,285654,228663
Australia,Bangladesh,236576,206737,155004
Australia,Ireland,85610,122887,140459
Australia,Chile,84485,143042,132976
Australia,Oman,141572,108431,2496
Australia,Bahrain,284306,268996,286575
Australia,Sri Lanka,161193,167659,99443
Australia,Russian Federation,142228,99154,92077
Australia,New Caledonia,151198,129684,145358
Australia,"Iran, Islamic Republic of",452083,313579,238372
Australia,Denmark,52100,70354,106402
Australia,French Polynesia,116564,109188,178244
Australia,Switzerland,143975,138899,166543
Australia,Sudan (before 2012),74495,89921,98845
Australia,Mauritius,81709,86567,77234
Australia,Norway,104465,76642,66791
Australia,"Tanzania, United Republic of",141049,73283,55420
Australia,Jordan,74675,59313,62899
Australia,Poland,35301,23858,35937
Australia,Israel,144920,118035,127473
Australia,Bulgaria,6826,26460,71216
Australia,Argentina,58609,49342,62937
Australia,Austria,44127,40345,53030
Australia,Czech Republic,66351,58865,58931
Australia,Qatar,73594,59436,80742
Australia,Yemen,,,
Australia,Ghana,39080,,39471
Australia,Ukraine,45715,49529,51878
Australia,Algeria,41200,64265,31764
Australia,Syrian Arab Republic,56727,59383,62257
Australia,"Macao, China",28468,31480,38826
Australia,Samoa,34659,27073,33332
Australia,Romania,85820,25476,42126
Australia,Peru,42718,25174,28186
Australia,Greece,36134,32873,27318
Australia,Solomon Islands,27082,33131,32417
Australia,Lebanon,34109,25788,23200
Australia,Brunei Darussalam,38787,39015,36966
Australia,Uganda,20547,26445,31979
Australia,Portugal,31748,56056,48584
Australia,Hungary,28472,20627,35088
Australia,Colombia,20009,21330,47997
Australia,Morocco,26927,50341,8444
Australia,Jamaica,18934,17534,17428
Australia,Zambia,1962,3557,5512
Australia,Kazakhstan,14209,5755,18717
Australia,Timor-Leste,,,
Australia,Trinidad and Tobago,26508,17266,27933
Australia,Ecuador,9432,8823,11787
Australia,Maldives,8619,11178,15304
Australia,Slovenia,12024,9059,16404
Australia,Iceland,64108,66498,33722
Australia,Mongolia,1372,,19635
Australia,Croatia,13002,13687,18920
Australia,Slovakia,14708,13591,18007
Australia,Guinea,11811,17986,
Australia,Ethiopia,6925,2818,6624
Australia,Azerbaijan,1176,2552,5712
Australia,Cambodia,5540,5689,9936
Australia,Cyprus,9780,8387,8691
Australia,Uruguay,8606,11367,7292
Australia,"Venezuela, Bolivarian Republic of",7874,7853,5445
Australia,Mali,5686,9785,8455
Australia,El Salvador,6229,5786,6695
Australia,Guatemala,4758,8147,6337
Australia,"Micronesia, Federated States of",,1610,6808
Australia,Mauritania,113,23,168
Australia,Madagascar,5381,2143,4155
Australia,Zimbabwe,6758,5226,2710
Australia,Tunisia,5190,9660,5371
Australia,Honduras,4743,12441,7848
Australia,Bosnia and Herzegovina,,,1095
Australia,Malta,8692,8256,9104
Australia,Angola,,,
Australia,Seychelles,3742,5988,6060
Australia,Botswana,2733,7730,4579
Australia,Serbia and Montenegro,1991,2728,
Australia,Luxembourg,2812,824,4074
Australia,Barbados,3583,2745,4877
Australia,Costa Rica,3922,1476,2252
Australia,Lithuania,5215,4806,5403
Australia,Latvia,4743,3845,1808
Australia,Côte d'Ivoire,2765,1318,1275
Australia,Estonia,1260,1496,2093
Australia,"Macedonia, North",3721,5861,6722
Australia,Mozambique,8530,9117,5832
Australia,Armenia,2853,1543,1496
Australia,Saint Lucia,1090,1668,2786
Australia,Cuba,4993,19290,8916
Australia,Namibia,680,1884,1276
Australia,Cameroon,2233,2015,2035
Australia,Grenada,948,507,1972
Australia,Niger,204,96,513
Australia,Dominican Republic,2375,5292,4339
Australia,Belarus,2384,776,1223
Australia,Saint Vincent and the Grenadines,1744,1097,2292
Australia,Georgia,428,553,434
Australia,Panama,1625,1652,2615
Australia,Malawi,1043,2077,2452
Australia,Guyana,1375,600,1761
Australia,Suriname,154,,
Australia,Paraguay,367,711,300
Australia,Burkina Faso,813,406,413
Australia,Senegal,1763,1340,430
Australia,Togo,9,27,336
Australia,Nicaragua,5225,830,905
Australia,Albania,335,759,499
Australia,"Bolivia, Plurinational State of",890,287,306
Australia,Gabon,1265,0,438
Australia,Mayotte,338,244,372
Australia,Bahamas,207,246,218
Australia,Andorra,106,72,150
Australia,"Moldova, Republic of",53,26,24
Australia,Kyrgyzstan,234,350,123
Australia,Faroe Islands,116,171,204
Australia,Benin,135,189,10
Australia,Rwanda,446,504,191
Australia,Eswatini,4037,0,2562
Australia,Cabo Verde,41,0,2
Australia,Belize,29,1167,187
Australia,Dominica,50,112,40
Australia,Burundi,172,25,0
Australia,Saint Kitts and Nevis,38,108,93
Australia,Gambia,12,1,105
Australia,Montserrat,1,2,1
Australia,Sao Tome and Principe,0,16,0
Australia,Guinea-Bissau,,,488
Australia,Comoros,3,0,0
Australia,Greenland,0,3,203
Australia,Kenya,44556,24425,18267
Australia,Nepal,,,15479
Australia,Eritrea,,,1370
Australia,Sierra Leone,,71,
Australia,Tuvalu,,3843,
Australia,Central African Republic,14,55,54
Australia,Lesotho,7,664,4
Australia,Nigeria,15247,29465,22728
Australia,Tonga,15370,17013,19263
Australia,Anguilla,140,255,116
