reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Azerbaijan,Italy,702104,1215836,2889866,3661135,6220090,4529857,7074973,11466011,9197081,9151123,7288361,4804166,3231701,5232883,6564974,5496126,3677616,10899378,21300435,12847704
Azerbaijan,Türkiye,135537,208325,296581,185500,362835,140599,252525,262263,339936,612678,482576,232376,278131,350870,378734,411022,410710,751290,836288,1441039
Azerbaijan,Greece,28428,34951,71119,52105,93211,98380,13184,162532,634841,924288,527985,245618,2659,139152,260179,342101,447522,658410,2498762,1405219
Azerbaijan,Czech Republic,285659,583665,972920,1025396,1568827,688535,1194049,1725700,1629355,1372843,1878400,1047980,478759,1024511,1221958,1123626,563545,612595,1417412,1333392
Azerbaijan,Spain,13542,1483,5557,436419,998796,493395,405190,140741,69675,145781,962898,470963,557055,416619,667411,726226,588899,698290,1501869,967235
Azerbaijan,Germany,214346,400892,785261,1508960,2738576,1653390,1713862,2050508,2021681,3255950,3176878,2421374,1783934,1124667,1699428,1514434,833582,823469,1805564,855301
Azerbaijan,Croatia,49,0,6,73,39,281617,437900,790055,422160,214495,341831,391593,242272,250591,405646,445289,495382,756630,1240219,758488
Azerbaijan,Portugal,3702,1,44514,84977,78366,34290,333514,403914,640246,568882,599295,463353,503522,778226,943854,688004,249364,629714,860147,437760
Azerbaijan,Ireland,81,16,49,105,89,9,97,268,4,349,63,31078,70864,18,345,28,23,13,442012,408141
Azerbaijan,Romania,162520,115207,95939,121815,142891,58688,100202,61701,89632,51152,72382,103846,116292,353257,424827,205899,131584,47082,5812,358704
Azerbaijan,Bulgaria,303,819,2683,7579,15158,19179,3058,255,317,295,482,94,399,172,581,6174,728,74498,406137,341640
Azerbaijan,Austria,43784,132879,90240,18414,622,52014,104953,82155,201961,605268,492813,369653,178714,409209,434211,491120,126615,61140,46228,334353
Azerbaijan,United Kingdom,5793,11592,305692,460369,434559,622509,120452,158974,893509,266363,123066,62258,140736,82538,251659,134475,94963,330563,408003,307633
Azerbaijan,Ukraine,8905,27789,41006,31097,75692,282795,951192,643304,79737,77775,43719,30288,39737,417316,464669,379222,318511,687354,483345,275129
Azerbaijan,France,110619,495845,1124431,2260092,2473759,1760380,1644574,4388166,2265500,2242406,1808839,1253445,981895,719262,592115,726331,119939,94761,401083,247636
Azerbaijan,Switzerland,5927,9800,34683,30505,124284,485278,924631,503691,238550,266807,441633,220260,93562,151487,159490,183367,211147,213313,354188,188332
Azerbaijan,China,40209,24401,22019,1442,114864,128317,86547,193720,214162,233583,297063,226373,412075,577445,382090,869232,698780,205027,245870,171073
Azerbaijan,Singapore,0,0,0,0,0,0,0,147640,40408,107,610,240,472,1275,2719,368,48696,288,771,107883
Azerbaijan,Australia,7,15,10,31,85,120841,137108,86796,86878,273315,78903,74,208,288,56679,95,126955,28003,231679,102712
Azerbaijan,Serbia,,,1133,2696,8692,1053,519,114,786,13,431,5589,2320,414,207,357,2335,2639,4858,74174
Azerbaijan,Poland,7078,11062,6487,4449,167174,10295,10365,4324,4333,20055,31384,14208,41585,12933,13864,5279,6457,7993,24516,71862
Azerbaijan,United States of America,46185,49773,741408,1942465,4488681,2027580,2041234,2472504,1119381,1166461,1035418,525131,152591,216046,515798,26359,39278,109118,184789,71613
Azerbaijan,Hungary,131,117,8,156,35,1,370,99,804,60,253,79,16110,1252,398,10232,752,1190,747,54436
Azerbaijan,Netherlands,4445,5103,42332,307694,543697,118552,53947,1159,202091,26246,85961,4936,3737,5211,99821,56707,7352,14784,56457,50673
Azerbaijan,Belgium,498,4881,4186,12543,31145,1238,2032,33355,4345,13240,32045,29757,2329,3608,7382,8492,1332,6701,27925,46806
Azerbaijan,Cyprus,0,1150,0,38,0,2889,1442,14,0,31,4,9,15231,12943,0,23428,6308,11338,12207,42635
Azerbaijan,Thailand,9932,35,41305,51400,2307,266943,775943,669961,1238105,1920779,1234439,371314,239622,297372,252348,306221,185007,171087,495812,41543
Azerbaijan,Slovenia,64,3293,114,730,69,21,6,17,6,10,19,893,6609,4501,229,38,12,365,907,20492
Azerbaijan,"Hong Kong, China",0,7,191,36,885,51,306,241,2955,9211,2611,2773,1663,1215,936,2844,33417,1886,4974,19622
Azerbaijan,Malta,1012,2927,298,1,16030,8310,146837,251969,138657,16345,45416,15175,7070,30,35,61,56,100,42,16128
Azerbaijan,Japan,1056,676,1386,185698,52595,134409,36192,786,24934,1035,1250,1166,3254,4095,8570,4494,43811,4970,10745,12886
Azerbaijan,Estonia,215,1184,6098,543,888,539,414,1267,984,1052,258,282,795,1359,1546,1954,1922,3552,3715,12647
Azerbaijan,Norway,4574,580,3420,2106,9789,2656,1223,2567,2089,5138,7236,2737,8518,8986,6411,8524,7051,51723,71572,8196
Azerbaijan,Latvia,964,2476,1936,1977,2552,1982,3198,4672,2619,1618,1255,765,1269,1339,320,623,410,1464,3551,6957
Azerbaijan,Lithuania,7582,6886,4120,6688,9968,5424,2162,6690,3607,3315,1328,34684,3486,2531,3633,2827,3021,19157,9297,6230
Azerbaijan,"Korea, Republic of",649,103,13,315648,12422,9035,49,269,87,3375,54,3404,337,885,1630,1312,2930,1519,975,2974
Azerbaijan,Finland,14817,22180,117,444,388,143,528,70,75,180,261,797,1217,1655,1405,997,628,720,968,1990
Azerbaijan,Canada,628,377,43610,204298,1098530,1026038,527564,439571,1232845,451808,427762,350099,101836,1017855,840836,206306,659,301946,19317,1654
Azerbaijan,Slovakia,85,201,72,35,7304,160,10,12,15,25,23,1362,7075,844,181,965,11139,1817,2479,668
Azerbaijan,Sweden,18,65,382,91,71294,4026,21391,262,17666,14463,128,682,573,689,842,415,717,545,198,600
Azerbaijan,Denmark,553,1157,77,14564,428,522,24,971,19836,34846,12962,577,2205,1161,255,636,22109,80,519,531
Azerbaijan,Brazil,5,0,79282,285112,207,117,210,47,185,324,259,212,179,183,588,390,672,48517,3830,365
Azerbaijan,Malaysia,48,2,52,324,23,34,49250,55682,41710,3033,437,797,234,739,143,231,68221,91,102,356
Azerbaijan,South Africa,131,162,12482,1,12,40,589,329,760,2,428,285,24,142,7,7,2,0,43,288
Azerbaijan,Bosnia and Herzegovina,34,15,40,7,58,7,8,0,34117,1,262,60,18,13,39,0,197,6,2908,178
Azerbaijan,Colombia,287,8,7,25,36,9,74,28,0,7,16,22,11,0,42,7,41,423,8,100
Azerbaijan,New Zealand,1,5,1,89,39,121,78,142,128,190,151,59,771,117,96,124,75,253,208,95
Azerbaijan,Iceland,0,0,0,0,0,0,0,0,5,0,0,2,0,24,31,44,61,12,13,93
Azerbaijan,"Taipei, Chinese",1,0,8,81240,401325,684926,570254,829711,1013078,495700,595477,227329,1006971,713076,1209620,717408,53024,143827,237028,26
Azerbaijan,Luxembourg,258,278,348,320,5975,10,5,8,6,31,333,4,7,17,20,37,43,116,21,9
Azerbaijan,Chile,0,0,0,0,0,0,0,5,2,0,2,12,0,1,3,2,0,209,14,2
Azerbaijan,Costa Rica,0,2,4,1,1,0,0,14,0,0,0,6,14,0,0,1,0,0,3,2
Azerbaijan,Peru,0,0,1,0,2,14,0,0,81,1,0,0,219,9,11,2,4,331,58,1
Azerbaijan,Argentina,1,5,121,99,70,115,15,0,1,51,27,31,0,44,0,38,1,1007,132,0
Azerbaijan,"Bolivia, Plurinational State of",0,0,0,1,0,0,1,0,0,3,0,0,0,0,14,0,0,0,0,0
Azerbaijan,Belize,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,Cabo Verde,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Azerbaijan,Ecuador,0,0,9,0,22,0,2,0,104,1,0,2,3,0,0,0,0,2,1,0
Azerbaijan,El Salvador,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Azerbaijan,Guatemala,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Azerbaijan,Madagascar,0,0,0,16,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Azerbaijan,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
Azerbaijan,Cayman Islands,,,,,,,,,,,,,,,,,0,1,,
Azerbaijan,Liberia,,,,,,,,,,,,,,9,1,12,0,0,0,
Azerbaijan,Uzbekistan,,,,,,,,,,,,,,3018,8845,18849,28671,42083,47864,
Azerbaijan,"Congo, Democratic Republic of the",,,,,,,,,,,,75,4,0,27,0,27,29,3,
Azerbaijan,Tajikistan,,,,,,,,,,,13322,7600,13410,2786,6784,5793,6239,6063,5815,
Azerbaijan,Sierra Leone,,,,,,,,,,,0,0,45,15,0,,,,,
Azerbaijan,Palau,,,,,,,,,0,,0,0,3,0,0,,,,,
Azerbaijan,Bermuda,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,
Azerbaijan,Sudan,,,,,,,,,4,0,22,50,0,0,112,,,,,
Azerbaijan,Myanmar,,,,,,,0,0,0,125,0,25,0,0,50,16,130,150,216,
Azerbaijan,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,4,0,0,0,0,,
Azerbaijan,Nepal,,,,,,4,0,0,0,0,4,0,0,0,0,0,2,0,0,
Azerbaijan,Tonga,,,,,0,0,0,0,0,0,16,,,0,0,0,0,0,0,
Azerbaijan,Afghanistan,,,,,992,6070,8305,70477,15582,40497,13281,35968,14688,3287,3248,95,,,,
Azerbaijan,"Libya, State of",,,,0,0,0,0,,,,,906,0,0,0,43807,,,,
Azerbaijan,Congo,,,,43,217,0,0,16,36,0,5,3,2,11,16,4,0,6,0,
Azerbaijan,"Palestine, State of",,,,0,0,0,4,0,0,33,0,0,17,7,27,0,0,242,70,
Azerbaijan,Vanuatu,,,0,0,,8,0,21,,,,,,,,,,,,
Azerbaijan,Montenegro,,,0,0,728,28,192,1,0,0,14,17,15,5,0,191,206,1,22,
Azerbaijan,Central African Republic,,,0,0,0,0,2,239,0,0,0,0,0,0,0,0,0,0,0,
Azerbaijan,Nigeria,,,0,0,11,109,1,0,0,12,50,66,22,114,6,89,134,731,1880,
Azerbaijan,United Arab Emirates,,3131,,1890,2349,,,,2162,1139,1747,4259,2443,5417,3528,4844,17342,8599,10017,
Azerbaijan,Kiribati,,0,,0,0,0,10,0,0,0,0,0,0,0,0,,0,0,,
Azerbaijan,Papua New Guinea,0,,,,,,,0,77,,,,,,,10,174,3,,
Azerbaijan,Andorra,3,,0,14,8,4,0,0,0,1,2,0,0,0,0,0,0,0,0,
Azerbaijan,Kuwait,0,,4,3,13,4,13,55,21,23,23,1,99,106,336,172,498,489,850,
Azerbaijan,Mauritania,0,0,,0,0,0,0,6,0,11,75,90,0,0,155,0,191,0,2,
Azerbaijan,Togo,0,0,,0,0,0,17,0,11,0,0,0,5,1,0,3,0,0,0,
Azerbaijan,Comoros,0,0,,0,72,0,0,3,79,0,0,4,3,8,2,39,0,4,,
Azerbaijan,Cuba,106,84,0,,,,,,,,,,0,5,0,0,0,20,173,
Azerbaijan,Seychelles,0,0,0,,0,69,4,46,0,0,0,0,1,0,1,0,0,0,0,
Azerbaijan,Mongolia,0,0,0,24,,,281,442,769,487,391,315,143,105,118,78,194,376,581,
Azerbaijan,Angola,173,0,0,4301,,283,779,61,57,21,83,68,0,4,132,327,130,234,246,
Azerbaijan,Saint Lucia,0,0,0,0,0,,,,0,0,0,0,0,0,12,0,0,,,
Azerbaijan,Mali,7,0,0,40,195,,6,45,2,,,,596,298,40,121,1800,248,114,
Azerbaijan,Bangladesh,964,829,1085,2140,1750,0,3,1,0,0,,10,,,,,,,,
Azerbaijan,Qatar,592,22,257,39,262,95,41,291,147,250,127,527,,2061,284,276,458,581,1229,
Azerbaijan,Sri Lanka,0,15,0,1,51,0,7,0,0,0,1,0,4,0,,187,0,0,0,
Azerbaijan,Albania,0,2290,811,1761,21108,14133,21516,10968,15576,1,5,0,65,62,9,647,4414,3413,136,
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,4141,8411,
Azerbaijan,Bahrain,0,6,0,0,0,0,4567,10,37,53,53,28,188,413,41,124,609,791,949,
Azerbaijan,Armenia,0,0,0,0,0,0,0,0,0,0,1,478,2189,2884,0,0,0,0,0,
Azerbaijan,Barbados,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,
Azerbaijan,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,5,0,0,
Azerbaijan,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,110,7,4,19,15,8,
Azerbaijan,Burundi,0,191,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,4,
Azerbaijan,Cambodia,0,1,0,0,0,0,377,0,0,949,0,0,0,0,0,14,0,0,0,
Azerbaijan,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,18,
Azerbaijan,Dominican Republic,87,615,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,
Azerbaijan,Ethiopia,0,0,2,342,0,21,6,11,0,0,1,713,8,34,6,203,7,0,0,
Azerbaijan,Fiji,0,4,0,9,0,1,0,1,0,7,9,0,0,0,0,2,0,0,0,
Azerbaijan,French Polynesia,2,12,3,0,3,2,0,0,0,0,0,0,0,0,1,2,1,0,0,
Azerbaijan,Georgia,155816,233343,318489,381939,607644,288772,391861,472119,460436,403131,349628,534284,450234,535820,534032,598028,507137,592082,620266,
Azerbaijan,Gambia,0,0,0,0,0,0,27,0,17,7,10,11,0,0,0,0,0,0,0,
Azerbaijan,Guyana,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,1,
Azerbaijan,Indonesia,168793,13,65493,98515,100012,756344,896390,1760788,1233541,1738496,2421343,1284084,483053,408383,437136,12,497,227709,840525,
