reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Bangladesh,China,1906268,2402740,3090403,3349758,4556074,4441067,6789097,7810658,7970093,9705087,11782272,13904754,14473047,15202749,17759540,17323286,15075631,24094593,26808335,23014990
Bangladesh,Singapore,741057,695432,930734,936003,1250023,1411580,1703296,2270782,2090458,2539616,3272248,2282506,2526079,2877850,3437357,3054716,2366385,3627318,4825650,3229719
Bangladesh,Malaysia,364606,409399,422460,407931,684896,803495,1259325,1776463,1504735,1588033,1229340,1004216,1243760,1525621,2102554,2341650,1228236,2259103,4240545,2451309
Bangladesh,United States of America,289303,319770,332555,456421,468066,434896,575698,1144148,508181,708816,1113364,942520,905731,1473825,2081527,2339320,1851853,2350515,2813867,2251990
Bangladesh,Brazil,202113,149640,274801,231238,237057,607388,537928,877432,705433,856457,869107,1147411,1091414,1600078,1169286,1323745,1525173,1824425,2354960,2106996
Bangladesh,Japan,449761,529235,573174,598300,797774,762279,1023002,1074339,985122,873587,1164494,1374791,1584583,1741679,1567798,1422079,1503009,2349915,2566421,1746881
Bangladesh,"Korea, Republic of",620474,611137,648316,611524,1095016,1063848,1554317,1627620,1458891,1427423,1236207,1207457,1158422,1278020,1238317,1281749,1033592,1635852,2356959,1625988
Bangladesh,Australia,198077,179349,138666,165242,215368,321319,535490,598029,506266,557598,495323,525580,616085,916983,677613,650462,587581,1042872,1450817,1283425
Bangladesh,Thailand,373665,392649,464182,522672,574773,621596,885601,1215509,764467,845855,863374,845432,932623,1248795,1179808,982947,846824,1216842,1109201,1072660
Bangladesh,Canada,84193,85062,145243,344109,270923,551288,578339,557235,526151,641414,637723,708476,582691,561306,502634,940538,886215,793292,1212275,971956
Bangladesh,"Taipei, Chinese",447587,442364,498129,471541,654790,615151,757500,1068384,1062077,1010231,1067141,898926,920025,996314,1141008,1168967,846114,1223327,1782031,957363
Bangladesh,Germany,277013,320766,382438,294950,399091,428175,620229,627276,543166,607374,768684,705803,773410,825319,978690,910039,605454,908880,866423,922793
Bangladesh,"Hong Kong, China",507725,571702,702947,645240,707189,621750,831122,990972,1026793,1267080,1373008,1475558,1496986,1508603,1825250,1376850,1290685,1679570,1151887,832330
Bangladesh,Italy,164834,179120,210050,254220,245095,238869,332172,432391,301410,362620,420183,524468,562433,821008,875279,614302,457663,606515,727397,592520
Bangladesh,United Kingdom,125074,145295,139611,121628,119338,106649,176728,217655,164499,220251,215490,204611,279747,303676,397877,520696,302338,548845,631637,538492
Bangladesh,Argentina,142692,162691,140011,310312,204628,214004,214861,442617,358215,309841,358984,277304,489732,583692,531190,607121,456242,875659,742900,456980
Bangladesh,Türkiye,33129,90727,91992,63017,69528,133819,169522,132200,214168,271685,250916,199887,263955,294544,372795,427191,349062,572952,551280,416621
Bangladesh,Netherlands,85161,56884,54348,56858,70698,98186,162566,188933,182748,203583,201908,204587,216106,378193,290477,298963,264543,416992,526862,377187
Bangladesh,New Zealand,18043,13325,16952,27670,28847,44563,62590,158560,111790,93898,156571,149453,152042,219567,222601,258655,246919,299708,380684,326234
Bangladesh,South Africa,7442,10466,24684,19954,18098,49167,47691,35953,39212,41786,79024,111759,118194,157680,240296,221703,211714,237396,195088,305196
Bangladesh,Belgium,53367,57409,56887,59648,77953,84155,130444,164361,172757,118670,147640,183103,212053,269825,274408,261872,189293,212703,386419,259676
Bangladesh,Ukraine,21128,18379,74068,34787,54502,332205,112710,51516,46382,143488,152922,206963,327497,371826,218161,442728,358209,311283,98337,211022
Bangladesh,France,81098,69520,114816,87535,108501,99258,105464,137100,132846,176965,201178,320641,208683,215924,391814,301956,272213,225791,254538,195829
Bangladesh,Spain,70397,58182,63596,77225,88250,68791,85003,97287,93865,90563,142902,128349,126256,162650,183547,226178,169821,232388,214018,184941
Bangladesh,Switzerland,71879,75191,77711,80270,122097,66711,79596,135611,112032,110432,142951,163975,154142,179375,136696,175574,140622,138226,131926,110622
Bangladesh,Romania,5978,20424,24903,1975,12170,4529,52035,4191,4180,13534,19637,29498,3459,3185,15397,16179,20444,3558,17956,108961
