reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Barbados,United States of America,286613,267646,300095
Barbados,Trinidad and Tobago,283357,178387,204082
Barbados,United Kingdom,81584,59517,85583
Barbados,Japan,24871,30262,37768
Barbados,Canada,22158,24556,32779
Barbados,"Korea, Republic of",3254,3345,33081
Barbados,Guyana,13212,13006,19246
Barbados,Germany,20768,19530,18194
Barbados,France,9676,14157,20623
Barbados,Brazil,8282,9398,12185
Barbados,New Zealand,8604,10275,11382
Barbados,Suriname,467,,
Barbados,Italy,8025,16855,23013
Barbados,Spain,4091,3596,5658
Barbados,Jamaica,8737,9527,8536
Barbados,Netherlands,8752,16180,11819
Barbados,China,5414,10235,9173
Barbados,Switzerland,2058,2087,3173
Barbados,Saint Lucia,6019,5977,5362
Barbados,Costa Rica,2946,3166,4756
Barbados,Mexico,21755,31356,2947
Barbados,Sweden,11686,12385,28899
Barbados,Ireland,1195,1245,1587
Barbados,Saint Vincent and the Grenadines,4468,4484,4266
Barbados,Belgium,2796,3824,4465
Barbados,"Taipei, Chinese",2221,2553,3115
Barbados,Norway,2616,2967,17922
Barbados,Thailand,1648,1457,2426
Barbados,Argentina,541,11467,897
Barbados,Denmark,4993,2575,2812
Barbados,Australia,2461,2496,3949
Barbados,Dominican Republic,1399,1818,2185
Barbados,"Hong Kong, China",2223,2530,2686
Barbados,Malaysia,1026,927,1114
Barbados,Colombia,3020,1830,2463
Barbados,Honduras,2014,1859,2972
Barbados,Dominica,2032,1802,2045
Barbados,Luxembourg,160,745,944
Barbados,Guatemala,1378,715,356
Barbados,Grenada,1743,1924,1460
Barbados,Philippines,5099,5253,5440
Barbados,Portugal,861,336,719
Barbados,India,1014,2570,1281
Barbados,Türkiye,414,813,1049
Barbados,Chile,1034,1308,1076
Barbados,Belize,759,1954,1206
Barbados,Austria,1764,818,596
Barbados,Indonesia,1491,569,930
Barbados,Uruguay,0,10,4
Barbados,Ecuador,190,350,368
Barbados,South Africa,483,962,703
Barbados,Finland,622,277,290
Barbados,"Venezuela, Bolivarian Republic of",1776,1456,381
Barbados,Cuba,81,115,263
Barbados,Czech Republic,1520,2791,447
Barbados,Ukraine,0,346,196
Barbados,El Salvador,1245,2224,949
Barbados,Cyprus,231,272,503
Barbados,Peru,169,123,128
Barbados,Israel,1015,530,3037
Barbados,Viet Nam,163,388,84
Barbados,Lebanon,0,0,12
Barbados,Russian Federation,0,0,1038
Barbados,Panama,28,39,471
Barbados,Bahamas,192,138,394
Barbados,Pakistan,,,153
Barbados,Poland,166,16142,103
Barbados,Bulgaria,46,17,57
Barbados,Zimbabwe,0,0,0
Barbados,Greece,57,78,106
Barbados,Saint Kitts and Nevis,38,100,87
Barbados,Estonia,72,14,3
Barbados,Slovakia,135,3,50
Barbados,Slovenia,0,5,0
Barbados,Hungary,19,6,13
Barbados,Sri Lanka,406,75,93
Barbados,Latvia,2,3,0
Barbados,Uganda,0,0,0
Barbados,Egypt,0,9,0
Barbados,Serbia and Montenegro,0,35,
Barbados,Nicaragua,3,0,0
Barbados,Romania,4,1,0
Barbados,"Iran, Islamic Republic of",23,55,11
Barbados,"Bolivia, Plurinational State of",1,0,0
Barbados,Kenya,0,0,29
Barbados,Mauritius,0,9,9
Barbados,Tunisia,28,32,0
Barbados,Senegal,0,0,0
Barbados,Bosnia and Herzegovina,,,0
Barbados,Ghana,0,,12
Barbados,Algeria,3272,5,318
Barbados,Bahrain,0,46,0
Barbados,Botswana,0,2,44
Barbados,Croatia,4,0,5
Barbados,Ethiopia,74,0,0
Barbados,Côte d'Ivoire,13,44,7
Barbados,Lithuania,1,0,0
Barbados,Malta,13,38,1
Barbados,Montserrat,2,14,15
Barbados,Morocco,0,5,31
Barbados,Namibia,0,4,0
Barbados,Paraguay,0,4,0
Barbados,Saudi Arabia,0,0,75
Barbados,Singapore,1292,1668,0
Barbados,Togo,0,0,111
Barbados,Nigeria,0,0,38
Barbados,Anguilla,6,49,1
