reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Belarus,China,153954,490442,428773,612588,497824,529594,476097,599466,663130,580512,738277,1010510,435117,515322,570989,914860,888693,1090693,1804433,2604388
Belarus,Poland,698524,979513,1078618,1139975,1312654,818495,836403,1356194,986877,777591,851443,831654,794574,1067779,1483409,1212787,1164699,1683668,994793,473487
Belarus,Brazil,259774,225917,245777,398519,1333757,538294,738183,1563896,886198,582005,831499,514415,430705,543160,591028,594003,541842,535258,372914,372378
Belarus,Lithuania,241201,271619,344660,483667,531680,305249,396790,775467,856942,1012569,993553,975724,774287,742353,901248,876545,874029,1165642,820246,302103
Belarus,Germany,462790,454227,564777,590449,760594,648971,608819,932765,992720,641138,688732,752783,503659,573976,703588,621811,605377,938431,447455,262241
Belarus,Türkiye,42205,46578,45517,79945,120790,83732,154633,183201,190210,193939,148061,192831,102567,182969,193292,165074,176005,269996,291869,245602
Belarus,Latvia,383753,561953,533427,500531,523193,323992,381585,682289,574691,412046,422857,332463,212269,272503,369150,358574,340964,548285,313853,224863
Belarus,Norway,19657,35486,46290,42116,144152,138616,141932,159340,246672,160128,132327,137703,107734,103071,114713,141195,166989,275747,229142,150359
Belarus,Czech Republic,59267,71714,118840,116531,134814,71714,107676,145939,218804,123840,160034,157248,132079,121306,167211,164812,139350,204026,132648,91041
Belarus,Serbia,,,20215,35649,32445,39101,83453,87834,96071,95993,85561,64712,48148,61730,92655,68307,53976,125618,106433,78471
Belarus,Netherlands,91680,110054,81789,114301,154953,93268,73820,105981,189584,87448,125326,141838,170662,215381,238634,234926,270332,338879,138127,50656
Belarus,United States of America,375316,381251,584750,1100831,1118562,596394,181893,374264,159262,111634,140611,166335,143509,294891,419176,401051,354831,511389,224082,50377
Belarus,Thailand,2377,1799,326,3115,8529,5579,56048,94752,85869,60272,59985,79568,63156,69138,93609,64098,58637,108605,76735,41426
