reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Belize,United States of America,172992,137667,198779
Belize,Mexico,42736,66814,58846
Belize,Guatemala,13763,19494,29498
Belize,China,6275,9043,10269
Belize,Japan,25211,22713,15480
Belize,Russian Federation,1121,601,1604
Belize,United Kingdom,19958,20578,30314
Belize,"Korea, Republic of",11899,4776,3771
Belize,Norway,125,120,107
Belize,Armenia,0,0,1278
Belize,El Salvador,7172,7537,8616
Belize,Netherlands,4926,8400,5072
Belize,"Taipei, Chinese",5211,10294,6023
Belize,Honduras,2275,2408,5745
Belize,Trinidad and Tobago,8309,9840,6819
Belize,Germany,19132,6934,5327
Belize,Canada,2308,3304,4042
Belize,Costa Rica,2352,2740,4372
Belize,Austria,888,1156,1941
Belize,Italy,1916,739,1628
Belize,Spain,1849,5713,3085
Belize,Jamaica,3217,3833,3559
Belize,Angola,,,
Belize,Estonia,335,1675,1221
Belize,Denmark,2142,4171,4662
Belize,Viet Nam,223,173,291
Belize,Brazil,3139,3286,2748
Belize,Barbados,2713,2493,1330
Belize,"Hong Kong, China",1296,1899,1421
Belize,France,2004,1136,3080
Belize,Poland,92,735,598
Belize,Malaysia,351,404,874
Belize,India,193,559,2583
Belize,Thailand,4127,4176,2779
Belize,Colombia,352,1153,1266
Belize,Bulgaria,104,315,112
Belize,Argentina,1370,953,2109
Belize,Sweden,1029,1973,667
Belize,Switzerland,142,848,461
Belize,Guyana,499,1012,459
Belize,Dominica,0,0,408
Belize,Côte d'Ivoire,1431,655,842
Belize,Peru,34,0,277
Belize,"Venezuela, Bolivarian Republic of",163,975,887
Belize,Ireland,289,257,212
Belize,Türkiye,37,67,155
Belize,Indonesia,2932,787,390
Belize,Hungary,86,316,155
Belize,Belgium,270,956,532
Belize,Pakistan,,,146
Belize,South Africa,132,286,574
Belize,Ukraine,423,1884,275
Belize,Ecuador,47,72,8
Belize,Israel,125,1302,601
Belize,Chile,198,110,5868
Belize,Mauritius,7,0,0
Belize,Georgia,0,185,560
Belize,Slovenia,0,0,1
Belize,Sri Lanka,50,82,144
Belize,Romania,121,118,146
Belize,Latvia,318,22,35
Belize,Namibia,94,44,127
Belize,Portugal,196,469,81
Belize,New Zealand,203,186,128
Belize,Panama,200,365,146
Belize,Saint Lucia,125,115,146
Belize,Cuba,1399,949,1037
Belize,Mauritania,0,0,0
Belize,Czech Republic,1469,1075,1595
Belize,Croatia,228,53,3
Belize,Algeria,7,0,0
Belize,Lithuania,35,494,737
Belize,Paraguay,873,671,38
Belize,Philippines,3379,1022,2247
Belize,Dominican Republic,39,29,119
Belize,Belarus,0,676,0
Belize,Australia,296,791,175
Belize,Nicaragua,66,47,97
Belize,Uruguay,163,0,35
Belize,Zimbabwe,0,0,0
Belize,Finland,41,4,28
Belize,Grenada,7,34,58
Belize,Iceland,41,21,0
Belize,Serbia and Montenegro,37,0,
Belize,Greece,351,313,189
Belize,"Bolivia, Plurinational State of",0,0,8
Belize,Suriname,13,,
Belize,Lebanon,0,1,0
Belize,Bahamas,5,28,19
Belize,Cyprus,0,0,6
Belize,French Polynesia,1,0,0
Belize,Kenya,0,10,0
Belize,Madagascar,0,0,6
Belize,Morocco,0,0,20
Belize,Saint Vincent and the Grenadines,0,0,0
Belize,Singapore,10473,10892,0
Belize,Slovakia,242,189,51
Belize,Uganda,0,0,12
Belize,Anguilla,20,0,2
