reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Benin,China,111273,139393,89383,113159,110162,93782,125632,176475,261538,206007,266631,78132,55316,91574,48324,154357,58248,231569,257036,98444
Benin,United States of America,1637,573,633,5121,32833,474,301,2019,2752,3221,5534,5111,7273,18114,19439,8802,5824,8461,3508,13752
Benin,France,4701,6332,9695,5896,12541,3600,4800,7364,6733,5284,6620,7896,4866,3513,2888,2397,6740,12520,18123,12786
Benin,Netherlands,87,2070,26037,9652,13547,4429,1537,8191,2535,1670,8659,4649,4084,4704,3715,10639,6635,4204,3905,12593
Benin,Türkiye,32,2109,3145,2204,974,0,3217,942,1864,1697,1552,2912,2849,22409,26712,15924,5465,14155,20006,10271
Benin,Belgium,1058,5350,14368,20960,13614,4322,1188,2169,2428,22238,3462,5340,3714,1665,5155,4936,2957,7232,7391,5935
Benin,Italy,5119,5492,3973,5899,3721,1917,11463,17637,3855,4510,3645,6368,7567,5965,3226,1246,2782,2824,5317,5513
Benin,South Africa,3734,2352,3826,5000,6532,4294,49246,1374,1401,4279,7883,7420,3256,6021,5262,5835,1304,2876,3622,5300
Benin,Canada,4,7,18,225,31,3,12,23,86,36,14,14,196,289,1007,815,444,518,4607,3484
Benin,Germany,2834,3000,9191,7480,4774,3647,3503,10453,3671,10523,1719,1136,1160,979,930,3130,900,1169,1568,2903
Benin,Japan,7,59,77,36,0,5,2016,1656,1770,5475,3102,1024,1188,546,1724,32,18,296,392,2223
Benin,Switzerland,9016,15845,32901,78718,86999,145595,122,144,57331,165722,87071,41073,468,1557,1711,872,1243,1000,528,2195
Benin,Thailand,13954,12256,12101,8173,23922,8918,10977,15484,7382,8404,8951,6903,3135,5394,1335,2081,796,742,660,1817
Benin,United Kingdom,9110,81,35,357,189,722,25,24918,89,52,160,1177,1642,843,1685,1525,1742,749,2077,1629
Benin,Portugal,3142,6322,7469,13027,12151,14528,10099,4055,9444,3372,4613,3640,1442,1300,1317,1508,797,4265,6463,1483
Benin,Poland,277,95,55,168,3,0,0,292,21,24,10,110,37,82,97,1069,566,964,762,863
Benin,Peru,0,250,436,859,181,737,219,208,0,6,0,0,0,0,0,0,0,72,291,653
Benin,Spain,1156,5196,5238,1803,437,565,1337,12740,3119,2634,2842,3245,6007,2696,137,463,459,669,353,517
Benin,"Korea, Republic of",46,7,282,2319,5355,1653,6923,12382,13483,11032,5054,10758,23435,27710,56557,14990,259,316,15,450
Benin,Malaysia,1748,904,59,1869,12391,3922,5928,6814,22458,3912,1576,1135,27,7975,554,3750,1255,51,2203,241
Benin,Czech Republic,578,329,615,28,283,2,9,735,1188,443,372,229,23,23,94,173,23,66,80,209
Benin,"Hong Kong, China",203,59,288,2462,12655,537,273,300,2153,1443,789,128,439,996,863,72,135,268,154,208
Benin,Argentina,19,0,0,1,0,0,0,0,0,1,2,0,0,0,11,0,4,26,32,125
Benin,Sweden,2117,4712,12,1,83,15,70,48,5,165,71,43,265,94,1,10,34,24,93,119
Benin,Brazil,951,2,5906,5464,65,0,0,0,3110,273,957,0,0,12,2,0,0,61,1,109
Benin,Bosnia and Herzegovina,0,0,0,1,8,10,0,0,0,150,23,0,0,0,5,62,0,0,35,105
Benin,Croatia,551,6,1,3,7,2,2,30,10,0,56,0,0,0,18,107,1,0,0,105
Benin,Greece,63,0,0,1,152,88,2,1238,0,147,131,539,45,1,99,0,0,669,8,102
Benin,Ukraine,0,0,10,2,6,6,0,0,7,26,3,5,8,1,20,4,5,15,1,99
Benin,Ireland,0,6,0,1,1,1,1,1,0,0,0,1,21,15,16,38,23,73,91,93
Benin,Denmark,9324,241,165,993,183,10,267,17,62,88,13,4,16,22,8,602,3,25,77,68
Benin,Ecuador,1,0,0,476,0,0,0,891,311,324,280,30,0,79,0,0,0,0,0,68
Benin,Singapore,0,5,195,419,968,528,549,37674,497,774,702,446,193,1697,189,64,648,44,165,58
Benin,Paraguay,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,57
Benin,Austria,8,0,49,52,185,44,115,30,22,31,76,24,8,13,37,44,177,18,4,28
Benin,Iceland,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,10,28
Benin,Serbia,,,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,18
Benin,Finland,0,0,0,0,0,0,0,3,4760,0,0,4,10,1,1,0,1,21,138,18
Benin,Madagascar,0,1110,36,43,25,53,1,0,0,5,177,6,103,77,20,13,70,3,75,18
Benin,Slovakia,10,0,14,0,0,8,29,0,0,174,1,0,1,1,5,6,7,9,5,12
Benin,Australia,0,2,10,0,0,0,0,0,0,2,166,0,6,24,14,9,0,0,6,10
Benin,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,26,0,8
Benin,"Taipei, Chinese",1419,3402,2480,2722,3734,3568,5081,1695,1971,5148,7118,1807,2951,3544,92,0,127,94,0,3
Benin,Colombia,1033,775,654,323,1332,715,63,54,75,3,6,1095,2418,1,14,5,6,18,15,2
Benin,Norway,0,0,10,0,0,2,1,1,0,0,27,0,0,38,1,4,26,18,0,2
Benin,Bulgaria,264,2,15,0,0,372,0,0,0,0,0,0,1003,110,0,0,1,0,0,1
Benin,"Bolivia, Plurinational State of",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
Benin,Cabo Verde,0,436,0,0,918,3270,1657,0,330,0,0,0,0,0,0,0,0,0,0,0
Benin,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0
Benin,Costa Rica,0,0,6,8,0,2,0,3,5,2,0,2,3,110,0,0,8,3,0,0
Benin,El Salvador,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0
Benin,Estonia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Benin,Guatemala,0,0,0,0,92,297,0,1414,0,0,0,0,0,3,0,81,0,0,0,0
Benin,Hungary,0,0,0,30,0,0,0,14,27,42,1,0,0,0,182,7,10,0,2,0
Benin,Latvia,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Lithuania,15,187,192,0,35,0,0,0,0,0,0,244,736,56,1,0,1,0,0,0
Benin,Luxembourg,0,0,0,2,2,1,4,2,2,2,1,1,5,24,31,6,8,7,9,0
Benin,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,New Zealand,0,0,0,0,0,1,0,0,0,0,0,18,0,1,1,0,9,0,0,0
Benin,Romania,3,0,52,0,0,0,0,0,0,0,0,0,1,0,417,1,0,86,0,0
Benin,Slovenia,749,449,614,23,148,681,123,265,95,1,0,110,2,6,144,378,166,422,1,0
Benin,Liberia,,,,,,,,,,,,,,28,10,0,0,0,0,
Benin,Uzbekistan,,,,,,,,,,,,,,0,0,36,0,1,0,
Benin,"Congo, Democratic Republic of the",,,,,,,,,,,,188,16,1769,1991,510,482,343,274,
Benin,Sierra Leone,,,,,,,,,,,733142,25292,0,54,0,,,,,
Benin,Haiti,,,,,,,,,,36,15,43,32,0,,,,,,
Benin,Palau,,,,,,,,,0,,0,0,0,1,0,,,,,
Benin,Sudan,,,,,,,,,35,30,11,3,274,0,0,,,,,
Benin,Myanmar,,,,,,,10,0,105,0,0,0,248,674,254,0,0,0,0,
Benin,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,,
Benin,Nepal,,,,,,0,0,0,0,0,0,18,366,1591,0,315,518,366,0,
Benin,"Libya, State of",,,,0,0,0,106,,,,,7,8,0,8,53,,,,
Benin,Congo,,,,9020,28284,8769,18909,47182,12620,1396,322,172,6942,293,474,286,527,330,487,
Benin,"Palestine, State of",,,,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,
Benin,Montenegro,,,1,0,1,0,0,2,0,1,2,1,1,1,1,2,0,0,0,
Benin,Central African Republic,,,0,5,2,11,0,80,14,257,46,302,1920,9,452,165,23,119,147,
Benin,Nigeria,,,66381,236208,3716,0,0,328,0,102218,1333,61791,6937,15611,21476,376833,8259,16641,3121,
Benin,Antigua and Barbuda,,6,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benin,United Arab Emirates,,160,,1097,1445,,,,260852,190658,312191,223107,340516,446273,252005,454320,542835,833831,374762,
Benin,Lesotho,,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,70,0,
Benin,Kuwait,1,,54,18,252,38,4,5,13,12,37,2,11,3,7,131,358,122,18,
Benin,Timor-Leste,0,0,,,,,,,,0,,,,0,0,0,0,0,0,
Benin,Guinea-Bissau,0,0,,,,,,,,39,130,12,0,0,57,,,,,
Benin,Suriname,0,0,,0,,0,0,0,0,44,0,0,0,0,0,0,0,0,0,
Benin,Mauritania,350,164,,3583,48645,0,0,34,449,462,32,154,163,331,942,188,931,1,0,
Benin,Togo,14760,12017,,9881,16738,4340,6179,8299,6675,10816,13708,8247,14188,9616,6917,7737,5574,4873,5745,
Benin,Comoros,0,6,,0,0,0,0,0,0,0,330,99,231,116,4,0,0,0,,
Benin,Seychelles,0,3,0,,0,10,8,4,0,0,0,0,0,0,0,0,0,0,0,
Benin,Mongolia,0,0,0,0,,,0,0,0,0,0,0,1,5,0,0,0,0,0,
Benin,Angola,15,787,7,56,,22939,146585,118932,36903,773,0,628,196,625,506,142,78,157,772,
Benin,Mali,101179,143252,163776,97539,74612,,467684,253919,172319,,,,100762,79822,155670,104730,49632,37222,85550,
Benin,Bangladesh,10901,140,2119,10925,7328,6672,2566,1201,1530,19871,,41536,,,,,,,,
Benin,Qatar,0,0,0,0,0,0,0,0,5,0,0,39,,0,32,0,461,1184,1642,
Benin,Sri Lanka,0,0,33,44,13,0,0,0,0,20,0,0,7,0,,112,1,4,0,
Benin,Albania,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39,0,0,0,0,
Benin,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,2,0,0,
Benin,Bahrain,0,0,0,0,0,0,1,0,0,23,3,0,0,0,200,10,66,52,1809,
Benin,Armenia,0,0,0,0,0,0,5,31,3,0,0,0,5,41,0,2,5,0,0,
Benin,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
Benin,Botswana,0,0,0,0,261,0,0,6,0,0,0,0,1,0,0,0,0,1,0,
