reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Bermuda,Japan,219941,21593,18647
Bermuda,"Korea, Republic of",36392,361406,163413
Bermuda,United States of America,370991,415090,401152
Bermuda,Mexico,20534,3179,6965
Bermuda,China,11090,19592,31634
Bermuda,United Kingdom,48902,46399,68608
Bermuda,France,14582,412170,472222
Bermuda,Canada,24002,71927,35333
Bermuda,Spain,28901,19178,15133
Bermuda,Italy,480657,479686,10086
Bermuda,Netherlands,3944,41072,54037
Bermuda,Trinidad and Tobago,19853,13379,70514
Bermuda,"Taipei, Chinese",1297,116160,103978
Bermuda,Switzerland,10228,10727,41618
Bermuda,Singapore,21395,19530,16835
Bermuda,Germany,426845,100104,6976
Bermuda,Slovakia,0,0,9
Bermuda,Australia,531,558,458
Bermuda,Hungary,535,831,4567
Bermuda,Denmark,1756,648,1153
Bermuda,Ghana,0,,16
Bermuda,Costa Rica,968,1441,2012
Bermuda,Belgium,1704,2005,1820
Bermuda,New Zealand,1934,2102,1977
Bermuda,Estonia,144,221,24
Bermuda,Brazil,651,592,707
Bermuda,Sweden,409,2779,12490
Bermuda,Russian Federation,123282,9302,620
Bermuda,Cuba,470,759,756
Bermuda,Ireland,829,1032,1726
Bermuda,Indonesia,470,479,425
Bermuda,Barbados,904,584,581
Bermuda,Czech Republic,41,354,34
Bermuda,Malawi,0,0,1173
Bermuda,India,479,294,290
Bermuda,Thailand,485,572,536
Bermuda,Jamaica,975,953,3818
Bermuda,Finland,179,10054,552
Bermuda,Portugal,933,560,589
Bermuda,"Venezuela, Bolivarian Republic of",864,538,1011
Bermuda,Norway,340,510,97
Bermuda,Poland,26943,47309,7411
Bermuda,South Africa,212,248,366
Bermuda,El Salvador,115,111,122
Bermuda,Israel,117,525,660
Bermuda,Colombia,367,122,155
Bermuda,Bahamas,157,171,286
Bermuda,Philippines,1592,382,723
Bermuda,Türkiye,74,185,169
Bermuda,Guatemala,1,24,7
Bermuda,Panama,1,74,70
Bermuda,Malaysia,216,133,240
Bermuda,Luxembourg,11,17,15
Bermuda,Viet Nam,159,1,37
Bermuda,Seychelles,0,0,0
Bermuda,Dominican Republic,49,80,32
Bermuda,Serbia and Montenegro,0,0,
Bermuda,Austria,25,51,65
Bermuda,"Macao, China",207,175,189
Bermuda,Peru,771,2,37
Bermuda,Dominica,25,41,46
Bermuda,Togo,353,504,278
Bermuda,Sri Lanka,33,30,58
Bermuda,Cyprus,10,0,0
Bermuda,Greece,517,461,51
Bermuda,Romania,0,0,1
Bermuda,Pakistan,,,7
Bermuda,Uruguay,21,0,0
Bermuda,Namibia,0,0,0
Bermuda,Bulgaria,3,11,17
Bermuda,Saint Lucia,0,0,1
Bermuda,Mauritius,6,0,0
Bermuda,Chile,0,0,0
Bermuda,Croatia,133,44,0
Bermuda,Morocco,0,0,0
Bermuda,Zimbabwe,0,11,8
Bermuda,Bangladesh,17,12,13
Bermuda,Kenya,0,0,1
Bermuda,Latvia,24,23,2
Bermuda,Lithuania,0,0,0
Bermuda,Ukraine,0,0,807
Bermuda,Bahrain,0,0,27
Bermuda,Ecuador,0,26,0
Bermuda,Guyana,28,465,0
Bermuda,Iceland,0,1,0
Bermuda,Côte d'Ivoire,28,13,0
Bermuda,Kazakhstan,1221212,2011298,2192635
Bermuda,Lebanon,0,0,5
Bermuda,Madagascar,0,0,5
Bermuda,Slovenia,3,11,17
Bermuda,Tunisia,16,332,52
Bermuda,Egypt,0,0,1
