reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Bhutan,India,23314,24856,52813
Bhutan,Japan,83,40,59
Bhutan,Switzerland,0,0,0
Bhutan,France,1853,555,153
Bhutan,Austria,6,30,50
Bhutan,Honduras,78,6,45
Bhutan,"Korea, Republic of",0,0,38
Bhutan,United States of America,953,972,527
Bhutan,Dominican Republic,116,1029,279
Bhutan,United Kingdom,100,208,63
Bhutan,Colombia,30,58,170
Bhutan,China,15,21,5
Bhutan,Pakistan,,,158
Bhutan,Australia,0,5,150
Bhutan,Brazil,0,0,0
Bhutan,Netherlands,101,97,66
Bhutan,Serbia and Montenegro,70,156,
Bhutan,Poland,297,0,0
Bhutan,Bahrain,17,62,23
Bhutan,Czech Republic,0,8,0
Bhutan,Germany,9,58,58
Bhutan,Zambia,13,0,14
Bhutan,Rwanda,0,0,0
Bhutan,Thailand,114,84,28
Bhutan,Denmark,3,1,4
Bhutan,South Africa,0,0,0
Bhutan,Egypt,0,0,0
Bhutan,Canada,1,4,10
Bhutan,"Hong Kong, China",0,1,0
Bhutan,Spain,21,1,13
Bhutan,Guyana,0,0,0
Bhutan,Ireland,1,31,20
Bhutan,Philippines,713,148,1193
Bhutan,Hungary,0,0,0
Bhutan,Albania,0,0,0
Bhutan,Croatia,0,0,0
Bhutan,"Tanzania, United Republic of",0,1,7
Bhutan,Faroe Islands,0,2,1
Bhutan,Mayotte,0,0,0
Bhutan,Indonesia,0,0,0
Bhutan,Malaysia,138,119,264
Bhutan,New Zealand,0,4,0
Bhutan,Slovakia,4,0,0
Bhutan,"Macedonia, North",0,0,0
Bhutan,Bangladesh,734,1981,1438
Bhutan,Barbados,1,0,0
Bhutan,Botswana,0,3,0
Bhutan,Cambodia,0,0,18
Bhutan,Chile,0,2,0
Bhutan,Cyprus,1,18,0
Bhutan,Ecuador,0,0,24
Bhutan,Finland,1,0,1
Bhutan,Georgia,10,1,0
Bhutan,Italy,9,0,94
Bhutan,Kazakhstan,21,0,0
Bhutan,Kenya,0,17,37
Bhutan,Lebanon,0,17,0
Bhutan,Malawi,12,0,0
Bhutan,Mauritius,75,0,0
Bhutan,"Taipei, Chinese",2,2,3
Bhutan,Namibia,0,59,0
Bhutan,Norway,36,0,0
Bhutan,Peru,65,0,0
Bhutan,Portugal,2,0,11
Bhutan,Romania,0,1,1
Bhutan,Saint Vincent and the Grenadines,0,15,0
Bhutan,Singapore,7,20,0
Bhutan,Slovenia,0,0,0
Bhutan,Sweden,0,1,16
Bhutan,Tunisia,13,0,0
Bhutan,Türkiye,29,0,0
Bhutan,Uganda,1,0,0
Bhutan,"Venezuela, Bolivarian Republic of",101,0,0
Bhutan,Nepal,,,568
Bhutan,Nigeria,161,502,54
