reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Bolivia,Brazil,535324,632029,701530,850650,1135243,919220,1162675,1511193,1472448,1534061,1609421,1482008,1428162,1506168,1452326,1397294,1025145,1522067,1832713,1798541
Bolivia,China,23591,50541,58349,96735,178560,129715,172983,384540,353077,531469,705941,570293,610027,727940,836028,854148,687776,992391,1067413,1134815
Bolivia,Chile,145843,219771,297953,325464,443445,312445,307551,378041,462719,512904,532949,442189,375188,338939,332624,408018,380138,373471,535388,843546
Bolivia,Peru,131291,154862,189505,223984,350922,321810,383622,460497,560299,589486,654194,591198,561258,625185,659748,698770,532482,699820,803546,534637
Bolivia,United States of America,193855,219479,215323,277722,389103,431679,507981,667847,763010,1050758,1009968,931791,657281,594634,560384,552268,447110,552210,519845,504549
Bolivia,Argentina,287735,379554,380545,462686,606851,580918,608412,757409,852160,792976,792185,619670,559655,616712,657908,617927,523177,564230,541813,471554
Bolivia,Germany,35227,53592,65204,69324,81039,81078,108070,119802,133291,162101,173764,175225,154680,188061,169364,141336,118347,140978,167977,144111
Bolivia,Colombia,59599,49801,58501,65550,101851,90412,106646,141300,125255,143726,138772,149215,148687,155276,142951,134611,102596,127175,135080,123175
Bolivia,Japan,28471,38203,39603,63396,104072,74049,108170,154855,231966,226713,274046,220532,172346,132588,143580,143486,67055,94359,133164,120867
Bolivia,Spain,38035,32020,25885,39870,51950,47838,60557,84457,94758,174714,149450,150262,101593,164756,197500,156631,90636,107940,111847,114516
Bolivia,Paraguay,20919,25119,28464,44324,41422,33375,34725,55660,89078,74964,106751,68475,53647,48013,54514,50683,46985,58445,96235,100958
Bolivia,Italy,21390,21715,23834,30444,41844,49211,59296,85274,95553,129385,132171,118653,89480,128762,91450,70351,48766,77189,86315,91044
Bolivia,Belgium,8510,12033,11056,11369,22126,17649,18210,41619,30900,39055,35060,33656,33916,33918,33364,46744,32107,114519,66172,66019
Bolivia,Netherlands,7631,12721,12234,16360,27720,21899,36995,45350,67759,182095,108411,91642,70384,75511,65915,52959,43718,54152,74694,49856
Bolivia,Sweden,16728,28525,21808,32412,42496,84122,29942,30881,25610,118772,133643,50192,32056,148165,107404,27833,13235,18168,38963,44527
Bolivia,France,20693,17932,23393,22551,26667,36763,29853,35476,34855,48464,107886,61508,68144,71232,78936,100537,33781,37388,41386,38883
Bolivia,Ecuador,7121,7991,9290,12957,22982,10670,13676,22523,22157,23470,26172,36478,31669,35571,37708,37190,29386,36899,38537,35318
Bolivia,"Korea, Republic of",5711,8466,7669,10191,15112,13127,19783,26636,37960,47938,129671,90339,66339,65707,48927,30434,23277,33293,45682,34797
Bolivia,Thailand,2816,2578,3831,6571,9194,7042,14661,24208,33387,53894,71904,57934,38598,28283,40624,30346,16715,26825,39877,33077
Bolivia,"Hong Kong, China",2517,2533,5200,8051,11600,17411,25131,20400,21405,28364,37205,68328,46065,32170,38669,23996,19755,28352,26495,28780
Bolivia,Türkiye,689,389,717,1736,5220,3341,5872,9571,11957,16907,18303,15513,14550,21100,20492,23286,21889,45326,23927,26615
Bolivia,Malaysia,556,974,828,1779,2489,1547,2602,3096,2315,4982,36030,7035,7170,8140,11869,13155,11028,20372,21717,22032
Bolivia,United Kingdom,9039,20261,11167,14722,26413,22835,23982,28563,35101,36350,32765,36194,23614,24370,42411,25377,14998,16467,17980,21679
Bolivia,Guatemala,299,272,332,675,1364,1596,1042,1003,1175,1986,1727,1183,2130,2226,3136,5045,5893,6521,10993,16880
Bolivia,Hungary,174,86,4139,7938,2453,840,1098,21654,1586,2200,3447,14555,15775,20811,17053,26320,6866,27877,16528,16052
Bolivia,Canada,9183,13227,23114,14146,44709,10968,47504,16598,34046,25351,37272,22328,19020,41569,20034,19331,12184,10378,16726,14375
Bolivia,Austria,1982,2490,2445,5993,8579,5523,11341,10031,12319,34302,65747,22555,39430,163635,49454,18916,19970,16648,13229,13566
Bolivia,Switzerland,5998,8975,6498,12913,10025,11583,12264,17510,37200,25085,31262,15399,33813,27267,24047,23028,14009,24616,14031,12021
