reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Bosnia and Herzegovina,Croatia,560562,704435,892443
Bosnia and Herzegovina,Germany,354322,409181,498649
Bosnia and Herzegovina,Serbia and Montenegro,248989,331383,
Bosnia and Herzegovina,Slovenia,397523,466057,533209
Bosnia and Herzegovina,Italy,347678,384132,436241
Bosnia and Herzegovina,Austria,160261,219165,238642
Bosnia and Herzegovina,Hungary,211930,233724,284571
Bosnia and Herzegovina,Czech Republic,69890,82648,86718
Bosnia and Herzegovina,Türkiye,27586,43264,63227
Bosnia and Herzegovina,Poland,38445,69964,83402
Bosnia and Herzegovina,Netherlands,40972,53137,55303
Bosnia and Herzegovina,France,46554,48985,62100
Bosnia and Herzegovina,Belgium,26452,26968,34812
Bosnia and Herzegovina,Slovakia,14967,27207,29600
Bosnia and Herzegovina,"Korea, Republic of",4830,2831,5499
Bosnia and Herzegovina,Russian Federation,39975,28259,52898
Bosnia and Herzegovina,Romania,12264,14598,17235
Bosnia and Herzegovina,Spain,29623,35561,37450
Bosnia and Herzegovina,"Macedonia, North",16283,18310,23793
Bosnia and Herzegovina,Switzerland,17014,22894,27222
Bosnia and Herzegovina,Sweden,12562,12885,18226
Bosnia and Herzegovina,United Kingdom,22232,24692,20611
Bosnia and Herzegovina,United States of America,43097,31671,21165
Bosnia and Herzegovina,Greece,11694,12340,18815
Bosnia and Herzegovina,China,1543,3085,5713
Bosnia and Herzegovina,Denmark,17816,12933,8818
Bosnia and Herzegovina,Bulgaria,10082,10773,9716
Bosnia and Herzegovina,Ireland,4619,4894,4310
Bosnia and Herzegovina,Ukraine,10527,22431,12402
Bosnia and Herzegovina,Brazil,2479,1812,6622
Bosnia and Herzegovina,Argentina,212,396,836
Bosnia and Herzegovina,Belarus,633,4020,77
Bosnia and Herzegovina,India,1072,2526,1977
Bosnia and Herzegovina,Norway,2265,1688,1027
Bosnia and Herzegovina,Finland,1509,1841,5051
Bosnia and Herzegovina,Jordan,167,498,1293
Bosnia and Herzegovina,Australia,173,1537,439
Bosnia and Herzegovina,Israel,2122,1481,1133
Bosnia and Herzegovina,Syrian Arab Republic,0,0,401
Bosnia and Herzegovina,Canada,839,439,2013
Bosnia and Herzegovina,"Taipei, Chinese",581,920,1047
Bosnia and Herzegovina,Luxembourg,1012,1250,1152
Bosnia and Herzegovina,"Hong Kong, China",1185,828,839
Bosnia and Herzegovina,South Africa,588,380,188
Bosnia and Herzegovina,Japan,1319,1636,807
Bosnia and Herzegovina,Indonesia,243,209,562
Bosnia and Herzegovina,Lithuania,307,620,1580
Bosnia and Herzegovina,"Iran, Islamic Republic of",417,719,1014
Bosnia and Herzegovina,Mozambique,77,0,689
Bosnia and Herzegovina,Pakistan,,,152
Bosnia and Herzegovina,Egypt,428,282,281
Bosnia and Herzegovina,Portugal,557,981,3046
Bosnia and Herzegovina,Albania,8,74,42
Bosnia and Herzegovina,Philippines,680,1199,1367
Bosnia and Herzegovina,Malta,0,0,74
Bosnia and Herzegovina,Colombia,0,2,22
Bosnia and Herzegovina,Zimbabwe,0,0,364
Bosnia and Herzegovina,Latvia,72,102,144
Bosnia and Herzegovina,"Moldova, Republic of",126,550,405
Bosnia and Herzegovina,Kenya,11,0,11
Bosnia and Herzegovina,Cyprus,224,277,146
Bosnia and Herzegovina,Sri Lanka,0,8,84
Bosnia and Herzegovina,Tunisia,0,0,25
Bosnia and Herzegovina,Malaysia,208,868,658
Bosnia and Herzegovina,Morocco,0,160,64
Bosnia and Herzegovina,Viet Nam,151,154,84
Bosnia and Herzegovina,Lebanon,13,23,101
Bosnia and Herzegovina,Uruguay,0,0,0
Bosnia and Herzegovina,Kyrgyzstan,0,0,0
Bosnia and Herzegovina,Mauritius,0,0,0
Bosnia and Herzegovina,Bangladesh,0,0,4
Bosnia and Herzegovina,"Macao, China",10,2,0
Bosnia and Herzegovina,Botswana,0,0,4
Bosnia and Herzegovina,Peru,1,0,0
Bosnia and Herzegovina,Guyana,20,0,0
Bosnia and Herzegovina,Ecuador,0,2,3
Bosnia and Herzegovina,Estonia,3,85,93
Bosnia and Herzegovina,Namibia,0,1,0
Bosnia and Herzegovina,Kuwait,0,2,8
Bosnia and Herzegovina,New Zealand,126,36,106
Bosnia and Herzegovina,Dominican Republic,0,6,2
Bosnia and Herzegovina,Iceland,89,29,4
Bosnia and Herzegovina,Ghana,0,,0
Bosnia and Herzegovina,Azerbaijan,3,5,0
Bosnia and Herzegovina,Bahrain,0,0,80
Bosnia and Herzegovina,Cambodia,0,0,108
Bosnia and Herzegovina,Chile,18,85,20
Bosnia and Herzegovina,Gabon,3,0,0
Bosnia and Herzegovina,Georgia,3,0,0
Bosnia and Herzegovina,Honduras,0,21,0
Bosnia and Herzegovina,Kazakhstan,0,0,83
Bosnia and Herzegovina,Nicaragua,0,1,0
Bosnia and Herzegovina,Qatar,0,34,0
Bosnia and Herzegovina,Singapore,238,178,0
Bosnia and Herzegovina,"Tanzania, United Republic of",15,3,6
Bosnia and Herzegovina,"Venezuela, Bolivarian Republic of",0,7,0
