reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Botswana,Zimbabwe,16242,47136,62137
Botswana,Sweden,26896,37079,59609
Botswana,United States of America,43212,31701,25867
Botswana,Switzerland,1335,2035,25267
Botswana,China,14232,18978,22770
Botswana,United Kingdom,34919,25263,21559
Botswana,Israel,16842,10168,1106
Botswana,Canada,1189,2317,3485
Botswana,Namibia,6200,6070,9078
Botswana,France,24705,14642,25509
Botswana,Germany,15157,13526,12806
Botswana,"Taipei, Chinese",332,854,1934
Botswana,India,5256,3815,4958
Botswana,Japan,1508,1349,3050
Botswana,Netherlands,17091,16128,18631
Botswana,Portugal,13853,16452,14041
Botswana,Italy,10465,3889,3459
Botswana,"Korea, Republic of",3003,2279,2874
Botswana,Australia,1814,2242,1394
Botswana,Finland,2389,2078,1251
Botswana,Belgium,2098,2469,6960
Botswana,Zambia,3896,9636,3627
Botswana,"Hong Kong, China",2913,3178,3803
Botswana,Hungary,36,243,732
Botswana,Malawi,645,1249,1231
Botswana,Denmark,890,899,916
Botswana,Malaysia,724,696,540
Botswana,Brazil,628,2309,659
Botswana,Spain,914,1332,909
Botswana,Austria,3633,617,1267
Botswana,Indonesia,350,220,505
Botswana,Thailand,324,261,955
Botswana,Malta,0,925,0
Botswana,Mozambique,7,162,1744
Botswana,Mauritius,815,433,464
Botswana,Cyprus,1215,612,398
Botswana,Ireland,1723,1279,3004
Botswana,Pakistan,,,404
Botswana,Türkiye,243,240,439
Botswana,Greece,460,120,239
Botswana,Norway,2363,286,288
Botswana,Kenya,104,111,402
Botswana,Saudi Arabia,0,0,0
Botswana,Eswatini,7,0,11
Botswana,Luxembourg,0,19,22
Botswana,Kuwait,0,0,0
Botswana,Uruguay,91,194,210
Botswana,Poland,1762,316,443
Botswana,"Tanzania, United Republic of",226,39,132
Botswana,Sri Lanka,128,10,10
Botswana,Senegal,0,0,0
Botswana,Colombia,0,36,23
Botswana,Estonia,0,0,3
Botswana,Oman,0,0,32
Botswana,New Zealand,15,20,7
Botswana,Argentina,0,0,12
Botswana,Belarus,0,19,0
Botswana,Czech Republic,1581,1693,3
Botswana,Ghana,35,,34
Botswana,Egypt,38,27,0
Botswana,Russian Federation,3,1,0
Botswana,Cameroon,0,0,0
Botswana,Algeria,17415,0,0
Botswana,Romania,4,7,82
Botswana,Ecuador,8,0,0
Botswana,Slovakia,0,0,25
Botswana,Croatia,0,2831,1
Botswana,Bosnia and Herzegovina,,,0
Botswana,Serbia and Montenegro,1,0,
Botswana,Ukraine,0,16,0
Botswana,Albania,0,0,3
Botswana,Bulgaria,422,717,0
Botswana,Cambodia,0,0,4
Botswana,Cuba,0,2,0
Botswana,El Salvador,0,305,0
Botswana,Gabon,0,11,0
Botswana,Georgia,0,19,0
Botswana,Guyana,3,0,0
Botswana,"Iran, Islamic Republic of",102,174,165
Botswana,Côte d'Ivoire,26,16,0
Botswana,Latvia,0,0,22
Botswana,Madagascar,0,0,4
Botswana,Morocco,11,7,4
Botswana,Papua New Guinea,168,0,0
Botswana,Paraguay,0,0,53
Botswana,Philippines,52,1,12
Botswana,Singapore,1335,1955,0
Botswana,Viet Nam,6,55,67
Botswana,Slovenia,0,0,177
Botswana,Sudan (before 2012),0,0,0
Botswana,Trinidad and Tobago,4,0,11
Botswana,Tunisia,1,0,0
Botswana,Uganda,15,6,111
Botswana,Lesotho,290,0,62
Botswana,Nigeria,0,0,9
