reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Brazil,United States of America,15879440,12375975,11210932
Brazil,Germany,5027010,4581964,4620802
Brazil,Argentina,6205630,4827791,4663289
Brazil,China,1350925,1466382,2143256
Brazil,Japan,2474448,1812270,1880629
Brazil,France,2464636,2557786,1692067
Brazil,Italy,2321600,1868692,1798404
Brazil,Algeria,991858,910472,1124616
Brazil,"Korea, Republic of",1611210,1247242,1137426
Brazil,Chile,909577,742394,947584
Brazil,United Kingdom,1174435,1332742,1354762
Brazil,Paraguay,1405926,1487598,1470596
Brazil,Spain,1219702,962813,1014431
Brazil,Belgium,869333,817993,888489
Brazil,Switzerland,733431,710828,865240
Brazil,"Hong Kong, China",627828,613679,570467
Brazil,Netherlands,718179,685441,650424
Brazil,Canada,618640,488499,636007
Brazil,"Taipei, Chinese",569717,471923,453137
Brazil,"Bolivia, Plurinational State of",299550,336568,503969
Brazil,Sweden,661915,524160,541830
Brazil,Mexico,713648,657550,620976
Brazil,"Venezuela, Bolivarian Republic of",674936,588445,259634
Brazil,India,230498,361177,388209
Brazil,Israel,392032,322115,364145
Brazil,Uruguay,440695,431790,471026
Brazil,Australia,244918,218261,301490
Brazil,Finland,385323,329125,240491
Brazil,Thailand,160643,161240,298482
Brazil,Russian Federation,191162,229980,256848
Brazil,Singapore,261460,276793,234354
Brazil,Peru,227057,193749,231229
Brazil,Indonesia,201953,327484,244356
Brazil,Malaysia,161863,217092,194345
Brazil,Norway,173969,221720,251741
Brazil,Austria,326371,237122,218144
Brazil,Morocco,80298,142317,181799
Brazil,South Africa,271679,177265,177082
Brazil,Portugal,201115,154685,146202
Brazil,Ukraine,35933,47789,177944
Brazil,Ireland,202202,118258,160209
Brazil,Denmark,147644,114670,145582
Brazil,Belarus,76705,89419,113371
Brazil,Colombia,166704,107823,92848
Brazil,Poland,86252,98048,96588
Brazil,Hungary,56094,51599,64180
Brazil,Dominican Republic,174,970,1355
Brazil,Czech Republic,39041,49524,52217
Brazil,Ecuador,15096,13991,19373
Brazil,Türkiye,89818,48979,50165
Brazil,Tunisia,18510,32276,44280
Brazil,Cuba,8273,6962,20253
Brazil,Trinidad and Tobago,42493,18419,30879
Brazil,Bulgaria,6976,15345,20172
Brazil,Luxembourg,22179,8749,7674
Brazil,Greece,18662,18435,23801
Brazil,Viet Nam,15098,12165,22572
Brazil,Philippines,37143,34686,23845
Brazil,New Zealand,30987,35914,19228
Brazil,Costa Rica,16526,23297,16768
Brazil,Slovakia,3291,3577,7136
Brazil,Egypt,25523,14269,12742
Brazil,Syrian Arab Republic,50830,27781,20619
Brazil,Côte d'Ivoire,12767,19916,31879
Brazil,Slovenia,20749,7585,7724
Brazil,Saudi Arabia,4715,4205,9465
Brazil,Romania,15785,9369,5503
Brazil,Estonia,8078,9078,13446
Brazil,Lebanon,2158,6687,7538
Brazil,Sri Lanka,2616,2576,3773
Brazil,Malta,1781,1191,15233
Brazil,Bangladesh,6339,7247,6497
Brazil,Pakistan,,,4536
Brazil,Togo,1488,619,3319
Brazil,"Iran, Islamic Republic of",4072,2369,4123
Brazil,Suriname,360,,
Brazil,Angola,,,
Brazil,Malawi,1209,3888,1201
Brazil,Iceland,926,905,477
Brazil,Kazakhstan,7,4,14
Brazil,Cameroon,432,723,909
Brazil,Yemen,,,
Brazil,Croatia,2540,2161,2737
Brazil,"Tanzania, United Republic of",227,499,1047
Brazil,Guatemala,251,581,540
Brazil,Serbia and Montenegro,110,29,
Brazil,Mali,2381,877,0
Brazil,Jordan,3402,1351,624
Brazil,Benin,10414,914,882
Brazil,Honduras,280,156,375
Brazil,Ethiopia,220,0,98
Brazil,Kenya,229,89,334
Brazil,El Salvador,6421,163,141
Brazil,Latvia,617,536,201
Brazil,Bahamas,601,395,495
Brazil,Lithuania,135,273,143
Brazil,Cambodia,45,280,112
Brazil,Jamaica,37,49,51
Brazil,Grenada,193,88,4
Brazil,Ghana,214,,2
Brazil,Mozambique,0,88,1904
Brazil,Mauritius,73,261,280
Brazil,Kuwait,41,34,22
Brazil,Uganda,33,50,18
Brazil,Albania,0,0,43
Brazil,Cyprus,148,1501,0
Brazil,Namibia,130,39,180
Brazil,Barbados,71,3,95
Brazil,Panama,0,0,51
Brazil,French Polynesia,6,31,29
Brazil,"Moldova, Republic of",0,0,30
Brazil,Madagascar,25,28,54
Brazil,Bahrain,0,56,23
