reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Brunei Darussalam,Australia,543163,551269,885810,977173,1110471,590404,997069,1310645,1089400,828608,870302,307928,227361,206326,558514,825977,1018309,1631944,3003791,2490063
Brunei Darussalam,Japan,1891712,2286984,2336730,2504092,4539954,3334652,4109744,5705326,5990678,4741703,4012452,2499257,1752560,1717829,2272162,2478628,1745059,2364313,2537450,1960272
Brunei Darussalam,China,251055,207728,215312,246077,88885,282146,664330,566816,373085,89804,189717,97273,225718,351840,247641,452877,1475994,2221839,2247559,1948436
Brunei Darussalam,Singapore,154836,148750,219545,140552,193972,93114,130765,194750,130642,55338,231621,137825,82755,304748,525311,421665,787094,1270097,1965079,1823399
Brunei Darussalam,Malaysia,13128,12313,75318,95389,99211,67270,48328,49633,52515,329064,253550,140736,157356,603852,433839,468737,460947,544775,1323780,643065
Brunei Darussalam,Thailand,388392,205518,127107,111066,90132,109189,98501,132010,442142,546548,653906,710071,626099,653527,877726,579269,415340,578055,731159,603859
Brunei Darussalam,"Korea, Republic of",693267,786884,1205629,934960,1724487,969018,1521542,2010366,1982903,1934695,1292181,967140,711444,795219,610359,408234,215455,122519,295498,405627
Brunei Darussalam,"Taipei, Chinese",199,32,2172,952,1076,511,10996,41976,37829,61646,465513,355058,121090,222806,386904,158559,155853,149277,22077,278651
Brunei Darussalam,United States of America,428462,589611,574926,418553,117081,42671,13271,25882,89103,17873,32883,20096,13991,23409,102042,43922,90302,18466,91773,246791
Brunei Darussalam,New Zealand,170190,97509,279158,137355,359871,318771,452897,458161,973588,489496,378822,368759,151856,13,31,20,39237,79084,105425,62436
Brunei Darussalam,South Africa,13,2,48,64,38,25,39,156,126,20,6,15,220,331,9629,1097,199,72,60,52478
Brunei Darussalam,"Hong Kong, China",2577,536,1184,1211,718,1440,5048,5607,5669,5381,5134,6588,3696,6764,6490,28682,20364,66737,17870,43307
Brunei Darussalam,Chile,0,0,0,1,131,2,1,5,7,15,2,1,0,1,1,19,0,152,27059,33595
Brunei Darussalam,Brazil,6,19,16204,136,95,1,335,68,23,452,848,577,202,187,278,103,114,79,20462,15512
Brunei Darussalam,Colombia,16,31,7,1,1,22,12,36,5,1,5,1,20,8,67,1,239,3,5,8297
Brunei Darussalam,Germany,1643,1887,1396,3250,3220,3599,1032,3490,4901,2458,7006,913,1066,798,1547,1079,1975,1336,3752,4253
Brunei Darussalam,United Kingdom,66151,60005,76615,49004,45532,35719,21878,34208,92687,68193,118248,48298,41831,11954,3047,1833,2773,2357,24357,851
Brunei Darussalam,Netherlands,2305,695,109,144,315,1481,1220,727,3763,2414,517,155,983,711,724,653,11587,5461,6104,600
Brunei Darussalam,Spain,20,1459,35,22,151,18,414,62,1,29,32,35,768,95,85,205,293,25,880,553
Brunei Darussalam,France,412,686,831,2737,1270,520,1149,1106,1518,1644,1642,1386,1736,3070,1022,793,451,964,957,535
Brunei Darussalam,Italy,654,172,184,71,350,148,525,737,165,791,1705,36,151,409,1520,248,775,597,794,526
Brunei Darussalam,Canada,2707,2768,1670,1956,2343,1685,26,8217,6679,6380,6473,3437,1572,4172,5809,296,1380,773,476,509
Brunei Darussalam,Switzerland,7,37358,39433,11613,9981,2268,6170,268,10981,409,2904,2609,2076,2284,2658,19441,35,47,85,252
Brunei Darussalam,Belgium,129,117,281,60,59,12,173,34,8,87,7,65,6,13,44,124,143,158,395,134
Brunei Darussalam,Türkiye,2,26,11,6,3,1,0,35,2,0,59,16,3,36,3,1,14,6,8,122
Brunei Darussalam,Poland,13,14,22,240,24,3,9,42,5,10,21,88,407,479,123,683,664,62,335,91
Brunei Darussalam,Peru,1,0,2,0,1,3,6,16,1,6,1,91,116,11,5,3,3,14,4,71
Brunei Darussalam,Austria,63,25,175,60,66,26,17,293,125,200,78,122,55,139,242,130,57,47,110,70
Brunei Darussalam,Denmark,0,0,90,152,90,18,94,266,385,465,1087,39,72,209,73,50,22,70,94,51
Brunei Darussalam,Greece,0,38,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Brunei Darussalam,Czech Republic,16,715,524,50,1,0,3,8,20,58,156,79,28,39,6,28,16,31,35,33
Brunei Darussalam,Ireland,69,67,55,16,5,12,155,14,6,10,42,159,39,52,8,78,248,291,8,32
Brunei Darussalam,Sweden,67,44,2,3,73,86,5,168,1,34,212,53,64,145,44,2,5,55,117,28
Brunei Darussalam,Romania,0,0,26,0,0,0,0,0,14,0,2,0,0,4,1,23,0,3,9,24
Brunei Darussalam,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,3,23
Brunei Darussalam,Slovakia,0,5919,1,0,160,3,2,34,4,2,80,1,8,4,3,8,30,13,18,21
Brunei Darussalam,Argentina,0,0,0,0,3,0,0,0,2,8,0,0,3,0,0,20,53,91,88,19
Brunei Darussalam,Serbia,,,0,0,1,0,16,3,1,2,0,15,0,15,0,9,1,7,3,15
Brunei Darussalam,Belize,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,13
Brunei Darussalam,Ukraine,0,114,0,49,0,1,0,7,0,0,0,0,1,24,5,0,5,48,16,7
Brunei Darussalam,Bosnia and Herzegovina,0,0,0,0,0,3,0,2,3,30,0,32,0,1,27,15,5,10,14,5
Brunei Darussalam,Costa Rica,0,0,7,4,9,6,1,0,0,0,0,0,0,0,0,10,0,0,0,5
Brunei Darussalam,Norway,0,88,8,30,6,0,3,144,43,3,215,21,6,2862,9,309,10,5,61,5
Brunei Darussalam,Croatia,12,0,78,6,9,1,0,4,0,0,0,0,0,0,17,1,0,0,0,3
Brunei Darussalam,Estonia,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
Brunei Darussalam,Latvia,0,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
