reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Bulgaria,Germany,1196130,1330641,1775497,1977774,2085705,1816901,2180632,2904827,2863139,3621525,3440009,3215834,3545143,4389456,5097095,5194497,5266303,6227815,7170332,6434334
Bulgaria,Romania,348890,394314,488921,839633,1533318,1312638,1900085,2198363,1965470,2023252,2231527,2064022,2322634,2441920,2715964,2844971,2867501,4951213,9363211,6149713
Bulgaria,Italy,1342224,1511738,1606222,1726306,1726404,1551893,2144143,2920350,2870095,3144205,3023049,2549583,2785009,2518476,2865311,2709992,2308357,3332492,4019174,4091861
Bulgaria,Greece,574571,733450,975670,1180461,1883969,1349144,1510855,1748934,1688270,1832856,1887659,1536610,1639003,1788817,2038452,2033190,1791205,2315507,2752443,3265865
Bulgaria,Türkiye,959471,1190079,1663425,1951656,1840008,1116902,1702534,2474621,2753650,2810687,2924659,2254150,2139942,2773127,2501393,2384901,2124160,2545472,2693313,2407313
Bulgaria,Ukraine,74448,108688,130410,169583,239353,151763,217998,269655,280534,300975,238352,253119,172874,189933,259422,459339,289909,542296,2054220,2221271
Bulgaria,Poland,131196,167303,236746,272993,412136,257798,333179,447420,366848,468725,542434,498847,542416,611441,762137,724558,761756,943817,1480696,2089106
Bulgaria,Belgium,631564,713640,1001698,1142961,1249452,1059498,999724,1523582,1078826,877075,1236437,1016768,742357,1340183,1205486,1052895,1311469,1424078,1419680,1705544
Bulgaria,United States of America,545532,493362,495182,453060,416926,240871,273615,433613,532407,537674,632197,626415,628810,685296,1018182,943625,884080,1203421,1583140,1622007
Bulgaria,China,67141,89119,81851,158004,216782,140997,322999,459982,840157,956743,984860,753035,583806,965340,1149083,1164137,1370982,1797759,1271674,1577234
Bulgaria,France,600682,636351,691842,702545,852768,740805,856935,1208260,1047476,1289755,1323260,1138180,1256030,1235899,1328264,1270124,1205304,1401324,1536424,1511827
Bulgaria,Spain,335777,442519,557409,346460,420224,479977,483477,651306,645638,633469,617522,564184,702015,832039,715875,804205,735945,972558,1270358,1374667
Bulgaria,Netherlands,141649,147542,194881,213769,322685,261197,258729,479023,377961,577960,684874,618608,682886,680449,787833,812565,857769,991381,1447470,1106775
Bulgaria,United Kingdom,290584,314267,381986,465591,434057,281522,350294,469739,418475,579577,583385,563620,558545,580706,684559,747260,587490,624005,1060682,1020078
Bulgaria,Austria,251925,292197,371075,351882,461977,328939,426570,540362,479866,514989,528335,459040,514008,589491,610771,591121,569827,833891,1033126,951704
Bulgaria,Czech Republic,88203,86330,104796,144991,173512,144261,176072,266195,259650,313839,349690,337748,393570,588157,792513,783390,751726,806920,1060374,947478
Bulgaria,Serbia,,,421070,586664,746561,397654,580892,480110,500878,439437,410535,334522,361510,470372,508078,518557,462416,709313,867607,863886
Bulgaria,Hungary,90696,94710,126995,129023,158755,136338,201947,280677,255544,325213,379506,375402,363706,422508,473233,486832,575728,793708,746026,655048
Bulgaria,Slovakia,33710,48031,85335,107293,100986,61881,98696,124842,134787,180445,146298,146853,152018,189138,272793,333105,267226,301470,374462,525602
Bulgaria,Switzerland,63532,83479,124005,107464,116668,117424,101788,136101,283105,285479,246316,219465,264522,314535,329718,344528,344269,443723,498536,489777
Bulgaria,"Korea, Republic of",19829,24032,56574,36859,63897,40436,117024,140398,184457,171889,190091,101707,102126,154225,179426,254601,208760,436183,310624,358350
Bulgaria,Croatia,50555,162345,293313,164649,176274,78842,94275,142241,114579,71392,124685,106756,186219,152402,221543,181001,195679,390430,429082,354962
Bulgaria,Sweden,47646,56581,69628,100226,97551,103298,89676,123562,100501,121381,136726,151809,181602,232440,245028,279206,273060,296028,293028,326103
Bulgaria,Slovenia,35529,61033,123244,260455,202450,68173,158996,189719,166305,128745,100937,106462,115899,146341,161563,181152,158232,186582,248959,290168
Bulgaria,Denmark,38326,42045,38435,29662,46895,44232,68926,115594,106640,119445,131957,120305,130322,147995,149287,150127,198204,231043,224775,240181
Bulgaria,Canada,62942,73721,98134,112558,110117,104911,64701,152430,200467,166092,108978,100979,105691,106722,142804,150451,237467,155588,191935,233187
Bulgaria,Thailand,11849,18329,127161,29829,37241,17979,27497,38733,41965,56340,47941,50704,49577,53446,60006,80221,104905,88209,85492,192933
Bulgaria,Singapore,103404,150959,171040,232842,258003,250801,184254,268086,18477,354484,815518,291233,169254,146364,130270,53765,99829,74273,43615,180000
Bulgaria,South Africa,6168,11612,10361,14386,19454,13625,17196,28581,29061,34548,81031,70075,85466,92674,114190,146771,147030,120941,258166,157172
Bulgaria,Lithuania,19167,17295,19660,25041,36664,26974,51306,42608,50056,66454,63298,55241,65645,75783,91536,83212,88698,101084,158489,142918
Bulgaria,Ireland,14551,15382,24654,16804,10589,14522,14446,14419,15965,29540,44207,77055,45960,28457,55535,42802,43553,53838,59538,130463
Bulgaria,Norway,22262,27383,27671,35151,68770,41243,46198,59884,62362,76492,84427,72024,74418,80046,100851,90811,93350,122756,132575,128498
Bulgaria,Japan,27549,38821,49762,53591,56605,58160,59193,91841,101990,115825,106831,103574,105711,111678,128020,164856,135088,129075,141440,126856
Bulgaria,"Taipei, Chinese",29968,27609,24165,22568,24387,16624,28701,45850,37477,38978,32838,26170,27900,29941,33786,33323,45343,44574,55214,120364
Bulgaria,Cyprus,21888,42905,77015,61932,120394,65973,42208,56217,61783,56894,61384,99046,60554,70444,122339,98464,89333,126979,170856,119881
Bulgaria,Portugal,14318,29968,54120,20706,27629,49355,57074,114258,229195,187155,141403,88001,118184,135113,121674,171884,132747,149232,124733,119604
Bulgaria,Finland,19734,21730,74281,57978,55357,38995,46435,44213,55514,82725,129278,89980,60019,68601,87087,101648,89928,105437,127155,98271
Bulgaria,Latvia,9930,7398,10479,17643,17756,15093,19460,25746,32437,33017,30054,25902,32631,36525,46348,37018,60136,47347,58548,95739
Bulgaria,"Hong Kong, China",5605,4296,10656,17474,31577,23312,51828,66190,48739,52339,51658,48924,51922,53863,64768,59971,60527,80003,79118,83770
Bulgaria,Brazil,71301,86925,50370,52580,117189,32466,47792,88869,86761,37739,40275,43091,46952,48335,62393,56311,54594,77337,162868,82434
Bulgaria,Bosnia and Herzegovina,13375,69418,159410,26516,62828,50518,36834,50548,49090,51625,56351,69367,79193,77984,70071,63262,87751,98545,76086,78529
Bulgaria,Australia,15015,19049,19683,23546,41999,22935,40256,38572,42536,43301,40938,40584,51877,50878,60305,72165,68285,70324,75082,76129
Bulgaria,Estonia,8653,10855,6790,4637,7790,5453,7165,9901,20793,17364,12429,10347,9826,12691,18136,20216,21000,27909,35534,40418
Bulgaria,Peru,915,6848,2599,1491,5371,3680,5102,6860,7442,16639,8974,7599,10895,13518,19594,15968,9562,11804,17842,40054
Bulgaria,Malaysia,5730,8485,12084,18131,16795,13316,11588,25833,27580,52579,39404,35151,32261,29314,36798,32523,26270,29659,38925,38083
Bulgaria,Chile,1014,4005,2104,20841,6441,8712,28975,10657,13501,10058,5781,17252,8279,10522,12548,18080,11755,23885,24626,29173
Bulgaria,Malta,11943,2363,3795,22957,4612,2597,3740,113590,33949,17043,26139,32462,39385,17189,15706,16552,20374,23676,14751,19938
Bulgaria,Colombia,6683,9106,7114,7822,8019,4431,9193,8120,8468,7987,9112,13915,7593,8269,14272,19481,8343,9367,18338,17264
Bulgaria,New Zealand,932,1487,2148,2553,3152,3189,3441,7112,9284,7010,13823,30252,18481,22291,14727,15643,12511,15322,16595,17052
Bulgaria,Argentina,4367,5020,11388,29446,36748,6227,10631,43350,9658,18003,10467,11331,15140,39655,17861,16015,13462,36730,31715,16226
Bulgaria,Iceland,1343,1484,1994,3183,2680,1475,1788,2126,2169,3219,4664,4407,4974,8314,10076,7026,8547,12451,10188,10760
Bulgaria,Ecuador,973,581,647,480,792,468,1222,10640,1449,2799,2977,1760,1918,3994,4969,4287,7750,9921,11633,8696
Bulgaria,Luxembourg,609,1204,5342,1072,5743,5567,4455,5095,6072,5816,5413,3896,4721,5858,6121,9282,11993,8365,7563,7857
Bulgaria,Guatemala,126,1163,746,640,2710,1036,807,915,1046,997,1317,2822,6384,6256,4209,4974,3550,4516,11079,6889
Bulgaria,Costa Rica,704,1008,349,604,635,760,1364,858,798,1593,1409,1489,1962,3051,2807,2441,2282,3022,3969,4097
Bulgaria,El Salvador,2422,1316,469,700,392,483,591,832,600,1330,476,452,477,977,1135,1190,8724,2096,2893,3459
Bulgaria,"Bolivia, Plurinational State of",33,60,113,107,195,102,676,401,602,765,1181,1970,837,1322,2854,2588,1597,1931,1854,2393
Bulgaria,Madagascar,156,25,62,293,14711,749,259,234,515,810,2065,918,370,453,1054,437,1132,900,1056,2363
Bulgaria,Paraguay,1131,885,447,1088,3271,1137,3371,3840,2121,3782,3841,1052,2830,2946,4749,4337,4142,2950,3100,2278
Bulgaria,Belize,12,22,0,10,4,0,139,1277,873,2532,721,2365,788,1036,241,253,270,641,597,789
Bulgaria,Cabo Verde,26,0,70,3,15,1845,20,118,118,23,8,11,4,22,410,19,57,180,63,471
Bulgaria,Bulgaria,0,0,0,27979,19422,13950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,Cayman Islands,,,,,,,,,,,,,,,,,2,15,,
Bulgaria,Liberia,,,,,,,,,,,,,,30,1065,1004,225,136,379,
Bulgaria,Uzbekistan,,,,,,,,,,,,,,12956,17548,23393,23184,26710,34531,
Bulgaria,Curaçao,,,,,,,,,,,,,,65,240,27,295,,,
Bulgaria,"Congo, Democratic Republic of the",,,,,,,,,,,,553,208,265,142,443,1007,636,14716,
Bulgaria,Tajikistan,,,,,,,,,,,1243,516,793,663,765,3876,729,760,1237,
Bulgaria,Sierra Leone,,,,,,,,,,,439,2344,1384,32,953,,,,,
Bulgaria,Iraq,,,,,,,,,,,234,,,,,,,,,
Bulgaria,Haiti,,,,,,,,,,18,25,161,243,41,,,,,,
Bulgaria,Palau,,,,,,,,,0,,0,2,0,12,1,,,,,
Bulgaria,Bermuda,,,,,,,,,31,47,46,39,71,90,55,78,52,32,30,
Bulgaria,Sudan,,,,,,,,,7897,766,1371,718,1095,30473,1476,,,,,
Bulgaria,Myanmar,,,,,,,3454,6301,2627,15991,3026,2955,4481,4158,4462,5171,7762,3607,1677,
Bulgaria,Lao People's Democratic Republic,,,,,,,0,86,0,0,0,47,28,54,13,696,492,843,,
Bulgaria,Nepal,,,,,,905,597,562,315,874,468,1277,3228,775,1155,3943,2189,685,803,
