reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Bulgaria,Germany,1948032,2282693,2769237,3178967,4072544,2661625,2882183,3297762,3453647,3513650,4359302,3830094,3871152,4233710,4712110,4403465,4166186,5434630,5840926,6334041
Bulgaria,Türkiye,894326,1179313,1568006,2060171,2151534,1385544,1497384,1622777,1684989,2136157,2117335,1676112,2384116,2803182,2669703,2668830,2634706,3954032,4721898,4235474
Bulgaria,Romania,451280,735150,919989,1301868,2072042,1550931,1771007,2270265,2231553,2254353,2359220,2021623,2047435,2372988,2603494,2716467,2588939,3459541,3763155,4178853
Bulgaria,Greece,967041,1014015,1323724,1521303,2017090,1447665,1448665,1782396,1944935,1852436,1785447,1416119,1382670,1521239,1679003,1746443,1682450,2218876,4435023,3825647
Bulgaria,Italy,1305416,1527906,1967458,2452108,2832797,1711729,1867643,2222633,2087164,2541514,2501374,2222490,2310134,2474748,2885455,2894885,2499501,3075187,3400479,3546639
Bulgaria,China,337968,441637,1782818,818657,1124845,596052,660906,1005616,1054597,1116984,1178062,1044137,1059033,1166945,1442481,1554788,1547027,2312182,2851996,2647121
Bulgaria,Netherlands,357645,378612,444124,683803,816433,576765,638226,732267,805864,921639,1064043,995303,936128,1109076,1283566,1238115,1260701,1901026,2129639,2470425
Bulgaria,Poland,177630,256728,399143,541047,754845,481596,526824,591315,642020,983056,933394,954118,1059316,1084815,1258907,1178795,1220829,1639029,1900628,2195269
Bulgaria,Hungary,276057,406764,568450,815508,1110210,732995,782354,997365,975503,998360,1119582,1038442,1081845,1312466,1300016,1309444,1407949,1581598,1731125,1820095
Bulgaria,Czech Republic,235003,286434,376216,533869,716068,505657,517474,573700,677905,743802,944378,822364,807722,817520,999177,1039573,1003433,1221706,1340003,1543642
Bulgaria,Belgium,242860,272947,337050,562693,700061,439631,435772,540355,576296,654215,777899,758076,809248,853091,928124,934225,805133,1175338,1318750,1395469
Bulgaria,France,561851,625866,805465,792298,1006807,677328,811734,858378,873145,914577,966355,853172,847673,937142,1031256,1054238,950733,1145506,1248379,1367249
Bulgaria,Austria,483364,560297,700120,951815,1322248,822572,796251,869084,803151,808450,836699,702156,704050,773190,867050,909383,872789,984300,1197875,1329101
Bulgaria,Spain,239585,267187,308308,335084,439951,512326,575083,1610955,1341782,1737043,1567698,1260315,875565,1703886,1736231,1486671,726764,903505,1164960,1242341
Bulgaria,Serbia,,,154165,218114,251349,198697,241159,325328,286865,335686,384022,380821,422309,662233,724932,647067,622953,828708,920509,1050505
Bulgaria,Ukraine,497503,543014,595725,553973,1105913,395529,450929,755414,568755,591262,550604,419493,418186,429905,513862,482168,511503,835271,1427093,904608
Bulgaria,Slovakia,80744,95389,124296,217332,352521,355523,366589,518918,429475,484101,461190,477796,434073,542389,589188,587474,529863,712228,681697,798686
Bulgaria,Switzerland,231207,187158,254622,248512,335424,247725,252469,300841,318355,351297,390164,367453,374802,397354,426709,431573,432850,497147,570669,660690
Bulgaria,United States of America,171875,267934,292961,306155,509434,224726,170882,258590,248545,307323,358777,289480,269019,381445,370051,462451,375066,339013,522785,510883
Bulgaria,Slovenia,98295,106895,122246,218895,264388,172157,181540,241990,215944,199486,234442,191429,228025,287279,283003,292570,281882,333093,392133,467535
Bulgaria,United Kingdom,284791,399639,412232,404555,460857,311451,372336,528871,458493,609531,728194,530649,669621,585693,588928,477422,450478,355455,432083,428234
Bulgaria,Sweden,100068,149380,167261,197968,191807,109402,123616,161047,140140,159823,134337,126479,134183,165502,177182,159684,170867,212921,252448,339193
Bulgaria,Brazil,159461,201255,262887,199059,197375,122342,107251,202536,358774,218586,205536,117911,102504,116278,344514,131977,84223,216476,323079,315827
Bulgaria,Denmark,69044,73488,77677,99828,150465,256922,82110,90309,85699,84422,116081,94225,93321,96475,120553,111261,120360,153455,163800,196393
Bulgaria,"Korea, Republic of",279014,193340,181236,191236,152307,71601,131361,176821,104786,120375,117805,107481,134650,137416,174363,165662,157385,166853,166515,196063
Bulgaria,Chile,157636,168551,416316,473516,525645,351029,240126,315724,307653,475328,421325,348238,222804,388870,345626,178796,174143,280881,155313,176098
Bulgaria,Peru,70161,91482,141963,218322,193610,147003,358323,466639,314484,307754,245402,158720,167639,291988,305188,245243,227677,247591,169300,174465
Bulgaria,Croatia,28221,39204,47664,70386,81455,42333,47012,37742,38988,50131,59863,75261,76978,84624,122993,107605,110169,128980,145126,174053
Bulgaria,Ireland,34089,38966,44230,57831,95919,55866,65233,82445,84748,93325,91600,107783,88068,95668,125099,179985,149164,151798,175679,172128
Bulgaria,"Taipei, Chinese",51696,62700,72041,90013,143329,62414,105748,99352,90441,95633,129943,113817,114922,110306,121583,101559,125798,181212,227405,163376
Bulgaria,Canada,39222,39356,46960,29687,75175,62312,114211,192390,169109,71881,87646,67661,249663,280831,177311,186454,183557,146179,90245,162772
Bulgaria,"Hong Kong, China",45514,37131,48274,56701,67825,38371,43751,47383,35065,56149,65145,64600,87166,101871,132580,125633,115852,180428,159820,157256
Bulgaria,Lithuania,14749,14107,30915,26518,40115,24331,43844,55300,61449,68913,64248,61746,59443,64666,85602,109777,98452,117213,168801,154969
Bulgaria,Portugal,25985,19943,17584,26437,39473,22433,95012,84521,86430,73469,95178,84101,82072,88773,150702,129526,92922,147322,144611,152401
Bulgaria,Estonia,2995,3389,3701,7656,6622,5040,12862,6648,12338,22181,31922,20998,21872,30028,40994,43049,50808,87851,77176,145207
Bulgaria,Japan,27944,33034,82176,131426,140622,75801,74980,66653,56892,71123,79268,66007,84003,95485,146330,158838,169541,197079,196975,144521
Bulgaria,Finland,31780,37632,74296,113270,127305,80399,64554,62189,72382,54175,63412,69017,76372,77462,86231,74953,93857,119436,114500,132979
Bulgaria,Thailand,8949,13911,21948,28888,35045,18385,21858,38397,34155,30063,35125,36359,37951,49273,58431,62751,60391,86099,101423,110287
Bulgaria,Malaysia,22284,19887,19057,42585,56911,27849,50789,65509,38479,49121,56377,57756,64178,79542,100815,100684,113067,110376,104488,104499
Bulgaria,Norway,6313,8868,12233,17836,22567,20673,15121,17973,22450,34339,22437,22842,35137,30727,44234,32864,26983,33726,53750,77527
Bulgaria,Ecuador,53,119,368,2943,2189,4073,5345,3590,11237,10020,13249,12087,11495,12699,17144,18125,49606,79281,86016,67825
Bulgaria,Bosnia and Herzegovina,1140,3724,25490,35295,18212,5250,7563,11208,24745,50710,49620,28723,45717,43173,30573,29866,23005,38928,31407,63838
Bulgaria,Latvia,2268,5531,4568,7608,11947,9276,14069,17758,19167,24629,31212,38863,45365,32647,31778,52746,45329,51589,57664,62135
Bulgaria,South Africa,4052,6216,16137,52796,30777,5192,10219,25939,40089,31558,23051,9550,15528,32807,49213,25998,28702,35179,59837,45199
Bulgaria,Luxembourg,5854,4195,8506,19027,24933,9708,12653,15517,16310,25202,26571,25247,22019,23877,29344,29234,32136,26576,36600,34658
Bulgaria,Singapore,8404,7646,20060,4949,13740,8753,15370,15365,15489,14357,25439,21106,21462,39121,90156,242006,30480,34921,143777,28729
Bulgaria,Colombia,248,1618,1915,16291,7073,1785,310,149,467,831,3292,527,4785,6700,542,1028,781,892,823,25647
Bulgaria,Cyprus,11347,8363,5080,7532,17829,11142,10960,12904,13194,11202,10310,11764,10577,15269,30760,20510,23595,27837,28511,21684
Bulgaria,Australia,55073,56851,42213,44573,25078,8506,6441,8801,113857,93775,141731,74040,75708,15793,51416,17753,62746,62020,24566,20037
Bulgaria,Argentina,21888,90041,75095,14497,16024,11088,77093,108937,100833,156874,104718,90685,38308,113692,23791,46690,36706,27361,23255,18608
Bulgaria,New Zealand,996,3655,4982,2585,3583,4297,2614,5635,6127,5041,6342,5771,8778,8723,9322,13271,12271,11760,14453,11067
Bulgaria,Malta,320,529,2086,1874,1547,3882,3416,8325,5343,5178,5931,3831,5655,5654,10594,11981,11006,59516,6453,7781
Bulgaria,Iceland,726,1861,2242,3294,1815,422,455,292,65,496,64,590,1159,2061,1751,2041,2093,2342,976,1453
Bulgaria,Paraguay,0,0,0,0,1,0,3,61,9,30,4,208,224,379,292,817,740,1090,1725,850
Bulgaria,Guatemala,15,48,13,0,0,179,0,734,1721,1633,1968,7307,584,1130,96,2769,2576,133,8222,524
Bulgaria,"Bolivia, Plurinational State of",3,0,0,2,0,321,0,8549,336,222,585,481,124,191,810,218,240,122,944,464
Bulgaria,Belize,0,0,7,197,0,0,0,0,0,188,0,0,0,0,3,19,1,29,2209,410
Bulgaria,Costa Rica,279,22,3780,47,549,1176,776,222,43,17,871,34,185,297,24,21,52,182,152,88
Bulgaria,El Salvador,0,35,0,1,70,3,0,2,11,3,2,0,1,1,13,2,9,14,436,32
Bulgaria,Cabo Verde,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,Madagascar,133,85,201,17,3,15272,630,2,7,296,140,39,115,73,108,59,3,87,7,0
Bulgaria,Liberia,,,,,,,,,,,,,,0,0,0,350,0,0,
Bulgaria,Uzbekistan,,,,,,,,,,,,,,4041,3213,4311,1812,13568,41479,
Bulgaria,Curaçao,,,,,,,,,,,,,,1,16,0,103,,,
Bulgaria,"Congo, Democratic Republic of the",,,,,,,,,,,,9,0,6,34,24,0,78,1,
Bulgaria,Tajikistan,,,,,,,,,,,70,15,0,0,0,0,0,0,22,
Bulgaria,Sudan,,,,,,,,,0,89,2,75,94,55,114,,,,,
Bulgaria,Myanmar,,,,,,,5996,38053,4059,6354,13191,25209,23007,910,4211,4095,3805,3057,17120,
Bulgaria,Lao People's Democratic Republic,,,,,,,0,0,195,38,0,2880,6108,200,10,0,115,5,,
Bulgaria,Nepal,,,,,,70,26,42,21,13,65,12,58,23,26,74,15,53,64,
Bulgaria,Afghanistan,,,,,0,0,0,0,0,0,0,8,0,0,0,0,,,,
Bulgaria,"Libya, State of",,,,0,0,6792,9098,,,,,95058,2231,4709,2485,0,,,,
Bulgaria,Congo,,,,10,0,194,185,9,0,19,0,0,5902,24,659,1,110,0,15,
Bulgaria,"Palestine, State of",,,,0,1,0,0,0,0,33,9,1,0,12,0,0,0,0,0,
Bulgaria,Vanuatu,,,0,0,,3,2,0,,,,,,,,,,,,
Bulgaria,Montenegro,,,80,597,181,182,163,14,544,1878,6635,1652,615,2317,3066,1673,458,820,1289,
Bulgaria,Central African Republic,,,411,0,0,0,0,98,0,0,0,9,9,12,4,4,2,20,0,
Bulgaria,Nigeria,,,2684,9479,309,25240,3358,881,546,4105,15414,832,686,637,924,971,796,9561,3006,
Bulgaria,Antigua and Barbuda,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Bulgaria,United Arab Emirates,,20460,,10459,13669,,,,20295,16957,17531,17697,267153,36581,65238,34883,40602,55196,59267,
Bulgaria,Lesotho,,0,0,0,0,0,0,66,0,0,0,0,70,2,0,0,56,1,0,
Bulgaria,Bhutan,,0,0,0,0,0,0,0,314,,,,,,,,,,,
Bulgaria,Papua New Guinea,10,,,,,,,756,766,,,,,,,105099,123088,37272,,
Bulgaria,Andorra,20,,2,0,0,16,1,3,37,51,16,63,40,22,50,22,31,38,46,
Bulgaria,Kuwait,235,,55,487,60,279,334,271,271,733,1034,363,154,597,987,339,4239,379,81,
Bulgaria,Suriname,2,0,,6,,5,4,9,0,8,5,3,14,7,0,0,89,0,1,
Bulgaria,Mauritania,0,0,,0,0,0,41,0,0,0,95,22,18,0,21,157,0,0,0,
Bulgaria,Togo,0,0,,0,0,0,17,0,0,0,0,2,9,0,0,0,0,5244,50047,
Bulgaria,Cuba,5313,280,265,,,,,,,,,,4241,5471,5631,6443,5156,4592,7047,
Bulgaria,Seychelles,0,0,0,,0,0,1,0,0,5,0,0,0,1,10,0,0,176,0,
Bulgaria,Mongolia,13,122,30,10,,,836,5,2,5,5,0,0,2,141,0,0,0,0,
Bulgaria,Angola,0,0,0,0,,0,0,0,0,0,0,85,34,158,9,0,31,3,0,
Bulgaria,Saint Lucia,0,0,0,0,0,,,,4,0,0,0,0,0,0,0,0,,,
Bulgaria,Mali,16,0,10,2,0,,33,3,7,,,,0,19,476,0,2,0,249,
Bulgaria,Grenada,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bulgaria,Dominica,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,
Bulgaria,Bangladesh,670,1003,1518,4175,1938,3549,1781,3224,5025,9231,,2935,,,,,,,,
Bulgaria,Qatar,58,28,212,185,187,57,66,4,2243,5532,2269,2434,,2716,3022,2992,2357,6577,5895,
Bulgaria,Sri Lanka,568,1107,979,1738,1987,4010,2913,10132,1786,1975,2179,1496,1957,2517,,3857,4138,6811,5246,
Bulgaria,Albania,1589,3603,3315,7506,9527,6578,15690,24059,25523,21966,26143,25070,23796,25787,27212,32101,33448,42062,41514,
Bulgaria,Azerbaijan,49310,100860,6308,5693,194441,128471,136536,410411,597562,119111,61155,498,386,153,39476,79697,553,54042,292122,
Bulgaria,Bahrain,0,29,684,0,247,74,272,0,218,9,4,0,17,56,3804,15675,29738,22936,1255,
Bulgaria,Armenia,4602,821,1275,46893,61222,60018,156547,152211,129287,152205,85575,78927,163440,281709,214887,207411,150777,198428,208353,
Bulgaria,Barbados,0,0,0,0,0,2,0,0,6,13,11,13,5,7,0,1,34,1,1,
Bulgaria,Botswana,40,540,7,561,6,1,3,14,4,5,0,0,1,22,10,59,0,5,14,
Bulgaria,Brunei Darussalam,0,0,0,0,1,0,0,8,0,0,0,0,0,0,50,9,0,0,0,
Bulgaria,Burundi,0,8,0,1,0,0,0,0,0,282,0,1,0,46,0,49,10,0,0,
Bulgaria,Cambodia,9,11,5,20,42,29,23,2260,570,22911,9251,3720,7508,16671,1034,7357,852,897,2089,
Bulgaria,Benin,97,0,0,0,24,424,0,0,0,432,0,3,8,0,0,0,0,0,1128,
Bulgaria,Dominican Republic,34,138,92,179,475,43,223,125,223,16031,412,423,1108,750,891,943,697,990,1602,
