reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Burundi,China,4814,11889,10179,13034,17682,33988,33361,42544,46460,50962,51602,43347,45241,45173,36904,66388,73966,126902,119948,104826
Burundi,Belgium,18340,25878,27782,30695,33824,36155,36085,44206,41585,43898,63878,56691,34454,33748,31162,30599,31397,41645,38134,40493
Burundi,France,16306,12829,12557,21240,24894,16998,19005,27092,19892,18449,19496,18812,23952,11135,13396,8538,8437,10139,9874,14237
Burundi,Türkiye,255,2028,549,766,2072,2073,4387,5959,4153,1523,2518,2510,1866,1973,2508,2669,2898,2353,8531,12772
Burundi,Japan,9071,7942,1745,2146,5447,7687,12580,9409,8801,4717,6533,5051,5186,4935,7295,9889,12720,12647,15116,12532
Burundi,Germany,8700,8260,10360,19015,19791,14279,19328,12711,20552,22286,19501,8000,13648,11634,11272,14965,9785,11353,13862,11062
Burundi,Malta,172,1269,954,1953,991,0,0,0,0,0,258,0,0,22,2,8739,320,2384,29,10681
Burundi,South Africa,5763,5711,7177,6711,6586,9118,9099,5917,8365,5113,6778,5205,2811,4146,3800,4937,8421,5641,8362,6145
Burundi,Netherlands,7601,7547,4444,4021,5124,5283,4850,8619,8351,12394,24209,13862,7411,13100,11692,6162,7144,13269,9460,5812
Burundi,Italy,11475,19345,41640,6150,6419,5772,10539,8238,5607,6260,4542,3383,4594,3478,3844,5704,3479,4099,4772,5243
Burundi,Spain,519,1594,335,2547,1770,2221,1370,932,770,601,578,507,190,230,546,744,1088,1091,506,4828
Burundi,United States of America,17364,8121,6523,6930,7278,8697,14386,32789,19940,16711,5599,5650,8407,8133,14548,2452,5408,4448,5076,4049
Burundi,United Kingdom,2819,3311,1993,2278,1954,3467,5211,3686,5915,4135,5249,3142,2761,3669,5536,6987,4336,4608,4250,3616
Burundi,Denmark,2247,2011,2364,712,1662,1297,2276,1807,1156,1383,1197,1904,1202,1901,3354,2814,1546,2559,3976,3046
Burundi,"Korea, Republic of",660,1028,693,571,150,735,277,482,901,809,2199,1253,1138,3063,2765,696,1669,2330,2014,2968
Burundi,Austria,162,668,220,208,93,326,101,169,184,84,73,148,255,169,248,355,888,924,1383,1935
Burundi,Thailand,1307,5535,810,1328,2841,2020,3345,1213,1092,886,956,556,761,1239,1376,1478,2224,2148,2107,1665
Burundi,"Hong Kong, China",333,353,362,304,1018,2156,727,2623,1356,5614,7237,16187,2115,20493,3941,2046,2215,5397,1667,1283
Burundi,Canada,1106,2103,724,1811,1879,1074,901,1107,1434,2540,2871,375,1094,1221,7457,2240,646,1241,2106,1091
Burundi,Luxembourg,184,234,146,68,6,63,54,8,49,121,8,88,0,0,44,0,0,23,711,1015
Burundi,Slovenia,0,36,28,43,283,92,142,353,436,237,165,199,11,531,386,689,746,207,802,805
Burundi,Czech Republic,118,697,240,231,165,402,445,190,195,185,248,125,191,356,256,885,462,1503,129,779
Burundi,Lithuania,0,0,0,0,0,0,0,0,0,0,1344,52,8,5,4,98,368,272,487,733
Burundi,Switzerland,556,7776,2698,587,932,320,1218,1628,1029,740,1336,701,1223,992,751,271,651,505,573,687
Burundi,Latvia,48,1047,121,1,19,0,0,0,0,1,0,41,30,124,7,599,29,29,21,635
Burundi,Poland,21,7,4,11,63,1212,35,23,5,202,473,263,217,151,888,157,733,176,6139,599
Burundi,Sweden,101,807,352,151,406,438,797,1889,259,707,730,173,228,339,354,185,356,277,670,599
Burundi,Bulgaria,0,25,28,12,4,149,25,5,90,146,166,191,53,938,36,140,45,152,278,420
Burundi,Brazil,151,322,189,170,197,174,205,229,301,175,183,115,77,101,42,209,1,252,6,305
Burundi,Greece,164,293,146,120,138,521,88,161,62,172,1,133,374,593,326,254,223,267,432,274
Burundi,Estonia,1,0,0,0,0,0,0,5,0,0,0,14,0,0,8,0,3104,45,47,246
Burundi,Finland,23,112,93,11,32,229,19,177,90,322,138,3,150,22,30,22,1,416,104,239
Burundi,Portugal,381,674,193,141,360,253,510,310,2444,549,256,22,97,1393,1217,957,1325,1744,151,213
Burundi,Romania,10,35,23,0,166,61,24,51,17,80,95,27,167,114,1,157,294,28,69,137
Burundi,Ireland,67,129,22,151,594,95,170,89,115,116,53,61,94,44,323,32,14,36,48,84
Burundi,Singapore,0,0,0,0,0,0,0,333,30289,40,931,517,20,59,149,15,24,37,255,63
Burundi,"Taipei, Chinese",358,57,2,30,27,14,42,42,99,211,245,21,37,32,26,61,111,27,64,62
Burundi,Norway,151,1053,127,22,47,118,1,71,53,146,44,155,218,86,75,63,37,34,11,47
Burundi,Australia,1013,540,94,11,142,82,81,45,161,63,1933,626,90,0,13,115,45,7138,2111,40
Burundi,Madagascar,0,15,0,1769,15,11,10,1,11,0,11,0,413,363,519,5,0,0,2,22
Burundi,Malaysia,49,105,631,24,146,72,456,820,324,275,509,484,79,1314,687,189,4,312,100,16
Burundi,Ukraine,138,831,260,191,107,497,0,0,2212,2782,251,1818,57,0,268,54,121,1623,46,7
Burundi,Slovakia,993,294,269,1216,300,176,309,66,164,253,4,57,0,0,0,75,0,79,23,5
Burundi,Croatia,1,0,0,1,0,0,127,26,0,4,15,0,30,0,12,0,18,3,216,2
Burundi,Chile,1,0,0,104,0,0,1,0,0,0,652,0,0,0,0,0,0,0,0,1
Burundi,Cyprus,51,86,29,71,30,30,17,50,30,40,38,400,33,347,63,302,197,259,197,1
Burundi,Hungary,0,9,64,1,167,40,9,74,9,29,110,203,66,68,106,113,302,249,36,1
Burundi,New Zealand,116,709,46,34,14,8,132,10,40,6,4,0,0,0,5,45,0,0,0,1
Burundi,Serbia,,,0,0,0,0,0,0,0,92,430,0,0,0,0,0,0,0,0,0
Burundi,Argentina,144,52,16,0,0,0,0,670,0,10,0,17,356,3510,0,0,4551,1958,3442,0
Burundi,"Bolivia, Plurinational State of",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Colombia,4,0,25,0,31,0,60,110,0,6,46,0,5,8,0,0,33,17,0,0
Burundi,Costa Rica,0,38,0,15,68,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0
Burundi,Guatemala,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Burundi,Paraguay,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Peru,26,0,0,14,0,0,0,19,0,23,0,0,0,0,0,19,0,0,0,0
Burundi,Liberia,,,,,,,,,,,,,,0,24,0,0,0,0,
Burundi,"Congo, Democratic Republic of the",,,,,,,,,,,,4591,1450,1363,1016,1504,2146,829,6006,
Burundi,Sierra Leone,,,,,,,,,,,0,0,0,5,0,,,,,
Burundi,Haiti,,,,,,,,,,5,30,11,16,0,,,,,,
Burundi,Sudan,,,,,,,,,2,0,92,19,0,0,0,,,,,
Burundi,Myanmar,,,,,,,0,0,0,0,0,0,108,0,0,0,0,0,0,
Burundi,Nepal,,,,,,0,0,0,4,151,0,0,0,0,27,0,18,0,0,
Burundi,Congo,,,,53,1535,0,0,0,0,0,0,0,0,0,0,104,47,73,0,
Burundi,Montenegro,,,0,0,0,122,0,0,0,400,93,0,0,0,0,0,0,0,0,
Burundi,Central African Republic,,,0,0,0,0,0,0,301,23,2,130,12529,0,60,0,0,0,0,
Burundi,Nigeria,,,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,
Burundi,United Arab Emirates,,6820,,5764,5005,,,,9096,8266,10480,7509,7555,25816,16199,24276,25290,36165,41114,
Burundi,Lesotho,,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,
Burundi,Kuwait,0,,0,0,0,5,0,0,6,0,0,22,0,0,0,3,4,11,21,
