reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Cameroon,France,524937,550747,580409
Cameroon,Belgium,101797,112083,144457
Cameroon,China,29311,43971,64935
Cameroon,United States of America,184011,155802,90744
Cameroon,Germany,119192,92329,83874
Cameroon,Italy,75191,84321,91698
Cameroon,Netherlands,42945,56406,63681
Cameroon,Côte d'Ivoire,30291,41128,59748
Cameroon,United Kingdom,52816,53623,54130
Cameroon,Spain,33714,36393,46313
Cameroon,Thailand,13289,15207,16869
Cameroon,South Africa,28518,34396,66457
Cameroon,"Hong Kong, China",17910,25295,25018
Cameroon,Brazil,13113,13140,19659
Cameroon,Singapore,6106,10434,18236
Cameroon,Türkiye,8903,15281,19615
Cameroon,India,11996,20242,21973
Cameroon,Japan,25290,18634,21584
Cameroon,Indonesia,7423,10558,14201
Cameroon,"Korea, Republic of",6863,11155,9670
Cameroon,Ireland,6399,6050,7257
Cameroon,Switzerland,9044,8097,8635
Cameroon,Ukraine,9163,6533,8555
Cameroon,Senegal,9125,3424,10332
Cameroon,Sweden,13707,6639,12772
Cameroon,Finland,7913,4990,45237
Cameroon,Canada,19499,8960,14024
Cameroon,Romania,2915,4937,6787
Cameroon,Malaysia,3627,7487,4872
Cameroon,Morocco,5332,6790,6548
Cameroon,Costa Rica,1971,2327,1905
Cameroon,Viet Nam,106,201,497
Cameroon,Pakistan,,,4299
Cameroon,Gabon,4253,6450,4650
Cameroon,Denmark,2708,3014,3780
Cameroon,Tunisia,2742,2026,3341
Cameroon,Poland,781,1556,2882
Cameroon,"Taipei, Chinese",7115,3585,4701
Cameroon,Israel,9124,5394,2680
Cameroon,Greece,5964,3675,8156
Cameroon,Argentina,1015,3046,1886
Cameroon,Egypt,2647,7309,3917
Cameroon,Namibia,114,219,581
Cameroon,Portugal,1981,1509,4296
Cameroon,Saudi Arabia,3651,627,694
Cameroon,Austria,2638,3467,3483
Cameroon,Norway,1863,3848,1447
Cameroon,Guinea,15492,4227,
Cameroon,Kenya,234,189,368
Cameroon,Russian Federation,1123,868,282
Cameroon,Bangladesh,700,605,594
Cameroon,Chile,2723,1302,1276
Cameroon,Uruguay,0,191,1222
Cameroon,Ghana,287,,1351
Cameroon,Lebanon,3002,2022,1510
Cameroon,Hungary,300,1044,3371
Cameroon,Syrian Arab Republic,0,0,941
Cameroon,Peru,978,887,808
Cameroon,Zimbabwe,0,647,369
Cameroon,Luxembourg,1442,1043,839
Cameroon,Australia,1572,1406,1659
Cameroon,Colombia,1459,1586,1476
Cameroon,Belarus,1933,1841,2100
Cameroon,"Iran, Islamic Republic of",1042,708,580
Cameroon,Malta,16,235,875
Cameroon,Lithuania,17,88,251
Cameroon,Mali,49,11,0
Cameroon,Qatar,0,92,145
Cameroon,Bulgaria,535,881,841
Cameroon,Estonia,965,445,299
Cameroon,Czech Republic,1782,1648,977
Cameroon,Benin,317,2973,1031
Cameroon,Angola,,,
Cameroon,"Tanzania, United Republic of",3,56,77
Cameroon,Mauritania,601,214,265
Cameroon,Uganda,17,454,142
Cameroon,New Zealand,32,365,114
Cameroon,Oman,387,17,84
Cameroon,Togo,501,179,812
Cameroon,Slovenia,549,479,1002
Cameroon,Nicaragua,0,0,0
Cameroon,Mauritius,521,271,291
Cameroon,Slovakia,395,468,530
Cameroon,Mexico,35,142,44
Cameroon,Algeria,1,0,15
Cameroon,Madagascar,111,60,6
Cameroon,Croatia,102,45,76
Cameroon,Cambodia,0,6,0
Cameroon,Cyprus,52,245,268
Cameroon,Armenia,0,0,20
Cameroon,Kuwait,17,3,29
Cameroon,Rwanda,9,20,73
Cameroon,Kazakhstan,38,9,72
Cameroon,Azerbaijan,55,41,0
Cameroon,Jordan,0,25,3
Cameroon,Ethiopia,0,0,0
Cameroon,Latvia,4,0,1038
Cameroon,Philippines,61,0,233
Cameroon,"Venezuela, Bolivarian Republic of",11,8779,4613
Cameroon,Niger,50,0,0
Cameroon,Burkina Faso,0,259,1046
Cameroon,Timor-Leste,,,
Cameroon,Serbia and Montenegro,0,0,
Cameroon,Trinidad and Tobago,0,0,4
Cameroon,Bahrain,0,0,7
Cameroon,Barbados,0,7,0
Cameroon,"Bolivia, Plurinational State of",8,0,3
Cameroon,Botswana,0,5,3
Cameroon,Burundi,0,0,0
Cameroon,Sri Lanka,0,11,0
Cameroon,Mayotte,0,0,3
Cameroon,Ecuador,0,16,0
Cameroon,El Salvador,0,20,34
Cameroon,Gambia,0,2,1
Cameroon,Guatemala,14,4,1
Cameroon,Malawi,4,0,9
Cameroon,Mozambique,0,0,48
Cameroon,Saint Vincent and the Grenadines,0,0,0
Cameroon,Sao Tome and Principe,0,0,0
Cameroon,Seychelles,2,0,1
Cameroon,Sudan (before 2012),0,50,0
Cameroon,"Macedonia, North",17,0,0
Cameroon,Zambia,1,220,0
Cameroon,Central African Republic,1459,1207,2347
Cameroon,Nigeria,125021,112714,313129
