reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Colombia,United States of America,4504970,5462357,6708245,8559637,11438774,9457772,12067662,14335692,16356797,18369302,20106598,16302185,13047286,13373918,15113876,14750447,11913533,16686502,20573032,17552368
Colombia,China,629273,930153,1496274,2270851,2987931,2396433,3819950,5838843,6228774,6826037,8043334,7588037,6824573,7443100,8740282,9234150,9320163,14354661,15600099,12388930
Colombia,Brazil,1034492,1414459,2138679,2337943,2292870,1800111,2195081,2575706,2820838,2556293,2383167,2115235,2234772,2507786,2805329,3091575,2290912,3346823,5059463,3821566
Colombia,Germany,749241,854934,919555,1231745,1524851,1241920,1608596,1805280,2129198,1943543,2403537,2005167,1579347,1891040,1746868,1911701,1498910,1907808,2099279,2137955
Colombia,Argentina,273011,360635,550873,576032,810320,874364,1302601,1806029,2079591,1530541,860275,393355,509773,561331,650843,896673,586730,1129701,1424450,1281714
Colombia,Spain,281115,356199,414240,497750,595075,438568,557313,774342,800508,970170,1050038,979027,977841,1092048,1145685,1148826,849617,1303167,1544521,1186942
Colombia,France,289511,339478,456510,559072,817925,1216828,777233,1238540,1085749,1400148,1305616,931201,696732,566675,789148,790944,529003,742572,1176689,1146447
Colombia,Chile,311946,369474,499079,624319,749005,586791,758009,938196,989561,1030779,1052846,916825,847411,808727,824717,817744,701451,845789,1142282,1025881
Colombia,Netherlands,176386,384674,329624,381688,385668,315031,413839,452217,421698,612739,603633,583306,453103,516479,517842,469962,431133,745152,904644,984002
Colombia,Japan,741705,792921,1024540,1321059,1119659,775954,1243459,1496783,1503180,1227977,1371229,965889,951495,1005021,1110032,1125306,803083,1217167,1371340,974814
Colombia,Italy,283173,311354,391520,490123,590919,440514,559960,860397,816979,812484,951838,710174,642255,665368,713993,749277,555270,842808,989827,958480
Colombia,"Bolivia, Plurinational State of",126657,181158,161913,159130,218184,293170,231134,261122,422135,651282,643353,529884,578285,488675,469004,419785,413758,710776,1058567,957942
Colombia,Canada,297858,370426,452504,617764,669152,520148,623935,768400,828928,690926,846207,613458,591787,574962,771756,705244,589879,802878,1017460,909631
Colombia,Belgium,114960,147645,157497,217019,277931,222593,322173,429469,456908,503565,534281,455387,400708,443702,465929,514767,452816,650483,770984,870740
Colombia,Peru,261751,346605,505780,617192,708731,643785,798220,1045370,921384,854741,1230350,870689,710422,673472,747495,766031,669043,853191,1044174,821816
Colombia,Ecuador,282015,471284,715264,650627,803779,678338,793062,1023209,1059110,921668,951305,784028,810457,790853,834845,854966,789300,851880,1072201,775950
Colombia,"Korea, Republic of",459476,623601,912900,1120657,1090759,797029,1388553,1613984,1467701,1342195,1509464,1129047,853467,816364,1011897,1143045,597658,898413,939761,773878
Colombia,United Kingdom,213779,214203,244444,281516,290394,259699,336743,470525,480143,528739,549732,551578,356071,588126,529197,689874,510709,436538,765577,638664
Colombia,Switzerland,171328,188916,182918,255910,281749,268684,291651,388516,435586,481383,472402,450210,476066,494140,545565,572284,550176,613091,593660,622255
Colombia,"Hong Kong, China",91413,104983,139585,186892,250716,154535,182826,325549,329195,440587,682488,694720,501584,469549,794177,686723,455358,635105,472746,457376
Colombia,"Taipei, Chinese",167564,184284,220188,266650,319537,215827,283080,400073,409021,424975,484068,403306,353981,323641,339358,301554,258475,376878,360778,248199
Colombia,Türkiye,26293,45371,51664,79221,74614,36044,52863,111367,152131,137533,184418,185914,185156,184675,241542,255911,216524,420672,324687,202757
Colombia,Thailand,70916,85793,129212,219838,272558,222148,380973,366178,304618,249634,248937,222865,192783,213546,219200,201531,181047,287715,286804,201403
Colombia,Ireland,27893,28418,36276,49354,41878,36835,37538,42624,43506,41660,59262,72342,67803,71055,157566,180805,123243,141843,158823,183531
Colombia,Sweden,66194,95276,112269,126701,144383,120179,157148,278904,160373,121095,105167,99342,81415,107811,116733,135959,121131,139544,179230,181854
Colombia,Austria,42717,48218,85761,107192,120106,84247,110971,150636,158466,169928,155922,125558,103032,141569,123489,142806,102117,124750,138549,135996
Colombia,Poland,19687,18165,25288,32503,31357,20492,21769,52867,46502,48949,62217,65263,98382,70532,82746,85221,63255,96772,109840,135416
Colombia,Finland,71533,146443,132406,97564,123259,90379,72027,86319,100020,169818,106155,78482,78038,119173,104559,86947,57596,137982,136036,122478
Colombia,Malaysia,23419,36010,63890,54386,85122,68445,107770,116434,119998,111218,117454,88728,83799,97728,133183,113203,98901,157650,146278,116225
Colombia,Singapore,24262,25614,49124,55891,61542,64324,88713,95572,110994,81063,98747,77353,75222,103085,144336,108231,69105,95549,131715,114109
Colombia,Hungary,4598,6163,7922,10634,12708,7312,9674,13189,20819,34674,44934,46135,47248,52790,52212,102133,49243,124582,118372,81170
Colombia,Costa Rica,31647,41836,40722,48523,85488,54307,52467,46709,59580,71389,79848,71816,70227,57388,55755,62297,62621,91750,93011,76111
Colombia,Czech Republic,15359,17985,18162,21892,19337,18987,23088,32999,37265,42831,69959,62276,31270,49269,58604,67163,43940,56874,87686,74649
Colombia,Denmark,17964,22378,27544,33480,61421,36337,55274,64165,87933,91350,92392,111482,69262,55544,62561,50699,50469,69194,80485,74322
Colombia,Portugal,4648,5154,8128,9044,22166,9194,17491,26128,35705,53954,84724,65650,51527,50935,73767,57752,55875,73269,69004,72250
Colombia,Guatemala,6878,15017,15037,26171,40194,31909,54347,67440,61245,38644,52936,62212,54035,62124,36023,42547,43193,57859,109751,67314
Colombia,Romania,7287,36495,76425,96656,67740,42463,71573,92173,181901,142203,134234,130621,120474,115108,124681,113778,86199,78836,89420,62322
Colombia,Slovakia,1578,3165,4990,6850,13274,13202,10987,13650,15657,18417,22272,23556,15819,14345,80733,84569,43108,60249,59427,51418
Colombia,Norway,10735,15191,15523,16277,42414,26240,21661,43632,25368,37606,31980,28568,23777,29843,25335,34690,18133,30962,51670,37248
Colombia,Paraguay,1508,2394,4773,14063,20590,12126,30723,74874,48700,35770,42204,4109,19889,6523,10653,17645,22073,17523,33766,37206
Colombia,Australia,25558,14777,23937,24197,34829,44779,31523,42691,29390,37089,30621,23053,36728,36971,39327,25669,19359,41228,23269,33544
Colombia,South Africa,19381,16653,17457,35675,27269,21266,27564,38050,31106,34568,42608,22846,28591,37995,23673,29083,19038,32493,49225,27164
Colombia,Slovenia,3808,2902,5069,5488,7337,6597,4634,6452,8808,15936,13842,16299,18668,17258,16413,16072,10882,17000,27614,23155
Colombia,Croatia,323,1783,40,1667,10456,1103,641,2042,628,26564,54797,39804,2270,202,512,487,3623,3038,557,16204
Colombia,Greece,473,8445,1371,2789,2648,1194,2073,4939,8068,9449,19631,8633,12215,13553,9787,15944,12741,20986,22649,15869
Colombia,Bulgaria,5451,4559,2131,3051,2913,1701,1848,2245,4665,2753,5314,4844,4792,8761,8018,9038,5145,9289,12605,10934
Colombia,Colombia,0,0,0,0,0,0,0,0,0,0,0,3284,3949,3996,5250,5683,1461,4133,9689,10739
Colombia,New Zealand,3585,2890,4968,6775,6431,4336,8334,12626,10766,10832,13648,15701,8657,9187,8042,9336,15466,16048,12916,9584
Colombia,Luxembourg,1018,2313,1390,1265,4313,10991,6222,5523,4535,7606,8025,6065,5817,0,10005,6678,4003,6416,5451,6715
Colombia,Lithuania,326,550,455,1194,934,1145,1153,3972,1180,1568,1612,1766,1758,2499,2769,3262,3779,7220,21604,6207
Colombia,El Salvador,904,1831,2616,5549,2782,1595,5126,2554,6294,13769,12832,12371,13018,13200,10118,12355,14975,8437,9765,6073
Colombia,Latvia,2439,2513,1752,1372,961,1023,1003,1106,1749,1924,2227,2229,2754,2850,3804,3860,6212,7624,5710,5014
Colombia,Bosnia and Herzegovina,11,49,107,0,1,285,0,0,176,0,0,43,1,199,661,460,432,229,511,4964
Colombia,Estonia,318,177,625,287,1142,665,2926,3679,2111,4192,4375,4962,4150,3106,1306,1046,2440,1232,2531,2044
Colombia,Serbia,,,1607,868,445,6,247,17,873,1245,1226,2062,1273,1724,1769,336,495,674,1944,1408
Colombia,Iceland,83,119,233,201,405,317,488,418,661,452,562,764,451,965,200,448,780,372,733,951
Colombia,Ukraine,56263,31401,38993,44600,52426,34406,16105,73217,54581,40310,46735,22968,40701,33074,38579,31385,29672,226508,26825,861
Colombia,Cyprus,0,1,0,5,503,378,94,68,13,648,271,153,85,801,311,688,1023,413,194,424
Colombia,Malta,133,1289,61,176,59,88,86,91,43,112,5810,183,178,533,386,1049,426,381,614,424
Colombia,Madagascar,0,0,7,0,3,0,207,341,1661,637,6,113,45,20,56,39,1,15,304,216
Colombia,Belize,0,92,0,1,2,0,0,165,137,10,1,303,0,0,0,282,237,112,4,34
Colombia,Cabo Verde,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0
Colombia,Liberia,,,,,,,,,,,,,,0,19,0,15,0,0,
Colombia,Uzbekistan,,,,,,,,,,,,,,237,0,286,61,368,1364,
Colombia,Curaçao,,,,,,,,,,,,,,1651,929,1203,307,,,
Colombia,"Congo, Democratic Republic of the",,,,,,,,,,,,205,0,0,2,0,0,0,0,
Colombia,Haiti,,,,,,,,,,15,20,86,235,790,,,,,,
Colombia,Sudan,,,,,,,,,0,0,2,0,0,0,0,,,,,
Colombia,Myanmar,,,,,,,705,439,2442,116,1317,1391,1853,1366,2970,3102,4521,3003,8036,
