reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Comoros,China,1295,1827,6195,7699,25444,11169,13347,8186,14943,29860,40685,47276,50640,68661,79199,73685,50537,56949,67416,112257
Comoros,France,24480,23099,32063,25852,28780,27585,32888,33064,31751,39435,37871,37052,44898,35915,39810,39807,43046,55341,34659,39508
Comoros,Türkiye,1997,1650,1685,2431,4032,2813,3077,15200,5367,5078,6833,4721,4827,6124,10932,13668,14223,17308,21685,23138
Comoros,Belgium,3452,4957,3864,3410,4192,4910,6413,4715,6689,3611,3258,3006,4195,4675,4513,4872,6211,3811,6047,14334
Comoros,Poland,0,0,0,68,79,3,210,265,501,165,293,382,861,2450,1690,1781,6873,10843,9481,12286
Comoros,Brazil,1158,1740,2234,3014,2482,1747,1173,261,389,1064,1696,869,1912,2649,3958,5098,6517,5855,8030,8268
Comoros,Madagascar,3896,5140,5876,5002,4289,3822,6305,9577,9974,8695,7105,4893,5869,6126,10324,8185,8428,7367,6743,7794
Comoros,Netherlands,2074,1800,2195,1636,2423,1754,2708,4479,7760,4144,4175,2923,2627,3752,3096,4670,3893,4613,2420,6435
Comoros,Malaysia,376,653,865,1608,3715,3133,3833,4233,3633,4264,3926,7410,4676,4377,4594,4538,3505,4655,8699,6311
Comoros,Spain,2379,3292,448,509,3402,1686,8381,3133,2998,1226,1944,1599,4776,4251,4169,5026,4268,4828,2262,5207
Comoros,South Africa,11590,7490,8282,12199,6615,6159,12284,7452,5670,6234,4380,4476,3812,3834,4149,3855,4018,4095,3042,2759
Comoros,Singapore,4229,3152,3375,5492,9279,3240,6542,7835,11582,1677,2225,1947,2066,1958,2729,4406,2868,3303,3959,1845
Comoros,Greece,417,1151,1770,902,2511,797,1991,2185,0,0,0,602,384,1020,1598,2920,1370,2602,1998,1762
Comoros,Canada,217,717,716,442,462,2772,132,436,474,303,774,458,1271,436,1134,1946,1264,630,549,1758
Comoros,Japan,435,364,1781,766,764,6087,1304,1441,1639,2521,3247,2180,1230,2385,2204,2847,1887,4065,1356,1115
Comoros,United States of America,745,295,109,367,424,1931,1259,1095,954,3491,3453,1507,1350,1375,2778,1513,1411,1804,2239,959
Comoros,Germany,1486,951,1439,893,3240,845,2167,1841,4457,3879,1454,1433,5810,1622,1370,920,1703,871,657,825
Comoros,Thailand,2771,2794,2331,3935,725,3550,3959,3730,3116,812,1668,1486,1831,3647,2188,2141,815,623,595,727
Comoros,Denmark,210,119,33,27,53,145,133,420,218,66,147,248,97,325,400,659,262,629,98,516
Comoros,Italy,5249,4487,5386,1391,10988,813,1780,1628,1770,2237,951,743,954,2856,2877,2424,2623,1034,885,488
Comoros,Portugal,411,36,57,10,0,13,8,19,42,493,30,20,676,393,216,855,1055,657,285,475
