reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
"Congo, Dem. Rep. ",Belgium,778721,1001282,685875
"Congo, Dem. Rep. ",Finland,93785,81544,57635
"Congo, Dem. Rep. ",United States of America,154043,211087,183333
"Congo, Dem. Rep. ",China,7885,12473,26242
"Congo, Dem. Rep. ",Portugal,16409,10479,12155
"Congo, Dem. Rep. ",Zambia,799,3472,16805
"Congo, Dem. Rep. ",United Kingdom,1157,2732,17340
"Congo, Dem. Rep. ",Italy,22813,12522,11876
"Congo, Dem. Rep. ",France,7141,36134,31489
"Congo, Dem. Rep. ",Malaysia,2001,803,1010
"Congo, Dem. Rep. ",Syrian Arab Republic,0,0,0
"Congo, Dem. Rep. ",Japan,10349,31126,13779
"Congo, Dem. Rep. ",Germany,10335,8141,12766
"Congo, Dem. Rep. ",South Africa,2421,1696,4006
"Congo, Dem. Rep. ",Spain,595,25417,3308
"Congo, Dem. Rep. ",Zimbabwe,4381,4456,2840
"Congo, Dem. Rep. ",Uganda,39,182,301
"Congo, Dem. Rep. ",Burundi,731,598,1342
"Congo, Dem. Rep. ",Morocco,0,85,32
"Congo, Dem. Rep. ",Russian Federation,200,639,325
"Congo, Dem. Rep. ",Angola,,,
"Congo, Dem. Rep. ",India,121,0,96
"Congo, Dem. Rep. ",Poland,105,242,193
"Congo, Dem. Rep. ",Romania,15,74,140
"Congo, Dem. Rep. ","Hong Kong, China",95,96,1271
"Congo, Dem. Rep. ",Rwanda,855,348,71
"Congo, Dem. Rep. ",Slovenia,109,11,7
"Congo, Dem. Rep. ","Tanzania, United Republic of",101,375,737
"Congo, Dem. Rep. ",Netherlands,3941,433,727
"Congo, Dem. Rep. ","Korea, Republic of",822,618,1010
"Congo, Dem. Rep. ",Senegal,142,127,4
"Congo, Dem. Rep. ",Austria,86,22,351
"Congo, Dem. Rep. ",Brazil,82,461,225
"Congo, Dem. Rep. ",Switzerland,384,1169,3483
"Congo, Dem. Rep. ",Cabo Verde,0,2,1136
"Congo, Dem. Rep. ","Taipei, Chinese",15,2860,39
"Congo, Dem. Rep. ",Canada,0,27,46
"Congo, Dem. Rep. ",Mali,21,0,0
"Congo, Dem. Rep. ",Egypt,0,22,0
"Congo, Dem. Rep. ",Ghana,260,,152
"Congo, Dem. Rep. ",Denmark,14,175,1118
"Congo, Dem. Rep. ",Czech Republic,126,74,15
"Congo, Dem. Rep. ",Gabon,0,0,20
"Congo, Dem. Rep. ",Greece,101,92,137
"Congo, Dem. Rep. ",Ireland,9,1,5
"Congo, Dem. Rep. ",Chile,0,0,8
"Congo, Dem. Rep. ",New Zealand,0,1,2
"Congo, Dem. Rep. ",Lebanon,0,0,0
"Congo, Dem. Rep. ",Saudi Arabia,113,0,0
"Congo, Dem. Rep. ",Côte d'Ivoire,6,6,279
"Congo, Dem. Rep. ",Bangladesh,365,3953,0
"Congo, Dem. Rep. ",Ethiopia,3,4,79
"Congo, Dem. Rep. ",Costa Rica,3,34,4
"Congo, Dem. Rep. ",Cyprus,78,67,33
"Congo, Dem. Rep. ",Pakistan,,,589
"Congo, Dem. Rep. ",Luxembourg,40,6,33
"Congo, Dem. Rep. ",Fiji,,0,0
"Congo, Dem. Rep. ",Türkiye,219,45,30
"Congo, Dem. Rep. ",Madagascar,22,15,48
"Congo, Dem. Rep. ",Saint Vincent and the Grenadines,0,0,0
"Congo, Dem. Rep. ",Togo,11,8,6
"Congo, Dem. Rep. ",Australia,0,20,31
"Congo, Dem. Rep. ",Botswana,4,3562,40
"Congo, Dem. Rep. ",Namibia,3,0,14
"Congo, Dem. Rep. ",Lithuania,0,10,26
"Congo, Dem. Rep. ",Papua New Guinea,15,0,119
"Congo, Dem. Rep. ",Algeria,31,35,313
"Congo, Dem. Rep. ",Grenada,0,0,0
"Congo, Dem. Rep. ",Benin,75,12,0
"Congo, Dem. Rep. ",Ukraine,6,14,2
"Congo, Dem. Rep. ",El Salvador,0,2,28
"Congo, Dem. Rep. ",Malawi,29,141,272
"Congo, Dem. Rep. ",Belarus,0,6,4
"Congo, Dem. Rep. ",Cameroon,5,2,133
"Congo, Dem. Rep. ",Guatemala,32,1,0
"Congo, Dem. Rep. ",Norway,20,3,0
"Congo, Dem. Rep. ",Thailand,22,100,14
"Congo, Dem. Rep. ",Faroe Islands,0,1,6
"Congo, Dem. Rep. ",Guinea,0,57,
"Congo, Dem. Rep. ",Croatia,53,4185,95
"Congo, Dem. Rep. ","Moldova, Republic of",0,1,6
"Congo, Dem. Rep. ",Sweden,49,67,82
"Congo, Dem. Rep. ",Andorra,0,13,5
"Congo, Dem. Rep. ",Brunei Darussalam,5,0,83
"Congo, Dem. Rep. ",Hungary,185,107,133
"Congo, Dem. Rep. ",New Caledonia,0,0,0
"Congo, Dem. Rep. ",Yemen,,,
"Congo, Dem. Rep. ",Cambodia,0,22,0
"Congo, Dem. Rep. ",Slovakia,0,0,0
"Congo, Dem. Rep. ",Tunisia,0,1,2
"Congo, Dem. Rep. ",Serbia and Montenegro,50,26,
"Congo, Dem. Rep. ",Barbados,0,0,0
"Congo, Dem. Rep. ",Cuba,33,0,3
"Congo, Dem. Rep. ",Kazakhstan,0,0,0
"Congo, Dem. Rep. ",Kyrgyzstan,0,0,0
"Congo, Dem. Rep. ",Malta,0,0,0
"Congo, Dem. Rep. ",Mauritius,0,0,0
"Congo, Dem. Rep. ",Peru,0,137,32
"Congo, Dem. Rep. ",Azerbaijan,0,1,0
"Congo, Dem. Rep. ",Bahrain,1,0,0
"Congo, Dem. Rep. ",Belize,0,3,0
"Congo, Dem. Rep. ",Bulgaria,0,74,0
"Congo, Dem. Rep. ",Sri Lanka,0,54,0
"Congo, Dem. Rep. ",Colombia,6,0,14
"Congo, Dem. Rep. ",Dominican Republic,0,0,0
"Congo, Dem. Rep. ",Estonia,0,446,0
"Congo, Dem. Rep. ",French Polynesia,1,0,0
"Congo, Dem. Rep. ",Greenland,0,0,3
"Congo, Dem. Rep. ",Indonesia,0,26,0
"Congo, Dem. Rep. ",Jamaica,14,0,0
"Congo, Dem. Rep. ",Kenya,0,0,807
"Congo, Dem. Rep. ",Kuwait,0,0,1
"Congo, Dem. Rep. ","Macao, China",13,0,0
"Congo, Dem. Rep. ",Mexico,69,904,15
"Congo, Dem. Rep. ",Mozambique,230,30,6
"Congo, Dem. Rep. ",Oman,0,2,0
"Congo, Dem. Rep. ",Nicaragua,0,0,1
"Congo, Dem. Rep. ",Niger,0,0,0
"Congo, Dem. Rep. ",Panama,711,0,0
"Congo, Dem. Rep. ",Philippines,0,57,66
"Congo, Dem. Rep. ",Singapore,521,0,0
"Congo, Dem. Rep. ",Viet Nam,9,0,0
"Congo, Dem. Rep. ",Sudan (before 2012),81,52,0
"Congo, Dem. Rep. ",Trinidad and Tobago,680,0,1
"Congo, Dem. Rep. ","Macedonia, North",0,0,6
"Congo, Dem. Rep. ",Samoa,0,0,14
"Congo, Dem. Rep. ",Central African Republic,109,88,530
"Congo, Dem. Rep. ",Nigeria,752,856,492
