reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
"Congo, Rep. ",Total,2421794,2184249,2714920
"Congo, Rep. ",China,181404,251274,814659
"Congo, Rep. ",United States of America,473768,191053,457189
"Congo, Rep. ","Taipei, Chinese",773292,342832,552321
"Congo, Rep. ","Korea, Republic of",388939,508729,368501
"Congo, Rep. ",Trinidad and Tobago,0,105607,68413
"Congo, Rep. ",France,71814,134593,85850
"Congo, Rep. ",Italy,57566,62812,33369
"Congo, Rep. ",Spain,19280,70706,30277
"Congo, Rep. ",Belgium,8005,7825,42985
"Congo, Rep. ",Portugal,17476,28904,39756
"Congo, Rep. ",Norway,2824,151,2544
"Congo, Rep. ",Lebanon,261,373,5332
"Congo, Rep. ",Cameroon,4935,10180,14976
"Congo, Rep. ",India,1960,2723,4294
"Congo, Rep. ",South Africa,1587,2977,7631
"Congo, Rep. ",Angola,,,
"Congo, Rep. ",Türkiye,1416,3165,6886
"Congo, Rep. ",Côte d'Ivoire,21867,8709,8139
"Congo, Rep. ",Gabon,3768,0,2047
"Congo, Rep. ",Senegal,10177,7371,7191
"Congo, Rep. ",Japan,9068,79328,11582
"Congo, Rep. ",United Kingdom,5029,6897,9958
"Congo, Rep. ",Germany,149991,145029,6263
"Congo, Rep. ",Thailand,31077,48860,2844
"Congo, Rep. ",Morocco,4338,3769,5409
"Congo, Rep. ","Venezuela, Bolivarian Republic of",155,6,0
"Congo, Rep. ",Canada,1400,646,763
"Congo, Rep. ",Mexico,2404,4967,2181
"Congo, Rep. ","Hong Kong, China",5127,1986,3806
"Congo, Rep. ",Argentina,4,5243,3746
"Congo, Rep. ",Algeria,244,643,1220
"Congo, Rep. ",Greece,1507,1665,1248
"Congo, Rep. ",Czech Republic,337,315,408
"Congo, Rep. ",Netherlands,6420,3077,13681
"Congo, Rep. ",Tunisia,790,965,1114
"Congo, Rep. ",Benin,804,1425,1238
"Congo, Rep. ",Austria,405,132,657
"Congo, Rep. ",Denmark,877,615,767
"Congo, Rep. ",Slovenia,19,15,152
"Congo, Rep. ",Mauritius,775,703,334
"Congo, Rep. ",Switzerland,630,225,170
"Congo, Rep. ",Syrian Arab Republic,0,0,307
"Congo, Rep. ",Poland,369,582,753
"Congo, Rep. ",Brazil,76434,53771,65218
"Congo, Rep. ",Uganda,82,102,446
"Congo, Rep. ",Ireland,315,249,857
"Congo, Rep. ",Burundi,173,82,1046
"Congo, Rep. ",Iceland,0,0,36
"Congo, Rep. ",Sweden,347,236,576
"Congo, Rep. ",Romania,48,64,185
"Congo, Rep. ",Madagascar,0,38,0
"Congo, Rep. ",Serbia and Montenegro,38,114,
"Congo, Rep. ",Honduras,12,252,2
"Congo, Rep. ",Pakistan,,,158
"Congo, Rep. ",Ukraine,6,202,10
"Congo, Rep. ",Niger,0,10,115
"Congo, Rep. ",Slovakia,18,45,68
"Congo, Rep. ",Egypt,149,204,20
"Congo, Rep. ",Ghana,4247,,100
"Congo, Rep. ",Malawi,24,80,15
"Congo, Rep. ",Mali,0,16,277
"Congo, Rep. ",Bangladesh,0,39,0
"Congo, Rep. ",Togo,19,3889,169
"Congo, Rep. ","Tanzania, United Republic of",240,235,70
"Congo, Rep. ",Israel,239,148,2
"Congo, Rep. ",Indonesia,714,24880,995
"Congo, Rep. ",Kuwait,0,162,38
"Congo, Rep. ",Russian Federation,530,269,713
"Congo, Rep. ",New Zealand,0,0,16
"Congo, Rep. ",Australia,124,172,112
"Congo, Rep. ",Lithuania,0,42,456
"Congo, Rep. ",Philippines,14,99,9
"Congo, Rep. ",Malaysia,175,186,31
"Congo, Rep. ",Belarus,0,0,0
"Congo, Rep. ",Mayotte,0,0,0
"Congo, Rep. ",Suriname,0,,
"Congo, Rep. ",Jordan,0,27,11
"Congo, Rep. ",Namibia,13,335,611
"Congo, Rep. ",Croatia,0,30,0
"Congo, Rep. ",Rwanda,18,8,34
"Congo, Rep. ",Viet Nam,0,19,0
"Congo, Rep. ",Colombia,355,88,15019
"Congo, Rep. ",Botswana,0,76,1
"Congo, Rep. ",Uruguay,0,0,0
"Congo, Rep. ",El Salvador,0,0,0
"Congo, Rep. ","Macedonia, North",0,0,18
"Congo, Rep. ",Faroe Islands,7,0,13
"Congo, Rep. ",Chile,22278,14689,19
"Congo, Rep. ",Estonia,3,0,0
"Congo, Rep. ",Bosnia and Herzegovina,,,6
"Congo, Rep. ",Guinea,29,2,
"Congo, Rep. ",Cyprus,0,0,3
"Congo, Rep. ",Luxembourg,22,4,1
"Congo, Rep. ","Moldova, Republic of",0,0,0
"Congo, Rep. ",Zimbabwe,311,89,0
"Congo, Rep. ",Burkina Faso,3897,2171,0
"Congo, Rep. ",Saint Vincent and the Grenadines,0,0,0
"Congo, Rep. ",Fiji,,0,4
"Congo, Rep. ","Bolivia, Plurinational State of",0,0,2
"Congo, Rep. ",Armenia,0,13,51
"Congo, Rep. ",Barbados,8,3,0
"Congo, Rep. ",Sri Lanka,0,112,0
