reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
"Congo, Rep. ",France,192893,222076,248254
"Congo, Rep. ",China,38164,39609,59893
"Congo, Rep. ",Italy,102922,86035,72945
"Congo, Rep. ",India,37859,47451,60432
"Congo, Rep. ",United States of America,89979,52371,78608
"Congo, Rep. ",Belgium,55968,61477,56290
"Congo, Rep. ",Netherlands,35893,33882,32206
"Congo, Rep. ",South Africa,29972,33928,38568
"Congo, Rep. ",Argentina,4868,11367,21935
"Congo, Rep. ",United Kingdom,25819,25163,20623
"Congo, Rep. ",Thailand,23050,20448,27370
"Congo, Rep. ",Germany,20097,24991,22973
"Congo, Rep. ",Cameroon,18816,21337,20456
"Congo, Rep. ",Côte d'Ivoire,14454,41614,27307
"Congo, Rep. ",Brazil,4202,5785,13287
"Congo, Rep. ",Spain,9811,10543,11818
"Congo, Rep. ",Ireland,6516,9207,10153
"Congo, Rep. ","Korea, Republic of",17062,8673,11112
"Congo, Rep. ",Uganda,8216,10153,14257
"Congo, Rep. ","Hong Kong, China",20337,18779,12569
"Congo, Rep. ",Morocco,8012,9591,8479
"Congo, Rep. ",Indonesia,14371,16509,11145
"Congo, Rep. ",Japan,6519,7117,8121
"Congo, Rep. ",Türkiye,3772,6304,5279
"Congo, Rep. ",Canada,5438,2728,4839
"Congo, Rep. ",Sweden,9990,11198,6118
"Congo, Rep. ",Namibia,4853,9129,33762
"Congo, Rep. ",Pakistan,,,3689
"Congo, Rep. ",Lebanon,2924,2385,4261
"Congo, Rep. ",Malaysia,917,459,1214
"Congo, Rep. ",Senegal,9795,3319,6991
"Congo, Rep. ",Tunisia,3861,4110,4623
"Congo, Rep. ",Norway,4470,4565,4733
"Congo, Rep. ",Gabon,11945,5118,4111
"Congo, Rep. ",Viet Nam,1073,767,2855
"Congo, Rep. ",Portugal,2979,7457,3652
"Congo, Rep. ",Austria,663,644,1705
"Congo, Rep. ",Switzerland,3013,3047,10112
"Congo, Rep. ",Denmark,2752,2420,2604
"Congo, Rep. ",Syrian Arab Republic,0,0,1854
"Congo, Rep. ",Ukraine,876,1870,1992
"Congo, Rep. ",Australia,414,1157,911
"Congo, Rep. ",Malawi,17,333,5206
"Congo, Rep. ","Taipei, Chinese",862,613,1252
"Congo, Rep. ",Russian Federation,550,6158,3082
"Congo, Rep. ",Zimbabwe,22,2587,6861
"Congo, Rep. ",Czech Republic,598,975,480
"Congo, Rep. ",Peru,28,25,0
"Congo, Rep. ",Togo,1122,404,1133
"Congo, Rep. ",Angola,,,
"Congo, Rep. ",Finland,1214,851,802
"Congo, Rep. ",Oman,478,486,958
"Congo, Rep. ",New Zealand,6,375,637
"Congo, Rep. ",Chile,0,33,490
"Congo, Rep. ",Luxembourg,424,441,1419
