reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
"Congo, Rep. ",China,93032,144707,241474,435894,614281,366637,353709,489431,520991,779293,984526,1039199,752084,500120,444878,435095,596300,680347,976342,1519909
"Congo, Rep. ",France,264587,327803,429998,608310,734890,633200,594383,682636,757352,770845,845010,726631,575495,373779,358100,321660,291258,297483,345163,394523
"Congo, Rep. ",United States of America,65717,104056,138005,140024,184601,277074,254428,227293,237201,222398,321467,249208,130887,117345,100414,108900,99089,113602,179927,199724
"Congo, Rep. ",Italy,83872,95465,101874,337774,170770,294049,241229,292774,189552,256352,409585,212144,147257,104438,94739,100438,93295,111281,87689,186436
"Congo, Rep. ",Belgium,64597,68558,99291,130018,144965,140721,109901,150704,174484,189056,209492,173897,110206,110823,134838,101008,91164,182214,253204,177058
"Congo, Rep. ",Netherlands,43910,52361,55377,72062,106975,115871,114716,166813,136879,141819,172995,116802,73994,70219,59689,57177,64764,73861,109385,175201
"Congo, Rep. ",Türkiye,9310,15960,14738,19267,28255,39965,45431,78220,92129,95050,100681,126420,103356,57400,51728,60347,60744,85306,114306,147480
"Congo, Rep. ",South Africa,41337,57186,62374,69229,65139,62318,65583,62725,84336,98990,149390,81214,55606,48391,75366,52321,51736,84373,103738,125513
"Congo, Rep. ",Germany,26752,30888,36263,62206,96426,77881,86990,78274,87556,105510,127349,153444,89714,60535,49878,48338,50439,58509,82269,110227
"Congo, Rep. ",Brazil,21532,35724,34076,48645,68422,49814,44438,280190,312436,86623,86115,66820,31029,18344,22025,21467,73500,60587,63737,87671
"Congo, Rep. ",Norway,4664,5189,9698,99919,78591,30505,37608,38602,40899,43256,59826,298443,309108,133885,40506,38434,42350,46735,67251,73363
"Congo, Rep. ",United Kingdom,32023,37240,49413,97828,97181,119907,112794,89942,82860,101443,128865,225100,172043,74670,40732,36863,31154,29046,38829,58537
"Congo, Rep. ",Malaysia,6492,16604,18277,37599,50883,35437,37523,111240,76507,73486,62707,60701,42172,46019,38427,35208,42304,42067,65055,57860
"Congo, Rep. ",Spain,20155,16827,19165,35672,66162,48088,30988,42742,45341,68356,57132,67967,40760,30353,25073,25820,24547,30887,35776,41953
"Congo, Rep. ",Poland,745,2667,1358,4822,3576,10461,6697,10037,12606,24555,29741,54481,24262,24012,25340,18299,7136,6832,35468,37078
"Congo, Rep. ","Hong Kong, China",12529,12050,12619,13275,14227,20193,13337,19120,13375,20412,16253,22088,22767,19634,26817,19473,21912,26302,21283,31907
"Congo, Rep. ","Korea, Republic of",14062,17198,17615,490053,37083,32697,52385,52950,44002,52330,54591,501969,1205350,23366,104733,23277,24964,26313,26515,29895
"Congo, Rep. ",Singapore,0,0,0,0,0,0,0,31440,37208,29994,57009,30983,18056,13641,13453,16111,8757,10296,21458,27311
"Congo, Rep. ",Thailand,27977,24770,35845,41212,44669,55794,89175,113800,95623,113638,80546,73901,72909,71293,58704,44413,27061,30062,21827,25976
"Congo, Rep. ",Argentina,35731,42974,44752,54824,52031,74205,28715,47869,48455,41112,42042,43085,23832,15737,14977,24121,19006,32726,70461,25273
"Congo, Rep. ",Canada,9081,9772,15025,24222,36025,26832,18254,26462,20439,18287,27171,22126,29040,15569,12760,17317,9421,16708,10310,18542
"Congo, Rep. ",Latvia,1,20,1,0,1,0,47,7,42,169,4784,487,710,541,372,3734,1626,113,3980,17440
"Congo, Rep. ",Portugal,3947,5088,5425,6205,12533,6253,13886,37235,21446,42704,62736,51325,10226,7791,9121,9173,8120,13667,11357,13710
"Congo, Rep. ",Sweden,7954,12584,8616,18410,20055,23574,18824,22727,5916,7178,9507,6296,5913,4415,15037,9688,3508,6119,13848,12300
"Congo, Rep. ",Lithuania,29,59,208,332,3347,5324,1043,875,6240,4330,1306,1530,11617,543,227,253,90,4984,10797,11672
"Congo, Rep. ",Finland,1089,1091,3019,3157,8397,2934,1562,4148,7907,5913,10904,25598,4882,532,2193,3095,3419,10201,3759,9350
"Congo, Rep. ",Romania,565,1018,1097,1249,3756,1689,329,11988,14002,27291,18366,10770,15271,6148,6139,5015,7750,2650,4910,9231
"Congo, Rep. ",Ireland,14665,11856,9372,12270,7792,9710,11784,20272,40764,33149,17355,75817,8488,13895,22833,10999,7577,9109,15445,8408
"Congo, Rep. ",Japan,9477,6478,10094,8619,23059,5932,11986,12031,20689,19802,16224,10673,13031,3620,6413,4606,1666,4104,3095,5822
"Congo, Rep. ",Bosnia and Herzegovina,1,324,36,254,127,72,70,47,49,7,42,10,58,21,258,9,14,0,34,4520
"Congo, Rep. ",Chile,906,1084,1340,1747,3916,3203,1121,7862,7550,2591,799,858,578,755,1760,3583,2131,1374,4492,4496
"Congo, Rep. ",New Zealand,914,763,1394,1530,948,1961,2514,3088,368,2602,1815,4496,3611,2838,3247,868,3216,2785,4045,3916
"Congo, Rep. ",Hungary,72,196,743,695,340,518,3196,5122,5404,4620,6222,4403,3653,3682,2568,2223,1974,2132,1593,3903
"Congo, Rep. ",Paraguay,0,165,65,591,631,772,1048,4287,28819,4754,2023,1773,1585,1613,2147,2436,2271,3394,4795,3859
"Congo, Rep. ",Czech Republic,1273,1492,1362,2846,2704,2768,2016,2843,2565,2914,6237,3537,6820,2401,2483,9850,4778,2902,6350,3810
"Congo, Rep. ",Greece,791,1068,1421,796,285,938,1195,3216,1031,2806,3123,1541,2849,2472,2312,2063,1865,2151,3472,3561
"Congo, Rep. ",Denmark,3004,5015,4781,12259,4683,2158,3579,5305,4597,4475,5700,21604,9778,7996,5727,5737,4659,4902,2447,2973
"Congo, Rep. ",Ukraine,2209,2324,5511,6942,1507,7201,3721,6926,5333,8333,4122,2181,1989,2660,3343,8370,6726,11163,7348,2802
"Congo, Rep. ",Switzerland,3172,2268,3197,7204,7027,5750,8657,12068,8044,9460,7463,12435,6147,3869,5614,6106,2389,3393,4734,2685
