reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Costa Rica,United States of America,3504742,3598194,4083806,4208643,4189311,5803271,8933644,10367071,12306743,12177013,9765911,4717608,4574903,4828224,5158155,5420682,5623008,6842198,9109417,10833330
Costa Rica,China,641290,922082,1747274,2306640,2270521,2646447,3106845,3844030,5270200,4758054,4186269,826155,696909,790806,776351,722559,668609,815491,2008903,2919054
Costa Rica,Netherlands,1482903,1663886,1746865,1700991,2275590,2184278,3046657,3687948,4121050,3486297,3035317,622268,575686,664355,823910,879708,1463663,2843580,1588295,2515857
Costa Rica,Guatemala,319830,256756,178772,405613,422401,313410,427686,455533,476934,519813,537047,659536,595523,610351,658110,691097,688547,825030,812426,1014878
Costa Rica,Belgium,389927,373388,363571,577154,674970,521484,466426,496355,441261,453710,610816,496639,588529,775653,746496,703112,598394,746707,781472,803602
Costa Rica,Germany,436872,484542,551228,641222,645999,483875,515434,556135,597456,625489,649157,497710,597719,592482,658240,675928,695673,806781,783777,796849
Costa Rica,"Hong Kong, China",272103,264000,351592,497930,412922,623484,993606,1166838,1415808,1963723,1554148,219694,262955,216413,158460,125483,417209,1183674,1154798,670729
Costa Rica,United Kingdom,1041196,1034822,946819,1038654,857734,392179,329538,339424,279119,312225,375003,324335,298504,334207,316431,341268,306061,302267,494086,628557
Costa Rica,Japan,175516,220980,274513,286254,341912,327155,344774,238722,291815,339742,259433,217317,304344,345834,387356,420909,421100,439474,459702,536676
Costa Rica,Canada,242949,291617,343803,344264,354768,315173,423567,480808,513847,573854,522664,394236,383948,397634,408695,442149,424575,474808,492480,533948
Costa Rica,El Salvador,174462,178087,212074,236513,249017,212320,250495,265852,296156,280710,259781,256358,243564,272178,334415,378971,379619,502157,368146,416714
Costa Rica,France,114334,123301,130583,163398,189565,196057,194561,210782,259049,269869,247235,254915,225490,255190,259571,263158,272108,334833,339330,396579
Costa Rica,Singapore,161941,176420,214374,230237,284245,265062,555325,656063,745979,614116,566570,71512,53741,56399,83227,139785,152687,134011,237025,387488
Costa Rica,Spain,64885,75197,84883,122308,142490,109606,108877,135810,144479,146283,201705,200290,246380,276622,290418,284856,291385,347129,386270,371965
Costa Rica,Malaysia,190614,230844,411549,430772,360845,758176,1286268,1351269,1204552,1801508,3397313,28553,21081,19507,25260,27255,54073,185428,238009,308895
Costa Rica,Italy,126239,118783,123539,162867,166912,140766,154759,189447,234736,241877,248418,268925,294153,229444,243695,240819,229518,256504,243089,284767
Costa Rica,"Taipei, Chinese",85418,108933,139905,130280,122191,124865,211979,267668,348903,538934,493407,98918,69508,70853,94638,102551,93984,117670,218673,278792
Costa Rica,Czech Republic,136447,70682,55680,56957,65205,65628,95792,119867,325237,445354,354105,242450,212522,84394,48050,42940,223288,90524,85354,199010
Costa Rica,Switzerland,51914,54321,54778,67033,60862,54433,59687,87980,105919,112201,114466,108346,103591,110629,111037,106251,107896,133157,149150,171543
Costa Rica,"Korea, Republic of",28591,35124,58070,113637,131852,137726,140460,184380,293039,267225,290797,149821,133097,139199,206915,225279,156004,420934,172429,157679
Costa Rica,Australia,22528,22597,36560,51192,101128,74562,104511,133971,151519,130376,121558,83662,84945,91008,95743,89295,99006,127717,118833,143302
Costa Rica,Ireland,35026,43649,50712,22420,41698,79791,74871,42647,36267,61538,77069,84549,95957,91659,96322,100047,93538,110201,127138,138236
Costa Rica,Brazil,78275,94091,120309,159523,217204,309930,394086,451533,510370,454042,282235,52630,49171,57504,60717,49603,42248,71636,125435,138029
Costa Rica,Peru,5457,9966,13039,18865,25451,20283,25282,28448,34475,31868,30282,24641,25186,26041,26324,22817,53124,101193,103044,133521
Costa Rica,Norway,45176,54180,49902,54366,57669,39536,37994,47793,60448,58170,70084,61951,47393,52727,52875,58325,56017,62210,71281,84875
Costa Rica,Colombia,19096,25139,35670,38421,54212,33644,52418,57580,71812,83375,92188,86499,83607,63051,68993,66038,61896,101803,98543,84539
Costa Rica,Ecuador,12706,20608,21507,22142,30364,28050,25975,41311,54954,75647,72313,46409,46043,46895,41874,41380,42338,61544,77901,76081
Costa Rica,Portugal,53530,38540,46477,63410,76868,69822,71285,75408,43056,70541,21746,31510,44842,64640,80506,77396,85178,78012,82916,72982
