reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Cote d'Ivoire,China,123014,137025,227478,414675,531501,504863,548520,540633,803668,955795,1220079,1557673,1582291,1696098,1890200,2041569,2333548,3120943,3490896,4246596
Cote d'Ivoire,France,730123,691101,749407,951765,1097793,1020020,1082758,1029814,1285430,1360679,1415044,1227874,1188149,1334319,1300268,1234640,1286726,1638014,1489763,1464036
Cote d'Ivoire,Belgium,124139,112300,129373,197515,245165,185700,245863,187493,306901,298780,328770,298260,326402,384873,375402,306950,365722,573277,951868,938515
Cote d'Ivoire,United States of America,118133,124243,147512,161608,254106,206242,162845,131405,188088,167577,239079,266415,291255,322052,309480,278533,218767,359404,504800,545430
Cote d'Ivoire,Germany,97779,102193,131029,137796,173141,135913,154494,138758,189695,198906,194921,168883,213448,245517,248882,237289,272593,392431,359188,431119
Cote d'Ivoire,Netherlands,78291,113363,100553,124938,140804,263012,199914,153660,212737,259582,267864,243989,179739,327203,389146,379994,381259,359302,340619,404375
Cote d'Ivoire,Spain,59335,61105,62670,96071,150527,142671,145958,159647,174593,247737,251341,250690,263673,281814,259594,257479,284838,344171,330236,334484
Cote d'Ivoire,Italy,120758,137643,109938,138136,151191,124916,152842,142215,168085,168102,268391,356880,199988,189761,227798,204299,216144,287003,308736,333563
Cote d'Ivoire,Türkiye,14296,26601,29853,32322,39436,59522,47926,65773,76563,89274,94986,115498,109878,142409,174452,227663,307906,430907,416661,272296
Cote d'Ivoire,Brazil,40919,44347,72086,60407,73650,117812,95851,89528,93789,64984,55661,47075,47032,54779,66093,60645,80882,159877,170381,241150
Cote d'Ivoire,"Korea, Republic of",25293,31156,48749,57900,74959,71542,94140,92847,120655,141981,218834,117038,76692,110694,118988,136496,113419,182795,170419,216600
Cote d'Ivoire,United Kingdom,124831,106222,73240,82734,126379,86925,81506,75717,133289,158221,132653,188438,114411,143418,120097,89010,126090,189020,159303,213421
Cote d'Ivoire,Colombia,3569,537,1071,1058,1188,2920,214933,176343,110145,23808,113103,105511,104469,40693,113783,135112,64718,115226,439202,167936
Cote d'Ivoire,South Africa,47641,46533,47266,63628,77766,84669,110748,89527,105562,92405,109465,70155,115147,109936,121248,89357,109534,111560,134592,165191
Cote d'Ivoire,Thailand,84894,61776,141963,164491,284856,326083,370962,371005,288647,260724,340789,241659,297862,242833,214332,120133,102502,142709,123116,159894
Cote d'Ivoire,Malaysia,5827,5981,11626,16161,24562,27543,47409,27372,76659,98986,51775,87452,67865,82593,106819,66066,114428,120992,139282,116680
Cote d'Ivoire,Chile,136,211,209,1556,1611,1436,405,430,366,209,377,275,432,2636,19188,15727,25462,61162,70661,110373
Cote d'Ivoire,Canada,7950,10519,16682,16319,25778,23612,21630,20642,37780,36895,75153,53191,50797,29703,34100,43181,48928,65582,76302,96885
Cote d'Ivoire,Poland,7122,11853,11070,22238,17641,8324,26831,11703,10864,20725,18037,17899,21545,31580,38487,37461,58631,52494,71076,83733
Cote d'Ivoire,Japan,37782,22694,23490,40957,52263,40269,59115,39470,48102,53505,53481,54534,51064,66468,77699,52162,49824,93793,62451,80311
Cote d'Ivoire,Portugal,6019,5898,7020,7581,8210,14838,31198,21195,18062,53248,25188,44917,39326,76562,70351,45736,59298,58515,85867,70968
Cote d'Ivoire,Argentina,5297,14423,11683,17227,35585,15516,21187,23184,25967,7433,36579,32957,21061,42033,62367,57990,49411,118247,133314,61084
Cote d'Ivoire,Norway,36859,11136,7637,6944,8854,14801,19457,4205,9835,6069,40326,51666,7135,11415,8546,11930,11455,11659,28109,54606
Cote d'Ivoire,Peru,400,461,951,1537,2803,902,732,1268,3043,157,53,0,237,3314,2566,4218,4297,7637,21861,54309
Cote d'Ivoire,Ecuador,0,0,0,21,24,11,0,24,369,414,60994,333,368,1693,3221,3055,23285,98770,27230,53339
Cote d'Ivoire,Australia,2878,2139,1944,11428,8818,10709,9846,7300,11762,21373,6285,12693,15891,45575,57623,53817,38896,36268,55354,52352
Cote d'Ivoire,Switzerland,33579,16588,21422,47326,30328,24005,50303,41004,24120,46505,36721,46855,29019,67822,76545,49063,53397,51269,37375,51932
Cote d'Ivoire,Sweden,13095,13701,24402,27225,31837,25782,83586,24446,47260,45938,49223,41486,32927,41741,21527,23965,22163,33146,41612,49227
Cote d'Ivoire,Austria,7027,4278,6354,9104,12371,8728,8167,9016,17455,13382,22188,20772,24367,21748,24913,32608,32856,41355,46894,43022
Cote d'Ivoire,Ireland,5905,3692,3722,2296,2871,2930,3745,6209,10631,9646,11616,11279,19090,26293,24496,27903,28232,42102,36258,41118
Cote d'Ivoire,Singapore,12049,23187,11433,17123,32568,29934,32877,16996,26853,20448,27119,36856,23112,23026,25630,15221,13368,20119,22059,31493
Cote d'Ivoire,"Taipei, Chinese",8905,10189,9243,13581,16797,21816,19200,18939,22180,15965,30748,22487,23091,22002,24679,21457,26291,22981,31804,29323
Cote d'Ivoire,New Zealand,2675,3632,3431,2279,4439,6435,10428,10698,7340,3248,7455,9172,13852,18019,18494,14919,15273,19720,26486,21572
Cote d'Ivoire,Czech Republic,2813,4679,2007,2414,2602,4890,2397,2578,5189,11855,18598,19561,13334,13471,33870,55427,56937,31761,12488,20889
Cote d'Ivoire,Ukraine,9508,12127,29006,27263,27358,28228,44578,74583,65800,78066,17282,23794,10169,67452,58904,47746,42424,99323,17077,20272
Cote d'Ivoire,Denmark,6010,6141,5661,5741,5582,8101,8300,7564,7803,10410,11202,8921,6648,13693,9468,9635,20356,17542,21759,18904
Cote d'Ivoire,Latvia,1,7,2,0,0,0,0,1,19,3,108,289,320,274,706,838,1740,1100,424,18192
Cote d'Ivoire,"Hong Kong, China",3606,3706,8823,12483,17258,6224,7800,19455,13759,18116,26111,22602,36408,47305,41732,22303,35699,41402,14398,18089
Cote d'Ivoire,Greece,834,3170,1187,5231,11225,1599,3533,5948,15489,17925,8292,7493,5608,13484,12464,26997,12546,4876,7729,14448
Cote d'Ivoire,Hungary,601,1564,1845,5437,3461,3011,4293,3422,6622,9581,10949,4016,4705,6533,9898,12019,17120,15546,15948,14036
Cote d'Ivoire,Lithuania,102,2377,3757,3514,2605,1562,3775,198,2342,4709,235,501,2751,2419,7820,7371,10171,21796,36024,12481
Cote d'Ivoire,Romania,6435,2387,2893,4334,3269,5092,51945,8205,12276,10216,7809,8661,12279,8830,10995,9277,6896,12929,14208,12235
Cote d'Ivoire,Finland,5010,5454,6362,8344,8134,49210,6852,5141,5884,6115,8767,9755,7809,10481,13643,10125,11302,11237,10656,12130
Cote d'Ivoire,Croatia,718,20,72,28,69,2451,0,10,1753,1621,1684,5775,557,815,2079,1996,1724,3558,3126,6646
Cote d'Ivoire,Slovakia,155,932,1532,1510,1964,2515,571,2817,3216,1647,1909,935,6199,7276,2994,4659,8103,11473,9239,6467
Cote d'Ivoire,Bulgaria,1888,1184,946,499,95,237,76,842,2868,2015,2131,1780,2867,17513,4241,2457,16553,15288,9479,5990
Cote d'Ivoire,Luxembourg,7956,6054,6159,5583,3850,5212,3308,3713,4121,2882,9182,8370,6017,0,6440,3043,5621,13029,4066,5296
Cote d'Ivoire,Slovenia,1465,159,34,244,154,289,198,348,251,423,158,537,328,843,1114,824,4016,2241,2077,3845
Cote d'Ivoire,Paraguay,221,387,192,96,1105,2342,192,288,1481,8053,512,2201,242,103,426,384,814,1179,2735,2521
Cote d'Ivoire,Estonia,923,804,341,371,189,203,785,313,967,767,478,746,259,385,1149,890,1024,1014,1070,2322
Cote d'Ivoire,Cyprus,18,64,22,46,64,28,177,34,93,59,22,409,165,325,563,171,439,4160,2153,1553
