reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Cyprus,United Kingdom,217339,235978,244196
Cyprus,Greece,85822,77628,109781
Cyprus,Germany,135454,51761,124477
Cyprus,Israel,27383,22434,111200
Cyprus,"Iran, Islamic Republic of",13237,17936,21720
Cyprus,Lithuania,604,68815,52906
Cyprus,Belgium,23814,28124,42851
Cyprus,Singapore,2903,3179,10067
Cyprus,Netherlands,15512,19869,23910
Cyprus,Serbia and Montenegro,18426,13186,
Cyprus,Poland,46308,93328,41783
Cyprus,Türkiye,7065,20622,34383
Cyprus,United States of America,35119,27102,26056
Cyprus,"Korea, Republic of",934,3019,9370
Cyprus,Italy,14878,19645,20493
Cyprus,Russian Federation,28713,13878,13914
Cyprus,Luxembourg,8,61,45
Cyprus,Armenia,8184,2407,14932
Cyprus,Spain,19737,23959,17000
Cyprus,Sudan (before 2012),4181,4299,6267
Cyprus,France,9626,10700,66583
Cyprus,Czech Republic,5833,11082,16986
Cyprus,Ireland,5688,8026,10073
Cyprus,Romania,7715,6347,6324
Cyprus,Hungary,2198,2849,1564
Cyprus,Lebanon,15365,13649,11228
Cyprus,Austria,7313,4964,5441
Cyprus,Sweden,6515,6775,8286
Cyprus,Japan,4791,2759,4406
Cyprus,Slovakia,3018,4108,5983
Cyprus,Brazil,1168,1372,1144
Cyprus,Sri Lanka,8431,10143,19260
Cyprus,Kuwait,7274,8664,7439
Cyprus,Viet Nam,10533,3250,4154
Cyprus,Denmark,3313,4925,5323
Cyprus,"Hong Kong, China",4537,5708,5550
Cyprus,Norway,4907,3657,16497
Cyprus,Egypt,9066,8799,9611
Cyprus,Jordan,5944,6942,6258
Cyprus,Saudi Arabia,5384,3898,5638
Cyprus,Syrian Arab Republic,7897,3578,4943
Cyprus,"Macedonia, North",2616,4171,4077
Cyprus,India,2170,6033,2956
Cyprus,Malaysia,5317,7202,5565
Cyprus,Bulgaria,7981,3047,3047
Cyprus,Algeria,4366,5722,4154
Cyprus,Latvia,350,251,5615
Cyprus,Switzerland,2856,3830,1880
Cyprus,Malta,2298,2137,2420
Cyprus,Oman,3754,5379,2238
