reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Cyprus,Greece,721042,899180,1120112,1524038,1952092,1621315,1753060,2009438,1706451,1512612,1639903,1570261,1682629,1947211,2066466,2126615,2096836,2779076,3168515,3572570
Cyprus,Türkiye,470274,754329,885280,932035,1072015,770886,975768,1023964,1013552,1180485,1240552,1006082,908024,1097257,1225969,1298196,859980,1238359,2119799,2385841
Cyprus,Italy,801559,895136,1057678,1165203,1621419,1033549,1016297,929915,727564,565769,585515,556323,558206,766248,1078607,1271084,827106,1078095,1405211,1178461
Cyprus,China,185225,287277,350704,698456,1124872,1204660,1347788,1123405,1093322,971730,1037576,589286,464684,523525,736855,580810,893105,866743,1168051,956952
Cyprus,Germany,627958,1192053,918810,1190697,1118346,884103,937673,1032237,858094,1148296,759235,613923,755370,678047,759518,705546,848128,799220,808739,861510
Cyprus,Japan,533192,291042,419282,731368,729763,233761,203650,276379,213097,302120,261551,266954,187432,184039,161591,135511,154154,125265,260393,823134
Cyprus,Netherlands,209183,232199,340271,394671,544371,452585,516587,652450,601248,599214,670734,370790,381253,387072,576669,470063,533527,709204,744218,682121
Cyprus,Spain,206827,199193,243465,295350,477012,313700,412286,323540,367739,329874,388329,297257,263786,291968,522861,394818,295795,372827,434818,679808
Cyprus,United Kingdom,583240,643602,1927992,886750,981738,938697,862287,1112864,710763,725026,723938,566864,435326,488390,528325,546118,605201,389050,421532,536559
Cyprus,Singapore,239060,279861,382105,401027,551190,317772,418937,580630,620650,571731,544067,309571,246620,380554,459478,402875,391038,444017,542691,494294
Cyprus,Belgium,152641,133336,220133,257186,294822,272868,281435,328095,280099,269071,270690,214479,212737,248263,291720,327494,275577,454316,427231,375875
Cyprus,France,356230,302870,493353,505113,444749,417362,444753,549035,553807,475588,605032,288033,290551,239421,257106,275648,235910,262410,270172,321985
Cyprus,Poland,67682,31377,46195,94461,147482,221826,101482,316031,256434,265473,381498,374585,190937,154019,227318,193312,257591,283144,227172,246758
Cyprus,Brazil,56474,106133,172516,222285,199541,15502,16683,18855,106573,12989,42945,9272,24154,51728,266243,73738,56680,66533,101997,237973
Cyprus,Romania,66056,110597,62851,56412,65973,90841,125059,110004,168786,93679,76823,90226,70267,67163,83388,90883,99982,170207,177146,191561
Cyprus,United States of America,96045,84179,240179,169019,217401,160770,134395,97700,166681,143224,151660,101837,182503,82406,132275,204404,102939,246840,123112,188311
Cyprus,Slovakia,18373,60055,42138,57906,69712,68005,100788,79679,77291,103188,84923,90964,71801,50872,82501,70445,38794,53439,58777,171305
Cyprus,Bulgaria,38668,112054,111590,68156,137732,76031,60605,87376,107312,98696,131803,169982,90702,91021,120867,123903,132661,165969,230732,152025
Cyprus,Switzerland,80631,53873,59781,69196,97064,72048,76452,79732,64371,93799,65036,58178,70243,90958,159205,138582,107146,129125,123562,129230
Cyprus,Czech Republic,19327,19811,34468,44818,44796,57999,114178,88915,177338,165702,110966,95163,111378,93127,76218,118398,106293,103521,114586,128134
Cyprus,Ukraine,168458,217024,251763,174459,451414,130792,175382,174414,168047,161555,283725,61526,53481,79638,40364,43044,31821,47441,55557,107779
Cyprus,Austria,47967,56815,64124,82352,109954,98489,128210,172758,133547,288598,109010,73051,56016,75836,91251,76233,85839,98707,97391,94609
Cyprus,Ireland,30483,33636,37189,47003,47191,67740,42800,34285,42918,42426,25415,44756,36330,29303,27630,45767,30775,52421,73050,84129
Cyprus,Hungary,26608,54174,48183,77147,60295,47168,41175,65382,81247,105925,59089,53840,39162,54775,53189,49224,50131,67766,67152,81776
Cyprus,Canada,21665,8894,13007,17387,16858,10959,47294,12531,9582,7954,79441,6289,13493,10573,10771,8262,8496,8356,11397,78999
Cyprus,Denmark,50729,46715,51929,94617,87755,68519,76005,133873,86287,61021,52708,56234,41381,50023,71256,66297,84698,64133,73414,71803
Cyprus,Argentina,18764,14873,24421,25637,27966,29894,29677,32701,22435,15885,16395,27492,30807,23946,49005,40079,31702,51978,48933,67227
Cyprus,"Korea, Republic of",1092461,884052,1152989,1073077,1360587,1170901,588230,899681,408709,66416,31014,26710,784221,765731,1390638,42622,30641,214642,205777,57455
Cyprus,Sweden,119378,58293,71905,90133,262732,124839,61894,70165,40157,36681,53402,23534,31845,37485,72889,36938,48138,78292,64716,54835
Cyprus,Portugal,19094,18159,24778,38947,60060,46107,61153,47789,32055,40306,35423,40846,40941,49304,68154,116242,43906,51989,48389,50877
Cyprus,Latvia,8110,21560,17243,26208,22868,14098,18365,39315,117519,113287,44553,32873,27815,13749,12575,12913,17462,21635,31981,49501
Cyprus,Norway,15147,97346,71196,23160,52841,20657,29181,55078,134489,75965,15570,48180,92505,83165,30541,40521,45275,28352,40987,40866
Cyprus,Serbia,,,33147,35733,10186,9129,7184,27823,109188,68180,61900,24096,18156,15603,18092,45627,61384,31529,35798,39443
Cyprus,Croatia,153231,85013,43555,9936,145137,116068,81760,20222,13841,10531,13723,13059,15809,55427,10066,11081,8771,13102,58118,37551
Cyprus,Thailand,42460,39093,35475,55081,64318,42975,48115,39404,33153,27856,27529,21989,23424,27340,26766,30527,19558,26388,27017,33771
Cyprus,"Hong Kong, China",31313,37320,35780,43425,52054,38827,28059,27476,22995,21980,26400,29070,22946,103094,32962,23819,17327,25429,27916,33384
Cyprus,Slovenia,4497,6703,4916,13271,18282,13349,11932,107791,40834,30151,25590,26035,26020,37935,21613,23938,25368,26039,27916,30941
Cyprus,Australia,8303,7963,10413,12867,9767,6415,8345,9015,4553,3517,2921,1416,3098,3926,3572,6020,4580,4459,4841,29269
Cyprus,Lithuania,7667,6065,23426,6002,8544,4360,4384,4682,6007,13506,11571,9685,11572,9783,17194,14362,11644,16650,18792,26901
Cyprus,South Africa,16216,7739,15624,9224,9916,8304,9709,9933,4497,9716,7538,8565,10286,9705,8474,13819,7716,9549,8556,26276
Cyprus,Finland,78156,176413,63977,40989,271133,287556,27690,24094,25363,219632,17079,13954,15426,399570,170878,159449,18428,23426,30959,20778
Cyprus,"Taipei, Chinese",31433,33075,34956,44319,49111,35385,45974,38868,37967,30322,21575,27536,22650,21208,25139,27188,20898,20454,20213,19207
Cyprus,Malta,1799,3352,4474,4672,8091,2973,106187,5106,2602,1851,3781,2897,625,1149,8873,14249,11340,9042,1659,15396
Cyprus,Chile,856,983,2215,3195,3257,2132,5613,3575,3213,3290,3554,4756,3058,3409,4696,3814,3763,3707,9665,14112
Cyprus,Estonia,7264,3395,3203,2510,3473,5535,13763,12985,11674,69703,22021,19919,17338,42968,13477,13477,9788,11693,12601,13568
Cyprus,New Zealand,10479,12022,10242,13790,19822,15498,14288,19359,14768,9376,11016,10150,10794,10891,12172,9085,5910,5449,7698,8249
Cyprus,Malaysia,14451,14905,20899,36317,28949,16834,42326,31569,18820,11123,12609,8171,12876,16676,15353,14184,10613,14316,9386,8212
Cyprus,Iceland,354,931,707,628,432,255,214,634,533,1300,866,1103,1363,2018,5422,6059,4080,4843,2081,4371
Cyprus,Luxembourg,3631,6875,37926,12957,10556,9121,9742,25205,34592,21858,4212,6463,10775,6394,4772,4045,3655,2551,4392,4303
Cyprus,Ecuador,0,0,438,239,283,465,104,814,917,1243,1790,1550,2705,3050,2489,2780,1949,3187,3946,4200
Cyprus,Bosnia and Herzegovina,764,1922,1219,623,553,562,3371,2655,17253,5351,6993,953,1321,590,1499,2933,793,1038,1464,1212
Cyprus,Peru,868,160,231,998,1471,605,54,827,412,433,424,700,523,692,852,534,748,841,626,778
Cyprus,Paraguay,7,0,3,4465,414,418,407,259,0,38,70,46,265,295,228,194,155,228,407,544
Cyprus,Colombia,251,97,65191,205796,354152,66867,576,729,164,225,123,286,165,401,1426,1605,1157,82,374,396
Cyprus,Costa Rica,11,29,60,17,39,39,31,34,111,55,58,47,85,88,46,33,79,29,143,143
Cyprus,Madagascar,2,84,34,55,81,6,0,145,0,49,50,125,71,80,400,286,103,54,145,22
Cyprus,Belize,82,5,0,3,0,0,0,0,0,0,51,27,0,1,0,0,0,0,0,8
Cyprus,"Bolivia, Plurinational State of",0,130,5,20,0,24,0,10,0,0,0,0,0,0,24,0,0,0,0,0
Cyprus,Cabo Verde,10,0,0,0,3701,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Cyprus,El Salvador,0,0,17,0,209,27,0,0,0,0,89,137,0,0,0,2,0,0,4,0
Cyprus,Guatemala,0,0,0,0,0,0,15,92,28,1,0,20,0,1,0,69,0,0,0,0
Cyprus,Uzbekistan,,,,,,,,,,,,,,1,6,71,51,13,40,
Cyprus,Curaçao,,,,,,,,,,,,,,65,0,0,0,,,
Cyprus,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,385,0,0,0,0,0,
Cyprus,Tajikistan,,,,,,,,,,,0,0,0,0,0,5,0,0,0,
Cyprus,Sierra Leone,,,,,,,,,,,0,0,0,0,20,,,,,
Cyprus,Sudan,,,,,,,,,55,31,0,0,0,0,326,,,,,
Cyprus,Myanmar,,,,,,,0,0,330,0,2,17,72,155,48,186,285,80,255,
Cyprus,Lao People's Democratic Republic,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,,
Cyprus,Nepal,,,,,,28,10,32,24,8,13,9,30,13,17,2,7,24,17,
Cyprus,"Libya, State of",,,,18561,33557,0,17268,,,,,4667,10,35,13077,3500,,,,
Cyprus,Congo,,,,0,103,0,0,20,0,0,119,28,80,31,41,0,24,28,0,
Cyprus,"Palestine, State of",,,,36,76,51,30,9,167,196,62,105,53,24,7,6,0,35,30,
Cyprus,Montenegro,,,233,1034,208,816,227,262,25,161,1465,343,226,452,798,476,146,333,63,
Cyprus,Central African Republic,,,0,0,0,0,0,0,0,0,11,0,20,12,12,27,0,7,0,
Cyprus,Nigeria,,,1995,0,455,659,458,583,9814,7958,86,766,3,44,24,98,0,66,597,
Cyprus,Antigua and Barbuda,,1,,0,,106,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyprus,United Arab Emirates,,34271,,55749,61759,,,,55342,22974,22323,21428,46648,105456,92430,100669,73061,100282,159416,
Cyprus,Aruba,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyprus,Netherlands Antilles,,0,3,3,4,,,,,,,,,,,,,,,
Cyprus,Papua New Guinea,0,,,,,,,0,0,,,,,,,61,0,0,,
Cyprus,Andorra,2,,31,21,0,0,0,67,0,9,1,2,3,1,2,5,5,5,21,
Cyprus,Kuwait,2149,,3377,3807,4128,4976,4391,3119,3195,3301,2864,3029,6536,890,2786,1651,721,220,1018,
Cyprus,Timor-Leste,2,266,,,,,,,,1695,,,,0,0,0,0,0,0,
Cyprus,Suriname,1,17,,0,,0,0,0,0,280,22,0,0,10,0,2,0,127,5206,
Cyprus,Mauritania,0,0,,0,0,0,66,0,0,54,237,273,203,377,0,696,336,112,504,
Cyprus,Togo,0,945,,23,0,0,0,0,343,0,0,131,56,60,0,24,50,0,0,
Cyprus,Cuba,8845,24205,26974,,,,,,,,,,37105,28497,25726,30003,24415,14825,17540,
Cyprus,Seychelles,201,103,124,,13,69,291,327,521,486,315,319,552,421,755,234,405,411,436,
Cyprus,Mongolia,0,0,0,0,,,6,50,0,0,0,0,0,0,0,2,0,0,0,
Cyprus,Angola,1,1065,0,0,,0,207,0,0,0,0,592,165,11,134,627,0,81,24,
Cyprus,Saint Lucia,0,0,0,0,0,,,,0,138,65,0,0,0,0,0,185,,,
Cyprus,Bangladesh,1137,1211,1109,986,908,1065,2300,3746,2537,2882,,5014,,,,,,,,
Cyprus,Qatar,736,961,430,2871,248,33,20900,366,27630,1942,1838,9655,,1298,35167,1280,2248,714,776,
Cyprus,Sri Lanka,1104,1791,2051,2324,2572,3683,2200,2448,1746,1672,2068,1355,1089,3204,,1762,4100,1892,11843,
Cyprus,Albania,0,0,66,734,1317,135,465,112,77,117,10975,102,234,79,256,1406,647,2467,235,
Cyprus,Azerbaijan,7731,3822,26995,34389,23423,1098,37906,68022,23392,23157,0,9,1114,40486,833,13363,2821,5659,9852,
Cyprus,Bahamas,4,7,3,3,77,0,0,1,230,1,0,0,19,0,0,0,0,0,0,
Cyprus,Bahrain,389,282,41,958,812,114,161,373,571,823,855,27433,583,447,505,435,467,561,853,
Cyprus,Armenia,54,1152,80,375,277,83,606,1645,8156,15,170,1,30,121,24,67,15,284,5490,
Cyprus,Barbados,15,22,9,0,0,0,0,6,0,82,116,0,10,0,28,32,13,153,170,
