reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Czechia ,Total,32472017,37551869,48716818
Czechia ,Germany,12847280,15175701,19829945
Czechia ,Slovakia,2226023,2518508,3232817
Czechia ,Austria,1898090,2110867,2975812
Czechia ,Poland,1703427,1753788,2300696
Czechia ,France,1372056,1623850,1960909
Czechia ,United Kingdom,1584922,1846724,2316651
Czechia ,Italy,1251019,1451480,1843494
Czechia ,Netherlands,833447,788462,1312767
Czechia ,United States of America,1116218,1294860,1458128
Czechia ,Hungary,714781,871549,1147352
Czechia ,Belgium,749714,711925,933349
Czechia ,Spain,631693,754725,1060431
Czechia ,Russian Federation,467200,564072,712469
Czechia ,Switzerland,404734,555455,671229
Czechia ,Romania,275021,347985,490042
Czechia ,Türkiye,126872,316916,443835
Czechia ,Sweden,324770,407015,519194
Czechia ,China,92246,154605,297219
Czechia ,Ukraine,202391,222654,314252
Czechia ,Slovenia,261934,288610,368461
Czechia ,Croatia,209303,266247,352897
Czechia ,Denmark,187917,209946,269515
Czechia ,Norway,171047,250931,259615
Czechia ,Finland,255068,243593,283742
Czechia ,Japan,172434,181930,214640
Czechia ,Bulgaria,116487,124160,176680
Czechia ,Greece,144538,169536,248154
Czechia ,Serbia and Montenegro,90307,127817,
Czechia ,Portugal,131173,155804,144977
Czechia ,Lithuania,86015,99365,146889
Czechia ,Canada,107016,113485,126464
Czechia ,Mexico,71954,70463,84448
Czechia ,Singapore,48868,66121,116212
Czechia ,India,37723,73030,99914
Czechia ,South Africa,40936,68545,100981
Czechia ,Ireland,110204,135032,163476
Czechia ,"Hong Kong, China",86284,108845,127565
Czechia ,Australia,39785,63623,85301
Czechia ,Brazil,55559,58641,69184
Czechia ,Belarus,57192,54227,74480
Czechia ,"Korea, Republic of",98728,100238,104623
Czechia ,Latvia,49743,55867,73419
Czechia ,Israel,54202,75841,76905
Czechia ,Syrian Arab Republic,132677,132183,134311
Czechia ,Kazakhstan,46011,53229,37493
Czechia ,Estonia,74020,46603,74011
Czechia ,Algeria,39125,35456,48735
Czechia ,Saudi Arabia,52210,65703,54537
Czechia ,Egypt,28350,21524,84612
Czechia ,Luxembourg,56903,61437,71559
Czechia ,Malaysia,21404,37310,37138
Czechia ,"Taipei, Chinese",52854,48950,51240
Czechia ,Thailand,87046,54715,43107
Czechia ,Morocco,16579,17085,29264
Czechia ,Lebanon,39394,40134,42868
Czechia ,Colombia,9209,10555,10751
Czechia ,Argentina,16549,12745,21929
Czechia ,Kuwait,13742,24611,33055
Czechia ,"Iran, Islamic Republic of",75458,26776,30361
Czechia ,Iceland,7190,8608,18051
Czechia ,Philippines,3084,5153,14411
Czechia ,Indonesia,12447,18548,22344
Czechia ,Cuba,9899,14819,14331
Czechia ,Tunisia,10456,12960,21910
Czechia ,"Moldova, Republic of",11381,12878,18967
Czechia ,Albania,6275,5443,13366
Czechia ,Jordan,11422,14422,15042
Czechia ,New Zealand,5379,12331,14952
Czechia ,"Macedonia, North",11602,9032,11955
Czechia ,Viet Nam,7615,8841,14156
Czechia ,Chile,6956,13234,8700
Czechia ,Bangladesh,1499,1686,3221
Czechia ,Cyprus,7026,9491,11758
Czechia ,Georgia,2886,5177,5777
Czechia ,Qatar,2400,3487,8422
Czechia ,Malta,5129,6784,7488
Czechia ,Peru,7535,7710,7277
Czechia ,Ecuador,2032,1014,6584
Czechia ,Pakistan,,,3360
Czechia ,Azerbaijan,2046,1911,9832
Czechia ,Mongolia,7055,,5773
Czechia ,Côte d'Ivoire,2398,5293,0
Czechia ,Yemen,,,
Czechia ,Bahrain,967,3861,4139
Czechia ,Sudan (before 2012),3697,656,2218
Czechia ,Cameroon,3891,3403,2989
Czechia ,Panama,1197,1525,1850
Czechia ,Oman,642,622,3126
Czechia ,Guatemala,1164,2024,3669
Czechia ,"Venezuela, Bolivarian Republic of",6913,4297,2944
Czechia ,Kyrgyzstan,1934,1941,1776
Czechia ,Mauritius,773,1159,1306
Czechia ,Armenia,1914,2566,3289
Czechia ,Honduras,251,330,1277
Czechia ,Ghana,631,,986
Czechia ,"Tanzania, United Republic of",0,544,619
Czechia ,Senegal,1423,1474,1744
Czechia ,Barbados,1183,1090,1311
Czechia ,French Polynesia,716,602,1431
Czechia ,El Salvador,5978,1435,1451
Czechia ,Uganda,131,1132,696
Czechia ,Uruguay,1623,587,728
Czechia ,Andorra,920,778,981
Czechia ,Sri Lanka,676,934,1314
Czechia ,Madagascar,1011,375,1001
Czechia ,Mali,1206,276,471
Czechia ,Costa Rica,1082,1217,1470
Czechia ,New Caledonia,480,758,1021
Czechia ,"Bolivia, Plurinational State of",924,1002,585
Czechia ,Angola,,,
Czechia ,Faroe Islands,251,233,362
Czechia ,Zimbabwe,90,1034,33
Czechia ,Paraguay,795,744,325
Czechia ,Niger,14,261,757
Czechia ,Zambia,892,235,857
Czechia ,Mozambique,14,258,58
Czechia ,Benin,955,483,455
Czechia ,Togo,536,176,290
Czechia ,Nicaragua,182,257,298
Czechia ,Dominican Republic,8609,0,64
Czechia ,Gabon,696,0,298
Czechia ,"Macao, China",134,5538,146
Czechia ,Guinea,544,479,
Czechia ,Fiji,,164,136
Czechia ,Jamaica,511,1127,507
Czechia ,Trinidad and Tobago,32,1,75
Czechia ,Malawi,1,24,48
Czechia ,Burkina Faso,292,641,367
Czechia ,Namibia,254,100,62
Czechia ,Belize,1,14,100
Czechia ,Ethiopia,0,0,0
Czechia ,Brunei Darussalam,27,70,15
Czechia ,Suriname,12,,
Czechia ,Mayotte,27,125,98
Czechia ,Greenland,0,3,619
Czechia ,Guyana,133,125,82
Czechia ,Botswana,0,141,8
Czechia ,Seychelles,0,42,54
Czechia ,Maldives,27,2,8
Czechia ,Bahamas,1,19,214
Czechia ,Cabo Verde,58,41,0
Czechia ,Mauritania,11,2,5
Czechia ,Saint Kitts and Nevis,0,13,12
Czechia ,Cambodia,72,4,3
Czechia ,Samoa,0,0,0
Czechia ,Burundi,81,48,0
Czechia ,Comoros,2,0,0
Czechia ,Gambia,62,0,0
Czechia ,Grenada,61,41,7
Czechia ,Kenya,1719,2468,10146
Czechia ,Montserrat,0,2,0
Czechia ,Papua New Guinea,0,6,9
Czechia ,Rwanda,193,83,1
Czechia ,Nepal,,,642
Czechia ,Eritrea,,,39
