reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Czechia ,Germany,22135005,23815108,28268173,35713660,40613479,30557921,35065252,41413529,38378443,40650287,44154932,40111389,42003067,46751005,51842656,49451433,44863191,54733237,56760284,55908361
Czechia ,Poland,3188534,4076858,6066938,7683774,9803720,8005680,9319733,11674788,11140720,12521857,13421229,12687295,12749503,14051808,16657344,15503206,15029806,19029902,22650326,23911381
Czechia ,China,1351082,1667414,2365830,4134950,5497483,5023772,7121516,7669407,6323551,6837795,7992899,8227215,8052784,8781492,11912529,12973043,13737631,15108153,18227387,16374140
Czechia ,Netherlands,2953606,4266220,5081692,6646995,6602033,5325891,7051245,8272771,7705296,7987558,8692317,7286135,7418582,7886210,8842200,8874933,9080914,10680649,9530024,14364132
Czechia ,Slovakia,3776747,4520938,5952601,7517864,9161182,7380980,9073137,11240229,11046343,11429509,10822808,9187288,9048437,9557233,10982111,9899295,9057454,12128232,13095591,14210983
Czechia ,Italy,3361142,3583606,4201240,5375081,5979715,4190485,4659693,5711356,5432430,5652018,6219256,5602072,5926947,6732985,7624952,7355350,6696705,8602154,8948964,8991837
Czechia ,Austria,3392758,3636415,4125977,5488944,6453170,4784022,5490360,6607279,5643296,5700670,5660617,5112285,5161920,5798546,6657403,6023591,5750342,6987950,7304666,7777377
Czechia ,Hungary,1323205,1898539,2516256,3570206,4306426,2703144,3280195,4133890,3989435,4061092,4250297,3908886,4264396,4879209,5523512,5239908,4802120,5852265,6232039,7332255
Czechia ,France,2828162,3204765,3918233,4573432,4915185,3543390,3816855,4613043,4158693,4513474,4733313,4137801,4441184,5160721,5733606,5335903,4833226,5889100,6196768,6716064
Czechia ,Belgium,1725606,2121031,2646788,3606666,4361356,3304159,3400586,3940994,3449636,3603231,3880353,3358329,3442097,3765748,4117183,4218540,4073727,5191289,5526203,5492853
Czechia ,United States of America,826618,1053557,1123105,1262373,1378320,969740,1409644,1684361,1832280,1943336,2302337,1977042,1965881,2272004,3003282,2790557,2972744,3660960,3798821,4536627
Czechia ,Spain,1078544,1232543,1498993,1884870,2176681,1781920,2172878,2258057,1986540,2147974,2323314,2261535,2419162,2685052,2841931,2834565,2762200,3486226,3599183,4055540
Czechia ,Romania,168077,264865,371380,557717,786150,670093,758773,1052385,1043696,1313781,1570476,1515417,1677449,2037933,2371699,2424797,2202246,2765963,2796274,3239403
Czechia ,"Korea, Republic of",312952,338791,564042,966072,828959,771465,1164700,1712591,1785530,1682964,1813465,2040508,2175830,2212016,2451863,2114312,2695968,2954036,3150395,3116805
Czechia ,United Kingdom,1769635,1839983,3045077,2869597,2822666,2227573,2781222,3066398,2765019,2941550,3362409,2999000,2892928,2741660,2952179,2808674,2604252,2439007,2607812,2733506
Czechia ,Switzerland,928555,1026819,1158275,1525147,1719738,1372969,1645433,1768426,1613185,1586626,1648516,1608970,1530458,1714924,1772231,1855113,1790571,2262063,2187554,2332743
Czechia ,Japan,1249741,1438744,1941675,2619136,3025794,1698745,1767687,1813341,1615270,1430563,1127416,1061903,1236820,1408963,1634312,1599464,1494326,2180849,2328647,2222159
Czechia ,Türkiye,222264,290110,377710,577605,700824,489014,694077,888387,786276,848706,976658,768632,804331,907616,1000786,1112872,1127785,1649335,1906128,1939825
Czechia ,Slovenia,303663,398371,490954,670360,718495,538901,575203,721554,750439,743389,693160,617218,643364,773728,882983,814984,769166,1022821,1118304,1889987
Czechia ,Sweden,662608,719483,911249,1157495,1209037,834989,1081563,1227095,1137253,1230584,1178248,1043290,1102769,1263485,1385774,1328737,1212829,1677723,1711550,1813893
Czechia ,Ireland,251064,335099,449221,544380,489273,403750,597777,625707,428735,612408,638416,454824,404957,467948,671241,628885,495885,766258,1565693,1185238
Czechia ,Serbia,,,92049,119463,148091,96973,135043,157386,169650,319594,357533,306003,367080,409537,579073,651667,724550,887709,902360,1173110
Czechia ,"Hong Kong, China",274076,344713,602713,582087,716207,589856,634847,704674,788130,881796,814127,895260,720594,936930,1726510,1752502,1662218,1435277,1385646,1154270
Czechia ,Ukraine,298981,376895,341619,428954,670783,340685,626246,842431,707040,823749,772580,540951,560756,715165,878036,920889,826278,1414528,1254210,996013
Czechia ,Bulgaria,58438,59975,101884,131326,199831,131625,193439,303052,326335,378335,424597,433930,445224,618590,713031,794325,737686,900306,821228,903943
Czechia ,Denmark,319164,358062,480835,652033,640839,524300,551462,596372,607143,621787,685779,591220,573445,551853,649499,616592,642102,856236,774880,869725
Czechia ,Thailand,147077,250858,354517,521995,605199,857421,1134967,951233,764286,724036,766834,741999,713152,699245,717057,715450,622615,770855,792064,775011
Czechia ,Portugal,91393,109312,163167,202258,280642,284870,319254,410138,420547,378996,424182,348177,325030,384972,457172,440064,443159,561183,612823,691670
Czechia ,"Taipei, Chinese",192288,207491,389994,314543,479477,361020,590411,463182,502130,502672,418194,344414,405145,453088,462463,454366,523145,530470,683448,659833
Czechia ,Finland,261975,271680,393376,501625,518531,326181,316364,372227,329177,313557,347262,302029,279338,317696,400276,386852,366598,508081,569372,594804
Czechia ,Malaysia,151496,192829,243034,208099,147983,176873,259253,461748,288022,275045,346419,320296,327319,333245,468990,459999,571716,793987,816229,582141
Czechia ,Lithuania,45546,68676,114158,154335,171867,112485,137676,176168,188445,254318,292061,264807,250905,334277,355721,379806,426966,495579,541785,498597
Czechia ,South Africa,64565,69030,99770,110186,108270,71922,134677,198596,185628,158386,133842,123629,150760,186749,267731,336727,481530,601454,479800,438452
Czechia ,Greece,62257,72501,105850,122355,189296,127981,157457,172119,167710,193449,250699,213071,223217,257409,273261,293655,294225,381917,427744,415510
Czechia ,Croatia,50083,76762,116745,137418,148097,112347,105508,131722,134452,175936,212274,166593,195843,278081,290677,263284,282599,334160,366008,413802
Czechia ,Singapore,86363,80507,88397,326470,520446,374780,776261,782088,602036,543394,521711,464329,312516,478223,557329,484467,450414,580124,411212,388377
Czechia ,Norway,381998,628869,951421,976768,1490935,994967,991023,1444756,1541943,205865,226326,180502,221204,241680,252428,235505,220894,288540,311657,330300
Czechia ,Latvia,17731,21752,38105,46547,58136,55123,53715,92676,99036,148032,190063,195078,158837,203002,189570,187704,170671,219121,204484,248787
Czechia ,Luxembourg,99159,92492,126734,169622,179708,100797,117877,151202,142272,144746,146235,115694,152891,172980,199960,163812,147280,203873,206186,201031
Czechia ,Estonia,24575,28677,36812,41875,69244,43268,68556,64925,78793,64008,65327,60638,71258,86586,109434,96738,103820,150304,165553,185468
Czechia ,Canada,88064,116352,191431,223667,220273,120156,113072,122174,116991,129962,118826,152808,131059,149363,214331,233925,162618,182148,183266,166930
Czechia ,Bosnia and Herzegovina,0,23060,38179,41884,55769,50389,51710,73537,63438,103291,100572,74437,80147,92914,121620,91986,71524,102502,113139,125162
Czechia ,Brazil,79922,57399,48963,60370,67253,43080,47964,63319,54331,60449,55647,26072,35476,70698,84352,90384,44459,53407,50059,81838
Czechia ,Australia,57450,49866,74813,76381,68598,41712,76052,117388,108330,109460,109294,104824,108191,131860,136548,91043,72621,104210,80453,66343
Czechia ,Cyprus,9609,8412,6217,9966,16076,11338,12723,14005,8857,18314,19411,22670,42978,28813,30237,20980,29222,29715,32691,34091
Czechia ,New Zealand,2039,1340,6537,8205,9085,5301,5170,8092,6064,9092,6875,8954,7167,9454,27509,27781,25328,20215,24253,28060
Czechia ,Chile,4449,4222,4784,8818,10601,9121,8153,9599,7802,10415,10116,10416,9473,14662,16316,12969,16756,23421,24287,18350
Czechia ,Malta,4154,16140,21002,15525,3086,2324,5985,8197,7504,7280,9514,7419,11843,9415,12783,20964,21286,27430,16004,18256
Czechia ,Ecuador,1275,1636,461,575,446,702,540,883,2182,2547,5346,9146,9252,10858,11084,12398,12244,11691,14405,14961
Czechia ,Argentina,19825,20846,22596,33624,49469,14824,23757,52316,42597,15882,52205,67236,88444,58006,53134,40102,19670,19352,18230,9333
Czechia ,Colombia,2430,12423,3667,4952,8257,1537,2168,2366,3672,3508,4255,3353,4880,4875,4193,5021,4975,5453,7931,7208
Czechia ,Iceland,265,987,1258,1357,1908,3145,2199,2213,1058,4327,4803,3927,9105,9736,10221,3427,3192,2715,8020,5253
Czechia ,Peru,844,1101,2299,4471,1748,1574,3541,4489,3127,3015,1575,2219,2067,1312,6025,2339,2196,3989,2486,3194
Czechia ,Guatemala,16,20,25,38,87,31,30,20,155,347,249,717,770,723,451,680,906,1002,602,669
Czechia ,El Salvador,128,261,405,124,714,1414,1047,1073,1644,1571,809,168,57,1665,365,1052,779,263,658,504
Czechia ,Paraguay,41,42,118,34,0,2,406,377,33,67,76,178,589,284,233,437,214,233,390,415
Czechia ,Madagascar,19,3,13,12,32,5696,500,314,122,172,321,175,243,538,487,304,114,126,428,271
Czechia ,"Bolivia, Plurinational State of",52,94,44,83,101,148,116,10,1,69,174,992,31,232,146,154,267,128,329,210
Czechia ,Costa Rica,205,195,899,226,164,115,38,11,42,176,95,61,30,132,55,549,198,168,132,70
Czechia ,Belize,20,0,0,0,0,0,0,0,4,58,9,0,0,0,0,0,0,130,2,0
Czechia ,Cabo Verde,0,8,199,619,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Czechia ,Liberia,,,,,,,,,,,,,,35,0,0,0,0,0,
Czechia ,Uzbekistan,,,,,,,,,,,,,,5441,4350,4772,3144,4885,7353,
Czechia ,Curaçao,,,,,,,,,,,,,,0,0,7,2,,,
Czechia ,"Congo, Democratic Republic of the",,,,,,,,,,,,215,0,6,0,4,119,4,8,
Czechia ,Tajikistan,,,,,,,,,,,300,88,108,1,33,329,302,329,105,
Czechia ,Sierra Leone,,,,,,,,,,,0,0,2,0,0,,,,,
Czechia ,Haiti,,,,,,,,,,0,0,0,0,0,,,,,,
Czechia ,Bermuda,,,,,,,,,0,0,0,0,0,3,0,0,1,0,0,
Czechia ,Sudan,,,,,,,,,4,0,0,0,0,0,0,,,,,
