reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Denmark,Germany,9168488,10381825,12799492
Denmark,Sweden,4618278,5058870,6543404
Denmark,Netherlands,3072432,3202899,3692900
Denmark,United Kingdom,3306619,4162812,3650052
Denmark,France,2116770,2440098,2774535
Denmark,Norway,2197975,2394990,2601037
Denmark,Italy,1930117,1961259,2216170
Denmark,Belgium,1549335,1625618,2042195
Denmark,United States of America,1609201,1495936,1547792
Denmark,China,898368,916979,1494337
Denmark,Poland,913670,1114537,1247497
Denmark,Finland,1063844,1060525,1166184
Denmark,Spain,769619,927573,1036507
Denmark,Switzerland,655733,676784,763685
Denmark,Japan,632986,599637,663100
Denmark,"Hong Kong, China",598256,590001,678384
Denmark,Austria,487680,528982,605303
Denmark,Ireland,533405,514994,570443
Denmark,"Korea, Republic of",219875,291901,334684
Denmark,Türkiye,271670,364863,454043
Denmark,"Taipei, Chinese",315393,271059,372299
Denmark,Russian Federation,272746,416639,217249
Denmark,Lithuania,205548,278939,338744
Denmark,Hungary,156384,207571,332800
Denmark,Czech Republic,193546,270554,289756
Denmark,Greenland,226057,268588,323034
Denmark,Portugal,259804,258121,281742
Denmark,India,154155,169108,217554
Denmark,Argentina,228116,207896,259724
Denmark,Singapore,135840,136854,200997
Denmark,Thailand,170974,160525,189898
Denmark,Latvia,115766,130417,173672
Denmark,Canada,371125,256533,194900
Denmark,Slovakia,59688,108280,143801
Denmark,Estonia,117856,167986,183730
Denmark,Malaysia,134578,115988,156997
Denmark,Slovenia,87148,91180,114837
Denmark,New Zealand,41397,40226,88111
Denmark,Iceland,85063,102760,121453
Denmark,Greece,84712,68076,106675
Denmark,Ghana,3503,,8886
Denmark,Belarus,24259,26237,105784
Denmark,Brazil,121931,75595,107037
Denmark,Faroe Islands,133306,109668,140130
Denmark,Australia,53332,64291,99401
Denmark,Ukraine,29720,36611,57540
Denmark,South Africa,78959,66734,94962
Denmark,Indonesia,108813,102522,95825
Denmark,Bangladesh,56153,61796,75729
Denmark,Israel,71916,63955,72172
Denmark,Chile,59768,59851,74940
Denmark,Luxembourg,46859,50133,52332
Denmark,Viet Nam,49667,63266,71111
Denmark,Colombia,18025,36876,75761
Denmark,Romania,28648,25604,31074
Denmark,Pakistan,,,41866
Denmark,Mexico,46715,36602,44166
Denmark,Bulgaria,25861,26078,28738
Denmark,Philippines,30336,34138,38632
Denmark,Kazakhstan,373,1430,4556
Denmark,"Macao, China",22309,21046,21654
Denmark,Croatia,11098,10935,16520
Denmark,Peru,6855,9015,6338
Denmark,Egypt,2478,3167,4473
Denmark,Algeria,2544,55,1064
Denmark,Cyprus,4062,4212,6054
Denmark,Sri Lanka,8771,9610,8673
Denmark,"Iran, Islamic Republic of",8807,9393,11077
Denmark,Serbia and Montenegro,3372,4642,
Denmark,Mauritius,1877,2990,3204
Denmark,Zimbabwe,202,2634,9074
Denmark,Tunisia,4381,7153,8017
Denmark,Syrian Arab Republic,0,0,3418
Denmark,Malta,3924,3808,5371
Denmark,Saudi Arabia,705,1857,156
Denmark,Ecuador,359,682,932
Denmark,Gambia,0,18,75
Denmark,Côte d'Ivoire,4157,5848,3425
Denmark,Benin,923,379,7530
Denmark,Honduras,4463,3532,3131
Denmark,Morocco,11182,5521,5163
Denmark,Uruguay,1858,1319,2447
Denmark,"Tanzania, United Republic of",2243,1645,2666
Denmark,Kenya,3886,1225,3392
Denmark,"Macedonia, North",2060,1900,3279
Denmark,Cambodia,2368,879,1618
Denmark,Madagascar,3375,1862,1217
Denmark,Guatemala,1810,1975,1788
Denmark,Malawi,1966,1772,3616
Denmark,Bosnia and Herzegovina,,,1113
Denmark,Costa Rica,1251,1317,1464
Denmark,Dominican Republic,213,437,590
Denmark,Lebanon,1588,1327,1495
Denmark,Oman,3380,670,1281
Denmark,Cuba,427,239,2871
Denmark,Ethiopia,542,260,439
Denmark,Namibia,3966,329,1053
Denmark,Zambia,123,61,53
Denmark,Bahrain,7,126,240
Denmark,"Venezuela, Bolivarian Republic of",549,2504,2295
Denmark,Burkina Faso,109,756,31
Denmark,Papua New Guinea,2,355,871
Denmark,Gabon,85,279,114
Denmark,Mauritania,7,0,0
Denmark,Togo,588,702,552
Denmark,Georgia,508,316,632
Denmark,Cameroon,1685,629,399
Denmark,Seychelles,1314,754,1768
Denmark,El Salvador,65,132,143
Denmark,Nicaragua,1013,244,218
Denmark,"Moldova, Republic of",76,18,146
Denmark,Brunei Darussalam,5,31,47
Denmark,Jordan,450,265,188
Denmark,Uganda,184,855,504
Denmark,Senegal,658,7,88
Denmark,Sudan (before 2012),76,444,184
Denmark,"Bolivia, Plurinational State of",139,138,440
Denmark,Eswatini,0,0,0
Denmark,Trinidad and Tobago,24258,140,1087
Denmark,Mali,293,201,45
Denmark,Guyana,136,123,633
Denmark,Albania,768,204,192
Denmark,Paraguay,57,367,281
Denmark,Bahamas,2,7,53
Denmark,Kuwait,235,99,57
Denmark,Mozambique,285,105,58
Denmark,Jamaica,473,1133,59
Denmark,Azerbaijan,71,58,32
Denmark,French Polynesia,95,44,118
Denmark,Grenada,19,14,73
Denmark,Barbados,343,285,37
Denmark,Belize,0,0,0
Denmark,Angola,,,
Denmark,Qatar,0,302,334
Denmark,Kyrgyzstan,4,0,0
Denmark,Suriname,144,,
Denmark,Niger,1,0,7
Denmark,Fiji,,44,23
Denmark,Panama,0,8,26
Denmark,Armenia,4,6,0
Denmark,Rwanda,0,30,14
Denmark,Andorra,12,19,12
Denmark,Mongolia,6,,0
Denmark,Saint Kitts and Nevis,11,17,11
Denmark,Cabo Verde,0,0,0
Denmark,Yemen,,,
Denmark,Botswana,27,94,6
Denmark,New Caledonia,1,6,0
Denmark,Saint Lucia,0,2,3
Denmark,Guinea,257,4,
Denmark,Burundi,1,2,14
Denmark,Maldives,0,0,0
Denmark,Samoa,0,188,17
Denmark,Nepal,,,262
Denmark,Central African Republic,11,1,395
Denmark,Nigeria,0,0,656
Denmark,Tonga,1,0,4
