reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Denmark,Germany,14031729,15499476,18037314,21065785,23466682,17846943,18334498,20339168,19075405,20732965,21514739,18487291,19206751,20691180,23572859,21488112,21061131,24506251,24921547,23624811
Denmark,Sweden,8223108,8969329,10598537,12466498,13580078,9618224,10306144,11487326,11010540,11359372,11271354,9510975,9690410,10445666,11441963,11066878,11668764,14664109,14702482,13833076
Denmark,Netherlands,4488784,5318378,5449787,6553127,7457642,5686839,6255135,7201613,6774643,7244936,7356553,6360080,6406543,6598475,7361591,6982579,7428974,9367213,9777854,12462739
Denmark,Norway,3102318,3681054,4284739,4399627,6082362,4668527,4208178,5940727,6654577,5797996,5460347,3866537,3566876,4795431,5747968,4671633,3465759,4502864,6578486,8854382
Denmark,China,1945968,2788884,3645988,4590243,5568300,4225931,5184702,6446596,6540747,5711397,6547832,6155176,5428335,6495779,7298392,6749861,7464244,10871707,10191601,8151936
Denmark,Poland,1649047,1878927,2155870,2659149,3333952,2533062,2893373,3412322,3005414,3413862,3348834,3107745,3335814,3942271,4572938,4043879,4243411,5168607,5806446,6143792
Denmark,United States of America,2146581,1918424,2268316,2927239,2712144,2058490,2132447,2247928,2224433,2231000,2360681,2202791,2238325,2210898,2608052,3194568,2941014,3543820,4501750,5254769
Denmark,France,3177665,3243498,3584932,3929782,4194636,3040384,3054357,3479846,3211578,3273499,3242645,2804504,2911726,3273806,3500444,3454472,3336641,4146385,4162346,4551005
Denmark,Belgium,2449449,2666373,2971191,3645573,4076342,2980552,2990983,3415169,3130279,3246897,3372601,2892606,3069841,3230280,3391916,3296133,3578009,4602247,4931166,4513459
Denmark,Italy,2660565,3250529,3331301,3947351,3985024,2585138,2750345,3247263,3137476,3198282,3496272,2851726,3062649,3325381,3480016,3295030,3398187,4061348,4382156,4011100
Denmark,United Kingdom,3771660,4235272,7178647,4493225,4826640,3823662,4187859,4782178,4027377,4570207,4595270,3534250,3361016,3522765,3664516,3403006,2957351,3339365,3535254,3301305
Denmark,Spain,1147833,1363798,1710040,1881795,2091563,1235373,1265383,1634520,1561094,1586997,1539204,1630574,1610882,1819655,2076164,1978559,2253230,2541522,2628681,2986396
Denmark,Czech Republic,370716,588997,911762,1070733,1157655,859577,1048214,1257051,1183503,1328356,2009385,1525805,1620689,1744930,1851046,2004450,2085639,2214590,2277562,2305467
Denmark,Türkiye,637306,733233,827061,1008508,953437,690864,765081,880920,983886,1026960,1108892,901797,947816,1011464,1069757,1039459,1044373,1301405,1402475,1319064
