reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Djibouti,India,15385,30306,52849
Djibouti,China,47319,49810,65858
Djibouti,France,42543,51136,46325
Djibouti,United States of America,18557,58605,31727
Djibouti,Saudi Arabia,25942,45274,18707
Djibouti,Japan,11910,15305,23721
Djibouti,Ethiopia,63225,59769,99313
Djibouti,Indonesia,14847,12585,16297
Djibouti,United Kingdom,16720,19498,36197
Djibouti,Netherlands,17414,25371,17391
Djibouti,Italy,21425,16204,16167
Djibouti,Belgium,6922,8725,10023
Djibouti,Malaysia,4582,5127,12788
Djibouti,Singapore,9228,12504,16265
Djibouti,Germany,14222,15709,12881
Djibouti,"Taipei, Chinese",9583,5212,14379
Djibouti,Brazil,2048,4171,8157
Djibouti,Poland,6032,4907,7133
Djibouti,Oman,2159,5267,4186
Djibouti,Türkiye,6840,3770,5363
Djibouti,Egypt,1482,1665,3606
Djibouti,Yemen,,,
Djibouti,"Korea, Republic of",11053,7701,8286
Djibouti,Kenya,6931,3083,5677
Djibouti,Israel,1144,1154,1860
Djibouti,South Africa,6783,5710,4076
Djibouti,Thailand,3659,2388,5494
Djibouti,Argentina,0,72,4972
Djibouti,Sweden,2293,509,3474
Djibouti,Pakistan,,,4578
Djibouti,"Iran, Islamic Republic of",957,4370,5860
Djibouti,Denmark,1347,1919,2340
Djibouti,Spain,2051,6200,2828
Djibouti,Malta,1484,2033,1844
Djibouti,"Hong Kong, China",980,728,1402
Djibouti,Finland,304,564,1044
Djibouti,Canada,183,665,432
Djibouti,Switzerland,80,382,403
Djibouti,Australia,346,1313,169
Djibouti,Syrian Arab Republic,0,0,1070
Djibouti,Greece,200,413,489
Djibouti,Bangladesh,0,0,797
Djibouti,Austria,2591,1504,1195
Djibouti,Slovenia,1392,999,120
Djibouti,Norway,254,34,597
Djibouti,Zimbabwe,0,0,1
Djibouti,Cyprus,561,516,2426
Djibouti,Tunisia,7270,1520,1021
Djibouti,Lebanon,150,235,505
Djibouti,Kuwait,136,79,383
Djibouti,Russian Federation,234,2175,126
Djibouti,Bahrain,0,0,0
Djibouti,Romania,34,66,58
Djibouti,Ukraine,39,270,848
Djibouti,Viet Nam,34,155,186
Djibouti,Portugal,40,174,118
Djibouti,Jordan,787,829,522
Djibouti,Morocco,272,286,274
Djibouti,Senegal,0,16,0
Djibouti,"Tanzania, United Republic of",28,51,28
Djibouti,Ireland,112,14,539
Djibouti,Czech Republic,119,130,160
Djibouti,Madagascar,17,17,45
Djibouti,New Zealand,311,4,14
Djibouti,Rwanda,4,24,207
Djibouti,Philippines,0,55,0
Djibouti,Timor-Leste,,,
Djibouti,Luxembourg,0,6,109
Djibouti,Belarus,250,105,22
Djibouti,Bulgaria,54,172,63
Djibouti,Qatar,0,19,38
Djibouti,Sudan (before 2012),382,0,39
Djibouti,Slovakia,2,0,0
Djibouti,Sri Lanka,251,106,226
Djibouti,Uganda,0,20,4
Djibouti,Cambodia,0,6,3
Djibouti,Lithuania,0,0,0
Djibouti,Mauritius,44,2,2
Djibouti,Bosnia and Herzegovina,,,0
Djibouti,Hungary,30,0,157
Djibouti,Côte d'Ivoire,88,4,182
Djibouti,Mayotte,0,0,0
Djibouti,Guyana,0,0,0
Djibouti,Azerbaijan,0,176,0
Djibouti,Barbados,0,1,0
Djibouti,Cameroon,21,0,0
Djibouti,Comoros,0,0,3
Djibouti,Croatia,31,0,0
Djibouti,Benin,0,4,0
Djibouti,Georgia,0,68,0
Djibouti,Mali,0,6,0
Djibouti,Namibia,2,0,60
Djibouti,Paraguay,53,28,141
Djibouti,Peru,87,0,0
Djibouti,Saint Kitts and Nevis,0,1,0
Djibouti,Togo,3,3,0
Djibouti,Eritrea,,,41
