reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Dominica,United States of America,3361,3632,3312,1858,2455,2853,1706,1991,1851,2729,1647,1756,2760,1319,1406,2126,1865,2601,1608,2272
Dominica,United Kingdom,19349,23951,19219,10381,10213,32174,6174,7087,3186,2441,2187,1148,932,1258,775,1714,796,1001,1123,1648
Dominica,France,5608,2872,3661,5273,6056,4380,4424,4869,4601,3872,2970,2683,1661,1509,1508,1895,2711,2609,2055,1491
Dominica,"Korea, Republic of",266,8357,190,452,932,899,513,678,4583,2702,429,8,37,92,54,270,101,498,195,1483
Dominica,China,1753,946,8184,4109,2165,1160,2529,396,1146,109,566,654,935,708,119,477,599,1432,432,699
Dominica,Germany,183,489,84,272,55,248,30,0,64,103,6,22,92,151,84,185,236,300,818,560
Dominica,Costa Rica,16,32,40,13,16,64,21,12,70,47,17,13,50,24,97,115,841,165,239,316
Dominica,Belgium,27,69,55,192,36,2995,628,738,200,5,1,0,0,782,12024,0,2,6,93,300
Dominica,Canada,241,639,223,372,317,343,141,292,222,1120,322,570,174,306,145,1651,228,490,278,233
Dominica,Thailand,426,1103,822,701,819,177,75,80,346,337,388,94,41,149,189,231,118,189,114,198
Dominica,Switzerland,1328,108,40,16,1491,141,19,21,74,0,0,0,0,0,0,0,0,0,0,170
Dominica,Japan,4448,2481,1194,1940,3177,1257,1386,3308,1121,959,1091,619,656,750,354,699,255,291,444,130
Dominica,Paraguay,0,7,0,14,35,41,14,12807,0,133,335,571,847,396,763,478,61,80,0,101
Dominica,Singapore,0,0,0,0,0,0,0,294,101,149,141,153,62,62,34,77,185,121,87,96
Dominica,Netherlands,5,34,101,12,174,71,379,689,1379,113,271,226,2855,3030,476,568,1869,30,2,81
Dominica,Cyprus,8,3,2,75,8,20,45,2,1,0,0,0,0,0,0,1,0,11,7,65
Dominica,Australia,13,35,367,346,3338,281,334,473,620,265,280,262,210,67,511,359,59,74,309,57
Dominica,Chile,2,1,12,148,3,4,0,1,3,43,2,3,6,77,4,2,1,34,22,53
Dominica,Malaysia,21,83,183,787,138,37,0,1,2,0,19,15,2,41,158,1,0,15,15,51
Dominica,"Taipei, Chinese",35,44,89,228,299,277,199,281,1042,801,777,308,271,103,290,275,190,46,121,49
