reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Dominican Republic,United States of America,4358265,4718692,5347802,6090759,6594330,5269883,6579217,7325686,6967115,7155518,7922141,7114647,7750713,7851737,8953254,9205018,7514606,10673209,13853349,13062574
Dominican Republic,China,232756,264154,401805,513619,657886,592005,904338,967391,1029937,1045515,1273626,1559823,1586358,1706285,2111622,2390428,2493940,4002492,4318823,4349227
Dominican Republic,Brazil,267063,332423,365758,458748,383345,281756,401696,421974,490370,463286,358135,523161,580259,588458,718969,677297,454211,581171,1043319,1078189
Dominican Republic,Spain,250317,229803,295867,388701,516447,270312,351686,363637,517541,355027,367274,511077,607974,582399,680353,676300,558291,704936,858151,964766
Dominican Republic,Italy,160659,150211,162567,185601,203443,189135,183850,205124,318750,226777,228904,279817,380015,339670,375213,389854,335381,523140,625283,656825
Dominican Republic,Colombia,436779,583269,583399,621614,750661,483221,627252,620730,669250,363430,282293,259277,283799,347059,327633,346212,261976,436583,902159,577969
Dominican Republic,Germany,118795,136288,180439,207769,189935,206790,207105,232594,231428,256148,223533,231129,245814,261877,332328,301311,259692,334337,382557,402862
Dominican Republic,Japan,151199,314163,261478,333070,267988,120799,243511,160776,197429,169263,213742,238121,272829,264642,259663,266462,159909,232447,327260,361367
Dominican Republic,"Korea, Republic of",73867,120437,108864,120362,125550,86085,148260,152806,167044,184449,220858,265125,308134,266875,257629,252665,181441,311074,347496,327266
Dominican Republic,Argentina,116491,122842,149169,197485,179968,139637,156466,232212,243934,258413,121998,112729,143749,109991,128333,171776,108982,328132,507621,324936
Dominican Republic,Costa Rica,70629,97959,136575,167899,202637,194159,241252,251761,259187,246166,267170,265836,258908,230374,242284,233785,231487,313840,341997,319700
Dominican Republic,Netherlands,52831,65344,77855,70968,75153,69890,105589,115367,111085,126223,136027,123450,148728,136678,259376,295968,215226,246569,207366,247659
Dominican Republic,Guatemala,32811,49131,55415,91982,113620,107163,133895,127188,115430,127570,142086,151502,149398,144877,172855,166370,160576,198855,265277,231548
Dominican Republic,Canada,77945,120081,142465,184775,196911,112692,188619,150237,127531,147779,177328,139016,114231,127928,171743,167826,189299,229528,274128,218835
Dominican Republic,Belgium,35920,41193,47002,62321,75903,52548,66464,61897,58213,58437,75950,76942,86105,97484,85735,89005,102422,125031,148213,214519
Dominican Republic,France,61947,88604,87075,109318,87355,78445,107829,134103,128180,117869,135531,150221,159247,168913,140093,138456,113821,193171,227873,198433
Dominican Republic,United Kingdom,56215,94176,94532,109666,114223,125646,167682,117959,117527,115956,130077,200095,139396,129365,138156,127302,103380,170056,373682,189037
Dominican Republic,Türkiye,17463,5998,7728,6905,48181,24347,29953,42096,45031,46127,66417,40357,40315,68108,101643,123809,124978,233332,324512,185934
Dominican Republic,Peru,19756,21247,28526,38209,47993,75209,90106,67708,68092,73880,85416,100218,83615,101122,91666,87985,80686,121588,130206,158594
Dominican Republic,Chile,28933,36121,43180,51165,60696,48289,59493,66890,80930,67834,68355,69964,94387,104831,71791,70936,58218,73148,141398,141488
