reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Ecuador,United States of America,2009695,2388393,3031418
Ecuador,Peru,348224,436359,650644
Ecuador,Germany,274661,323902,403910
Ecuador,"Korea, Republic of",296891,315198,257667
Ecuador,Colombia,318226,367199,409667
Ecuador,Russian Federation,166972,192382,262739
Ecuador,Italy,201041,274289,284155
Ecuador,Belgium,112035,110425,156104
Ecuador,Japan,226994,182308,173447
Ecuador,Spain,99300,107301,183633
Ecuador,Chile,123272,104243,82740
Ecuador,France,71250,82690,100962
Ecuador,"Venezuela, Bolivarian Republic of",157959,59270,52654
Ecuador,United Kingdom,61426,66920,78146
Ecuador,Canada,86634,102132,100914
Ecuador,El Salvador,127409,152485,168259
Ecuador,Netherlands,79449,67147,70808
Ecuador,China,28097,13570,39725
Ecuador,Brazil,19406,15703,19761
Ecuador,Syrian Arab Republic,65476,62739,66500
Ecuador,Algeria,11934,59891,68980
Ecuador,Poland,88887,73860,77896
Ecuador,Argentina,116744,23339,39590
Ecuador,Jamaica,8825,55063,89613
Ecuador,Mexico,110325,33095,54101
Ecuador,Austria,36735,32762,47377
Ecuador,Romania,15319,21586,29238
Ecuador,Switzerland,20800,26797,32753
Ecuador,Türkiye,13963,22507,28050
Ecuador,Portugal,30793,27560,33820
Ecuador,Saudi Arabia,29742,15494,18269
Ecuador,Nicaragua,15881,29331,32425
Ecuador,Serbia and Montenegro,40001,41292,
Ecuador,Greece,13659,28213,22187
Ecuador,New Zealand,29216,33269,22017
Ecuador,India,3721,3441,3981
Ecuador,Czech Republic,16902,13165,18481
Ecuador,Ukraine,14634,16631,22121
Ecuador,Bangladesh,0,6398,1394
Ecuador,Croatia,13823,13372,15916
Ecuador,Dominican Republic,12092,10870,7426
Ecuador,Bosnia and Herzegovina,,,17624
Ecuador,Tunisia,3195,4180,4237
Ecuador,Slovenia,7993,8363,8650
Ecuador,Norway,4330,5181,6201
Ecuador,"Hong Kong, China",7856,6723,7584
Ecuador,Cuba,11041,8350,8227
Ecuador,Guatemala,10692,7342,11005
Ecuador,"Bolivia, Plurinational State of",6047,6568,7524
Ecuador,Bulgaria,3917,5298,9721
Ecuador,Honduras,13491,9092,11275
Ecuador,Finland,6130,7279,7173
Ecuador,Panama,236716,99116,6994
Ecuador,Costa Rica,5953,8307,6831
Ecuador,Lithuania,14937,13608,16610
Ecuador,"Macedonia, North",563,1011,2966
Ecuador,Kazakhstan,1178,1793,3999
Ecuador,Albania,4632,3933,7205
Ecuador,Denmark,2101,2040,2527
Ecuador,Estonia,2904,2546,3308
Ecuador,"Taipei, Chinese",11311,6043,3959
Ecuador,Israel,6183,3652,3885
Ecuador,Thailand,27038,866,3015
Ecuador,Ethiopia,1557,1652,903
Ecuador,Australia,1882,1904,3284
Ecuador,Singapore,17765,3441,3985
Ecuador,Slovakia,10172,3302,3823
Ecuador,"Iran, Islamic Republic of",8,1008,4042
Ecuador,Sweden,3440,3311,2785
Ecuador,Belarus,4581,5186,6355
Ecuador,"Tanzania, United Republic of",2497,1591,629
Ecuador,South Africa,2194,2965,4281
Ecuador,Trinidad and Tobago,1334,3614,1495
Ecuador,Hungary,5750,11993,14435
Ecuador,Indonesia,3484,1093,959
Ecuador,Viet Nam,305,24,410
Ecuador,Sudan (before 2012),149,9115,0
Ecuador,Georgia,557,834,1517
Ecuador,Uruguay,10085,2218,1178
Ecuador,"Moldova, Republic of",491,819,1018
Ecuador,Ireland,676,641,622
Ecuador,Azerbaijan,826,144,468
Ecuador,Jordan,1078,510,474
Ecuador,Egypt,1966,1036,605
Ecuador,Malta,1933,2221,1979
Ecuador,Kuwait,721,867,810
Ecuador,Lebanon,391,420,395
Ecuador,Barbados,596,533,436
Ecuador,Sri Lanka,130,99,73
Ecuador,Kyrgyzstan,187,229,382
Ecuador,Latvia,381,304,297
Ecuador,Iceland,596,534,393
Ecuador,Malaysia,763,462,1267
Ecuador,Paraguay,754,480,179
Ecuador,Morocco,647,159,422
Ecuador,Luxembourg,51,146,201
Ecuador,Philippines,609,131,283
Ecuador,Qatar,52,59,120
Ecuador,Madagascar,64,38,68
Ecuador,Bahrain,94,158,135
Ecuador,Namibia,1,11,0
Ecuador,Ghana,1,,67
Ecuador,Mozambique,3,0,0
