reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Egypt,United States of America,3564352,2868427,2606749
Egypt,Germany,1284641,1295602,1462261
Egypt,Italy,1316021,1112359,1332560
Egypt,China,873208,852923,936758
Egypt,France,906528,970938,1114827
Egypt,United Kingdom,656006,699990,756324
Egypt,Spain,357213,312525,408306
Egypt,Russian Federation,446706,492255,376152
Egypt,Japan,574691,509410,730866
Egypt,Brazil,424052,385896,461758
Egypt,Argentina,345309,405342,446612
Egypt,"Korea, Republic of",431359,321032,425470
Egypt,Netherlands,334826,358270,372079
Egypt,Australia,382385,363169,153231
Egypt,Türkiye,421469,326389,345779
Egypt,Belgium,327651,307894,351443
Egypt,Syrian Arab Republic,307200,205770,341280
Egypt,Algeria,105020,146833,307670
Egypt,India,507621,282749,343586
Egypt,Malaysia,209918,295566,454656
Egypt,Ukraine,195719,316098,291562
Egypt,Switzerland,320813,303193,309475
Egypt,Sweden,230798,175110,245011
Egypt,Saudi Arabia,222525,195346,193946
Egypt,Thailand,142246,125789,173114
Egypt,"Taipei, Chinese",172130,183429,186724
Egypt,Romania,112731,118453,118911
Egypt,Indonesia,196804,179643,170351
Egypt,Finland,145027,148866,126342
Egypt,Canada,143114,117826,165758
Egypt,Greece,82057,59880,74884
Egypt,"Hong Kong, China",173165,132248,128851
Egypt,Austria,97533,118419,116771
Egypt,Singapore,125693,127782,109866
Egypt,Ireland,107934,81675,60884
Egypt,Kenya,89453,25602,78014
Egypt,Denmark,131630,65976,86143
Egypt,Sudan (before 2012),40114,37507,42962
Egypt,Czech Republic,54734,51212,36309
Egypt,Hungary,26864,23630,40676
Egypt,New Zealand,69758,67102,67103
Egypt,Poland,91334,86275,66742
Egypt,Bulgaria,22480,27976,44848
Egypt,Slovenia,31046,31159,34764
Egypt,Pakistan,,,41079
Egypt,Kuwait,42546,35024,40387
Egypt,Viet Nam,28574,21783,14839
Egypt,Lebanon,23940,27634,27963
Egypt,Jordan,23426,18982,26898
Egypt,Tunisia,32475,25997,27950
Egypt,Israel,47269,26286,26501
Egypt,Norway,26482,40892,28040
Egypt,South Africa,30987,17824,35421
Egypt,Morocco,28125,19864,24770
Egypt,Belarus,19977,12000,8452
Egypt,"Venezuela, Bolivarian Republic of",973,1473,910
Egypt,Portugal,23404,23532,22644
Egypt,Malawi,48599,22773,23649
Egypt,Serbia and Montenegro,11913,9265,
Egypt,Qatar,10650,263419,24310
Egypt,"Iran, Islamic Republic of",11020,11167,8753
Egypt,Croatia,12524,10107,15424
Egypt,Oman,5639,5829,5702
Egypt,Sri Lanka,13616,10535,10993
Egypt,Slovakia,30611,13972,13843
Egypt,Yemen,,,
Egypt,Uruguay,1829,12233,3570
Egypt,Kazakhstan,4078,2885,2942
Egypt,Bangladesh,9682,9180,3785
Egypt,Mexico,15542,17061,17002
Egypt,Bahrain,7459,4222,5010
Egypt,Cyprus,26080,24254,22891
Egypt,Estonia,9693,10313,14148
Egypt,Philippines,3862,7506,4870
Egypt,Latvia,12504,10872,12650
Egypt,Bosnia and Herzegovina,,,7391
Egypt,Luxembourg,6569,5316,7434
Egypt,Malta,3635,5932,3784
Egypt,Chile,8961,3448,2803
Egypt,Côte d'Ivoire,632,1194,1719
Egypt,Zimbabwe,11,2820,2327
Egypt,Ghana,300,,2479
Egypt,Peru,4694,3029,2997
Egypt,"Bolivia, Plurinational State of",525,1099,559
Egypt,Uganda,5278,1948,2673
Egypt,Ethiopia,2405,4328,2220
Egypt,Zambia,67,851,1288
Egypt,Colombia,650,502,12067
Egypt,"Tanzania, United Republic of",1834,1683,1353
Egypt,Madagascar,249,360,381
Egypt,"Moldova, Republic of",0,1,5
Egypt,Guatemala,1275,10455,414
Egypt,Burkina Faso,97,0,0
Egypt,"Macedonia, North",1234,4686,3825
Egypt,Azerbaijan,5260,175,31
Egypt,Lithuania,289,714,533
Egypt,Mozambique,0,30,114
Egypt,Cameroon,105,437,1104
Egypt,Georgia,0,20,49
Egypt,Mauritius,496,628,672
Egypt,Brunei Darussalam,3,59,28
Egypt,Dominican Republic,0,19,29
Egypt,Paraguay,631,33,114
Egypt,Cambodia,20,79,12
Egypt,Mongolia,0,,0
Egypt,Ecuador,488,85,1905
Egypt,Rwanda,1,0,25
Egypt,Trinidad and Tobago,228,363,67
Egypt,Costa Rica,162,50,52
Egypt,Botswana,0,17,0
Egypt,Iceland,532,15,44
Egypt,Niger,0,60,5
Egypt,Gabon,15,9,63
Egypt,Senegal,28,27,6
Egypt,Armenia,0,0,46
Egypt,Cuba,1360,0,3725
Egypt,"Macao, China",72,11,7
Egypt,Mali,0,11,0
Egypt,Namibia,8,4,6
Egypt,Benin,25,2,0
Egypt,Papua New Guinea,0,0,0
Egypt,Bahamas,0,0,0
Egypt,Angola,,,
Egypt,Fiji,,6,6
Egypt,Guinea,2,0,
Egypt,Albania,0,0,2
Egypt,Barbados,0,0,0
Egypt,El Salvador,0,0,3
Egypt,Guyana,0,0,1
Egypt,Honduras,274,0,2
Egypt,Kyrgyzstan,39,0,3
Egypt,Mauritania,23,29,258
Egypt,Nicaragua,7,0,0
Egypt,Saint Kitts and Nevis,0,1,0
Egypt,Saint Vincent and the Grenadines,0,1,0
Egypt,Seychelles,0,1,0
Egypt,Eswatini,0,4893,0
Egypt,Togo,0,0,3
Egypt,Nepal,,,373
Egypt,Lesotho,1,0,0
Egypt,Nigeria,16,0,0
