reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
El Salvador,United States of America,2111608,2052289,1919070,2118517,2308598,1881101,2273734,2559804,2669490,2515411,2471843,2609685,2571240,2534648,2582042,2552680,1991259,2625964,3037368,2574384
El Salvador,Guatemala,434907,369125,283636,620817,687206,463029,675572,820370,780285,819984,830655,987788,902778,972193,1025106,1034366,974600,1343440,1046713,1430644
El Salvador,Costa Rica,88480,94740,54436,131744,148520,119951,153405,229241,228785,248736,221682,235047,236079,250745,242259,232323,205197,240209,277575,280251
El Salvador,China,3786,10499,3891,4728,5948,3472,7505,6377,7365,8988,10472,53907,45777,114364,164703,113313,171781,218853,233421,168837
El Salvador,Canada,39694,46287,59838,40595,65367,57309,84526,130796,97313,106844,79667,85271,50900,81838,61294,104075,57917,63202,119495,151441
El Salvador,"Hong Kong, China",7527,18947,39059,45377,26662,33771,80394,94721,91685,102102,101952,90724,105826,102768,118582,88634,76835,127394,142016,119784
El Salvador,Spain,31650,63543,57395,91855,104895,84649,58088,76451,66125,70813,60773,43077,57720,82703,66582,60550,49973,63802,68842,85512
El Salvador,Germany,60554,71562,101329,109381,146998,104331,118046,220260,96971,84563,50609,53721,48303,64622,70431,44900,42190,66824,42015,73361
El Salvador,"Korea, Republic of",3014,3238,5848,5980,6913,4224,20299,46044,37944,17116,57839,14179,12925,19797,23958,39232,61542,98160,69242,61084
El Salvador,Netherlands,4790,7350,7127,5120,29468,16726,11505,19229,25022,31063,39908,35564,35241,12846,13868,10317,14653,19282,19989,33486
El Salvador,Italy,4824,8780,7232,13009,12853,12989,13415,23409,23946,23772,25940,25123,30200,31908,37839,27360,38319,35244,58253,32290
El Salvador,United Kingdom,13337,11480,11573,10164,7567,7555,13050,16235,18161,12083,21757,15859,26643,18225,19574,18478,13527,16880,32048,25774
El Salvador,Peru,160,325,316,2594,1354,1838,2339,2499,4009,2376,2896,5027,5247,9711,6115,5338,11228,13654,26794,22594
El Salvador,France,6679,7499,17972,11343,13599,14444,9761,12006,13465,10223,15347,15627,15493,16442,13509,14228,15323,16730,17483,21210
El Salvador,Japan,13464,20141,25964,20163,20044,27281,27950,55658,43536,40297,19807,26247,21664,19280,20167,17319,18216,20611,26268,20381
El Salvador,El Salvador,0,574,2879,5436,2038,3557,2986,8941,0,4797,8921,0,0,0,0,0,14,1105,15560,16520
El Salvador,Belgium,6277,13802,10166,12130,13195,16234,18827,20557,12263,10716,9429,11789,11363,10785,13013,13080,16438,12198,16428,16505
El Salvador,"Taipei, Chinese",2883,8700,9007,12819,19760,18329,20143,62134,14397,56862,18987,33239,36251,60255,33007,31072,32144,52783,18546,16275
El Salvador,Belize,8070,7985,11605,9511,14061,12880,9832,8457,10011,11366,9934,11465,9834,12179,13378,11586,9255,13625,14581,16021
El Salvador,Chile,3103,2598,658,3243,13947,9013,11915,40808,47943,41042,15146,7939,7862,8747,7373,6752,5978,8734,17773,15171
El Salvador,Singapore,9897,9043,15867,17211,12188,1041,1230,1300,2354,1455,2508,2598,7433,11497,11706,6687,6436,19195,19814,13478
El Salvador,Australia,682,1417,2736,2548,2497,3782,4372,6068,8779,8933,18131,17625,7793,8013,8005,7421,6241,9278,12113,13197
El Salvador,Switzerland,2076,5214,1283,1456,994,2445,2278,5275,4430,1886,2059,1946,1963,2057,2451,2780,2488,3177,4621,9178
El Salvador,Ecuador,433,373,388,951,5946,2346,3883,8932,3780,5693,5130,5096,6367,6578,8070,8948,5362,5263,7087,8585
El Salvador,Colombia,733,1032,2598,5655,3184,3312,6262,6074,9058,16589,15816,13836,13838,12397,10464,9589,8714,7528,11155,8031
El Salvador,Brazil,469,1164,2731,4572,3734,5627,5712,6939,10109,10335,11683,7075,5867,5007,6086,7288,5297,6449,7218,7122
El Salvador,Thailand,506,813,837,880,6625,4293,1467,16891,11690,5091,9332,1134,1572,5943,9468,3799,3537,7787,8004,6458
El Salvador,Türkiye,412,2945,259,405,476,355,384,615,455,482,1292,1275,5017,3868,3977,2432,1904,6669,10345,6148
El Salvador,Argentina,41,129,51,133,370,256,300,581,315,609,475,517,576,579,2082,267,1477,676,1347,5197
El Salvador,South Africa,199,1118,1417,1314,1989,2322,1316,3615,4633,4024,4314,2944,3243,7443,5319,2289,1705,3472,4227,4021
El Salvador,Sweden,1153,3107,3408,2801,2255,1762,8024,19241,9941,10375,5099,4958,431,1477,1760,3320,2152,816,4224,3866
El Salvador,Finland,1263,1769,1303,2188,4324,3839,2064,3392,1383,2485,1230,2254,2669,2607,1861,2361,2070,1762,3990,2536
El Salvador,Greece,185,236,194,158,139,76,33,39,51,67,1380,448,356,366,348,4612,2931,2585,8024,2494
El Salvador,Ireland,37,23,250,2512,1434,1151,1934,118,123,2727,2059,424,1811,4514,1606,2547,4207,5826,4418,2452
El Salvador,Ukraine,3430,3145,63,32,69,55,147,213,268,336,185,197,306,350,751,1189,1379,2254,2136,2315
El Salvador,Norway,344,757,754,461,470,1407,1191,2684,2191,2760,3991,1246,1399,7403,1707,2388,1112,1843,2159,2110
El Salvador,Malaysia,327,642,8289,1053,1986,431,15624,695,475,764,237,15911,1073,552,2571,860,2088,869,2974,1987
El Salvador,Paraguay,254,46,38,107,193,98,193,303,593,285,363,671,329,233,491,740,553,559,854,1717
El Salvador,Austria,3458,3364,2634,4616,4484,2826,2758,6859,1109,1546,1694,2560,1588,2776,4090,2595,2909,3802,3319,1612
El Salvador,New Zealand,272,251,439,537,624,619,693,1643,1717,1839,12842,21338,1376,1734,3200,5205,965,1659,1435,1517
El Salvador,Czech Republic,30501,40346,17524,14947,16433,3645,8523,15426,5396,5232,3274,2490,2366,4875,4172,7265,5947,6070,15746,1348
El Salvador,Denmark,944,908,976,437,66,104,126,1051,576,172,1397,116,214,315,905,2826,881,959,1119,1234
El Salvador,Serbia,,,28,101,152,25,24,43,174,42,42,60,65,100,122,72,152,706,989,1169
El Salvador,Poland,1705,2660,1383,274,672,581,1076,2020,3112,3211,1112,762,982,1398,2642,1954,2751,3513,4539,852
El Salvador,"Bolivia, Plurinational State of",326,152,79,107,266,321,1100,582,802,628,2133,676,770,825,526,778,524,952,946,626
El Salvador,Romania,397,298,574,29,24,235,6361,1179,379,15,139,81,20,17163,137,6351,83,6,221,521
El Salvador,Portugal,1428,1390,1452,3818,2764,3007,1036,627,781,778,611,728,1372,5001,6644,2056,925,2062,928,390
El Salvador,Hungary,55,1,14,3,77,53,40,15,27,3,28,7,22,59,13,15,3,18,17,388
El Salvador,Slovakia,26,265,835,792,667,312,853,248,357,537,427,443,485,283,330,822,671,867,7870,289
El Salvador,Iceland,10,16,66,36,14,244,214,83,86,136,245,190,145,195,245,158,79,171,252,244
El Salvador,Lithuania,1347,0,4,1,6,2,1,1,6,89,52,86,85,58,35,15,55,131,169,226
El Salvador,Bosnia and Herzegovina,11,11,38,72,10,49,2,27,22,3,2,26,6,29,22,33,17,24,51,57
El Salvador,Bulgaria,6637,46,37,98,220,423,0,2,8,4,3,0,15,168,74,6,12,86,240,49
El Salvador,Slovenia,126,60,157,70,133,1124,394,349,116,90,50,62,178,394,294,345,525,670,824,29
El Salvador,Croatia,290,594,763,254,179,10,41,42,60,12,2,5,1,11,15,98,7,18,9,21
El Salvador,Luxembourg,0,0,2,0,21,1,2,4,672,9,4,28,32,56,61,78,101,126,125,9
El Salvador,Estonia,18,20,116,101,113,102,125,233,184,211,453,112,117,117,172,166,339,326,415,4
El Salvador,Cyprus,15,2,23,5,26,19,17,1,1,29,60,0,15,0,0,3,0,1,8,2
El Salvador,Malta,3,4,0,0,0,1,11,0,1,0,0,0,0,1,0,0,0,1,1,2
El Salvador,Latvia,0,1,0,2,0,1,29,0,0,1,30,1,3,1,3,24,30,74,17,1
El Salvador,Madagascar,0,5,5,0,2,0,0,0,0,0,0,7,1,3,0,0,0,0,0,1
El Salvador,Cabo Verde,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Cayman Islands,,,,,,,,,,,,,,,,,0,8,,
El Salvador,Liberia,,,,,,,,,,,,,,1,7,15,0,0,0,
El Salvador,Uzbekistan,,,,,,,,,,,,,,92,6,42,0,11,5,
El Salvador,Curaçao,,,,,,,,,,,,,,372,415,335,330,,,
El Salvador,"Congo, Democratic Republic of the",,,,,,,,,,,,1,3,0,2,0,38,9,179,
El Salvador,Tajikistan,,,,,,,,,,,0,0,0,0,0,7,0,0,0,
El Salvador,Sierra Leone,,,,,,,,,,,0,0,11,0,0,,,,,
El Salvador,Haiti,,,,,,,,,,5082,4558,3765,4539,3604,,,,,,
El Salvador,Bermuda,,,,,,,,,10,15,6,6,8,10,21,14,16,19,16,
El Salvador,Sudan,,,,,,,,,139,88,105,16,95,259,65,,,,,
El Salvador,Myanmar,,,,,,,10,0,0,0,0,0,146,3877,2,5,3,12,1,
El Salvador,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,
El Salvador,Nepal,,,,,,0,0,1,11,8,13,25,15,12,28,15,10,4,15,
El Salvador,"Libya, State of",,,,263,99,282,0,,,,,0,0,0,0,0,,,,
El Salvador,Congo,,,,18,0,1,1,0,0,0,0,1,5,0,0,0,0,0,0,
El Salvador,"Palestine, State of",,,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,
El Salvador,Vanuatu,,,2,0,,0,0,0,,,,,,,,,,,,
El Salvador,Montenegro,,,0,0,3,0,0,1,1,0,0,1,2,8,8,12,4,11,14,
El Salvador,Central African Republic,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,
El Salvador,Nigeria,,,2312,49,15,623,167,526,121,0,3,0,0,1,1,23,1,418,151,
El Salvador,Antigua and Barbuda,,18,,50,,41,12,33,79,203,207,139,21,61,88,126,30,191,416,
El Salvador,United Arab Emirates,,18,,35,6,,,,954,754,536,709,1058,2277,3496,2963,2125,3381,3270,
El Salvador,Lesotho,,41,335,0,265,290,4392,0,12,0,0,0,0,0,0,0,0,1,0,
El Salvador,Aruba,,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Netherlands Antilles,,1099,1102,1016,811,,,,,,,,,,,,,,,
El Salvador,Papua New Guinea,0,,,,,,,2,20,,,,,,,0,106,6,,
El Salvador,Andorra,13,,0,17,5,41,9,14,5,8,318,46,0,38,162,13,3,16,9,
El Salvador,Kuwait,30,,47,117,122,218,177,214,518,419,258,368,500,624,875,706,428,713,833,
El Salvador,Guinea-Bissau,0,0,,,,,,,,0,0,15,0,7,0,,,,,
El Salvador,Suriname,88,97,,239,,225,134,151,181,177,58,223,212,174,264,54,393,924,693,
El Salvador,Mauritania,0,0,,12,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,
El Salvador,Togo,0,0,,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,
El Salvador,Cuba,4294,5231,7142,,,,,,,,,,12183,16184,21201,10817,7018,4768,7866,
El Salvador,Seychelles,0,0,0,,0,5,2,0,0,0,3,13,6,7,9,6,0,0,0,
El Salvador,Mongolia,0,0,0,0,,,4,11,0,20,44,16,26,500,721,83,60,54,592,
El Salvador,Angola,0,0,0,18,,40,0,5,119,21,237,0,8,6,3,26,8,0,0,
El Salvador,Saint Lucia,108,29,29,21,10,,,,17,0,15,1432,11,36,63,71,34,,,
El Salvador,Mali,0,89,0,0,0,,9,0,0,,,,0,71,366,802,416,1146,0,
El Salvador,Grenada,21,36,33,78,51,,69,51,15,5,35,0,1,3,0,21,19,64,1,
El Salvador,Montserrat,1,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,,0,
El Salvador,Dominica,0,4,4,42,16,99,43,0,17,15,,,22,35,0,19,16,31,2,
El Salvador,Bangladesh,1,149,0,115,0,303,434,14,124,0,,67,,,,,,,,
El Salvador,Qatar,0,0,0,19,230,39,75,107,163,122,138,254,,342,797,159,145,128,84,
El Salvador,Sri Lanka,1,15,8,0,468,268,139,37079,6,5,30,15,26,647,,27,63,251,93,
El Salvador,Albania,24,25,0,0,0,0,0,0,0,6,8,4,131,1,10,2,13,15,0,
El Salvador,Azerbaijan,137,240,350,708,47,0,12584,0,0,2,0,1,78,2,11,8,7,18,23,
El Salvador,Bahamas,0,0,0,0,0,0,0,0,62,218,0,0,0,0,0,0,0,0,0,
El Salvador,Bahrain,0,2,0,0,9,1,6,4,109,57,20,43,101,87,182,144,90,189,379,
El Salvador,Armenia,0,4,33,153,103,120,136,213,29,60,146,154,155,158,109,160,85,191,295,
El Salvador,Barbados,545,378,545,467,2228,720,421,451,328,393,688,683,832,633,288,340,2599,238,241,
El Salvador,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,
El Salvador,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,1,1,3,
El Salvador,Burundi,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,
El Salvador,Cambodia,72,1722,255,106,204,38,1,91,0,0,0,0,0,1,37,60,66,53,54,
El Salvador,Benin,0,0,0,3,5,14,0,0,2,14,71,0,0,0,0,0,0,0,0,
El Salvador,Dominican Republic,24508,35833,48221,68795,70182,78160,82153,72518,76091,75852,95561,97483,104143,105888,120769,125430,103718,123727,150263,
El Salvador,Ethiopia,471,37,11,2,249,18,128,24,2,117,80,123,103,13,30,5388,6671,21,7,
El Salvador,Fiji,0,1,1,0,0,0,0,9,0,0,13,0,28,0,0,3,3,0,0,
El Salvador,French Polynesia,6,2,80,60,12,24,12,31,49,9,37,42,46,19,42,47,18,10,21,
El Salvador,Georgia,199,193,0,169,53,0,4442,0,0,0,0,0,0,0,0,0,0,16,0,
El Salvador,Gambia,0,0,0,0,0,0,47,1,19,13,17,68,24,21,7,0,2,5,0,
El Salvador,Guyana,23,205,229,271,492,559,61,586,3020,3235,3448,3136,3015,1835,1888,2330,2368,5002,5979,
El Salvador,Indonesia,204,973,12861,3,969,7391,92,1750,1210,56102,280,1726,24568,40312,1101,880,1048,1549,1604,
El Salvador,"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
El Salvador,Israel,11,42,1229,625,290,242,185,573,116,115,85,113,39,188,2368,966,157,218,98,
El Salvador,Côte d'Ivoire,43,0,7,0,4,0,66,13,1,100,0,0,29,56,8,9,15,24,341,
El Salvador,Jamaica,2125,2701,2742,3499,2627,7774,15634,18396,18748,20713,15671,19328,21047,19740,12511,9903,11034,11956,14182,
El Salvador,Kazakhstan,9145,2853,1215,1,2,1,6,30,133,7,23,14,2,4,26,27,36,56,59,
El Salvador,Jordan,24,5,0,17,1,19,60,137,1443,2059,3045,3771,3161,3098,1246,166,246,226,282,
El Salvador,Kenya,0,248,0,0,0,0,0,1,0,0,12,21,9,188,21,81,16,34,17,
El Salvador,Kyrgyzstan,0,0,0,10,0,0,0,19,27,0,0,0,0,0,0,0,0,0,14,
El Salvador,Lebanon,42,19,22,35,250,173,170,152,238,826,1146,498,238,156,263,163,27,18,52,
El Salvador,"Macao, China",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,3,85,
El Salvador,Malawi,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,
