reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Eritrea,China,7542,7829,37946,26934,28978,39478,38800,148156,53532,137957,88144,135395,69317,43063,42841,48543,70486,69957,148268,138963
Eritrea,Türkiye,18724,11609,15081,19961,11044,2698,6828,7029,4996,1318,6285,13859,15666,13649,8269,13933,9913,23666,53745,39349
Eritrea,United States of America,53973,31059,8848,6113,14872,6735,2385,4309,5864,13476,5328,3498,3048,5021,8191,14322,18675,26736,32752,31724
Eritrea,Italy,48133,81925,38208,36265,37570,39815,25027,34590,53402,36286,17014,19319,18114,31886,21191,25145,30506,11796,15298,20475
Eritrea,Netherlands,6696,4779,15660,3370,1754,2161,2443,4580,3391,5527,3462,4517,5674,3058,5159,6471,5420,4171,6280,12382
Eritrea,South Africa,2725,3943,4403,6347,6726,17897,27813,12904,26031,9100,10994,20560,13014,13238,14408,6839,10079,12584,5501,9988
Eritrea,Belgium,4003,6758,5227,3968,3297,3581,8416,8615,19781,6181,6119,9585,11066,6610,4758,3282,2308,2067,4905,6011
Eritrea,Germany,9113,12537,12896,17459,13566,18338,25720,34005,34716,40134,25790,15636,9387,10721,15597,14354,6597,4774,4439,4865
Eritrea,United Kingdom,7987,10319,3691,5319,3122,4609,4015,3763,8338,11157,5227,2451,2493,1354,5873,2403,2602,2936,7275,4421
Eritrea,Malaysia,702,230,104,1320,323,47,1873,5268,5983,8735,1767,6024,6323,8301,4713,3569,1863,2158,5821,3886
Eritrea,Spain,577,723,1197,595,925,1197,940,1927,706,1745,1216,2225,3009,4395,5527,5195,2914,3387,6930,3796
Eritrea,Peru,0,0,0,0,0,0,6,0,0,0,81,0,0,0,0,0,0,0,0,3591
Eritrea,Canada,492,1351,976,899,1216,2102,2594,4747,2589,1233,971,352,245,121,547,371,586,1610,2461,3580
Eritrea,France,4155,13419,3497,4620,3803,6092,4377,3186,3932,3293,3960,2668,3240,2909,6329,3500,3186,2518,5161,3216
Eritrea,Sweden,2403,789,5716,2693,3667,2818,1823,2560,7134,2724,7496,4504,1934,3151,6622,4927,3531,2230,1840,2579
Eritrea,Japan,4963,3708,2098,3315,3480,1164,1731,919,1244,694,603,851,1171,2877,980,950,1358,1045,403,1318
Eritrea,"Korea, Republic of",2955,841,1506,5248,2707,11810,14542,5394,5415,9754,18036,8298,1142,896,928,758,755,896,1360,1220
Eritrea,Austria,539,174,89,156,52,37,77,24,209,213,90,998,125,3380,124,661,396,120,219,841
Eritrea,Greece,421,136,192,372,712,98,127,82,98,104,68,0,0,926,0,592,0,0,0,690
Eritrea,Finland,1337,646,406,130,961,153,93,1136,3056,327,729,3398,571,2296,256,251,209,200,1085,614
Eritrea,Denmark,4488,2036,1764,1097,1025,2033,960,2024,1265,1343,1515,1804,1791,455,409,566,2105,489,354,524
Eritrea,Switzerland,1821,1545,390,291,1601,676,1302,299,2838,599,348,540,380,268,502,611,196,465,271,372
Eritrea,Madagascar,0,0,0,0,0,0,105,0,740,11,133,0,0,0,0,2,0,0,0,314
Eritrea,Australia,621,412,721,689,661,349,2975,3342,1844,1365,1792,6463,1517,2064,7191,3621,2024,3245,2619,221
Eritrea,Thailand,1730,779,3372,124,863,41,250,31801,12341,8240,13394,6586,154,3184,12801,1705,5936,480,1,218
Eritrea,Luxembourg,0,0,42,13,41,94,70,25,274,901,386,12,15,0,1173,1671,680,67,178,200
Eritrea,Croatia,292,0,0,0,0,0,24,2402,20,27,12,102,997,6,201,1005,33,78,0,179
Eritrea,Czech Republic,69,179,151,60,13,0,48,105,1,9,114,0,4,27,9,17,0,0,21,137
Eritrea,Ireland,15731,196,1367,260,321,74,14,69,8,0,107,15,8,18,13,0,49,51,75,113
Eritrea,Portugal,0,274,0,133,1907,319,15,1,5,36,123,78,0,220,382,323,135,48,3,92
Eritrea,Norway,886,609,319,362,484,315,1067,2706,1408,1205,20,3,138,22,137,17,19,76,87,78
Eritrea,Cyprus,129,208,110,26,36,413,358,375,335,162,335,971,279,301,46,167,351,13,35,67
Eritrea,Brazil,19,7722,7397,9146,4258,29245,20818,10550,21486,9500,57,1280,22447,15358,64,238,4680,4821,98,56
Eritrea,"Taipei, Chinese",864,80,170,32,4,1,276,689,474,1340,90,11,150,119,1184,152,182,18,0,30
Eritrea,Bosnia and Herzegovina,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,3,2,0,0,7
Eritrea,Singapore,0,0,0,0,0,0,0,759,1094,111,66,6412,38,28,1547,228,673,0,13,7
Eritrea,Lithuania,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,2
Eritrea,New Zealand,889,19,26,22,19,44,120,13,80,138,0,17,28,3,2,5,5,3,14,1
Eritrea,Poland,568,1179,78,213,154,79,0,10,42,0,132,536,14,290,860,179,5,112,14,1
Eritrea,Serbia,,,0,0,0,167,8,0,0,0,52,0,0,0,0,0,0,0,0,0
Eritrea,Ukraine,5314,8001,1616,0,2698,0,0,0,0,0,156,0,0,215,928,1496,1562,12996,960,0
Eritrea,Argentina,77,2047,19,22,0,0,0,0,317,650,615,23,68,0,0,0,0,0,0,0
