reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Estonia,Finland,1091498,901054,1167836
Estonia,Sweden,618246,637670,820077
Estonia,Germany,269025,357999,561385
Estonia,Latvia,221420,249860,336495
Estonia,United States of America,241077,173968,195127
Estonia,United Kingdom,217026,339860,286544
Estonia,Lithuania,68738,81532,135308
Estonia,France,94522,72487,102900
Estonia,Norway,116599,153425,180105
Estonia,Netherlands,150205,141557,124699
Estonia,Denmark,170300,174057,181376
Estonia,Russian Federation,104414,104213,129999
Estonia,Belgium,81561,65652,139520
Estonia,Austria,17942,21039,42254
Estonia,Hungary,20069,43726,55921
Estonia,Poland,36839,35330,55404
Estonia,Kazakhstan,1957,5248,4509
Estonia,Ukraine,66889,50233,67920
Estonia,Spain,100193,82373,53709
Estonia,Portugal,5339,22915,42879
Estonia,Italy,47686,48696,63050
Estonia,Iceland,39019,70371,83812
Estonia,Türkiye,1337,1177,13874
Estonia,"Korea, Republic of",22065,15164,9947
Estonia,Ireland,21807,22572,39749
Estonia,Czech Republic,13378,17040,31071
Estonia,Switzerland,22981,22721,24670
Estonia,Estonia,1585,2434,4299
Estonia,Japan,13528,17763,23651
Estonia,China,10848,36047,30332
Estonia,Canada,59651,35642,32442
Estonia,Brazil,3963,508,8134
Estonia,Belarus,4087,3580,5543
Estonia,Thailand,5746,3675,9359
Estonia,Australia,1346,1210,3096
Estonia,Mexico,5794,2332,9590
Estonia,South Africa,1078,1966,2032
Estonia,Croatia,2327,1654,1927
Estonia,Slovakia,2328,2856,3710
Estonia,Egypt,10971,19848,18029
Estonia,"Venezuela, Bolivarian Republic of",699,579,289
Estonia,"Hong Kong, China",3238,1815,4345
Estonia,Syrian Arab Republic,0,0,4406
Estonia,"Taipei, Chinese",2283,3063,2770
Estonia,Romania,3810,2104,1315
Estonia,Greece,3558,4240,6678
Estonia,Saudi Arabia,2477,2469,3507
Estonia,Côte d'Ivoire,0,0,0
Estonia,Peru,3135,3945,3056
Estonia,Slovenia,1491,1491,2312
Estonia,Luxembourg,165,1640,1702
Estonia,Bulgaria,464,338,1142
Estonia,Israel,2065,2280,1621
Estonia,Cuba,14,72,48
Estonia,Nicaragua,0,1594,87
Estonia,Malaysia,2005,7426,1538
Estonia,Algeria,2972,2339,4062
Estonia,Serbia and Montenegro,286,343,
Estonia,Honduras,1,1153,331
Estonia,"Moldova, Republic of",2449,3022,1952
Estonia,Chile,3013,6879,11046
Estonia,Viet Nam,736,1043,488
Estonia,Morocco,3188,2727,2135
Estonia,Uruguay,540,34,8
Estonia,Pakistan,,,710
Estonia,Sri Lanka,734,1599,1621
Estonia,Azerbaijan,226,240,382
Estonia,Indonesia,1654,530,346
Estonia,Kuwait,560,407,747
Estonia,Faroe Islands,370,681,792
Estonia,El Salvador,0,227,2659
Estonia,Mongolia,0,,192
Estonia,Argentina,179,42,56
Estonia,Kyrgyzstan,147,109,1038
Estonia,Armenia,161,226,332
Estonia,Cyprus,129,228,542
Estonia,India,437,6603,214
Estonia,Mauritius,2,12,22
Estonia,Georgia,147,137,45
Estonia,New Zealand,214,135,252
Estonia,Tunisia,107,59,134
Estonia,Oman,93,189,0
Estonia,Lebanon,457,136,90
Estonia,Malta,159,81,328
Estonia,"Macedonia, North",106,185,149
Estonia,Trinidad and Tobago,14,212,185
Estonia,Colombia,141,1961,72
Estonia,Sudan (before 2012),16,516,0
Estonia,Guatemala,110,84,102
Estonia,Bangladesh,0,0,46
Estonia,Jordan,0,8,101
Estonia,Ghana,0,,187
Estonia,Dominican Republic,0,269,25
Estonia,"Iran, Islamic Republic of",349,99,35
Estonia,Philippines,257,0,16
Estonia,Ecuador,466,443,16
Estonia,Benin,0,0,0
Estonia,French Polynesia,25,10,18
Estonia,Angola,,,
Estonia,"Bolivia, Plurinational State of",6,41,27
Estonia,"Tanzania, United Republic of",0,0,0
Estonia,Bosnia and Herzegovina,,,107
Estonia,Paraguay,0,46,0
Estonia,Qatar,15,34,38
Estonia,Botswana,0,0,0
Estonia,Panama,0,0,6
Estonia,Andorra,2,0,0
Estonia,New Caledonia,12,19,50
Estonia,Bahrain,27,1,38
Estonia,Mozambique,0,459,12
Estonia,Costa Rica,0,1715,1
Estonia,Albania,2,0,1
Estonia,Jamaica,111,94,57
Estonia,"Macao, China",0,0,0
Estonia,Barbados,2,4,8
Estonia,Belize,7,3,0
Estonia,Cameroon,1,0,0
Estonia,Mayotte,0,0,95
Estonia,Gabon,1,1,10
Estonia,Greenland,0,0,328
Estonia,Kenya,0,0,19
Estonia,Malawi,65,61,0
Estonia,Papua New Guinea,0,0,3
Estonia,Singapore,107155,104867,0
Estonia,Uganda,0,0,46
Estonia,Sierra Leone,,813,
