reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Eswatini,"Taipei, Chinese",1694,16483,29371
Eswatini,India,1272,6985,29885
Eswatini,"Hong Kong, China",14889,17252,17400
Eswatini,"Korea, Republic of",26017,11564,53572
Eswatini,United States of America,11876,11470,8223
Eswatini,Germany,2009,2630,5182
Eswatini,China,2992,4726,6683
Eswatini,Thailand,3418,2356,2408
Eswatini,United Kingdom,6213,4263,3188
Eswatini,Mozambique,686,1039,17454
Eswatini,Japan,5498,3895,3863
Eswatini,Viet Nam,2617,7374,0
Eswatini,Italy,1667,4163,3497
Eswatini,Guyana,894,42,1858
Eswatini,"Tanzania, United Republic of",0,377,5
Eswatini,Canada,485,230,887
Eswatini,Netherlands,479,688,1138
Eswatini,Sweden,11,246,3581
Eswatini,Singapore,2250,1912,1839
Eswatini,France,1665,1651,1231
Eswatini,Bangladesh,74,305,515
Eswatini,Indonesia,640,1017,1152
Eswatini,Australia,624,317,205
Eswatini,Malaysia,1119,1562,2192
Eswatini,Czech Republic,0,0,0
Eswatini,Israel,105,1871,84
Eswatini,Uganda,275,48,36
Eswatini,Zambia,235,593,239
Eswatini,Cyprus,172,308,572
Eswatini,Mexico,1325,639,36
Eswatini,Switzerland,392,932,904
Eswatini,Egypt,0,0,33
Eswatini,New Zealand,10,63,7
Eswatini,Philippines,1121,194,438
Eswatini,Hungary,0,0,24
Eswatini,Luxembourg,8,82,27
Eswatini,Portugal,774,898,683
Eswatini,Namibia,385,60,1020
Eswatini,Denmark,552,613,279
Eswatini,Malawi,2,38,27
Eswatini,Burundi,0,0,0
Eswatini,Bosnia and Herzegovina,,,24
Eswatini,Pakistan,,,701
Eswatini,Slovakia,0,0,0
Eswatini,Cambodia,0,39,23
Eswatini,Brazil,243,356,399
Eswatini,Argentina,3,10,158
Eswatini,Botswana,206,104,572
Eswatini,Saudi Arabia,54,0,49
Eswatini,Belgium,850,362,255
Eswatini,Spain,140,1541,104
Eswatini,Ukraine,0,0,0
Eswatini,Romania,0,176,134
Eswatini,Seychelles,0,0,0
Eswatini,Austria,367,0,427
Eswatini,Zimbabwe,8,584,127
Eswatini,Ethiopia,1686,1157,1204
Eswatini,Ireland,231,152,119
Eswatini,Rwanda,1,1,171
Eswatini,Guatemala,405,7,2
Eswatini,Slovenia,0,0,0
Eswatini,Türkiye,340,13,25
Eswatini,Finland,16,551,19
Eswatini,Colombia,0,0,1
Eswatini,Kenya,87,26,68
Eswatini,Oman,17,0,18
Eswatini,Albania,0,0,0
Eswatini,Poland,0,108,138
Eswatini,Fiji,,5,18
Eswatini,Mauritius,137,26,27
Eswatini,Timor-Leste,,,
Eswatini,Malta,0,0,0
Eswatini,Serbia and Montenegro,1,1,
Eswatini,Croatia,0,0,0
Eswatini,Peru,438,126,3
Eswatini,Madagascar,0,56,296
Eswatini,Estonia,0,0,5
Eswatini,Dominican Republic,0,0,126
Eswatini,"Macao, China",0,0,0
Eswatini,Morocco,0,0,0
Eswatini,Ghana,8,,0
Eswatini,Chile,203,20,3
Eswatini,Maldives,0,0,0
Eswatini,Tunisia,0,0,0
Eswatini,Faroe Islands,95,228,417
Eswatini,Bahrain,0,616,0
Eswatini,Barbados,197,0,189
Eswatini,Sri Lanka,0,159,17
Eswatini,Benin,0,44,98
Eswatini,Ecuador,1,0,0
Eswatini,Greece,2,0,0
Eswatini,Honduras,0,1170,0
Eswatini,"Iran, Islamic Republic of",12,1,0
Eswatini,Côte d'Ivoire,0,153,0
Eswatini,Lebanon,0,38,9
Eswatini,"Moldova, Republic of",0,17,0
Eswatini,Norway,25,41,0
Eswatini,Papua New Guinea,4,507,3
Eswatini,Russian Federation,0,0,8
Eswatini,Sudan (before 2012),1918,179,0
Eswatini,Togo,0,25,0
Eswatini,"Macedonia, North",0,41,0
Eswatini,Lesotho,198,0,0
Eswatini,Nigeria,0,0,2
