reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Faroe Islands,Denmark,198014,168611,162167,170321,190919,149132,186427,186262,151329,182388,193650,169018,200990,212402,173047,189005,183546,271725,302264,517624
Faroe Islands,United Kingdom,182994,197499,184985,196181,194017,160197,184111,249937,233390,331715,316407,227861,305901,274573,279177,320090,251205,295928,386621,310788
Faroe Islands,United States of America,7446,4720,4618,9466,22151,85052,92898,135553,99055,168540,191169,136993,173855,153222,139940,179863,151205,220820,289475,302904
Faroe Islands,Netherlands,361,1699,23301,22408,30205,15469,24808,67726,73276,35405,45432,29477,25262,32858,27316,22173,20082,35487,36398,204021
Faroe Islands,Norway,49262,37134,72024,106302,125842,67966,43844,49469,41290,40302,56079,55168,61949,74276,65200,78076,42482,40319,40055,188432
Faroe Islands,Germany,14824,16520,18084,13924,16496,19182,34012,26278,23686,31975,48630,19963,22680,20476,26671,23419,20372,20010,33741,61523
Faroe Islands,France,60342,52593,55981,65508,80142,73584,65927,40694,56683,56878,61178,31150,37143,38398,37446,39485,37350,51127,57549,48273
Faroe Islands,Poland,13591,5012,2248,6361,5038,7078,15486,27706,29742,47946,25093,33977,68912,79068,66524,62098,46546,50560,62658,44617
Faroe Islands,Iceland,32622,8338,15843,23825,24363,15479,17328,11818,10395,17390,19547,20328,33452,18915,23750,25465,24019,9454,51432,44008
Faroe Islands,Spain,34635,39272,41414,55201,57248,42646,40808,43322,31529,31589,34647,38215,35169,38314,44128,58509,46982,59909,85793,14165
Faroe Islands,Switzerland,1743,973,2191,2322,936,646,1108,1480,1109,1542,1960,2594,3833,1473,768,1552,5213,7216,8773,12653
Faroe Islands,Ukraine,884,4762,3947,1312,5858,9875,5566,6777,8276,11821,15490,7262,3537,4187,8672,14052,21774,19227,30834,12011
