reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Finland,Germany,7517516,9699398,10537851,11504118,11420587,7388148,7989412,9151414,7934444,8038187,9667916,9745537,8889270,9373664,10239291,10128026,8610971,9929053,10450915,10061612
Finland,Sweden,6458348,6711025,7518192,9489584,9779919,6216192,7814223,9436562,8329645,8658806,8044897,6287623,6387634,7225725,8068455,7768567,6963927,8292625,9108651,9193507
Finland,United States of America,4087248,4537264,5176108,5500866,6142786,4134392,4046474,4611767,5294379,4853979,5226663,4679743,4747745,6062700,7356415,6590083,5092361,7017936,8995419,7622300
Finland,Netherlands,3296885,3239549,3899716,4649049,5313445,3681567,4210898,5406215,4423136,4584304,4536278,4062446,4027096,4590281,5014756,4687995,4657871,5359615,4800811,6751081
Finland,China,3021425,2628129,3125703,3794295,3533309,3272223,4019477,4542073,3833207,3905642,4051184,3485381,3450722,4255065,4776333,4655190,4196310,5327678,5279180,4935023
Finland,Estonia,984686,1291083,1546439,1675516,1676745,1130077,1520953,1735334,2067345,1991358,2075362,1549678,1452116,1856199,1856304,1607013,1597633,2053515,2469848,3524262
Finland,United Kingdom,4384564,4214948,5331123,5246206,5165161,4533391,3435350,3982546,3334650,3937241,3890203,3135935,2955477,3185423,3293895,3134079,2691066,2853792,3775688,3355550
Finland,France,2681131,2929050,4094508,3771244,3951532,2538193,2923493,3069570,2624269,2883405,2590323,2183124,2244807,2723343,3079406,3037149,2938348,3242249,3224105,3176060
Finland,Belgium,1711978,1698536,1979613,2346330,2587994,1987755,2206567,2302777,2312171,2676009,2676717,2439638,2457340,2865656,3254966,3176365,2235256,2626482,3273186,3052792
Finland,Italy,1925977,2253149,2804632,2767906,3393798,2016442,1920661,1952067,1965637,1761880,1854090,1477732,1480700,1695664,1890666,2780102,1707957,3499869,2781818,2807963
Finland,Poland,1232397,1312976,1618467,2150240,3126856,1933547,1764885,2110648,1638804,1685797,1980620,1569144,1477729,1624005,1993846,1913567,1921581,2387182,2581953,2494677
Finland,Norway,1929958,1746852,2053816,2933182,2975669,1991905,1972505,2303643,2421407,2276991,2075072,1716153,1747588,1804793,2008973,1943912,1824666,2076713,2454361,2418461
Finland,Switzerland,697586,680652,965396,975981,920198,802078,811746,823439,1191442,1028103,1115350,893827,945413,1102658,901187,1033061,1167892,1605698,1599800,1653239
Finland,Japan,1387787,1230917,1354526,1685646,1902901,1153607,1569342,1683937,1412437,1442940,1566112,1434530,1397743,1654320,1942729,1793793,1600661,1971581,2229551,1592698
Finland,Türkiye,708290,962032,1138911,1208412,1180799,795959,1115496,1296728,1114790,1310326,1188441,1011793,942114,938900,984048,911244,1009074,1341898,1395175,1560641
Finland,Spain,1665222,1684366,2062406,2695733,3085822,1505637,1422083,1414502,1114703,1135823,1279654,1172914,1259246,1232553,1415852,1542364,1306669,1375056,1519515,1441633
Finland,Canada,747458,1007953,984504,802298,803557,827554,1043767,1717655,1046755,1266080,1266849,761080,645697,906432,995864,802100,750543,1104128,1294689,1434232
Finland,Denmark,1444755,1644922,1876835,2143679,2492938,1305383,1369586,1632415,1520434,1606051,1333723,1109886,1039897,1213261,1395932,1214587,1197901,1580660,1555739,1395281
Finland,Lithuania,415663,475640,563806,684278,653394,342833,414466,640430,609854,672857,714753,639470,684188,795778,908365,924229,921508,1269583,1339659,1133797
Finland,Australia,578154,685263,649083,804266,950714,614414,715995,995505,882014,788593,679853,530502,568662,643627,816774,902826,953577,1067088,1034702,1062082
Finland,Latvia,449026,504816,650414,774748,692366,334625,546640,710861,731184,777936,1008176,730521,610292,686619,793784,751967,672090,855454,959177,1016180
Finland,"Korea, Republic of",440861,658785,513196,963455,1046719,850892,1003787,935222,1053229,1279395,1356109,1084423,919819,975289,1348550,1116541,849671,881603,1166329,995637
Finland,Brazil,418397,337309,506517,874007,790446,1125456,866110,779852,905761,945962,663213,561340,608917,523342,449412,473413,499953,638796,1143047,821100
Finland,Czech Republic,332079,359449,536034,625014,634701,436953,450267,512907,447755,411310,500342,437425,401097,452215,540133,516977,501718,638833,711872,617132
Finland,Austria,885078,1332272,991484,1035360,953328,638313,587926,690674,709274,577020,561461,523479,502613,540918,632416,625348,622736,726363,772379,575620
Finland,South Africa,374931,458491,689241,743801,704206,378029,413875,492678,633005,446453,369450,338328,334640,377406,417955,410251,345192,426074,540934,486954
Finland,Thailand,290010,275038,285262,312860,337072,226110,308321,361064,285881,289545,315329,307996,343785,279965,326992,270140,290755,359450,339442,429235
Finland,Singapore,425147,350143,358588,419111,501494,441906,368885,414279,360193,361847,412733,292703,286734,308220,298460,347139,318065,345745,527779,403656
Finland,Chile,206851,527250,282714,254484,298012,272470,242764,419438,354905,354450,287814,293642,265537,280718,316207,399356,448055,318676,397908,378406
