reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
France,Germany,93594208,98354819,106705583,128665995,137703127,113102144,118330726,140516046,131164664,131619532,133479253,113907395,111782214,119164849,124447383,119212781,103656153,121187919,123870864,125814603
France,Netherlands,30705348,32004652,33023335,39195282,47707807,38347761,43089328,50424792,46609439,47724948,47149109,36738248,37957926,42561133,46114179,45055085,42457426,56098787,62138394,77389879
France,Belgium,52680964,57552361,61595019,72128246,81979342,66046147,67363943,78018606,69174060,72980992,73921984,61340365,61108060,64294193,67721241,63226491,57446680,78883675,83365202,75762894
France,Italy,43465554,45522112,49116844,57547830,60975938,47400942,51724538,60240177,55577459,56149237,55784095,47294332,48701437,52354391,57523690,56617646,51620364,63232887,66465305,67794990
France,Spain,34979587,36990397,40056706,47713513,50890645,43148948,44989055,51723640,47017178,50369925,50299334,42853366,43216808,46733271,51345680,49139103,48195273,59692970,63131178,66401408
France,United States of America,21233118,22395612,24385839,27819120,29948925,27043697,27724343,28859448,31925500,33864704,32449632,31417313,32637764,34220254,37625953,38414204,28205524,30598606,46943573,45257659
France,China,9967437,11691653,13978874,20466709,23498662,21611741,27858709,30245913,27195963,26948466,28975791,27063408,25176549,28029290,31193002,33325281,37329852,46382581,46138801,42094858
France,United Kingdom,34662510,36467378,54587603,37085677,35571702,29003201,31649503,37636122,34477025,35028468,32503639,27275622,26461828,30381011,32081599,31361516,23717924,25723029,30448626,29326151
France,Poland,4454315,5558477,6823143,8443139,10668033,9498912,10730658,11534254,10464727,11450667,12018290,10826942,10784832,12342744,14518614,14630854,14191721,18109267,19696427,23290412
France,Switzerland,11126530,11847087,13535913,15514269,17568147,15220162,15040329,16823255,23400087,20793973,19048518,17542523,17630690,17572802,19767738,19424770,16490605,19292949,21283454,20166057
France,Czech Republic,3068659,4139348,5268095,6515460,7887134,6351707,7100947,8845137,7911709,7978846,8829540,8044975,8393055,9284502,10274895,10243179,9024393,10469127,11232564,12384889
France,Portugal,5072479,5196561,5588308,6566308,6720738,5464601,5907175,7246237,6881657,7298402,7519737,6692464,7001729,7808354,9439357,8679651,8345515,9876248,10198506,10924543
France,Norway,7217568,9649756,10087926,10887616,15799138,9396134,8452824,10912550,10111053,11440959,8838674,6864938,6124570,6576092,8216974,6052463,4217530,11681930,25567644,10551605
France,Türkiye,3668418,3805760,4604349,5974462,6617511,6211415,6054499,6805821,6198536,6654651,6860107,5850226,6027992,6589874,7293603,7952702,7204647,9132265,9548796,10297026
France,Sweden,5900591,6428688,7326708,8455552,9016537,6668378,7597524,8395165,7691979,7431117,7123247,5714938,6048381,6290191,6985404,6342726,6207556,7622230,7753990,8692466
France,Austria,4650269,4993479,5406792,5629016,6468904,5217470,6037148,6924046,6991010,7544928,8063563,6349574,5753134,7761550,7534327,7501403,6949672,7371813,8071067,8026352
France,Ireland,6291364,7187894,6422691,7321009,7786280,6753594,6150385,7127823,5649249,5569011,6578456,5411022,5606036,6036673,6375526,6162726,6218958,6373773,7501025,7292345
France,Japan,8407582,7805606,7666529,8413478,9111878,6213708,6706466,8196590,6700046,6304548,5945717,5280845,6268446,6303017,7342410,6870087,5679512,6704930,6489238,7053594
France,Hungary,3090910,3186557,3463762,4485675,5072915,4497356,4748050,5183997,4741081,4798232,5065528,4641071,4928917,4978326,5379377,5281498,5068178,5905572,6322583,6644723
France,Romania,1994744,2063080,2446195,3120872,3673697,3316366,4115436,4688019,4052581,4461131,4733135,4124736,4589081,4776154,5686512,5330921,4782411,5647386,5815442,6384008
France,Slovakia,1012895,1230148,1782741,3780649,4764509,4319758,4445203,4838203,4284880,4182476,4149647,4028981,4668626,5246245,5907639,6286343,6244577,6740379,6309127,6185660
France,"Korea, Republic of",2707634,3286568,3506585,3571027,3682694,2943709,3042276,5758643,2826790,3599638,2933343,2619758,2504116,3043398,3637461,3394583,3043955,4661791,5346668,5620185
France,Denmark,3344453,3553998,3655855,4095952,4583541,3408692,3518610,3757098,3091668,3156097,3540089,2696798,2854175,3109450,3334943,3229750,3086776,3752422,4131960,4587729
France,Singapore,2509161,3625470,3526294,4844843,4738056,3928743,6040320,6767888,6834098,4826478,3927685,3380023,3298684,3725023,4848622,4410684,4198622,3871978,4073740,3813887
France,"Hong Kong, China",3413883,4074230,4293272,4559921,4840988,3702024,4514335,5107095,4797266,5295195,5117172,4518365,4472489,4735443,4556341,4524230,4035385,4798450,3863706,3727602
France,Canada,1833678,2096744,2540996,2916351,3058325,2351621,2282191,3111145,3384795,3052892,2995306,2450236,2567000,2627535,2657596,2739432,2774444,3233957,3079722,3159331
France,Brazil,2233477,2566710,2744169,3535328,4185231,2948045,3613916,4358072,4136897,3423194,2947358,2270227,2335171,2250387,2650706,2614246,2017563,2525553,3551752,2994578
France,Finland,2151080,2209759,2467017,3020076,3383948,2313923,2291424,2384994,2124641,2384315,1971924,1641504,1731175,2031400,2078848,2122219,2057643,2436690,2636750,2710393
France,Luxembourg,2416047,2190331,2363488,2716009,2955551,2172956,2253582,2532658,2028158,2029584,2063859,1767510,1903080,2065316,2223434,2329697,2197812,2604472,2568974,2600631
France,Slovenia,1025215,1478149,1421721,1752881,1909252,1899643,1967013,1951968,1492786,1512941,1552384,1312762,1304123,1792502,2037894,2044542,1937044,2053598,1872638,2204664
France,Thailand,1239076,1339780,1487265,1709840,1957007,1604404,1820799,1959055,1689723,1726995,1711446,1627217,1578571,1809821,1990112,1915959,1590815,1873749,2141853,1949561
France,Greece,648616,720550,922267,981618,1074980,800092,865473,955400,858765,850928,851896,726575,776572,858219,1190583,1324985,2025508,2191591,1752641,1939913
France,"Taipei, Chinese",1577855,1440489,1571735,1706656,1731487,1372972,1703821,1748824,1569878,1490319,1531805,1373107,1551452,1719485,1679956,1532317,1295131,1599067,1936681,1808328
France,Bulgaria,446898,540034,633417,740284,921482,733010,830739,1193800,1059281,1276244,1259514,1082309,1176315,1236481,1329570,1261764,1223793,1498583,1657166,1569210
France,Malaysia,1876349,1846816,2191756,2170091,1941414,1569896,2239700,2669153,1803203,1764217,1609392,1503872,1418875,1376640,1581044,1519249,1239217,1395249,2610135,1477960
France,Australia,760439,879808,956239,1207642,1478794,968149,1103683,1265014,920652,1151480,1014242,825012,862796,923230,955112,1003715,1159054,1355891,1903714,1407944
France,Chile,1309025,1414621,2422858,2404916,2301059,1201548,1201594,1455160,1214855,1128939,1398397,824252,828442,915460,1090095,981216,805246,1174133,948569,1281711
France,Lithuania,590015,831281,588094,625770,1156181,522277,688771,1146524,927022,761507,840141,679263,691485,736242,835600,833692,826121,977384,1066731,1102803
France,Serbia,,,235247,290513,346405,249349,276733,309115,285087,351410,417788,409090,413446,495678,530147,528276,535222,718407,879977,833690
France,South Africa,893818,1068388,1262149,1382923,1447209,841347,974194,968380,902790,1007504,909837,752116,747453,861266,800257,719991,562258,822490,863363,637287
France,Croatia,184204,198554,212745,275650,298387,209694,162445,381326,184042,219201,306585,301650,320075,409745,446112,485543,515949,583712,616184,630169
France,Latvia,83514,92416,102443,123483,170071,132644,142937,173531,179593,199845,199887,202957,197420,213997,266556,275801,300981,458825,466297,525322
France,Madagascar,322515,286610,398726,553693,730893,353264,358648,441005,343199,413599,507321,403887,522194,633584,614030,525724,452618,536757,550321,486325
France,Ukraine,185072,199861,351369,485608,513575,445295,476908,571117,549457,693505,534682,498334,458096,424292,540668,601083,598649,903988,592052,483410
France,Iceland,116493,115126,117053,122505,163900,142409,144553,209196,225038,231938,251210,271046,297057,305457,359578,370140,370133,480231,472827,429353
France,Estonia,88728,94942,130254,148345,169018,209604,285089,439597,216409,263056,265726,246071,219812,291869,359415,343252,297651,417933,401049,379784
France,Peru,105708,135492,187919,209257,207456,177302,239327,299652,259754,253172,280476,278560,249439,248967,290600,281599,205357,234429,355411,346611
