reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Gabon,France,338773,388125,391924
Gabon,United States of America,73031,65515,62996
Gabon,United Kingdom,50654,48984,54395
Gabon,Netherlands,31164,37174,43625
Gabon,Belgium,34322,31708,43904
Gabon,Portugal,2494,4334,20233
Gabon,Italy,27803,34945,32678
Gabon,Germany,26055,26015,32842
Gabon,Cameroon,15629,18764,43059
Gabon,Côte d'Ivoire,17751,19084,22455
Gabon,Spain,19737,31126,20288
Gabon,Japan,28460,27654,30074
Gabon,South Africa,15116,18862,15195
Gabon,Austria,6337,13407,15521
Gabon,Thailand,15473,8959,12655
Gabon,Brazil,5953,3004,7661
Gabon,China,5889,4704,8890
Gabon,Sweden,3471,2944,4552
Gabon,Switzerland,4982,4613,5849
Gabon,India,5726,8834,18419
Gabon,Morocco,7949,9850,9866
Gabon,Canada,2757,4097,2284
Gabon,Singapore,4793,4138,4918
Gabon,Senegal,9468,3578,4241
Gabon,Argentina,4653,2165,5438
Gabon,Greece,510,2949,1378
Gabon,Algeria,0,4586,1986
Gabon,Tunisia,1877,2936,2918
Gabon,Lebanon,1657,1416,2713
Gabon,"Hong Kong, China",8347,6610,5854
Gabon,Indonesia,2831,1905,1985
Gabon,Norway,3562,4033,2655
Gabon,Türkiye,1853,4395,2567
Gabon,"Korea, Republic of",3557,3331,2765
Gabon,Czech Republic,679,378,449
Gabon,Ireland,2092,2569,2296
Gabon,Zimbabwe,0,1,136
Gabon,Denmark,3699,1216,2673
Gabon,Malaysia,777,988,371
Gabon,Romania,9,279,854
Gabon,Ukraine,376,338,557
Gabon,Luxembourg,436,561,528
Gabon,Finland,459,608,653
Gabon,Uruguay,218,31,545
Gabon,Chile,76,185,366
Gabon,"Taipei, Chinese",1137,785,822
Gabon,Poland,119,405,1653
Gabon,Viet Nam,2887,64,6166
Gabon,Burkina Faso,18,289,243
Gabon,Togo,670,440,734
Gabon,Australia,791,295,246
Gabon,Ghana,45,,276
Gabon,New Zealand,300,483,266
Gabon,Hungary,161,54,100
Gabon,Pakistan,,,208
Gabon,Egypt,312,278,280
Gabon,Benin,158,315,269
Gabon,Slovakia,26,89,4
Gabon,Serbia and Montenegro,30,26,
Gabon,Slovenia,17,16,0
Gabon,Angola,,,
Gabon,Bangladesh,0,7,34
Gabon,"Iran, Islamic Republic of",69,633,635
Gabon,Malta,0,0,0
Gabon,Colombia,37,67,65
Gabon,Sao Tome and Principe,31,31,18
Gabon,Saudi Arabia,241,106,75
Gabon,Iceland,16,14,1
Gabon,Mali,4,104,0
Gabon,Mauritania,0,24,57
Gabon,Niger,27,3,0
Gabon,Mauritius,85,2630,2818
Gabon,Israel,749,487,269
Gabon,Kenya,1,16,12
Gabon,Kyrgyzstan,0,0,0
Gabon,Jordan,31,66,84
Gabon,Peru,125,0,42
Gabon,Croatia,75,10,31
Gabon,Kuwait,0,49,5
Gabon,Bulgaria,0,33,0
Gabon,Oman,37,5,18
Gabon,Qatar,0,40,12
Gabon,Lithuania,0,0,0
Gabon,Cyprus,42,0,0
Gabon,Guyana,3,0,16
Gabon,Nicaragua,0,0,0
Gabon,Trinidad and Tobago,0,6,0
Gabon,"Bolivia, Plurinational State of",0,0,2
Gabon,Madagascar,100,3,16
Gabon,Russian Federation,28,0,0
Gabon,Mexico,35,5,17
Gabon,Guinea,154,3,
Gabon,Barbados,6,0,3
Gabon,Azerbaijan,0,5,0
Gabon,Bahamas,0,62,0
Gabon,Armenia,0,13,0
Gabon,Sri Lanka,59,72,0
Gabon,Costa Rica,0,109,0
Gabon,Dominican Republic,0,17,0
Gabon,French Polynesia,0,0,1
Gabon,Gambia,0,13,0
Gabon,Guatemala,0,4,0
Gabon,Honduras,7,0,0
Gabon,Kazakhstan,0,0,7
Gabon,Malawi,0,40,2
Gabon,Mozambique,0,5,31
Gabon,Namibia,0,21,0
Gabon,Paraguay,131,0,78
Gabon,Philippines,35,0,181
Gabon,Saint Lucia,0,4,0
Gabon,Syrian Arab Republic,0,0,376
Gabon,"Tanzania, United Republic of",0,49,0
Gabon,"Venezuela, Bolivarian Republic of",0,6,6
Gabon,Central African Republic,2,0,0
Gabon,Lesotho,629,0,0
Gabon,Nigeria,0,1081,5739
