reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Gambia,China,124,170,446,8688,3164,6640,14998,54101,84713,77978,37932,55784,89705,99023,20062,71444,29902,44601,44142,39537
Gambia,Greece,0,0,31,1745,556,66,20,0,0,0,1,0,0,0,1,29,182,2179,1544,24598
Gambia,Chile,0,0,0,0,0,0,1,0,0,0,0,0,27,274,1595,9562,10571,7722,14765,8591
Gambia,Italy,3470,0,1799,4,0,17,33,42,61,5,2877,1237,299,1472,569,4916,2524,3359,12057,7406
Gambia,Türkiye,7,185,0,116,1,11,10,46,1016,34,115,25,4,3,0,1338,1460,158,6060,7005
Gambia,Spain,371,28,434,1039,2397,246,1920,2951,1939,2221,1988,2062,1156,2287,4512,4360,2468,4340,7649,6777
Gambia,"Korea, Republic of",25,7,113,113,83,2,200,84,0,32,198,287,1883,3621,9366,5590,4066,3850,4926,6407
Gambia,Netherlands,585,322,1109,1477,1764,792,1582,1919,2466,2169,2426,1402,1802,2077,3109,1837,772,1650,1740,5409
Gambia,Portugal,134,17,0,307,7,0,170,139,2,0,0,59,434,692,843,786,1007,1089,9278,4675
Gambia,United Kingdom,5944,5339,6653,4556,3030,4522,6116,8062,5922,3387,8860,5682,4543,3733,3743,4986,3791,4005,2823,4108
Gambia,United States of America,543,451,305,162,664,1376,4002,87,376,1717,339,957,1021,1008,602,1591,1079,1288,1509,1699
Gambia,France,5834,312,2876,2558,2076,7853,11096,13582,6804,1377,4815,6953,6074,195,232,1144,209,97,696,1547
Gambia,Germany,3870,304,232,146,26,117,63,201,419,741,1533,754,178,337,548,758,370,725,841,909
Gambia,Belgium,1065,1306,914,2123,3562,1998,2822,1822,2511,2449,1351,1044,1082,2997,5307,3355,168,299,530,217
Gambia,South Africa,353,53,30,793,113,113,353,146,583,625,1133,209,425,572,640,866,203,4,346,168
Gambia,Canada,49,31,59,77,52,97,225,65,56,81,62,124,127,451,769,587,196,416,128,151
Gambia,"Taipei, Chinese",0,0,2,736,1133,78,1305,247,235,11,192,46,369,641,1363,2527,1946,683,6731,123
Gambia,Czech Republic,2,0,0,1,4,63,3,103,33,113,31,33,41,46,74,114,34,13,14,101
Gambia,Norway,32,62,35,62,244,77,2,2,4,36,1,5,18,10,70,5,4,2,7,98
Gambia,Malaysia,578,29,1557,47,57,239,1049,150,0,4,117,2,0,4,0,582,1497,0,21,93
Gambia,Costa Rica,36,0,69,0,4,1,12,40,114,12,12,35,19,6,12,31,22,46,3,60
Gambia,Switzerland,43,4,278,17,3,5,0,11,6,8,6,3,0,65,11,52,15,11,37,44
Gambia,Finland,5,6,9,50,17,4,15,2,1,2,38,29,25,38,46,53,2,4,3,41
Gambia,Thailand,2404,1138,506,233,1144,709,1496,3954,1791,3073,1609,893,182,325,1405,215,290,624,409,31
Gambia,Brazil,5,0,0,6,2,32,341,373,1075,1061,34,7,36,2,3,122,7,1,6,30
Gambia,Australia,9,13,41,35,203,68,5,39,38,54,197,2,7,16,31,8,45,11,8,25
Gambia,"Hong Kong, China",123,179,128,382,488,2284,963,2354,1145,141,1,152,142,120,138,15,3,20,1,16
Gambia,Japan,911,674,865,1367,312,3,15,0,42,2,21,58,0,17,62,265,160,98,4,15
Gambia,Singapore,0,0,0,0,0,0,0,2829,777,155,358,7,140,208,13,144,58,49,76,12
Gambia,Denmark,8,11,14,6,95,1,8,138,15,139,1,22,56,110,24,24,1,26,5,11
Gambia,Sweden,10,16,26,6,6,4,21,4,7,49,24,7,2,21,10,17,183,10,46,9
Gambia,New Zealand,0,1,0,0,18,2,11,0,0,3,3,6,5,123,55,3,2,20,4,8
Gambia,Argentina,0,0,0,0,0,2,0,0,3,1,1,0,0,1,9,7,0,0,3,7
Gambia,Hungary,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,66,0,3,5
Gambia,Ireland,146,239,15,69,22,43,83,187,9,1,194,37,228,1,1,18,1,11,14,5
