reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Gambia,China,124230,124350,162438,185557,175725,167549,186784,290968,257513,308521,350688,332790,319027,399023,426524,512481,535660,543953,453677,477014
Gambia,Brazil,30678,32441,42166,62716,48488,60923,81071,100731,75853,83642,96282,78990,82098,90636,89200,78924,120042,107492,113837,112545
Gambia,United States of America,23058,30604,21230,20001,28878,33651,29254,29366,27459,34135,41539,37448,40004,39236,41283,44957,41490,53612,68311,70248
Gambia,Türkiye,14360,10344,11030,17664,17361,20720,20697,40350,35097,34767,21988,15977,18195,38399,45515,53533,62471,69630,65417,68272
Gambia,Belgium,15807,13557,18379,20930,22331,19119,16667,22930,15331,13640,13679,17038,17987,25000,21155,23588,29715,53287,55404,65910
Gambia,Netherlands,23849,23682,28697,40810,42897,35017,36958,43745,33098,40775,42853,45805,32982,58477,46699,56780,50345,56408,56683,49696
Gambia,United Kingdom,28736,29925,25806,27776,30054,24439,24741,29321,59744,46110,33904,29121,28179,34682,37208,41918,29669,36854,34426,38796
Gambia,Malaysia,15068,15882,17190,30422,30325,20786,18664,34214,28826,24357,34833,31965,27233,45121,31781,34397,30540,33213,25993,38055
Gambia,Spain,8799,9296,8780,13155,14396,14743,18616,13557,13113,26199,13311,15620,27843,31365,26583,26344,24151,27866,23422,24084
Gambia,Germany,17114,11874,12782,10760,11997,16689,12344,11964,12797,11987,11501,11178,9120,12391,13939,22897,18057,19703,24828,22136
Gambia,France,13016,17036,16769,13467,17235,16954,9704,23836,9444,14498,25066,15244,9362,8499,9300,19701,20186,22539,14051,21079
Gambia,Poland,468,439,797,513,757,811,721,2954,3667,2988,5914,5189,6194,7678,5339,6208,8195,9222,14628,13100
Gambia,Thailand,5312,14535,7771,19988,26052,22554,18676,17701,18147,23245,31698,27916,20308,25032,20978,24677,13626,8653,9883,10460
Gambia,South Africa,8135,6108,9625,7090,5610,7467,5538,7899,5646,4273,14782,3640,5792,7116,6021,5776,3770,6907,4428,10101
Gambia,Ireland,597,975,1081,320,412,216,376,994,1117,2745,4916,1503,1678,4051,3309,10468,5063,6110,8036,8688
Gambia,Austria,1053,446,607,1047,1020,1161,930,725,793,504,300,802,405,643,4150,1296,2403,6772,4982,8099
Gambia,Latvia,287,137,317,179,100,18,391,1433,131,38,1438,358,243,301,321,430,414,870,4584,5542
Gambia,Paraguay,26,24,0,36,0,0,299,391,506,352,2269,837,3683,4351,7021,3876,3154,1841,421,5073
Gambia,Denmark,3845,5283,2511,4505,4639,4163,5273,6112,3560,3470,3166,3427,2642,3735,3969,3997,3467,5247,5033,5061
Gambia,Canada,203,257,565,739,795,679,769,820,966,1291,923,660,1071,5073,1693,2361,2461,4046,2526,4937
Gambia,Italy,8026,6994,7701,4626,8738,6972,5444,12356,5337,9895,6112,6082,3804,4248,5882,4988,4575,14886,5212,4932
Gambia,Malta,446,643,315,366,124,73,670,297,1754,1867,2841,3809,850,979,539,1529,803,2254,1673,4537
Gambia,Switzerland,1042,1136,884,4282,7434,8129,2944,1711,1716,2024,2300,3463,2284,2800,2792,2350,2454,2475,2197,3711
Gambia,"Korea, Republic of",1283,2349,4911,2363,2410,1391,1374,2320,2327,2026,2763,3000,9107,2749,5910,2607,2717,3784,3707,3693
Gambia,Lithuania,184,197,293,522,705,411,409,373,573,135,142,281,170,244,467,745,754,1200,1201,3633
Gambia,Sweden,1587,1728,3703,3902,3353,3879,3331,3107,4907,4417,5526,3816,4839,6489,6254,5932,5426,5363,3595,3404
Gambia,Portugal,605,984,2510,1363,2730,1848,3569,1737,8079,4708,8298,6261,1772,1497,1718,1793,1523,3061,3626,1910
Gambia,Singapore,0,0,0,0,0,0,0,21256,862,745,911,631,869,2709,1870,1253,2019,1742,976,1812
Gambia,Norway,121,192,226,351,342,1208,536,323,262,661,551,559,406,706,1200,1064,1201,4371,4197,1777
Gambia,Japan,3211,3656,4797,4399,3659,4907,3983,4845,12787,1025,3271,968,1625,3702,5095,3098,3232,3551,2007,1605
Gambia,Ukraine,6363,2944,1152,3921,501,1145,1243,2198,3217,2069,3438,2301,664,14183,23968,27611,20489,34917,8432,1568
