reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Ghana,China,510400,672424,803092,1228016,1747886,1533701,1932872,3109948,4790753,3946028,4134566,5312801,4758050,4863362,4821886,4903256,6756191,8104178,7926011,9316937
Ghana,Netherlands,197073,210703,238549,313283,355150,284374,444608,924275,1496680,1321789,1593425,886998,486916,753508,811227,558911,876488,1050413,1283624,1367817
Ghana,United States of America,309648,337390,289728,415902,608657,634258,989339,1199087,1322495,982393,1186244,949975,831984,859526,768789,840131,828772,957437,974497,850833
Ghana,Belgium,107136,121843,290922,319101,285981,258850,298769,385083,374893,672714,510671,294964,289851,387094,451765,265499,375191,685698,932842,630076
Ghana,United Kingdom,314077,281768,350681,433888,493260,406163,546726,685423,818601,616215,559607,476295,749660,489041,472280,481044,396372,551974,554669,444926
Ghana,South Africa,191890,240529,252825,308868,391296,340963,354203,416932,518778,398132,342955,341151,336122,353665,369426,347573,348649,415185,419404,364803
Ghana,Brazil,169253,218879,216502,320284,343602,231787,317069,418989,318308,295396,213322,183164,213415,212434,151894,129741,198414,318835,296358,335082
Ghana,France,228024,186710,254720,309711,497349,488538,496413,429448,424937,412686,263289,520080,303432,256592,252382,261228,250679,241450,245497,277491
Ghana,Germany,176815,175839,199812,271148,286642,296760,278826,387598,424276,418127,354170,292697,334356,300108,271770,267964,297510,424587,308253,272107
Ghana,Türkiye,31779,31602,32966,84126,100366,72851,96484,218560,223502,186845,187212,219599,298478,224551,275116,374340,477530,461851,421254,268651
Ghana,Malaysia,55524,67305,86468,119762,180056,108494,150673,203978,254347,175200,136639,175493,194249,257346,224543,168032,299473,570308,351242,230730
Ghana,Spain,84682,85847,67127,137364,130284,111624,158015,240934,333297,236004,248989,229732,210216,253916,205658,343957,310790,291348,294974,228706
Ghana,Canada,51914,77946,97055,129585,169270,139000,174013,268995,215788,246246,142465,168890,190522,188659,204269,194593,209778,298005,229191,207834
Ghana,Italy,152123,161420,191653,228199,300126,189845,214645,273531,269139,318799,209983,226220,292426,262521,287113,235745,241235,282873,236548,201591
Ghana,"Korea, Republic of",75339,88811,94225,145770,194936,154079,212684,325944,283878,354482,220013,252901,216267,243970,220004,191604,224753,297900,209453,180896
Ghana,Poland,17122,14792,12092,15411,22467,24656,28476,39514,30089,39691,30984,36077,37391,50398,54657,68932,103755,144052,114325,117739
Ghana,Thailand,117524,83409,95314,166054,231355,201300,211727,377603,356885,304029,292005,186213,200832,180889,211388,122647,113351,145179,101892,111268
