reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Greece,China,1380330,1935285,2178865,3276583,4074586,3458065,3958943,3949368,3593168,3218976,4185607,3664447,4249965,4780552,6542161,7740115,7036562,11180074,12988405,12798856
Greece,Germany,7836261,8065762,9174128,10969135,11785625,9216853,7740508,7055375,6087984,6277520,6446459,5176068,5492371,5902755,6786484,6805822,6924873,8418207,8982439,8848462
Greece,Italy,8005986,7450468,8581043,10644885,11534477,8556369,7218412,6629025,5407804,5006894,5112541,4115565,4302929,4627229,5381231,5239497,4975015,6822683,7025206,7205984
Greece,Netherlands,2756272,2901840,3128816,3770620,4447188,3587045,3339713,3179533,2647257,2869705,3011727,2253172,2306273,2546232,2702269,2738722,2817333,3212059,3360297,5083965
Greece,France,4255667,3862279,4102292,5118055,5447303,4313995,3512688,3647222,2890466,3005461,2842638,2328038,2319523,2279039,2629355,2748050,2788141,3118024,3819238,4479758
Greece,Türkiye,1171203,1126678,1602590,2262655,2429968,1629637,1455678,1553312,1401401,1544239,1668860,1400519,1428312,1662638,2086696,2245574,1799864,3117083,3302578,4172866
Greece,Spain,2206534,2137848,2396059,3032361,3811877,2490685,2175255,2154356,1862272,1986730,2544978,2139845,1921156,2489357,2838026,2774877,2161381,3115420,3220370,3635786
Greece,Bulgaria,986665,1105108,1348599,1516762,2230536,1556235,1634953,1984801,1918142,2050051,1967619,1674873,1825985,1945477,2229080,2246478,2119488,2868588,3259219,2646691
Greece,Belgium,2046775,2033184,2318808,3027664,3310500,2710180,2232701,2230488,1677866,1644784,1818679,1616362,1763651,1900844,1999060,1895351,1876233,2587569,2817448,2628566
Greece,Poland,215014,282336,385282,571443,874864,827640,687535,829662,641824,717936,795025,827926,856499,878323,1026775,1048481,1107446,1362632,1471964,1811001
Greece,United States of America,2063226,1192224,1554131,2110968,1931753,2475730,1106426,1130970,804137,739039,773187,725599,746607,954256,1084344,1442109,1373727,1556213,2170167,1785440
Greece,Romania,627593,591234,639281,687917,913293,755054,744038,850411,702188,804742,980925,798901,849455,1014057,1178175,957445,799225,1047445,1136032,1180178
Greece,United Kingdom,2596770,2504494,2787398,2794228,3042889,2513961,2120494,1922731,1360894,1452791,1629680,1355254,1239790,1280414,1579868,1305290,1141979,972552,1042272,1045201
Greece,Singapore,180552,205553,273657,362887,627344,530795,707641,930523,1038217,1089381,1118784,587402,491108,757953,1046031,899069,856776,932326,1194248,1039129
Greece,"Korea, Republic of",1772745,1792881,2768233,1660923,1413219,3203482,1208817,1349593,1908660,884210,1048776,1312893,2717698,1627679,978775,1674095,865956,2029857,1232281,1030255
Greece,Switzerland,982456,962787,1095053,1843522,1607187,1370423,1237444,1239547,1014419,980791,981595,825818,788318,852582,837464,758088,764803,792252,772613,896761
Greece,Hungary,325254,426730,399664,778506,660243,451870,405693,401272,339229,387234,405590,404294,400257,431274,530261,564717,538270,664566,760918,879836
Greece,Austria,576383,567028,758318,964380,1097721,811700,678734,604538,494184,504721,534000,407400,457963,468441,506301,594784,561438,677795,756788,771805
Greece,Czech Republic,255808,297508,409514,446397,529679,419353,367120,393696,280321,285276,322115,307882,338413,389921,501936,514594,488827,594591,626947,715867
Greece,Norway,154723,194248,195471,249125,596443,248486,298211,226698,388388,204397,275567,172203,127572,133439,123237,207289,237788,879159,461519,644352
Greece,Ireland,411665,418651,465570,572442,532186,529609,418695,430723,326881,363122,364454,322304,312564,373568,593047,940444,2017097,1302588,404939,606056
Greece,Sweden,726036,717373,795615,790207,843185,624028,529637,486215,328220,321553,307318,315884,389893,440372,402700,366933,347926,483624,564621,601402
Greece,Denmark,579395,556375,656541,695715,754104,609046,504085,554420,440748,453752,508843,348849,399076,450935,463676,512978,458577,429926,478202,516171
Greece,Brazil,192576,173850,246882,369729,331590,202798,175129,191297,159610,151399,136701,117030,126231,108188,172213,172230,197799,223609,351560,439293
Greece,Japan,1321757,879748,1417483,1307670,1214841,686559,548847,293250,145004,153700,163990,213835,215132,240925,420925,571649,245019,262732,346663,412322
Greece,Slovakia,100585,117264,224512,352012,428126,360787,238372,207092,194516,197052,255160,187191,187245,227539,356108,489964,212257,322430,328647,359227
Greece,Serbia,,,153019,182153,211091,135734,182066,201004,163063,217578,167137,149723,147354,183066,211493,207031,205616,276680,296551,322627
Greece,Cyprus,138954,176307,187113,294794,321895,306934,320504,461613,369853,355791,297099,222085,304145,258743,372661,257166,264645,316956,312576,292344
Greece,Slovenia,78084,73627,73994,96907,121375,103811,82661,79092,74355,83748,106198,89988,119113,99089,103027,107981,116178,190098,178371,273226
Greece,Portugal,157162,156515,160566,191060,217018,153400,146064,183464,276206,255807,234939,145413,139062,168874,230650,257888,177449,234172,266097,265525
Greece,Ukraine,118115,137408,120109,220959,339432,100340,164049,291232,209172,227886,201238,153776,159123,196815,279901,274211,178810,212783,184774,257556
