reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Greenland,Denmark,229074,272821,322024
Greenland,Japan,62290,61274,70688
Greenland,China,10461,12394,22171
Greenland,Spain,271,270,353
Greenland,Germany,7098,14553,11576
Greenland,United States of America,28753,23491,14285
Greenland,Thailand,25041,20030,16364
Greenland,Iceland,2644,3562,4552
Greenland,United Kingdom,6074,8821,4669
Greenland,France,6331,8768,7588
Greenland,Norway,12570,3442,2333
Greenland,"Taipei, Chinese",3526,5899,8606
Greenland,Poland,1039,715,1602
Greenland,"Korea, Republic of",458,903,1010
Greenland,Lithuania,38,40,24
Greenland,Canada,4169,1107,780
Greenland,Russian Federation,18,228,1638
Greenland,Croatia,342,290,558
Greenland,Austria,48,219,284
Greenland,Sweden,347,1989,713
Greenland,Switzerland,17,3,1
Greenland,Finland,61,86,192
Greenland,Ireland,115,14,5
Greenland,Estonia,239,354,632
Greenland,Italy,25,47,10
Greenland,Türkiye,5,0,55
Greenland,Pakistan,,,424
Greenland,Guinea,0,27,
Greenland,Mexico,1,0,2
Greenland,Cyprus,40,26,225
Greenland,Guyana,0,0,21
Greenland,Netherlands,949,124,15
Greenland,Benin,0,0,0
Greenland,Belgium,93,39,12
Greenland,Greenland,0,38,1417
Greenland,Brunei Darussalam,6,0,1
Greenland,Bulgaria,0,0,26
Greenland,Serbia and Montenegro,15,19,
Greenland,New Caledonia,0,0,14
Greenland,Ethiopia,0,16,0
Greenland,Luxembourg,85,35,31
Greenland,Romania,0,0,0
Greenland,Slovenia,32,8,9
Greenland,Kazakhstan,25,0,1
Greenland,"Macao, China",1,0,3
Greenland,Cambodia,0,0,13
Greenland,South Africa,0,0,1
Greenland,Czech Republic,0,0,23
Greenland,French Polynesia,12,11,0
Greenland,Brazil,0,0,1
Greenland,Nicaragua,0,0,0
Greenland,Slovakia,0,0,1
Greenland,Faroe Islands,234,73,7
Greenland,Peru,0,0,0
Greenland,Bosnia and Herzegovina,,,2
Greenland,Andorra,0,0,0
Greenland,Mayotte,11,2,0
Greenland,Madagascar,0,0,0
Greenland,Rwanda,0,0,0
Greenland,India,74,35,1
Greenland,Togo,1,0,15
Greenland,"Macedonia, North",0,0,0
Greenland,"Tanzania, United Republic of",0,0,0
Greenland,Uruguay,0,0,0
Greenland,Ukraine,1,1,39
Greenland,Albania,0,2,0
Greenland,Bangladesh,96,125,5
Greenland,Cabo Verde,1,0,0
Greenland,Colombia,0,0,52
Greenland,Dominican Republic,0,1,0
Greenland,Ecuador,0,14,0
Greenland,Gabon,1,0,0
Greenland,Honduras,0,1,2
Greenland,Indonesia,119,6,98
Greenland,Côte d'Ivoire,0,3,0
Greenland,Lebanon,0,1,3
Greenland,Malaysia,0,1079,12811
Greenland,Mauritius,2,17,2
Greenland,"Moldova, Republic of",3,0,0
Greenland,New Zealand,0,0,0
Greenland,Portugal,0,397,412
Greenland,Saint Lucia,0,41,0
Greenland,Singapore,1604,0,0
Greenland,Viet Nam,0,435,109
Greenland,Sudan (before 2012),0,12,0
Greenland,Nigeria,2616,439,597
