reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Grenada,United States of America,24117,7286,8099
Grenada,Germany,8094,6180,7021
Grenada,Netherlands,5435,3628,4506
Grenada,France,1687,2261,2165
Grenada,Belgium,449,1222,1740
Grenada,Saint Lucia,2681,2534,4636
Grenada,Switzerland,474,476,1492
Grenada,Saint Kitts and Nevis,1410,1509,1749
Grenada,Barbados,1504,1375,1310
Grenada,Canada,670,941,774
Grenada,United Kingdom,931,986,1001
Grenada,Dominica,1899,978,549
Grenada,Saint Vincent and the Grenadines,560,541,742
Grenada,Argentina,1072,498,662
Grenada,Guyana,112,253,374
Grenada,Jamaica,644,715,484
Grenada,Mexico,0,0,0
Grenada,Yemen,,,
Grenada,Austria,156,77,226
Grenada,Japan,155,216,198
Grenada,Trinidad and Tobago,275,141,97
Grenada,Ireland,108,47,43
Grenada,Spain,104,325,935
Grenada,India,8,293,10
Grenada,Croatia,221,306,157
Grenada,Thailand,9,77,10
Grenada,Norway,83,154,134
Grenada,Brazil,155,86,85
Grenada,Montserrat,46,4,66
Grenada,Bangladesh,29,268,59
Grenada,Denmark,0,4,1
Grenada,Slovenia,2022,392,129
Grenada,Kazakhstan,0,2,0
Grenada,Malaysia,67,54,1
Grenada,Belarus,18,0,0
Grenada,Italy,395,121,97
Grenada,Peru,12,83,131
Grenada,Uruguay,57,27,56
Grenada,Slovakia,3,2,28
Grenada,Bahamas,7,0,43
Grenada,Belize,18,59,60
Grenada,Suriname,30,,
Grenada,Czech Republic,25,30,45
Grenada,Ethiopia,8,172,133
Grenada,Cambodia,0,0,22
Grenada,Georgia,0,0,2
Grenada,Russian Federation,8,44,17
Grenada,Philippines,0,0,0
Grenada,Estonia,47,0,48
Grenada,Guinea,0,0,
Grenada,"Taipei, Chinese",0,1,1
Grenada,Poland,0,0,0
Grenada,Nicaragua,0,0,0
Grenada,Rwanda,0,0,0
Grenada,Dominican Republic,1,14,5
Grenada,Uganda,37,0,20
Grenada,Serbia and Montenegro,4,2,
Grenada,Hungary,14,9,7
Grenada,Romania,9,9,11
Grenada,"Tanzania, United Republic of",0,43,7
Grenada,"Venezuela, Bolivarian Republic of",241,0,0
Grenada,Ghana,0,,9
Grenada,Finland,36,1,11
Grenada,Ukraine,16,4,7
Grenada,Australia,1,8,1
Grenada,Bulgaria,0,0,0
Grenada,"Korea, Republic of",51,9,3
Grenada,Sweden,0,0,0
Grenada,New Zealand,1,0,0
Grenada,South Africa,3,1,46
Grenada,"Macedonia, North",0,0,0
Grenada,Zambia,0,10,0
Grenada,Faroe Islands,0,5,1
Grenada,Costa Rica,0,7376,0
Grenada,"Hong Kong, China",0,1,0
Grenada,"Macao, China",0,0,0
Grenada,Fiji,,0,1
Grenada,Algeria,0,73,35
Grenada,Bahrain,18,0,0
Grenada,Botswana,0,2,0
Grenada,Cabo Verde,0,1,0
Grenada,China,0,0,306
Grenada,Colombia,285,193,0
Grenada,Cuba,0,4,1
Grenada,Benin,0,0,0
Grenada,Ecuador,125,0,0
Grenada,El Salvador,0,0,3
Grenada,Guatemala,1,0,0
Grenada,Honduras,0,1,0
Grenada,Indonesia,1,60,2
Grenada,Kenya,0,0,21
Grenada,Kyrgyzstan,0,0,1
Grenada,Latvia,0,0,3
Grenada,Lithuania,2,7,5
Grenada,Luxembourg,24,0,0
Grenada,Madagascar,41,0,0
Grenada,Malawi,0,1,0
Grenada,"Moldova, Republic of",10,1,0
Grenada,Namibia,3,0,0
Grenada,Papua New Guinea,0,15,0
Grenada,Portugal,0,1,0
Grenada,Singapore,0,61,0
Grenada,Viet Nam,6,0,0
Grenada,Sudan (before 2012),56,102,0
Grenada,Togo,40,2,0
Grenada,Tunisia,21,1,103
Grenada,Türkiye,0,0,0
Grenada,Nigeria,6383,5629,10566
