reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Grenada,United States of America,59873,56406,68420
Grenada,Trinidad and Tobago,51254,44724,54189
Grenada,Botswana,0,0,0
Grenada,United Kingdom,10018,8319,12231
Grenada,Japan,6291,5395,9701
Grenada,Barbados,7375,6657,7384
Grenada,Italy,814,1427,787
Grenada,Canada,2099,2873,4519
Grenada,Netherlands,2540,2688,5142
Grenada,Saint Lucia,1292,1890,2490
Grenada,Brazil,1578,1838,2272
Grenada,France,1737,3647,3535
Grenada,Guyana,2005,2752,2069
Grenada,Saint Vincent and the Grenadines,1199,1277,1305
Grenada,New Zealand,1593,2023,1606
Grenada,Germany,1921,3414,2419
Grenada,"Korea, Republic of",775,671,857
Grenada,Jamaica,1487,1428,1698
Grenada,Denmark,876,1376,1299
Grenada,"Venezuela, Bolivarian Republic of",2069,2762,1261
Grenada,Australia,670,752,1248
Grenada,Sweden,111,1409,3788
Grenada,China,253,294,429
Grenada,Norway,955,888,713
Grenada,Argentina,203,239,394
Grenada,Belgium,263,596,584
Grenada,Finland,196,83,140
Grenada,Spain,781,562,471
Grenada,Malaysia,47,61,3
Grenada,Mexico,471,657,437
Grenada,Ireland,232,247,301
Grenada,"Taipei, Chinese",409,171,352
Grenada,Dominica,308,311,268
Grenada,Costa Rica,100,132,392
Grenada,India,399,563,643
Grenada,Dominican Republic,58,99,274
Grenada,Thailand,326,214,425
Grenada,Colombia,515,228,397
Grenada,Cuba,133,149,277
Grenada,"Hong Kong, China",209,97,202
Grenada,Chile,147,131,121
Grenada,South Africa,108,140,179
Grenada,Bangladesh,0,13,0
Grenada,Greece,43,30,57
Grenada,Austria,38,23,39
Grenada,Türkiye,10,20,27
Grenada,Hungary,120,1,0
Grenada,Switzerland,237,39,124
Grenada,Viet Nam,22,36,12
Grenada,Indonesia,356,154,226
Grenada,Peru,0,0,30
Grenada,Belize,0,0,15
Grenada,Cyprus,3,11,6
Grenada,Poland,0,0,0
Grenada,Slovenia,51,31,27
Grenada,Israel,24,15,45
Grenada,Bahamas,41,14,34
Grenada,Lithuania,0,0,69
Grenada,Guatemala,41,45,31
Grenada,Timor-Leste,,,
Grenada,Portugal,18,11,17
Grenada,Namibia,0,0,0
Grenada,Czech Republic,687,35,51
Grenada,Romania,0,5,0
Grenada,Suriname,12,,
Grenada,Kenya,0,0,2
Grenada,Fiji,,0,8
Grenada,Ghana,0,,53
Grenada,Serbia and Montenegro,0,19,
Grenada,Andorra,0,0,1
Grenada,"Bolivia, Plurinational State of",0,1,0
Grenada,Sri Lanka,0,0,3
Grenada,Croatia,4,0,0
Grenada,Benin,0,25,0
Grenada,Ecuador,26,27,33
Grenada,Ethiopia,0,0,0
Grenada,Estonia,0,14,0
Grenada,Honduras,0,1292,836
Grenada,Côte d'Ivoire,0,1,0
Grenada,Latvia,0,0,1
Grenada,Luxembourg,0,19,0
Grenada,Montserrat,0,0,2
Grenada,Papua New Guinea,0,2,0
Grenada,Saint Kitts and Nevis,27,26,0
Grenada,Singapore,34,12,0
Grenada,Uganda,0,0,19
Grenada,"Tanzania, United Republic of",29,0,26
Grenada,Uruguay,0,0,27
Grenada,Anguilla,16,0,0
